Entity,Code,Year,UN Constant Fertility,UN Low Variant,UN High Variant,UN Medium Variant,UN Estimates 1950-2015,HYDE Estimates 1750-1950
World,OWID_WRL,2088,20086019570,7870457325,15041525580,11015004820,,
World,OWID_WRL,2089,20514005340,7824232368,15163336710,11032857620,,
World,OWID_WRL,2090,20956894950,7777285959,15285550230,11050055190,,
World,OWID_WRL,2091,21415211810,7729655304,15408117510,11066592640,,
World,OWID_WRL,2092,21889503210,7681375693,15531000700,11082465220,,
World,OWID_WRL,2093,22380335200,7632480686,15654169120,11097667990,,
World,OWID_WRL,2094,22888289700,7583002133,15777593260,11112193710,,
World,OWID_WRL,2095,23413959620,7532970369,15901239680,11126032800,,
World,OWID_WRL,2096,23957947940,7482414119,16025070420,11139172510,,
World,OWID_WRL,2097,24520866280,7431360476,16149040620,11151596850,,
World,OWID_WRL,2098,25103335470,7379835121,16273099130,11163286400,,
World,OWID_WRL,2099,25705985450,7327862146,16397188420,11174218740,,
World,OWID_WRL,2100,26329454980,7275464054,16521244910,11184367720,,
World,OWID_WRL,1950,,,,,2536274721,2529333653
World,OWID_WRL,1951,,,,,2583816786,
World,OWID_WRL,1952,,,,,2630584384,
World,OWID_WRL,1953,,,,,2677230358,
World,OWID_WRL,1954,,,,,2724302468,
World,OWID_WRL,1955,,,,,2772242535,
World,OWID_WRL,1956,,,,,2821383444,
World,OWID_WRL,1957,,,,,2871952278,
World,OWID_WRL,1958,,,,,2924081243,
World,OWID_WRL,1959,,,,,2977824686,
World,OWID_WRL,1960,,,,,3033212527,
World,OWID_WRL,1961,,,,,3090305279,
World,OWID_WRL,1962,,,,,3149244245,
World,OWID_WRL,1963,,,,,3210271352,
World,OWID_WRL,1964,,,,,3273670772,
World,OWID_WRL,1965,,,,,3339592688,
World,OWID_WRL,1966,,,,,3408121405,
World,OWID_WRL,1967,,,,,3479053821,
World,OWID_WRL,1968,,,,,3551880700,
World,OWID_WRL,1969,,,,,3625905514,
World,OWID_WRL,1970,,,,,3700577650,
World,OWID_WRL,1971,,,,,3775790900,
World,OWID_WRL,1972,,,,,3851545181,
World,OWID_WRL,1973,,,,,3927538695,
World,OWID_WRL,1974,,,,,4003448151,
World,OWID_WRL,1975,,,,,4079087198,
World,OWID_WRL,1976,,,,,4154287594,
World,OWID_WRL,1977,,,,,4229201257,
World,OWID_WRL,1978,,,,,4304377112,
World,OWID_WRL,1979,,,,,4380585755,
World,OWID_WRL,1980,,,,,4458411534,
World,OWID_WRL,1981,,,,,4537845777,
World,OWID_WRL,1982,,,,,4618776168,
World,OWID_WRL,1983,,,,,4701530843,
World,OWID_WRL,1984,,,,,4786483862,
World,OWID_WRL,1985,,,,,4873781796,
World,OWID_WRL,1986,,,,,4963633228,
World,OWID_WRL,1987,,,,,5055636132,
World,OWID_WRL,1988,,,,,5148556956,
World,OWID_WRL,1989,,,,,5240735117,
World,OWID_WRL,1990,,,,,5330943460,
World,OWID_WRL,1991,,,,,5418758803,
World,OWID_WRL,1992,,,,,5504401149,
World,OWID_WRL,1993,,,,,5588094837,
World,OWID_WRL,1994,,,,,5670319703,
World,OWID_WRL,1995,,,,,5751474416,
World,OWID_WRL,1996,,,,,5831565020,
World,OWID_WRL,1997,,,,,5910566295,
World,OWID_WRL,1998,,,,,5988846103,
World,OWID_WRL,1999,,,,,6066867391,
World,OWID_WRL,2000,,,,,6145006989,
World,OWID_WRL,2001,,,,,6223412158,
World,OWID_WRL,2002,,,,,6302149639,
World,OWID_WRL,2003,,,,,6381408987,
World,OWID_WRL,2004,,,,,6461370865,
World,OWID_WRL,2005,,,,,6542159383,
World,OWID_WRL,2006,,,,,6623847913,
World,OWID_WRL,2007,,,,,6706418593,
World,OWID_WRL,2008,,,,,6789771253,
World,OWID_WRL,2009,,,,,6873741054,
World,OWID_WRL,2010,,,,,6958169159,
World,OWID_WRL,2011,,,,,7043008586,
World,OWID_WRL,2012,,,,,7128176935,
World,OWID_WRL,2013,,,,,7213426452,
World,OWID_WRL,2014,,,,,7298453033,
World,OWID_WRL,1750,,,,,,736113314.2
World,OWID_WRL,1760,,,,,,774158723.7
World,OWID_WRL,1770,,,,,,816847710.9
World,OWID_WRL,1780,,,,,,892997970.5
World,OWID_WRL,1790,,,,,,937242014.4
World,OWID_WRL,1800,,,,,,952501465.7
World,OWID_WRL,1810,,,,,,1029961401
World,OWID_WRL,1820,,,,,,1057376526
World,OWID_WRL,1830,,,,,,1139943549
World,OWID_WRL,1840,,,,,,1199990593
World,OWID_WRL,1850,,,,,,1276316991
World,OWID_WRL,1860,,,,,,1333548003
World,OWID_WRL,1870,,,,,,1333547793
World,OWID_WRL,1880,,,,,,1412555032
World,OWID_WRL,1890,,,,,,1530867717
World,OWID_WRL,1900,,,,,,1650611158
World,OWID_WRL,1910,,,,,,1773272443
World,OWID_WRL,1920,,,,,,1907636821
World,OWID_WRL,1930,,,,,,2087279751
World,OWID_WRL,1940,,,,,,2302820941
