Entity,Code,Year,Share of people who neither agree nor disagree vaccines are important for children to have (%)
Mali,MLI,2018,1.733056868
Malta,MLT,2018,0.580232566
Mauritania,MRT,2018,3.498301059
Mauritius,MUS,2018,2.236891439
Mexico,MEX,2018,2.35474186
Middle East,,2018,3
Moldova,MDA,2018,0.767414665
Mongolia,MNG,2018,23.84714959
Montenegro,MNE,2018,1.01344786
Morocco,MAR,2018,20.89832674
Mozambique,MOZ,2018,1.308893373
Myanmar,MMR,2018,0.948933733
Namibia,NAM,2018,0.603961966
Nepal,NPL,2018,0.981191134
Netherlands,NLD,2018,0.341108245
New Zealand,NZL,2018,3.410760128
Nicaragua,NIC,2018,6.881707068
Niger,NER,2018,0.176483474
Nigeria,NGA,2018,0.065632461
North Africa,,2018,3
Northern America,,2018,7
Northern Cyprus,OWID_CYN,2018,0.402060545
Northern Europe,,2018,6
Norway,NOR,2018,1.323759194
Pakistan,PAK,2018,2.536202864
Palestine,PSE,2018,0.108434755
Panama,PAN,2018,2.138559221
Paraguay,PRY,2018,1.708735837
Peru,PER,2018,1.220949007
Philippines,PHL,2018,0.725047023
Poland,POL,2018,6.049248973
Portugal,PRT,2018,2.32041618
Romania,ROU,2018,4.687316487
Russia,RUS,2018,9.889167353
Rwanda,RWA,2018,0.765732331
Saudi Arabia,SAU,2018,4.144690986
Senegal,SEN,2018,1.557530747
Serbia,SRB,2018,7.237638888
Sierra Leone,SLE,2018,0.04415574
Singapore,SGP,2018,11.26641659
Slovakia,SVK,2018,10.484712
Slovenia,SVN,2018,5.256530175
South Africa,ZAF,2018,2.629555099
South America,,2018,1
South Asia,,2018,1
South Korea,KOR,2018,18.80167886
Southeast Asia,,2018,2
Southern Africa,,2018,3
Southern Europe,,2018,7
Spain,ESP,2018,6.542271358
Sri Lanka,LKA,2018,0.420736578
Swaziland,SWZ,2018,3.632393977
Sweden,SWE,2018,3.753363936
Switzerland,CHE,2018,14.54176348
Taiwan,TWN,2018,8.21842427
Tajikistan,TJK,2018,2.125310101
Tanzania,TZA,2018,0.370717429
Thailand,THA,2018,1.256087168
Togo,TGO,2018,2.791985236
Tunisia,TUN,2018,4.495562847
Turkey,TUR,2018,1.971368414
Turkmenistan,TKM,2018,1.564634863
Uganda,UGA,2018,0.741204419
Ukraine,UKR,2018,15.08349787
United Arab Emirates,ARE,2018,2.587562353
United Kingdom,GBR,2018,6.193102281
United States,USA,2018,6.513464405
Uruguay,URY,2018,2.953618782
Uzbekistan,UZB,2018,0.70499057
Venezuela,VEN,2018,0.274466511
Vietnam,VNM,2018,4.630507744
Western Africa,,2018,1
Western Europe,,2018,9
World,OWID_WRL,2018,5
Yemen,YEM,2018,3.046882459
Zambia,ZMB,2018,1.643229688
Zimbabwe,ZWE,2018,2.115045511
