Entity,Code,Year,"10.b.1 - Total assistance for development, by donor countries (millions of current United States dollars) - DC_TRF_TOTDL (USD)"
Estonia,EST,2017,20312250
Finland,FIN,2000,928620000
Finland,FIN,2001,1161010000
Finland,FIN,2002,-400950000
Finland,FIN,2003,-306270000
Finland,FIN,2004,1046339999.9999999
Finland,FIN,2005,1481340000
Finland,FIN,2006,993690000
Finland,FIN,2007,1731870000
Finland,FIN,2008,-706690000
Finland,FIN,2009,2668390000
Finland,FIN,2010,3804160000
Finland,FIN,2011,435200000
Finland,FIN,2012,985728990
Finland,FIN,2013,366456730
Finland,FIN,2014,2229823130
Finland,FIN,2015,-686082850
Finland,FIN,2016,1328614130
Finland,FIN,2017,3218132290
France,FRA,2000,4281390000.0000005
France,FRA,2001,14724870000
France,FRA,2002,2858280000
France,FRA,2003,4895840000
France,FRA,2004,9693030000
France,FRA,2005,12956910000
France,FRA,2006,19647470000
France,FRA,2007,39501010000
France,FRA,2008,36402360000
France,FRA,2009,33005370000.000004
France,FRA,2010,30338470000
France,FRA,2011,29713330000
France,FRA,2012,25479050000
France,FRA,2013,5984880000
France,FRA,2014,15115470000
France,FRA,2015,-2650063900
France,FRA,2016,16813824190
France,FRA,2017,18437958160
Germany,DEU,2000,10810370000
Germany,DEU,2001,4267880000
Germany,DEU,2002,5085630000
Germany,DEU,2003,1516360000
Germany,DEU,2004,10366750000
Germany,DEU,2005,26935130000
Germany,DEU,2006,20195510000
Germany,DEU,2007,31192580000
Germany,DEU,2008,29460820000
Germany,DEU,2009,21609100000
Germany,DEU,2010,35558420000
Germany,DEU,2011,49634830000
Germany,DEU,2012,29133385940
Germany,DEU,2013,46677780380
Germany,DEU,2014,46273823620
Germany,DEU,2015,41331758990
Germany,DEU,2016,40838919130
Germany,DEU,2017,41168536000
Greece,GRC,2000,101430000
Greece,GRC,2001,82510000
Greece,GRC,2002,147330000
Greece,GRC,2003,261510000
Greece,GRC,2004,150570000
Greece,GRC,2005,531100000
Greece,GRC,2006,2651250000
Greece,GRC,2007,3133090000
Greece,GRC,2008,312170000
Greece,GRC,2009,538200000
Greece,GRC,2010,454350000
Greece,GRC,2011,213740000
Greece,GRC,2012,686490000
Greece,GRC,2013,673161660
Greece,GRC,2014,-638976110
Greece,GRC,2015,-251412750
Greece,GRC,2016,-2201980380
Greece,GRC,2017,134865490
Hungary,HUN,2003,13880000
Hungary,HUN,2004,35490000
Hungary,HUN,2005,39580000
Hungary,HUN,2006,84340000
Hungary,HUN,2007,33030000
Hungary,HUN,2008,15450000
Hungary,HUN,2009,29600000
Hungary,HUN,2010,28360000
Hungary,HUN,2011,33150000
Hungary,HUN,2012,21770000
Hungary,HUN,2013,34280000
Hungary,HUN,2014,30097850
Hungary,HUN,2015,47342040
Hungary,HUN,2016,54783150
Hungary,HUN,2017,-293280570
Iceland,ISL,2000,3970000
Iceland,ISL,2001,4950000
Iceland,ISL,2002,4810000
Iceland,ISL,2003,13990000
Iceland,ISL,2004,16379999.999999998
Iceland,ISL,2005,20140000
Iceland,ISL,2006,27680000
Iceland,ISL,2007,37390000
Iceland,ISL,2008,36070000
Iceland,ISL,2009,25270000
Iceland,ISL,2010,20770000
Iceland,ISL,2011,20060000
Iceland,ISL,2012,21210000
Iceland,ISL,2013,29410000
Iceland,ISL,2014,30938580
Iceland,ISL,2015,31250000
Iceland,ISL,2016,57760900
Iceland,ISL,2017,68965740
Ireland,IRL,2000,153940000
Ireland,IRL,2001,531400000
Ireland,IRL,2002,1252760000
Ireland,IRL,2003,1898760000
Ireland,IRL,2004,3419640000
Ireland,IRL,2005,482270000
Ireland,IRL,2006,632290000
Ireland,IRL,2007,824080000
Ireland,IRL,2008,930680000
Ireland,IRL,2009,3693290000
Ireland,IRL,2010,2085270000
Ireland,IRL,2011,1603670000
Ireland,IRL,2012,536179999.99999994
Ireland,IRL,2013,1545590000
Ireland,IRL,2014,519159999.99999994
Ireland,IRL,2015,427490000
Ireland,IRL,2016,427006140
Ireland,IRL,2017,492633720
Israel,ISR,2000,157920000
Israel,ISR,2001,85510000
Israel,ISR,2002,124410000
Israel,ISR,2003,103500000
Israel,ISR,2004,74980000
Israel,ISR,2005,79650000
Israel,ISR,2006,75280000
Israel,ISR,2007,96100000
Israel,ISR,2008,118660000
Israel,ISR,2009,107520000
Israel,ISR,2010,127600000
Israel,ISR,2011,188190000
Israel,ISR,2012,156300000
Israel,ISR,2013,186130000
Israel,ISR,2014,175670000
Israel,ISR,2015,212972510
Israel,ISR,2016,255702680
Italy,ITA,2000,9810280000
Italy,ITA,2001,-1405730000
Italy,ITA,2002,73420000
Italy,ITA,2003,2819480000
Italy,ITA,2004,1432050000
Italy,ITA,2005,1188420000
Italy,ITA,2006,3748810000
Italy,ITA,2007,1658880000
Italy,ITA,2008,2452780000
Italy,ITA,2009,2984190000
Italy,ITA,2010,7220630000
Italy,ITA,2011,9177840000
Italy,ITA,2012,8982480000
Italy,ITA,2013,14083000000
Italy,ITA,2014,5948240000
Italy,ITA,2015,13240805170
Italy,ITA,2016,16559187290.000002
Italy,ITA,2017,11845897410
Japan,JPN,2000,7597280000
Japan,JPN,2001,12319930000
Japan,JPN,2002,7226220000
Japan,JPN,2003,2699550000
Japan,JPN,2004,11323590000
Japan,JPN,2005,21158860000
Japan,JPN,2006,23211980000
Japan,JPN,2007,29423260000
Japan,JPN,2008,29027130000
Japan,JPN,2009,38117840000
Japan,JPN,2010,42360090000
Japan,JPN,2011,58477530000
Japan,JPN,2012,46342570000
Japan,JPN,2013,56849180000
Japan,JPN,2014,38076380000
Japan,JPN,2015,34179860000
Japan,JPN,2016,36585140000
Japan,JPN,2017,34755014220
Kazakhstan,KAZ,2013,5348660
Kazakhstan,KAZ,2014,27082980
Kazakhstan,KAZ,2015,34025130
Kazakhstan,KAZ,2016,19835680
Kazakhstan,KAZ,2017,23524250
Kuwait,KWT,2000,164330000
Kuwait,KWT,2001,73430000
Kuwait,KWT,2002,20380000
Kuwait,KWT,2003,113750000
Kuwait,KWT,2004,99120000
Kuwait,KWT,2005,217540000
Kuwait,KWT,2006,156640000
Kuwait,KWT,2007,109050000
Kuwait,KWT,2008,282190000
Kuwait,KWT,2009,220240000
Kuwait,KWT,2010,210580090
Kuwait,KWT,2011,144423760
Kuwait,KWT,2012,148924000
Kuwait,KWT,2013,185467260
Kuwait,KWT,2014,228914960
Kuwait,KWT,2015,304267480
Kuwait,KWT,2016,1048151640
Kuwait,KWT,2017,532056299.99999994
Latvia,LVA,2002,60000
Latvia,LVA,2003,80000
Latvia,LVA,2004,210000
Latvia,LVA,2005,930000
Latvia,LVA,2006,910000
Latvia,LVA,2007,1460000
Latvia,LVA,2008,4250000
Latvia,LVA,2009,2000000
Latvia,LVA,2010,1600000
Latvia,LVA,2011,1270000
Latvia,LVA,2012,1160000
Latvia,LVA,2013,1450000
Latvia,LVA,2014,2069999.9999999998
Latvia,LVA,2015,2208620
Latvia,LVA,2016,3390340
Latvia,LVA,2017,4526070
Liechtenstein,LIE,2007,16670000.000000002
Liechtenstein,LIE,2008,20860000
Liechtenstein,LIE,2009,21100000
Liechtenstein,LIE,2010,21800000
Liechtenstein,LIE,2011,25810000
Liechtenstein,LIE,2012,23900000
Liechtenstein,LIE,2013,23710000
Liechtenstein,LIE,2014,23170000
Liechtenstein,LIE,2015,19051100
Liechtenstein,LIE,2016,18860000
Liechtenstein,LIE,2017,16500000
Lithuania,LTU,2001,420000
Lithuania,LTU,2002,500000
Lithuania,LTU,2003,670000
Lithuania,LTU,2004,800000
Lithuania,LTU,2005,1260000
Lithuania,LTU,2006,8220000.000000001
Lithuania,LTU,2007,23760000
Lithuania,LTU,2008,14870000
Lithuania,LTU,2009,7930000
Lithuania,LTU,2010,16399999.999999998
Lithuania,LTU,2011,20530000
Lithuania,LTU,2012,22060000
Lithuania,LTU,2013,17710000
Lithuania,LTU,2014,6443200
Lithuania,LTU,2015,9807860
Lithuania,LTU,2016,13876550
Lithuania,LTU,2017,15263760
Luxembourg,LUX,2000,98550000
Luxembourg,LUX,2001,107210000
Luxembourg,LUX,2002,115720000
Luxembourg,LUX,2003,149630000
Luxembourg,LUX,2004,171120000
Luxembourg,LUX,2005,187000000
Luxembourg,LUX,2006,204880000
Luxembourg,LUX,2007,253490000
Luxembourg,LUX,2008,278510000
Luxembourg,LUX,2009,265980000.00000003
Luxembourg,LUX,2010,262019999.99999997
Luxembourg,LUX,2011,279680000
Luxembourg,LUX,2012,276640900
Luxembourg,LUX,2013,298813270
Luxembourg,LUX,2014,300429940
Luxembourg,LUX,2015,262678049.99999997
Luxembourg,LUX,2016,274832250
Luxembourg,LUX,2017,304017790
Malta,MLT,2009,7560000
Malta,MLT,2010,8400000
Malta,MLT,2011,13300000
Malta,MLT,2012,11750000
Malta,MLT,2013,11970000
Malta,MLT,2014,12830000
Malta,MLT,2015,8015770
Malta,MLT,2016,10619220
Malta,MLT,2017,15102600
Netherlands,NLD,2000,6395720000
Netherlands,NLD,2001,-3487000000
Netherlands,NLD,2002,-3578030000
Netherlands,NLD,2003,13014770000
Netherlands,NLD,2004,11601490000
Netherlands,NLD,2005,21399950000
Netherlands,NLD,2006,27417180000
Netherlands,NLD,2007,15566550000
Netherlands,NLD,2008,-15958670000
Netherlands,NLD,2009,2484870000
Netherlands,NLD,2010,11878500000
Netherlands,NLD,2011,19782830000
Netherlands,NLD,2012,15777246900
Netherlands,NLD,2013,15381906730
Netherlands,NLD,2014,66251610680
Netherlands,NLD,2015,63852492810
Netherlands,NLD,2016,35536213330
Netherlands,NLD,2017,33480426840
New Zealand,NZL,2000,84950000
New Zealand,NZL,2001,84740000
New Zealand,NZL,2002,111130000
New Zealand,NZL,2003,153480000
New Zealand,NZL,2004,189090000
New Zealand,NZL,2005,256800000
New Zealand,NZL,2006,234180000
New Zealand,NZL,2007,281480000
New Zealand,NZL,2008,315180000
New Zealand,NZL,2009,257920000.00000003
New Zealand,NZL,2010,305960000
New Zealand,NZL,2011,367680000
New Zealand,NZL,2012,408060000
New Zealand,NZL,2013,361640000
New Zealand,NZL,2014,466680000
New Zealand,NZL,2015,414680000
New Zealand,NZL,2016,431350000
New Zealand,NZL,2017,446040000
Norway,NOR,2000,928430000
Norway,NOR,2001,869340000
Norway,NOR,2002,1276720000
Norway,NOR,2003,2727490000
Norway,NOR,2004,2122310000
Norway,NOR,2005,3883880000
Norway,NOR,2006,4675550000
Norway,NOR,2007,5532070000
Norway,NOR,2008,2830860000
Norway,NOR,2009,4059160000
Norway,NOR,2010,4857610000
Norway,NOR,2011,3561600000
Norway,NOR,2012,3522675510
Norway,NOR,2013,4314372240
Norway,NOR,2014,3841444160
Norway,NOR,2015,3593690560
Norway,NOR,2016,3358166450
Norway,NOR,2017,3003161850
Poland,POL,2000,13040000
Poland,POL,2001,30720000
Poland,POL,2002,8890000
Poland,POL,2003,18920000
Poland,POL,2004,24890000
Poland,POL,2005,47960000
Poland,POL,2006,121870000
Poland,POL,2007,155800000
Poland,POL,2008,83990000
Poland,POL,2009,92060000
Poland,POL,2010,96830000
Poland,POL,2011,90680000
Poland,POL,2012,111550000
Poland,POL,2013,127090000
Poland,POL,2014,82300000
Poland,POL,2015,158494970
Poland,POL,2016,544036730
Poland,POL,2017,656873200
Portugal,PRT,2000,4529760000
Portugal,PRT,2001,1685020000
Portugal,PRT,2002,34910000
Portugal,PRT,2003,1003680000
Portugal,PRT,2004,515010000
Portugal,PRT,2005,943880000
Portugal,PRT,2006,477320000
Portugal,PRT,2007,2013320000
Portugal,PRT,2008,619210000
Portugal,PRT,2009,-2057340000.0000002
Portugal,PRT,2010,-1014660000
Portugal,PRT,2011,-1535570000
Portugal,PRT,2012,284777640
Portugal,PRT,2013,2129485880.0000002
Portugal,PRT,2014,2202699540
Portugal,PRT,2015,344596830
Portugal,PRT,2016,617939840
Portugal,PRT,2017,1872531760
Romania,ROU,2008,26680000
Romania,ROU,2009,33770000
Romania,ROU,2010,26670000
Romania,ROU,2011,28520000
Romania,ROU,2012,32990000.000000004
Romania,ROU,2013,20150000
Romania,ROU,2014,69992290
Romania,ROU,2015,33181730
Romania,ROU,2016,109468120
Romania,ROU,2017,38934620
Russia,RUS,2010,302140000
Russia,RUS,2011,240400000
Russia,RUS,2012,214710000
Russia,RUS,2013,361850000
Russia,RUS,2014,660290000
Russia,RUS,2015,902370110
Russia,RUS,2016,767118760
Russia,RUS,2017,733765020
Saudi Arabia,SAU,2000,129110000.00000001
Saudi Arabia,SAU,2001,110420000
Saudi Arabia,SAU,2002,2410050000
Saudi Arabia,SAU,2003,2340170000
Saudi Arabia,SAU,2004,1690910000
Saudi Arabia,SAU,2005,979720000
Saudi Arabia,SAU,2006,1980120000
Saudi Arabia,SAU,2007,1525700000
Saudi Arabia,SAU,2008,4958340000
Saudi Arabia,SAU,2009,2924630000
Saudi Arabia,SAU,2010,2870430000
Saudi Arabia,SAU,2011,4773290000
Saudi Arabia,SAU,2012,957130000
Saudi Arabia,SAU,2013,5387950000
Saudi Arabia,SAU,2014,13271970000
Saudi Arabia,SAU,2015,7212794740
Saudi Arabia,SAU,2016,616007300
Saudi Arabia,SAU,2017,587879850
Slovakia,SVK,2000,1710000
Slovakia,SVK,2001,3390000
Slovakia,SVK,2002,3720000
Slovakia,SVK,2003,8490000
Slovakia,SVK,2004,10720000
Slovakia,SVK,2005,31430000
Slovakia,SVK,2006,24750000
Slovakia,SVK,2007,27600000
Slovakia,SVK,2008,40820000
Slovakia,SVK,2009,19830000
Slovakia,SVK,2010,19940000
Slovakia,SVK,2011,21430000
Slovakia,SVK,2012,18950000
Slovakia,SVK,2013,16180000
Slovakia,SVK,2014,16379999.999999998
Slovakia,SVK,2015,17200000
Slovakia,SVK,2016,25690000
Slovakia,SVK,2017,35407600
Slovenia,SVN,2005,14230000
Slovenia,SVN,2006,17560000
Slovenia,SVN,2007,21420000
Slovenia,SVN,2008,29300000
Slovenia,SVN,2009,25250000
Slovenia,SVN,2010,22320000
Slovenia,SVN,2011,19000000
Slovenia,SVN,2012,19080000
Slovenia,SVN,2013,20630000
Slovenia,SVN,2014,20212440
Slovenia,SVN,2015,118176650
Slovenia,SVN,2016,174931410
Slovenia,SVN,2017,-27957310
South Korea,KOR,2000,-67680000
South Korea,KOR,2001,-162780000
South Korea,KOR,2002,1487230000
South Korea,KOR,2003,2026070000
South Korea,KOR,2004,2996960000
South Korea,KOR,2005,4510030000
South Korea,KOR,2006,6333780000
South Korea,KOR,2007,11322690000
South Korea,KOR,2008,10305660000
South Korea,KOR,2009,6051520000
South Korea,KOR,2010,11511760000
South Korea,KOR,2011,10998810000
South Korea,KOR,2012,11970510000
South Korea,KOR,2013,14261454930
South Korea,KOR,2014,10800627800
South Korea,KOR,2015,11469546650
South Korea,KOR,2016,11107778900
South Korea,KOR,2017,9599085930
Spain,ESP,2000,22995920000
Spain,ESP,2001,10935830000
Spain,ESP,2002,7456700000
Spain,ESP,2003,5857270000
Spain,ESP,2004,11724850000
Spain,ESP,2005,5645960000
Spain,ESP,2006,9699740000
Spain,ESP,2007,19861300000
Spain,ESP,2008,28135500000
Spain,ESP,2009,10701170000
Spain,ESP,2010,8702750000
Spain,ESP,2011,18253580000
Spain,ESP,2012,924620000
Spain,ESP,2013,6456940000
Spain,ESP,2014,12255842750
Spain,ESP,2015,20998692260
Spain,ESP,2016,2336609440
Spain,ESP,2017,6829248410
Sweden,SWE,2000,3368430000
Sweden,SWE,2001,2600270000
Sweden,SWE,2002,1471330000
Sweden,SWE,2003,611160000
Sweden,SWE,2004,2277650000
Sweden,SWE,2005,2410690000
Sweden,SWE,2006,3060150000
Sweden,SWE,2007,5426810000
Sweden,SWE,2008,4281100000.0000005
Sweden,SWE,2009,5550310000
Sweden,SWE,2010,3301550000
Sweden,SWE,2011,4615120000
Sweden,SWE,2012,12535380000
Sweden,SWE,2013,8527200080.000001
Sweden,SWE,2014,7435580960
Sweden,SWE,2015,8103347890
Sweden,SWE,2016,7003732200
Sweden,SWE,2017,5305404030
Switzerland,CHE,2000,1980000000
Switzerland,CHE,2001,1092930000
Switzerland,CHE,2002,1225860000
Switzerland,CHE,2003,2590650000
Switzerland,CHE,2004,1697050000
Switzerland,CHE,2005,8124220000
Switzerland,CHE,2006,12000310000
Switzerland,CHE,2007,5943580000
Switzerland,CHE,2008,11633670000
Switzerland,CHE,2009,6475110000
Switzerland,CHE,2010,22101170000
Switzerland,CHE,2011,11732030000
Switzerland,CHE,2012,13932570000
Switzerland,CHE,2013,12095700000
Switzerland,CHE,2014,11602030000
Switzerland,CHE,2015,5809845680
Switzerland,CHE,2016,5038042990
Switzerland,CHE,2017,16193063730
Thailand,THA,2006,64680000.00000001
Thailand,THA,2007,60630000
Thailand,THA,2008,166380000
Thailand,THA,2009,34830000
Thailand,THA,2010,-4390000
Thailand,THA,2011,14140000
Thailand,THA,2012,5080000
Thailand,THA,2013,27720000
Thailand,THA,2014,60480000
Thailand,THA,2015,54298800
Thailand,THA,2016,53733460
Thailand,THA,2017,60343890
Timor,TLS,2014,3300000
Timor,TLS,2015,4000000
Turkey,TUR,2000,25770000
Turkey,TUR,2001,18920000
Turkey,TUR,2002,26680000
Turkey,TUR,2003,67320000
Turkey,TUR,2004,1080920000
Turkey,TUR,2005,926670000
Turkey,TUR,2006,1513380000
Turkey,TUR,2007,1233780000
Turkey,TUR,2008,1459810000
Turkey,TUR,2009,1368790000
Turkey,TUR,2010,1565210000
Turkey,TUR,2011,2117130000
Turkey,TUR,2012,3214050000
Turkey,TUR,2013,3963610000
Turkey,TUR,2014,5986860000
Turkey,TUR,2015,4555680000
Turkey,TUR,2016,7037959000
Turkey,TUR,2017,8449274400
United Arab Emirates,ARE,2000,398640000
United Arab Emirates,ARE,2001,486620000
United Arab Emirates,ARE,2002,557540000
United Arab Emirates,ARE,2003,925810000
United Arab Emirates,ARE,2004,484250000
United Arab Emirates,ARE,2005,508400000
United Arab Emirates,ARE,2006,779170000
United Arab Emirates,ARE,2007,2416180000
United Arab Emirates,ARE,2008,1258390000
United Arab Emirates,ARE,2009,957480840
United Arab Emirates,ARE,2010,384692640
United Arab Emirates,ARE,2011,688991980
United Arab Emirates,ARE,2012,760920210
United Arab Emirates,ARE,2013,5394205260
United Arab Emirates,ARE,2014,5451112300
United Arab Emirates,ARE,2015,8189004710
United Arab Emirates,ARE,2016,5005416140
United Arab Emirates,ARE,2017,3834551000
United Kingdom,GBR,2000,7902260000
United Kingdom,GBR,2001,7330530000
United Kingdom,GBR,2002,5866980000
United Kingdom,GBR,2003,15731060000
United Kingdom,GBR,2004,28767470000
United Kingdom,GBR,2005,27939690000
United Kingdom,GBR,2006,22674530000
United Kingdom,GBR,2007,44972380000
United Kingdom,GBR,2008,37239350000
United Kingdom,GBR,2009,20176370000
United Kingdom,GBR,2010,20244200000
United Kingdom,GBR,2011,40861400000
United Kingdom,GBR,2012,57209830000
United Kingdom,GBR,2013,22495590430
United Kingdom,GBR,2014,23733645620
United Kingdom,GBR,2015,11718020420
United Kingdom,GBR,2016,11517083110
United Kingdom,GBR,2017,10966368840
United States,USA,2000,18997800000
United States,USA,2001,32632600000
United States,USA,2002,16559680000
United States,USA,2003,29795250000
United States,USA,2004,23289700000
United States,USA,2005,100978510000
United States,USA,2006,76334420000
United States,USA,2007,122551930000
United States,USA,2008,1794020000
United States,USA,2009,82169930000
United States,USA,2010,194393770000
United States,USA,2011,145483550000
United States,USA,2012,136532530000
United States,USA,2013,112027780000
United States,USA,2014,204613660000
United States,USA,2015,-2713258620
United States,USA,2016,33525765180.000004
United States,USA,2017,122528831180
