Entity,Code,Year,"Deaths from Smallpox in London 1629-1902 (OWID, 2017) (%)", (% of all deaths in London)
United Kingdom,GBR,1879,450,0.536960802
United Kingdom,GBR,1880,475,0.585494527
United Kingdom,GBR,1881,2371,2.924596958
United Kingdom,GBR,1882,431,0.519821982
United Kingdom,GBR,1883,134,0.165442311
United Kingdom,GBR,1884,913,1.114080365
United Kingdom,GBR,1885,899,1.12375
United Kingdom,GBR,1886,24,0.02907505
United Kingdom,GBR,1887,9,0.01094784
United Kingdom,GBR,1888,9,0.011414367
United Kingdom,GBR,1889,0,0
United Kingdom,GBR,1890,4,0.004480889
United Kingdom,GBR,1891,8,0.008830509
United Kingdom,GBR,1892,41,0.046359114
United Kingdom,GBR,1893,206,0.225008738
United Kingdom,GBR,1894,88,0.113684809
United Kingdom,GBR,1895,55,0.063002589
United Kingdom,GBR,1896,9,0.010923656
United Kingdom,GBR,1897,16,0.019724109
United Kingdom,GBR,1898,1,0.001188298
United Kingdom,GBR,1899,3,0.003344892
United Kingdom,GBR,1900,4,0.004627594
United Kingdom,GBR,1901,242,0.301553875
United Kingdom,GBR,1902,1314,1.591955416
