Entity,Code,Year,Subject:Gap in GDP per hour worked with respect to the USA - PDB_LV (%)
Austria,AUT,2007,-15.510275
Austria,AUT,2008,-14.70563
Austria,AUT,2009,-15.706308
Austria,AUT,2010,-16.819484
Austria,AUT,2011,-15.347106
Austria,AUT,2012,-12.58844
Austria,AUT,2013,-10.388568
Austria,AUT,2014,-10.445891
Austria,AUT,2015,-8.316422
Austria,AUT,2016,-9.186062
Belgium,BEL,1970,-23.372887
Belgium,BEL,1971,-23.480343
Belgium,BEL,1972,-20.09596
Belgium,BEL,1973,-16.679031
Belgium,BEL,1974,-12.350704
Belgium,BEL,1975,-14.159364
Belgium,BEL,1976,-11.075513
Belgium,BEL,1977,-9.829775
Belgium,BEL,1978,-7.196722
Belgium,BEL,1979,-5.44512
Belgium,BEL,1980,0.048877
Belgium,BEL,1981,0.697619
Belgium,BEL,1982,3.935143
Belgium,BEL,1983,2.415987
Belgium,BEL,1984,1.353649
Belgium,BEL,1985,0.272032
Belgium,BEL,1986,0.341922
Belgium,BEL,1987,2.073413
Belgium,BEL,1988,4.393275
Belgium,BEL,1989,6.006521
Belgium,BEL,1990,5.415563
Belgium,BEL,1991,7.96883
Belgium,BEL,1992,7.606551
Belgium,BEL,1993,9.883026
Belgium,BEL,1994,12.93864
Belgium,BEL,1995,11.660245
Belgium,BEL,1996,10.401648
Belgium,BEL,1997,10.360325
Belgium,BEL,1998,7.197904
Belgium,BEL,1999,6.10445
Belgium,BEL,2000,7.424374
Belgium,BEL,2001,5.773524
Belgium,BEL,2002,7.581399
Belgium,BEL,2003,5.153772
Belgium,BEL,2004,3.350616
Belgium,BEL,2005,1.088227
Belgium,BEL,2006,2.386333
Belgium,BEL,2007,1.666354
Belgium,BEL,2008,1.766933
Belgium,BEL,2009,0.169911
Belgium,BEL,2010,1.992119
Belgium,BEL,2011,1.72004
Belgium,BEL,2012,2.595645
Belgium,BEL,2013,4.489161
Belgium,BEL,2014,4.653753
Belgium,BEL,2015,5.031291
Belgium,BEL,2016,4.995098
Canada,CAN,1970,-13.875278
Canada,CAN,1971,-14.826935
Canada,CAN,1972,-14.02534
Canada,CAN,1973,-13.91183
Canada,CAN,1974,-12.807551
Canada,CAN,1975,-13.859806
Canada,CAN,1976,-11.509033
Canada,CAN,1977,-9.982766
Canada,CAN,1978,-9.820181
Canada,CAN,1979,-11.0338
Canada,CAN,1980,-11.318319
Canada,CAN,1981,-12.161795
Canada,CAN,1982,-10.577854
Canada,CAN,1983,-10.979669
Canada,CAN,1984,-10.432057
Canada,CAN,1985,-11.321727
Canada,CAN,1986,-14.050146
Canada,CAN,1987,-14.25852
Canada,CAN,1988,-14.43232
Canada,CAN,1989,-14.976695
Canada,CAN,1990,-16.537722
Canada,CAN,1991,-16.954733
Canada,CAN,1992,-18.110445
Canada,CAN,1993,-16.770227
Canada,CAN,1994,-15.836614
Canada,CAN,1995,-15.038291
Canada,CAN,1996,-17.306752
Canada,CAN,1997,-16.471205
Canada,CAN,1998,-16.829425
Canada,CAN,1999,-17.12638
Canada,CAN,2000,-17.77015
Canada,CAN,2001,-18.529267
Canada,CAN,2002,-20.413553
Canada,CAN,2003,-21.541335
Canada,CAN,2004,-23.014656
Canada,CAN,2005,-21.547949
Canada,CAN,2006,-21.099146
Canada,CAN,2007,-21.747061
Canada,CAN,2008,-22.210193
Canada,CAN,2009,-24.140354
Canada,CAN,2010,-25.387205
Canada,CAN,2011,-24.536552
Canada,CAN,2012,-25.541968
Canada,CAN,2013,-23.409466
Canada,CAN,2014,-22.199468
Canada,CAN,2015,-25.290293
Canada,CAN,2016,-25.790879
Chile,CHL,1986,-79.730884
Chile,CHL,1987,-79.381823
Chile,CHL,1988,-79.414062
Chile,CHL,1989,-78.635013
Chile,CHL,1990,-78.718954
Chile,CHL,1991,-77.681815
Chile,CHL,1992,-76.872694
Chile,CHL,1993,-76.460997
Chile,CHL,1994,-75.259938
Chile,CHL,1995,-72.727735
Chile,CHL,1996,-71.529244
Chile,CHL,1997,-69.772889
Chile,CHL,1998,-70.365526
Chile,CHL,1999,-70.684646
Chile,CHL,2000,-70.286751
Chile,CHL,2001,-70.032705
Chile,CHL,2002,-70.608661
Chile,CHL,2003,-71.230885
Chile,CHL,2004,-70.64303
Chile,CHL,2005,-69.672428
Chile,CHL,2006,-64.325637
Chile,CHL,2007,-62.960888
Chile,CHL,2008,-64.934664
Chile,CHL,2009,-65.946517
Chile,CHL,2010,-65.048063
Chile,CHL,2011,-62.788573
Chile,CHL,2012,-61.223955
Chile,CHL,2013,-61.833789
Chile,CHL,2014,-61.759856
Chile,CHL,2015,-63.270778
Chile,CHL,2016,-62.758171
Czech Republic,CZE,1993,-57.709868
Czech Republic,CZE,1994,-56.906603
Czech Republic,CZE,1995,-55.110544
Czech Republic,CZE,1996,-54.56025
Czech Republic,CZE,1997,-55.405543
Czech Republic,CZE,1998,-56.078566
Czech Republic,CZE,1999,-56.192221
Czech Republic,CZE,2000,-55.773356
Czech Republic,CZE,2001,-52.189133
Czech Republic,CZE,2002,-52.948007
Czech Republic,CZE,2003,-51.534736
Czech Republic,CZE,2004,-50.936904
Czech Republic,CZE,2005,-51.674908
Czech Republic,CZE,2006,-49.668634
Czech Republic,CZE,2007,-47.022111
Czech Republic,CZE,2008,-45.912477
Czech Republic,CZE,2009,-46.726868
Czech Republic,CZE,2010,-48.525999
Czech Republic,CZE,2011,-47.594682
Czech Republic,CZE,2012,-47.506197
Czech Republic,CZE,2013,-45.656534
Czech Republic,CZE,2014,-44.49667
Czech Republic,CZE,2015,-43.484018
Czech Republic,CZE,2016,-43.506899
Denmark,DNK,1970,-32.48321
Denmark,DNK,1971,-31.62173
Denmark,DNK,1972,-29.703066
Denmark,DNK,1973,-27.585605
Denmark,DNK,1974,-26.475199
Denmark,DNK,1975,-25.499134
Denmark,DNK,1976,-24.572781
Denmark,DNK,1977,-22.591125
Denmark,DNK,1978,-21.016711
Denmark,DNK,1979,-18.669424
Denmark,DNK,1980,-19.322648
Denmark,DNK,1981,-18.875664
Denmark,DNK,1982,-16.250763
Denmark,DNK,1983,-16.091653
Denmark,DNK,1984,-15.338252
Denmark,DNK,1985,-14.821083
Denmark,DNK,1986,-14.939636
Denmark,DNK,1987,-13.840361
Denmark,DNK,1988,-13.175977
Denmark,DNK,1989,-12.139193
Denmark,DNK,1990,-11.119736
Denmark,DNK,1991,-10.006688
Denmark,DNK,1992,-11.525651
Denmark,DNK,1993,-10.172321
Denmark,DNK,1994,-5.248215
Denmark,DNK,1995,-4.081774
Denmark,DNK,1996,-3.802685
Denmark,DNK,1997,-4.065356
Denmark,DNK,1998,-5.734893
Denmark,DNK,1999,-8.156103
Denmark,DNK,2000,-7.028463
Denmark,DNK,2001,-9.278867
Denmark,DNK,2002,-9.091358
Denmark,DNK,2003,-11.746467
Denmark,DNK,2004,-9.774484
Denmark,DNK,2005,-11.668305
Denmark,DNK,2006,-9.163205
Denmark,DNK,2007,-8.733085
Denmark,DNK,2008,-6.261956
Denmark,DNK,2009,-7.461234
Denmark,DNK,2010,-2.755006
Denmark,DNK,2011,-2.4709
Denmark,DNK,2012,-1.610654
Denmark,DNK,2013,1.031347
Denmark,DNK,2014,1.508445
Denmark,DNK,2015,0.893691
Denmark,DNK,2016,-0.502624
Estonia,EST,2000,-72.105624
Estonia,EST,2001,-71.033021
Estonia,EST,2002,-69.050415
Estonia,EST,2003,-67.793396
Estonia,EST,2004,-66.467937
Estonia,EST,2005,-64.920605
Estonia,EST,2006,-62.543898
Estonia,EST,2007,-59.019045
Estonia,EST,2008,-58.219912
Estonia,EST,2009,-56.490043
Estonia,EST,2010,-54.795473
Estonia,EST,2011,-54.097628
Estonia,EST,2012,-52.432892
Estonia,EST,2013,-50.912499
Estonia,EST,2014,-50.564266
Estonia,EST,2015,-52.323798
Estonia,EST,2016,-51.503732
Euro area (19 countries),,1995,-11.743908
Euro area (19 countries),,1996,-12.945788
Euro area (19 countries),,1997,-12.595688
Euro area (19 countries),,1998,-12.850585
Euro area (19 countries),,1999,-14.310426
Euro area (19 countries),,2000,-14.310223
Euro area (19 countries),,2001,-14.38951
Euro area (19 countries),,2002,-14.457079
Euro area (19 countries),,2003,-17.044585
Euro area (19 countries),,2004,-18.585936
Euro area (19 countries),,2005,-20.120636
Euro area (19 countries),,2006,-17.963961
Euro area (19 countries),,2007,-17.531372
Euro area (19 countries),,2008,-16.830315
Euro area (19 countries),,2009,-18.659483
Euro area (19 countries),,2010,-19.024197
Euro area (19 countries),,2011,-17.552913
Euro area (19 countries),,2012,-16.940549
Euro area (19 countries),,2013,-14.467222
Euro area (19 countries),,2014,-14.65231
Euro area (19 countries),,2015,-14.85475
Euro area (19 countries),,2016,-14.328856
European Union (28 countries),,1995,-25.07996
European Union (28 countries),,1996,-25.758615
European Union (28 countries),,1997,-25.298763
European Union (28 countries),,1998,-25.660282
European Union (28 countries),,1999,-26.572452
European Union (28 countries),,2000,-25.904359
European Union (28 countries),,2001,-25.637276
European Union (28 countries),,2002,-25.259486
European Union (28 countries),,2003,-26.853932
European Union (28 countries),,2004,-27.538003
European Union (28 countries),,2005,-29.122
European Union (28 countries),,2006,-27.13085
European Union (28 countries),,2007,-26.719016
European Union (28 countries),,2008,-25.800877
European Union (28 countries),,2009,-27.795521
European Union (28 countries),,2010,-27.388004
European Union (28 countries),,2011,-26.143593
European Union (28 countries),,2012,-25.346678
European Union (28 countries),,2013,-23.409908
European Union (28 countries),,2014,-23.711283
European Union (28 countries),,2015,-23.672953
European Union (28 countries),,2016,-23.27763
Finland,FIN,1970,-50.42903
Finland,FIN,1971,-49.880086
Finland,FIN,1972,-47.334374
Finland,FIN,1973,-45.524104
Finland,FIN,1974,-43.273982
Finland,FIN,1975,-43.239881
Finland,FIN,1976,-43.789209
Finland,FIN,1977,-42.960417
Finland,FIN,1978,-41.390381
Finland,FIN,1979,-38.051446
Finland,FIN,1980,-35.895855
Finland,FIN,1981,-37.549864
Finland,FIN,1982,-35.55741
Finland,FIN,1983,-34.963531
Finland,FIN,1984,-34.33519
Finland,FIN,1985,-33.376776
Finland,FIN,1986,-32.115926
Finland,FIN,1987,-30.813664
Finland,FIN,1988,-29.096807
Finland,FIN,1989,-26.675179
Finland,FIN,1990,-25.728423
Finland,FIN,1991,-26.026721
Finland,FIN,1992,-25.874252
Finland,FIN,1993,-22.154261
Finland,FIN,1994,-19.538971
Finland,FIN,1995,-17.884244
Finland,FIN,1996,-20.157211
Finland,FIN,1997,-18.11132
Finland,FIN,1998,-15.148156
Finland,FIN,1999,-16.518082
Finland,FIN,2000,-15.140085
Finland,FIN,2001,-15.730926
Finland,FIN,2002,-17.338254
Finland,FIN,2003,-19.710285
Finland,FIN,2004,-18.512714
Finland,FIN,2005,-20.904503
Finland,FIN,2006,-19.183092
Finland,FIN,2007,-15.852132
Finland,FIN,2008,-14.300808
Finland,FIN,2009,-18.306579
Finland,FIN,2010,-18.928177
Finland,FIN,2011,-17.235698
Finland,FIN,2012,-18.778674
Finland,FIN,2013,-17.433985
Finland,FIN,2014,-18.103121
Finland,FIN,2015,-18.073511
Finland,FIN,2016,-16.857752
France,FRA,1970,-33.47259
France,FRA,1971,-32.75198
France,FRA,1972,-30.003482
France,FRA,1973,-27.786196
France,FRA,1974,-23.509692
France,FRA,1975,-24.736295
France,FRA,1976,-25.079311
France,FRA,1977,-22.447197
France,FRA,1978,-19.164685
France,FRA,1979,-17.107355
France,FRA,1980,-15.824145
France,FRA,1981,-15.90487
France,FRA,1982,-9.979004
France,FRA,1983,-10.314677
France,FRA,1984,-10.063335
France,FRA,1985,-8.227522
France,FRA,1986,-8.42817
France,FRA,1987,-8.269727
France,FRA,1988,-6.494511
France,FRA,1989,-4.094732
France,FRA,1990,-3.595781
France,FRA,1991,-3.742915
France,FRA,1992,-4.838256
France,FRA,1993,-4.364264
France,FRA,1994,-3.314592
France,FRA,1995,-1.252634
France,FRA,1996,-2.754625
France,FRA,1997,-2.11825
France,FRA,1998,-1.330133
France,FRA,1999,-3.042722
France,FRA,2000,-1.588733
France,FRA,2001,-0.124692
France,FRA,2002,1.549433
France,FRA,2003,-4.271455
France,FRA,2004,-7.181779
France,FRA,2005,-7.464236
France,FRA,2006,-4.663428
France,FRA,2007,-5.398639
France,FRA,2008,-5.625437
France,FRA,2009,-7.599657
France,FRA,2010,-8.003046
France,FRA,2011,-7.075175
France,FRA,2012,-8.020204
France,FRA,2013,-4.064727
France,FRA,2014,-4.478849
France,FRA,2015,-5.126025
France,FRA,2016,-4.281391
G7,,1970,-29.120799
G7,,1971,-28.848003
G7,,1972,-27.169164
G7,,1973,-25.898062
G7,,1974,-23.997281
G7,,1975,-24.444755
G7,,1976,-23.712662
G7,,1977,-22.40439
G7,,1978,-20.782637
G7,,1979,-19.400711
G7,,1980,-18.76775
G7,,1981,-18.510071
G7,,1982,-17.410103
G7,,1983,-17.469363
G7,,1984,-17.043624
G7,,1985,-16.211761
G7,,1986,-16.430924
G7,,1987,-15.565435
G7,,1988,-14.529277
G7,,1989,-13.306635
G7,,1990,-12.617141
G7,,1991,-12.267263
G7,,1992,-12.803465
G7,,1993,-11.648757
G7,,1994,-10.859291
G7,,1995,-9.738181
G7,,1996,-10.077348
G7,,1997,-9.657928
G7,,1998,-9.876345
G7,,1999,-10.191929
G7,,2000,-9.875552
G7,,2001,-10.011334
G7,,2002,-10.097872
G7,,2003,-11.271014
G7,,2004,-11.797278
G7,,2005,-12.540419
G7,,2006,-12.002232
G7,,2007,-12.119326
G7,,2008,-12.006122
G7,,2009,-13.614777
G7,,2010,-13.727765
G7,,2011,-13.221303
G7,,2012,-13.10304
G7,,2013,-11.885032
G7,,2014,-12.113559
G7,,2015,-12.034719
G7,,2016,-11.648122
Germany,DEU,1970,-30.419025
Germany,DEU,1971,-30.008557
Germany,DEU,1972,-28.268548
Germany,DEU,1973,-26.355648
Germany,DEU,1974,-22.703162
Germany,DEU,1975,-21.93826
Germany,DEU,1976,-20.229834
Germany,DEU,1977,-17.809394
Germany,DEU,1978,-15.958855
Germany,DEU,1979,-13.945892
Germany,DEU,1980,-13.249536
Germany,DEU,1981,-13.854467
Germany,DEU,1982,-12.586489
Germany,DEU,1983,-12.163814
Germany,DEU,1984,-11.703512
Germany,DEU,1985,-11.356133
Germany,DEU,1986,-12.045108
Germany,DEU,1987,-11.487331
Germany,DEU,1988,-10.264967
Germany,DEU,1989,-7.960067
Germany,DEU,1990,-6.342774
Germany,DEU,1991,-4.372553
Germany,DEU,1992,-5.235322
Germany,DEU,1993,-3.840101
Germany,DEU,1994,-2.069216
Germany,DEU,1995,-0.438276
Germany,DEU,1996,-1.107681
Germany,DEU,1997,-1.185609
Germany,DEU,1998,-2.270632
Germany,DEU,1999,-3.292771
Germany,DEU,2000,-4.998726
Germany,DEU,2001,-4.028902
Germany,DEU,2002,-4.122342
Germany,DEU,2003,-5.217013
Germany,DEU,2004,-5.943324
Germany,DEU,2005,-8.418821
Germany,DEU,2006,-7.298788
Germany,DEU,2007,-6.575768
Germany,DEU,2008,-6.134896
Germany,DEU,2009,-9.202906
Germany,DEU,2010,-9.142948
Germany,DEU,2011,-6.559702
Germany,DEU,2012,-6.303719
Germany,DEU,2013,-3.935725
Germany,DEU,2014,-3.007846
Germany,DEU,2015,-3.419674
Germany,DEU,2016,-2.36844
Greece,GRC,1983,-41.095614
Greece,GRC,1984,-38.976709
Greece,GRC,1985,-40.628374
Greece,GRC,1986,-41.538788
Greece,GRC,1987,-42.043262
Greece,GRC,1988,-40.902711
Greece,GRC,1989,-40.657283
Greece,GRC,1990,-41.794439
Greece,GRC,1991,-40.60904
Greece,GRC,1992,-43.763088
Greece,GRC,1993,-45.853946
Greece,GRC,1994,-45.361104
Greece,GRC,1995,-44.381189
Greece,GRC,1996,-43.629637
Greece,GRC,1997,-41.377326
Greece,GRC,1998,-42.583512
Greece,GRC,1999,-43.359266
Greece,GRC,2000,-43.068768
Greece,GRC,2001,-41.180552
Greece,GRC,2002,-40.301609
Greece,GRC,2003,-40.667464
Greece,GRC,2004,-41.007315
Greece,GRC,2005,-45.421143
Greece,GRC,2006,-41.997461
Greece,GRC,2007,-42.787482
Greece,GRC,2008,-41.786929
Greece,GRC,2009,-43.623631
Greece,GRC,2010,-46.752025
Greece,GRC,2011,-48.667125
Greece,GRC,2012,-48.810503
Greece,GRC,2013,-47.206984
Greece,GRC,2014,-46.808165
Greece,GRC,2015,-49.00503
Greece,GRC,2016,-50.028862
Hungary,HUN,1991,-71.495468
Hungary,HUN,1992,-70.181342
Hungary,HUN,1993,-68.487942
Hungary,HUN,1994,-69.337758
Hungary,HUN,1995,-64.661499
Hungary,HUN,1996,-65.528113
Hungary,HUN,1997,-65.427585
Hungary,HUN,1998,-65.163169
Hungary,HUN,1999,-66.39469
Hungary,HUN,2000,-65.450654
Hungary,HUN,2001,-62.447841
Hungary,HUN,2002,-60.81047
Hungary,HUN,2003,-59.923244
Hungary,HUN,2004,-59.916893
Hungary,HUN,2005,-59.947157
Hungary,HUN,2006,-58.871723
Hungary,HUN,2007,-58.773741
Hungary,HUN,2008,-55.663881
Hungary,HUN,2009,-55.859222
Hungary,HUN,2010,-50.647943
Hungary,HUN,2011,-48.810652
Hungary,HUN,2012,-49.071806
Hungary,HUN,2013,-47.58502
Hungary,HUN,2014,-49.376389
Hungary,HUN,2015,-50.312268
Hungary,HUN,2016,-51.711305
Iceland,ISL,1970,-46.010988
Iceland,ISL,1971,-42.718174
Iceland,ISL,1972,-41.300208
Iceland,ISL,1973,-39.832266
Iceland,ISL,1974,-37.090765
Iceland,ISL,1975,-38.686668
Iceland,ISL,1976,-37.677671
Iceland,ISL,1977,-31.537993
Iceland,ISL,1978,-28.574545
Iceland,ISL,1979,-25.389382
Iceland,ISL,1980,-23.058844
Iceland,ISL,1981,-25.244052
Iceland,ISL,1982,-25.326656
Iceland,ISL,1983,-29.558784
Iceland,ISL,1984,-29.066181
Iceland,ISL,1985,-30.587795
Iceland,ISL,1986,-29.79616
Iceland,ISL,1987,-28.418988
Iceland,ISL,1988,-27.48523
Iceland,ISL,1989,-26.679743
Iceland,ISL,1990,-25.967041
Iceland,ISL,1991,-27.225667
Iceland,ISL,1992,-32.038026
Iceland,ISL,1993,-31.863025
Iceland,ISL,1994,-29.376399
Iceland,ISL,1995,-30.957539
Iceland,ISL,1996,-31.889811
Iceland,ISL,1997,-29.31928
Iceland,ISL,1998,-28.804169
Iceland,ISL,1999,-30.695372
Iceland,ISL,2000,-36.162772
Iceland,ISL,2001,-35.305387
Iceland,ISL,2002,-34.022323
Iceland,ISL,2003,-35.432881
Iceland,ISL,2004,-32.521501
Iceland,ISL,2005,-33.575318
Iceland,ISL,2006,-34.377701
Iceland,ISL,2007,-33.765969
Iceland,ISL,2008,-31.87257
Iceland,ISL,2009,-29.340463
Iceland,ISL,2010,-35.805701
Iceland,ISL,2011,-36.769231
Iceland,ISL,2012,-35.983588
Iceland,ISL,2013,-35.076518
Iceland,ISL,2014,-35.149184
Iceland,ISL,2015,-34.321759
Iceland,ISL,2016,-32.703378
Ireland,IRL,1970,-59.161043
Ireland,IRL,1971,-59.43933
Ireland,IRL,1972,-56.934858
Ireland,IRL,1973,-56.326619
Ireland,IRL,1974,-53.966274
Ireland,IRL,1975,-52.079773
Ireland,IRL,1976,-52.013947
Ireland,IRL,1977,-49.527931
Ireland,IRL,1978,-46.451978
Ireland,IRL,1979,-47.202598
Ireland,IRL,1980,-44.075518
Ireland,IRL,1981,-42.540717
Ireland,IRL,1982,-40.529434
Ireland,IRL,1983,-41.482752
Ireland,IRL,1984,-38.540143
Ireland,IRL,1985,-37.768961
Ireland,IRL,1986,-40.065815
Ireland,IRL,1987,-37.478506
Ireland,IRL,1988,-35.269505
Ireland,IRL,1989,-32.268032
Ireland,IRL,1990,-30.437441
Ireland,IRL,1991,-28.602844
Ireland,IRL,1992,-27.537456
Ireland,IRL,1993,-25.984722
Ireland,IRL,1994,-24.833116
Ireland,IRL,1995,-21.328075
Ireland,IRL,1996,-20.441061
Ireland,IRL,1997,-17.270846
Ireland,IRL,1998,-15.916555
Ireland,IRL,1999,-17.056971
Ireland,IRL,2000,-14.036671
Ireland,IRL,2001,-12.114744
Ireland,IRL,2002,-8.003542
Ireland,IRL,2003,-9.256595
Ireland,IRL,2004,-8.917651
Ireland,IRL,2005,-12.239436
Ireland,IRL,2006,-9.109923
Ireland,IRL,2007,-7.88963
Ireland,IRL,2008,-11.793166
Ireland,IRL,2009,-10.804734
Ireland,IRL,2010,-5.980574
Ireland,IRL,2011,2.433441
Ireland,IRL,2012,3.789355
Ireland,IRL,2013,2.863215
Ireland,IRL,2014,4.911902
Ireland,IRL,2015,35.689454
Ireland,IRL,2016,37.083265
Israel,ISR,1981,-26.891685
Israel,ISR,1982,-25.304424
Israel,ISR,1983,-26.931847
Israel,ISR,1984,-29.020305
Israel,ISR,1985,-27.968598
Israel,ISR,1986,-27.68206
Israel,ISR,1987,-25.229256
Israel,ISR,1988,-24.716825
Israel,ISR,1989,-26.330687
Israel,ISR,1990,-23.843367
Israel,ISR,1991,-22.98197
Israel,ISR,1992,-25.988311
Israel,ISR,1993,-26.751476
Israel,ISR,1994,-28.361485
Israel,ISR,1995,-29.267941
Israel,ISR,1996,-30.339488
Israel,ISR,1997,-30.528694
Israel,ISR,1998,-30.143726
Israel,ISR,1999,-32.179244
Israel,ISR,2000,-30.111414
Israel,ISR,2001,-31.008279
Israel,ISR,2002,-32.956118
Israel,ISR,2003,-38.812752
Israel,ISR,2004,-37.566352
Israel,ISR,2005,-42.291921
Israel,ISR,2006,-42.678723
Israel,ISR,2007,-42.562839
Israel,ISR,2008,-45.116297
Israel,ISR,2009,-46.674016
Israel,ISR,2010,-46.715886
Israel,ISR,2011,-45.086524
Israel,ISR,2012,-44.535665
Israel,ISR,2013,-41.516445
Israel,ISR,2014,-42.984079
Israel,ISR,2015,-41.230992
Israel,ISR,2016,-40.864373
Italy,ITA,1970,-31.66963
Italy,ITA,1971,-31.196516
Italy,ITA,1972,-29.508964
Italy,ITA,1973,-26.658456
Italy,ITA,1974,-21.910648
Italy,ITA,1975,-25.041084
Italy,ITA,1976,-22.296849
Italy,ITA,1977,-19.912565
Italy,ITA,1978,-17.821096
Italy,ITA,1979,-13.971059
Italy,ITA,1980,-12.366546
Italy,ITA,1981,-13.899338
Italy,ITA,1982,-13.873855
Italy,ITA,1983,-15.466635
Italy,ITA,1984,-14.059195
Italy,ITA,1985,-13.958559
Italy,ITA,1986,-14.475569
Italy,ITA,1987,-13.470164
Italy,ITA,1988,-12.011247
Italy,ITA,1989,-9.684645
Italy,ITA,1990,-10.379273
Italy,ITA,1991,-11.527563
Italy,ITA,1992,-13.296444
Italy,ITA,1993,-11.986479
Italy,ITA,1994,-9.067597
Italy,ITA,1995,-6.608962
Italy,ITA,1996,-8.828758
Italy,ITA,1997,-8.37241
Italy,ITA,1998,-8.727187
Italy,ITA,1999,-11.261922
Italy,ITA,2000,-11.379142
Italy,ITA,2001,-13.334635
Italy,ITA,2002,-15.753281
Italy,ITA,2003,-18.939716
Italy,ITA,2004,-22.045158
Italy,ITA,2005,-24.352661
Italy,ITA,2006,-22.962678
Italy,ITA,2007,-22.698101
Italy,ITA,2008,-20.798717
Italy,ITA,2009,-22.582594
Italy,ITA,2010,-23.790805
Italy,ITA,2011,-22.645274
Italy,ITA,2012,-22.300065
Italy,ITA,2013,-20.973361
Italy,ITA,2014,-22.160965
Italy,ITA,2015,-22.98315
Italy,ITA,2016,-21.941188
Japan,JPN,1970,-60.685745
Japan,JPN,1971,-60.534518
Japan,JPN,1972,-58.242615
Japan,JPN,1973,-56.378261
Japan,JPN,1974,-55.039744
Japan,JPN,1975,-54.24189
Japan,JPN,1976,-54.270954
Japan,JPN,1977,-53.342157
Japan,JPN,1978,-51.614764
Japan,JPN,1979,-49.781671
Japan,JPN,1980,-48.617219
Japan,JPN,1981,-47.739389
Japan,JPN,1982,-46.129564
Japan,JPN,1983,-46.561369
Japan,JPN,1984,-45.848956
Japan,JPN,1985,-43.398451
Japan,JPN,1986,-43.507741
Japan,JPN,1987,-41.815732
Japan,JPN,1988,-38.976576
Japan,JPN,1989,-36.523912
Japan,JPN,1990,-33.973734
Japan,JPN,1991,-32.936016
Japan,JPN,1992,-34.297053
Japan,JPN,1993,-32.620352
Japan,JPN,1994,-32.442671
Japan,JPN,1995,-30.49119
Japan,JPN,1996,-30.45548
Japan,JPN,1997,-30.236739
Japan,JPN,1998,-30.887486
Japan,JPN,1999,-30.857766
Japan,JPN,2000,-30.078229
Japan,JPN,2001,-30.606553
Japan,JPN,2002,-30.566816
Japan,JPN,2003,-32.062669
Japan,JPN,2004,-32.249101
Japan,JPN,2005,-32.944128
Japan,JPN,2006,-33.299982
Japan,JPN,2007,-33.423805
Japan,JPN,2008,-33.994885
Japan,JPN,2009,-36.516973
Japan,JPN,2010,-36.224883
Japan,JPN,2011,-36.161785
Japan,JPN,2012,-35.450918
Japan,JPN,2013,-33.633036
Japan,JPN,2014,-35.125061
Japan,JPN,2015,-33.857734
Japan,JPN,2016,-32.753408
Korea,,1970,-88.53027
Korea,,1971,-88.479453
Korea,,1972,-88.725333
Korea,,1973,-88.21336
Korea,,1974,-87.766825
Korea,,1975,-87.548771
Korea,,1976,-87.427023
Korea,,1977,-86.316075
Korea,,1978,-85.795033
Korea,,1979,-84.770864
Korea,,1980,-85.040747
Korea,,1981,-84.803385
Korea,,1982,-83.957694
Korea,,1983,-82.587301
Korea,,1984,-81.040324
Korea,,1985,-80.510065
Korea,,1986,-79.746917
Korea,,1987,-78.329964
Korea,,1988,-76.388087
Korea,,1989,-75.028993
