Entity,Code,Year,"Health expenditure, public (% of government expenditure) (% of government expenditure)"
Andorra,AND,2012,18.88417767
Andorra,AND,2013,22.32499002
Andorra,AND,2014,27.91529512
Angola,AGO,1995,5.17679801
Angola,AGO,1996,2.81774827
Angola,AGO,1997,4.09428019
Angola,AGO,1998,3.29001253
Angola,AGO,1999,2.6157028
Angola,AGO,2000,2.86214414
Angola,AGO,2001,5.77495563
Angola,AGO,2002,3.37718946
Angola,AGO,2003,4.61274675
Angola,AGO,2004,6.25413121
Angola,AGO,2005,6.08001916
Angola,AGO,2006,9.56466881
Angola,AGO,2007,6.4167073
Angola,AGO,2008,6.46450754
Angola,AGO,2009,6.35844866
Angola,AGO,2010,5.43233059
Angola,AGO,2011,5.58480061
Angola,AGO,2012,5.57303128
Angola,AGO,2013,7.42322054
Angola,AGO,2014,5.0042944
Antigua and Barbuda,ATG,1995,12.89552239
Antigua and Barbuda,ATG,1996,12
Antigua and Barbuda,ATG,1997,12
Antigua and Barbuda,ATG,1998,12
Antigua and Barbuda,ATG,1999,11.84538653
Antigua and Barbuda,ATG,2000,11.42215511
Antigua and Barbuda,ATG,2001,10.74757146
Antigua and Barbuda,ATG,2002,9.87861602
Antigua and Barbuda,ATG,2003,11.88615893
Antigua and Barbuda,ATG,2004,10.6863954
Antigua and Barbuda,ATG,2005,12.08302914
Antigua and Barbuda,ATG,2006,10.07190438
Antigua and Barbuda,ATG,2007,10.80805582
Antigua and Barbuda,ATG,2008,12.26851746
Antigua and Barbuda,ATG,2009,11.38425212
Antigua and Barbuda,ATG,2010,16.35557274
Antigua and Barbuda,ATG,2011,15.17565915
Antigua and Barbuda,ATG,2012,17.15825866
Antigua and Barbuda,ATG,2013,16.28771257
Antigua and Barbuda,ATG,2014,18.0845175
Argentina,ARG,1995,19.42932517
Argentina,ARG,1996,18.2596477
Argentina,ARG,1997,18.03378461
Argentina,ARG,1998,17.88195118
Argentina,ARG,1999,18.09488418
Argentina,ARG,2000,17.5926503
Argentina,ARG,2001,17.14336091
Argentina,ARG,2002,18.22622041
Argentina,ARG,2003,17.27175452
Argentina,ARG,2004,16.91734041
Argentina,ARG,2005,16.67158723
Argentina,ARG,2006,16.35093116
Argentina,ARG,2007,15.36736969
Argentina,ARG,2008,15.79489415
Argentina,ARG,2009,17.12723141
Argentina,ARG,2010,14.07339845
Argentina,ARG,2011,11.81500096
Argentina,ARG,2012,8.7412893
Argentina,ARG,2013,7.72304601
Argentina,ARG,2014,6.91697394
Armenia,ARM,1995,8.30391229
Armenia,ARM,1996,8.43477769
Armenia,ARM,1997,8.08459103
Armenia,ARM,1998,7.68096046
Armenia,ARM,1999,6.56334647
Armenia,ARM,2000,5.26357812
Armenia,ARM,2001,7.6576139
Armenia,ARM,2002,7.02800385
Armenia,ARM,2003,7.87952865
Armenia,ARM,2004,8.02397087
Armenia,ARM,2005,10.23427085
Armenia,ARM,2006,11.33176388
Armenia,ARM,2007,10.41632671
Armenia,ARM,2008,7.00308606
Armenia,ARM,2009,6.71988178
Armenia,ARM,2010,6.96733436
Armenia,ARM,2011,7.39885161
Armenia,ARM,2012,7.43875474
Armenia,ARM,2013,7.27372925
Armenia,ARM,2014,7.04461968
Australia,AUS,1995,14.92027167
Australia,AUS,1996,15.11367855
Australia,AUS,1997,15.97402141
Australia,AUS,1998,15.27887143
Australia,AUS,1999,15.48584652
Australia,AUS,2000,16.00274234
Australia,AUS,2001,15.69623806
Australia,AUS,2002,16.45629398
Australia,AUS,2003,16.32155531
Australia,AUS,2004,16.94720969
Australia,AUS,2005,16.94705394
Australia,AUS,2006,17.13257779
Australia,AUS,2007,17.48171484
Australia,AUS,2008,17.20871916
Australia,AUS,2009,16.77921974
Australia,AUS,2010,17.11436101
Australia,AUS,2011,17.65066229
Australia,AUS,2012,17.31142544
Australia,AUS,2013,17.31142544
Australia,AUS,2014,17.31142544
Austria,AUT,1995,12.67442842
Austria,AUT,1996,12.70337854
Austria,AUT,1997,13.75812648
Austria,AUT,1998,13.92451023
Austria,AUT,1999,14.31759816
Austria,AUT,2000,14.50897578
Austria,AUT,2001,14.6277761
Austria,AUT,2002,15.01069523
Austria,AUT,2003,15.07468594
Austria,AUT,2004,14.4934811
Austria,AUT,2005,15.66748852
Austria,AUT,2006,15.74624548
Austria,AUT,2007,15.99877963
Austria,AUT,2008,16.20703242
Austria,AUT,2009,16.09120887
Austria,AUT,2010,15.90639731
Austria,AUT,2011,16.18287608
Austria,AUT,2012,16.29661859
Austria,AUT,2013,16.33091808
Austria,AUT,2014,16.27325511
Azerbaijan,AZE,1995,6.93309678
Azerbaijan,AZE,1996,8.42568381
Azerbaijan,AZE,1997,6.59079327
Azerbaijan,AZE,1998,5.88636106
Azerbaijan,AZE,1999,5.71042613
Azerbaijan,AZE,2000,5.35368344
Azerbaijan,AZE,2001,5.57275542
Azerbaijan,AZE,2002,5.15132003
Azerbaijan,AZE,2003,4.80265595
Azerbaijan,AZE,2004,5.92115217
Azerbaijan,AZE,2005,5.15284585
Azerbaijan,AZE,2006,4.27429355
Azerbaijan,AZE,2007,4.56771056
Azerbaijan,AZE,2008,3.07215385
Azerbaijan,AZE,2009,4.53831434
Azerbaijan,AZE,2010,4.21557212
Azerbaijan,AZE,2011,3.65643773
Azerbaijan,AZE,2012,3.805179
Azerbaijan,AZE,2013,3.4957035
Azerbaijan,AZE,2014,3.88256056
Bahamas,BHS,1995,14.24007303
Bahamas,BHS,1996,13.90857302
Bahamas,BHS,1997,14.10201375
Bahamas,BHS,1998,14.14703434
Bahamas,BHS,1999,14.66554788
Bahamas,BHS,2000,14.78524743
Bahamas,BHS,2001,13.78840381
Bahamas,BHS,2002,15.04668389
Bahamas,BHS,2003,15.23513827
Bahamas,BHS,2004,15.56240957
Bahamas,BHS,2005,14.73641167
Bahamas,BHS,2006,17.13894616
Bahamas,BHS,2007,16.80487176
Bahamas,BHS,2008,18.19199819
Bahamas,BHS,2009,17.65104954
Bahamas,BHS,2010,17.63028862
Bahamas,BHS,2011,16.29669303
Bahamas,BHS,2012,15.13047272
Bahamas,BHS,2013,13.44797791
Bahamas,BHS,2014,14.76375693
Bahrain,BHR,1995,10.78367075
Bahrain,BHR,1996,11.64768352
Bahrain,BHR,1997,9.42992961
Bahrain,BHR,1998,10.75358987
Bahrain,BHR,1999,10.0535679
Bahrain,BHR,2000,10.22909784
Bahrain,BHR,2001,8.94205236
Bahrain,BHR,2002,8.10614416
Bahrain,BHR,2003,8.54389813
Bahrain,BHR,2004,8.70582298
Bahrain,BHR,2005,8.64948552
Bahrain,BHR,2006,8.812304
Bahrain,BHR,2007,9.35480777
Bahrain,BHR,2008,9.78171479
Bahrain,BHR,2009,10.72125869
Bahrain,BHR,2010,9.08452427
Bahrain,BHR,2011,8.66784911
Bahrain,BHR,2012,9.34712667
Bahrain,BHR,2013,10.57740809
Bahrain,BHR,2014,10.46992799
Bangladesh,BGD,1995,8.38334454
Bangladesh,BGD,1996,8.79247765
Bangladesh,BGD,1997,8.17283546
Bangladesh,BGD,1998,7.9507162
Bangladesh,BGD,1999,9.01701114
Bangladesh,BGD,2000,8.10084165
Bangladesh,BGD,2001,7.97412274
Bangladesh,BGD,2002,8.60774049
Bangladesh,BGD,2003,8.02160242
Bangladesh,BGD,2004,8.80052748
Bangladesh,BGD,2005,7.864223
Bangladesh,BGD,2006,8.56333123
Bangladesh,BGD,2007,8.56470829
Bangladesh,BGD,2008,6.8994914
Bangladesh,BGD,2009,7.82325269
Bangladesh,BGD,2010,8.26960239
Bangladesh,BGD,2011,7.46217144
Bangladesh,BGD,2012,6.92130549
Bangladesh,BGD,2013,5.54641825
Bangladesh,BGD,2014,5.65505405
Barbados,BRB,1995,11.44389205
Barbados,BRB,1996,10.50212633
Barbados,BRB,1997,9.4697726
Barbados,BRB,1998,9.85531801
Barbados,BRB,1999,9.91387918
Barbados,BRB,2000,9.85700978
Barbados,BRB,2001,10.19517058
Barbados,BRB,2002,10.13898373
Barbados,BRB,2003,10.00567557
Barbados,BRB,2004,10.28720177
Barbados,BRB,2005,9.2184338
Barbados,BRB,2006,10.15901342
Barbados,BRB,2007,9.97095765
Barbados,BRB,2008,10.53930179
Barbados,BRB,2009,10.97848294
Barbados,BRB,2010,9.71187047
Barbados,BRB,2011,10.11550073
Barbados,BRB,2012,10.69198533
Barbados,BRB,2013,10.69953958
Barbados,BRB,2014,10.92094276
Belarus,BLR,1995,11.50743436
Belarus,BLR,1996,11.45523432
Belarus,BLR,1997,12.11652223
Belarus,BLR,1998,10.10639099
Belarus,BLR,1999,9.96793146
Belarus,BLR,2000,10.08509937
Belarus,BLR,2001,10.12562744
Belarus,BLR,2002,9.82995307
Belarus,BLR,2003,10.30542091
Belarus,BLR,2004,10.78443505
Belarus,BLR,2005,10.45574111
Belarus,BLR,2006,9.46880502
Belarus,BLR,2007,9.08148529
Belarus,BLR,2008,7.8747379
Belarus,BLR,2009,8.39629426
Belarus,BLR,2010,13.39529256
Belarus,BLR,2011,12.99160749
Belarus,BLR,2012,13.21285743
Belarus,BLR,2013,13.90624867
Belarus,BLR,2014,13.79462392
Belgium,BEL,1995,11.21885255
Belgium,BEL,1996,11.79632106
Belgium,BEL,1997,11.44124372
Belgium,BEL,1998,11.71447689
Belgium,BEL,1999,12.01889746
Belgium,BEL,2000,12.34436419
Belgium,BEL,2001,12.73108147
Belgium,BEL,2002,12.54563255
Belgium,BEL,2003,13.55397908
Belgium,BEL,2004,14.49611257
Belgium,BEL,2005,13.71201933
Belgium,BEL,2006,14.36269107
Belgium,BEL,2007,14.4129836
Belgium,BEL,2008,14.85387211
Belgium,BEL,2009,14.96840526
Belgium,BEL,2010,15.00193431
Belgium,BEL,2011,14.94846286
Belgium,BEL,2012,14.85258063
Belgium,BEL,2013,15.0973108
Belgium,BEL,2014,15.09731075
Belize,BLZ,1995,10.50289575
Belize,BLZ,1996,8.17013997
Belize,BLZ,1997,8.94773414
Belize,BLZ,1998,7.70627919
Belize,BLZ,1999,6.11404756
Belize,BLZ,2000,6.50624252
Belize,BLZ,2001,7.35602509
Belize,BLZ,2002,7.39083403
Belize,BLZ,2003,8.50126521
Belize,BLZ,2004,8.04553811
Belize,BLZ,2005,9.29538205
Belize,BLZ,2006,9.24635902
Belize,BLZ,2007,10.60845363
Belize,BLZ,2008,11.4598321
Belize,BLZ,2009,12.91270727
Belize,BLZ,2010,13.11900024
Belize,BLZ,2011,13.41403015
Belize,BLZ,2012,12.4715247
Belize,BLZ,2013,13.41928526
Belize,BLZ,2014,13.81204476
Benin,BEN,1995,10.44260929
Benin,BEN,1996,11.16876659
Benin,BEN,1997,10.24822371
Benin,BEN,1998,12.47590489
Benin,BEN,1999,12.53197064
Benin,BEN,2000,9.98683094
Benin,BEN,2001,11.97304389
Benin,BEN,2002,9.67272133
Benin,BEN,2003,10.72416554
Benin,BEN,2004,10.83824584
Benin,BEN,2005,11.05186976
Benin,BEN,2006,12.13213867
Benin,BEN,2007,9.7919972
Benin,BEN,2008,9.27417574
Benin,BEN,2009,8.9492276
Benin,BEN,2010,12.44315695
Benin,BEN,2011,13.34995067
Benin,BEN,2012,10.16968907
Benin,BEN,2013,9.55089804
Benin,BEN,2014,9.55089804
Bhutan,BTN,1995,6.91207627
Bhutan,BTN,1996,12.97554667
Bhutan,BTN,1997,14.98126261
Bhutan,BTN,1998,17.54265501
Bhutan,BTN,1999,12.63978405
Bhutan,BTN,2000,12.18622449
Bhutan,BTN,2001,9.7533548
Bhutan,BTN,2002,17.15897334
Bhutan,BTN,2003,10.9224736
Bhutan,BTN,2004,10.30922453
Bhutan,BTN,2005,11.66964244
Bhutan,BTN,2006,12.67250018
Bhutan,BTN,2007,16.02805318
Bhutan,BTN,2008,16.85626903
Bhutan,BTN,2009,15.50750906
Bhutan,BTN,2010,11.02358727
Bhutan,BTN,2011,11.79340525
Bhutan,BTN,2012,7.78580725
Bhutan,BTN,2013,8.38859599
Bhutan,BTN,2014,8.03238717
Bolivia,BOL,1995,7.86631254
Bolivia,BOL,1996,9.39846514
Bolivia,BOL,1997,8.26784299
Bolivia,BOL,1998,10.17398315
Bolivia,BOL,1999,10.47658498
Bolivia,BOL,2000,8.6715206
Bolivia,BOL,2001,10.03247853
Bolivia,BOL,2002,11.22315494
Bolivia,BOL,2003,11.0401711
Bolivia,BOL,2004,10.92094404
Bolivia,BOL,2005,11.81250058
Bolivia,BOL,2006,12.05053777
Bolivia,BOL,2007,11.18054212
Bolivia,BOL,2008,10.40307066
Bolivia,BOL,2009,11.33358807
Bolivia,BOL,2010,11.86824079
Bolivia,BOL,2011,11.06042644
Bolivia,BOL,2012,11.33462372
Bolivia,BOL,2013,11.9592305
Bolivia,BOL,2014,11.75192516
Bosnia and Herzegovina,BIH,1995,9.11731307
Bosnia and Herzegovina,BIH,1996,9.11731307
Bosnia and Herzegovina,BIH,1997,9.11731307
Bosnia and Herzegovina,BIH,1998,7.7930252
Bosnia and Herzegovina,BIH,1999,10.37701806
Bosnia and Herzegovina,BIH,2000,11.32594965
Bosnia and Herzegovina,BIH,2001,9.39928861
Bosnia and Herzegovina,BIH,2002,8.5827363
Bosnia and Herzegovina,BIH,2003,10.07984532
Bosnia and Herzegovina,BIH,2004,10.30798043
Bosnia and Herzegovina,BIH,2005,10.53618595
Bosnia and Herzegovina,BIH,2006,11.11290032
Bosnia and Herzegovina,BIH,2007,10.96868768
Bosnia and Herzegovina,BIH,2008,11.47894865
Bosnia and Herzegovina,BIH,2009,13.73440346
Bosnia and Herzegovina,BIH,2010,13.6688533
Bosnia and Herzegovina,BIH,2011,14.42747145
Bosnia and Herzegovina,BIH,2012,14.70695061
Bosnia and Herzegovina,BIH,2013,14.10585357
Bosnia and Herzegovina,BIH,2014,14.10585357
Botswana,BWA,1995,5.52864293
Botswana,BWA,1996,5.81045462
Botswana,BWA,1997,6.36139617
Botswana,BWA,1998,5.68966362
Botswana,BWA,1999,5.88678509
Botswana,BWA,2000,7.4888974
Botswana,BWA,2001,9.80605485
Botswana,BWA,2002,10.77840207
Botswana,BWA,2003,7.18833409
Botswana,BWA,2004,9.58536156
Botswana,BWA,2005,11.77404719
Botswana,BWA,2006,10.41900998
Botswana,BWA,2007,8.97026831
Botswana,BWA,2008,8.47880512
Botswana,BWA,2009,8.23082262
Botswana,BWA,2010,8.61620298
Botswana,BWA,2011,8.75119605
Botswana,BWA,2012,10.75512459
Botswana,BWA,2013,10.43662681
Botswana,BWA,2014,8.83910109
Brazil,BRA,1995,8.3604738
Brazil,BRA,1996,8.03808427
Brazil,BRA,1997,7.03161204
Brazil,BRA,1998,5.62541235
Brazil,BRA,1999,5.47974941
Brazil,BRA,2000,4.08448287
Brazil,BRA,2001,4.74593891
Brazil,BRA,2002,5.00335636
Brazil,BRA,2003,4.41139538
Brazil,BRA,2004,5.1466089
Brazil,BRA,2005,4.97638733
Brazil,BRA,2006,5.16962546
Brazil,BRA,2007,5.39960914
Brazil,BRA,2008,5.98616735
Brazil,BRA,2009,6.064482
Brazil,BRA,2010,9.89642313
Brazil,BRA,2011,8.23753559
Brazil,BRA,2012,6.8625061
Brazil,BRA,2013,7.05216777
Brazil,BRA,2014,6.78191967
Brunei,BRN,1995,3.45366839
Brunei,BRN,1996,5.81143162
Brunei,BRN,1997,5.71172718
Brunei,BRN,1998,6.19773733
Brunei,BRN,1999,5.74051804
Brunei,BRN,2000,6.25523499
Brunei,BRN,2001,6.55462611
Brunei,BRN,2002,5.59286978
Brunei,BRN,2003,7.57764349
Brunei,BRN,2004,6.86605548
Brunei,BRN,2005,6.88329595
Brunei,BRN,2006,6.2639185
Brunei,BRN,2007,6.27406256
Brunei,BRN,2008,6.69016734
Brunei,BRN,2009,6.70138421
Brunei,BRN,2010,6.28589947
Brunei,BRN,2011,6.26894688
Brunei,BRN,2012,6.06669378
Brunei,BRN,2013,6.38384636
Brunei,BRN,2014,6.473376
Bulgaria,BGR,1995,8.51649175
Bulgaria,BGR,1996,7.38554839
Bulgaria,BGR,1997,11.1569513
Bulgaria,BGR,1998,9.40311535
Bulgaria,BGR,1999,9.73588186
Bulgaria,BGR,2000,9.00031382
Bulgaria,BGR,2001,10.42387995
Bulgaria,BGR,2002,11.57059654
Bulgaria,BGR,2003,11.93289655
Bulgaria,BGR,2004,11.35531255
Bulgaria,BGR,2005,11.71831247
Bulgaria,BGR,2006,11.26670952
Bulgaria,BGR,2007,9.97142117
Bulgaria,BGR,2008,10.47537232
Bulgaria,BGR,2009,9.50899583
Bulgaria,BGR,2010,11.02347312
Bulgaria,BGR,2011,11.02347312
Bulgaria,BGR,2012,11.5357273
Bulgaria,BGR,2013,10.95201537
Bulgaria,BGR,2014,10.95201537
Burkina Faso,BFA,1995,9.05243931
Burkina Faso,BFA,1996,11.13376148
Burkina Faso,BFA,1997,9.14236373
Burkina Faso,BFA,1998,9.80641654
Burkina Faso,BFA,1999,9.31345782
Burkina Faso,BFA,2000,8.7630929
Burkina Faso,BFA,2001,9.81180705
Burkina Faso,BFA,2002,11.93697709
Burkina Faso,BFA,2003,12.52088125
Burkina Faso,BFA,2004,15.34273973
Burkina Faso,BFA,2005,18.66207578
Burkina Faso,BFA,2006,15.20094231
Burkina Faso,BFA,2007,15.55554223
Burkina Faso,BFA,2008,18.91959399
Burkina Faso,BFA,2009,14.67738071
Burkina Faso,BFA,2010,15.71920612
Burkina Faso,BFA,2011,12.8250426
Burkina Faso,BFA,2012,11.69373226
Burkina Faso,BFA,2013,12.72407194
Burkina Faso,BFA,2014,11.15812496
Burundi,BDI,1995,6.83172224
Burundi,BDI,1996,6.83172224
Burundi,BDI,1997,6.83172224
Burundi,BDI,1998,6.83172224
Burundi,BDI,1999,6.09985374
Burundi,BDI,2000,7.13329046
Burundi,BDI,2001,7.94332069
Burundi,BDI,2002,7.88585776
Burundi,BDI,2003,5.08413176
Burundi,BDI,2004,8.80639601
Burundi,BDI,2005,11.22025698
Burundi,BDI,2006,12.80553383
Burundi,BDI,2007,9.70207481
Burundi,BDI,2008,8.15134447
Burundi,BDI,2009,8.14217182
Burundi,BDI,2010,13.46501176
Burundi,BDI,2011,13.5786437
Burundi,BDI,2012,14.05947053
Burundi,BDI,2013,14.01828211
Burundi,BDI,2014,13.18522664
Cambodia,KHM,1995,6.95409368
Cambodia,KHM,1996,16.87065903
Cambodia,KHM,1997,16.55556627
Cambodia,KHM,1998,10.12083198
Cambodia,KHM,1999,8.58265993
Cambodia,KHM,2000,8.90775464
Cambodia,KHM,2001,8.61555866
Cambodia,KHM,2002,9.00743122
Cambodia,KHM,2003,15.34171526
Cambodia,KHM,2004,17.25482246
Cambodia,KHM,2005,13.122306
Cambodia,KHM,2006,9.53716186
Cambodia,KHM,2007,9.14213916
Cambodia,KHM,2008,7.11950865
Cambodia,KHM,2009,6.54525348
Cambodia,KHM,2010,7.2393903
Cambodia,KHM,2011,6.8155278
Cambodia,KHM,2012,7.258156
Cambodia,KHM,2013,6.81614184
Cambodia,KHM,2014,6.13494591
Cameroon,CMR,1995,6.10420167
Cameroon,CMR,1996,5.92806337
Cameroon,CMR,1997,6.57346869
Cameroon,CMR,1998,4.85509402
Cameroon,CMR,1999,5.02898371
Cameroon,CMR,2000,6.08776267
Cameroon,CMR,2001,6.78618977
Cameroon,CMR,2002,7.94243133
Cameroon,CMR,2003,8.20485266
Cameroon,CMR,2004,7.07308043
Cameroon,CMR,2005,7.66839369
Cameroon,CMR,2006,7.40600879
Cameroon,CMR,2007,6.76807564
Cameroon,CMR,2008,5.57404755
Cameroon,CMR,2009,7.33615431
Cameroon,CMR,2010,8.53335928
Cameroon,CMR,2011,6.41716148
Cameroon,CMR,2012,5.45882966
Cameroon,CMR,2013,4.62177535
Cameroon,CMR,2014,4.26453239
Canada,CAN,1995,13.22682461
Canada,CAN,1996,13.34964127
Canada,CAN,1997,13.86641321
Canada,CAN,1998,14.32255033
Canada,CAN,1999,14.61350552
Canada,CAN,2000,15.06547317
Canada,CAN,2001,15.4671507
Canada,CAN,2002,16.11999141
Canada,CAN,2003,16.63628593
Canada,CAN,2004,17.23624191
Canada,CAN,2005,17.50047079
Canada,CAN,2006,17.57887183
Canada,CAN,2007,17.84465269
Canada,CAN,2008,18.01085861
Canada,CAN,2009,18.12343641
Canada,CAN,2010,18.22610273
Canada,CAN,2011,18.40415949
Canada,CAN,2012,18.56502884
Canada,CAN,2013,18.57342332
Canada,CAN,2014,18.76736586
Cape Verde,CPV,1995,8.2175556
Cape Verde,CPV,1996,8.27780082
Cape Verde,CPV,1997,9.11186673
Cape Verde,CPV,1998,10.56616021
Cape Verde,CPV,1999,9.33132361
Cape Verde,CPV,2000,9.89115923
Cape Verde,CPV,2001,11.88166327
Cape Verde,CPV,2002,11.301326
Cape Verde,CPV,2003,11.81650124
Cape Verde,CPV,2004,12.14569202
Cape Verde,CPV,2005,10.35167811
Cape Verde,CPV,2006,11.2862542
Cape Verde,CPV,2007,11.10103267
Cape Verde,CPV,2008,9.90530936
Cape Verde,CPV,2009,9.86532571
Cape Verde,CPV,2010,8.66044729
Cape Verde,CPV,2011,10.02089722
Cape Verde,CPV,2012,9.62511549
Cape Verde,CPV,2013,9.15300009
Cape Verde,CPV,2014,11.72759401
Caribbean small states,,1995,8.33429495138552
Caribbean small states,,2001,7.60989942228336
Caribbean small states,,2002,8.69374821230977
Caribbean small states,,2003,8.27136214073519
Caribbean small states,,2004,8.58516001135617
Caribbean small states,,2005,8.22488265430266
Caribbean small states,,2006,7.90912074148683
Caribbean small states,,2007,8.66296344758897
Caribbean small states,,2008,9.35612793481478
Caribbean small states,,2009,9.1540435211036
Caribbean small states,,2010,9.79322924588307
Caribbean small states,,2011,8.75309394356434
Caribbean small states,,2012,9.03777749951703
Central African Republic,CAF,1995,8.03693667
Central African Republic,CAF,1996,11.77063123
Central African Republic,CAF,1997,9.17841195
Central African Republic,CAF,1998,7.72735929
Central African Republic,CAF,1999,10.84906934
Central African Republic,CAF,2000,12.63816385
Central African Republic,CAF,2001,13.83876323
Central African Republic,CAF,2002,12.44529691
Central African Republic,CAF,2003,16.10929575
Central African Republic,CAF,2004,13.254883
Central African Republic,CAF,2005,12.5097036
Central African Republic,CAF,2006,13.49059251
Central African Republic,CAF,2007,15.12406221
Central African Republic,CAF,2008,14.73515301
Central African Republic,CAF,2009,8.98628479
Central African Republic,CAF,2010,9.74336449
Central African Republic,CAF,2011,11.84178665
Central African Republic,CAF,2012,10.5066313
Central African Republic,CAF,2013,15.51645354
Central African Republic,CAF,2014,14.16568905
Central Europe and the Baltics,,1995,9.79311794858472
Central Europe and the Baltics,,1996,10.1022873009918
Central Europe and the Baltics,,1997,10.3187439284698
Central Europe and the Baltics,,1998,10.1613618235956
Central Europe and the Baltics,,1999,10.6047796311595
Central Europe and the Baltics,,2000,10.4949496265794
Central Europe and the Baltics,,2001,10.6868600329832
Central Europe and the Baltics,,2002,11.0816387479339
Central Europe and the Baltics,,2003,11.6980926139728
Central Europe and the Baltics,,2004,11.8828351061295
Central Europe and the Baltics,,2005,11.7922711309908
Central Europe and the Baltics,,2006,11.4714559540168
Central Europe and the Baltics,,2007,11.6069095855115
Central Europe and the Baltics,,2008,11.9712363642994
Central Europe and the Baltics,,2009,12.0431100057229
Central Europe and the Baltics,,2010,11.9680953729271
Central Europe and the Baltics,,2011,11.8655095320585
Central Europe and the Baltics,,2012,11.9934790348018
Central Europe and the Baltics,,2013,11.983101778303
Central Europe and the Baltics,,2014,12.0667471870121
Chad,TCD,1995,11.14113127
Chad,TCD,1996,11.14113127
Chad,TCD,1997,11.14113127
Chad,TCD,1998,11.14113127
Chad,TCD,1999,10.5167529
Chad,TCD,2000,12.9452874
Chad,TCD,2001,13.61829932
Chad,TCD,2002,13.3042163
Chad,TCD,2003,10.36449298
Chad,TCD,2004,15.92407461
Chad,TCD,2005,13.48845649
Chad,TCD,2006,8.07978074
Chad,TCD,2007,7.29787973
Chad,TCD,2008,5.28346403
Chad,TCD,2009,5.08706645
Chad,TCD,2010,4.85507268
Chad,TCD,2011,6.85440807
Chad,TCD,2012,5.93769915
Chad,TCD,2013,7.75779581
Chad,TCD,2014,8.96652448
Chile,CHL,1995,12.70796302
Chile,CHL,1996,12.75900809
Chile,CHL,1997,13.04652054
Chile,CHL,1998,13.57974298
Chile,CHL,1999,13.38852351
Chile,CHL,2000,14.50477165
Chile,CHL,2001,14.96379802
Chile,CHL,2002,15.14490641
Chile,CHL,2003,12.01584924
Chile,CHL,2004,12.67176029
Chile,CHL,2005,12.54157551
Chile,CHL,2006,13.45303834
Chile,CHL,2007,13.71548294
Chile,CHL,2008,13.56056913
Chile,CHL,2009,14.05518594
Chile,CHL,2010,13.80161645
Chile,CHL,2011,14.33965772
Chile,CHL,2012,14.65070469
Chile,CHL,2013,15.31763039
Chile,CHL,2014,15.88420857
China,CHN,1995,15.9494224
China,CHN,1996,15.90329762
China,CHN,1997,15.31767379
China,CHN,1998,14.24459122
China,CHN,1999,12.22525333
China,CHN,2000,10.81523021
China,CHN,2001,9.28649285
China,CHN,2002,9.26155615
China,CHN,2003,9.54096752
China,CHN,2004,9.99552988
China,CHN,2005,9.79346707
China,CHN,2006,9.93674719
China,CHN,2007,11.06281576
