Entity,Code,Year,All whale species (whale catches),Bryde's whale (whale catches),Gray whale (whale catches),Minke whale (whale catches),Sei whale (whale catches),Unspecified/Other species (whale catches),Blue whale (whale catches),Fin whale (whale catches),Humpback whale (whale catches),Right whale (whale catches),Sperm whale (whale catches)
Southern Hemisphere,,1923,11127,11,,0,390,0,4926,3914,1572,15,299
Southern Hemisphere,,1924,14702,84,,0,672,0,6714,5364,1420,11,437
Southern Hemisphere,,1925,20312,29,,0,404,0,6196,10173,2686,17,807
Southern Hemisphere,,1926,19644,60,,0,1255,0,8663,7019,1878,26,743
Southern Hemisphere,,1927,20024,31,,0,1343,260,10278,5953,1345,6,808
Southern Hemisphere,,1928,26056,60,,0,1447,0,14333,7708,1408,4,1096
Southern Hemisphere,,1929,34648,27,,0,462,10,18762,12903,1134,12,1338
Southern Hemisphere,,1930,44154,14,,0,358,0,30490,11171,1441,4,676
Southern Hemisphere,,1931,10652,0,,0,44,0,6657,3336,418,0,197
Southern Hemisphere,,1932,25558,0,,0,35,0,19023,5517,506,23,454
Southern Hemisphere,,1933,27493,0,,0,26,0,17456,7824,1089,14,1084
Southern Hemisphere,,1934,34923,0,,0,324,200,16625,13228,3283,17,1246
Southern Hemisphere,,1935,34544,0,,0,187,44,17892,10294,4906,30,1191
Southern Hemisphere,,1936,44304,7,,0,803,0,14670,15865,8806,4,4149
Southern Hemisphere,,1937,57777,36,,0,285,1,15174,29446,7206,8,5621
Southern Hemisphere,,1938,43580,0,,0,133,4,14175,21479,3810,15,3964
Southern Hemisphere,,1939,36200,0,,0,138,1949,11525,19330,293,7,2958
Southern Hemisphere,,1940,17641,0,,0,139,26,4975,8168,2967,0,1366
Southern Hemisphere,,1941,4248,0,,0,57,0,65,1382,181,0,2563
Southern Hemisphere,,1942,4963,0,,0,86,0,127,980,227,0,3543
Southern Hemisphere,,1943,5969,0,,0,231,0,349,1459,174,1,3755
Southern Hemisphere,,1944,4228,0,,0,102,0,1050,1953,263,0,860
Southern Hemisphere,,1945,14718,0,,0,119,0,3647,9429,461,0,1062
Southern Hemisphere,,1946,27388,0,,0,469,31,9237,14970,249,1,2431
Southern Hemisphere,,1947,36652,55,,0,810,12,6968,21766,253,0,6788
Southern Hemisphere,,1948,37376,238,,0,788,17,7731,19962,461,0,8179
Southern Hemisphere,,1949,38749,157,,1,1504,1,6240,20636,5869,0,4341
Southern Hemisphere,,1950,40469,100,,0,1157,6,7107,20160,5621,0,6318
Southern Hemisphere,,1951,51453,23,,4,1642,0,5202,23920,4788,22,15852
Southern Hemisphere,,1952,37324,0,,6,1852,0,4005,23945,3492,9,4015
Southern Hemisphere,,1953,41397,7,,12,1576,0,2888,28568,2952,17,5377
Southern Hemisphere,,1954,48901,0,,0,827,0,2535,28833,4067,34,12605
Southern Hemisphere,,1955,46728,0,,36,906,1,1739,27734,6168,18,10126
Southern Hemisphere,,1956,43556,14,,45,1955,0,1715,28374,3149,49,8255
Southern Hemisphere,,1957,50369,36,,13,3615,8,1769,27817,4774,19,12318
Southern Hemisphere,,1958,51445,29,,11,3076,0,1251,27469,8065,3,11541
Southern Hemisphere,,1959,57708,43,,5,4696,0,938,25584,15773,79,10590
Southern Hemisphere,,1960,62129,10,,3,6409,0,1743,27299,14902,6,11757
Southern Hemisphere,,1961,58482,23,,3,7195,8,1145,27085,7210,1355,14458
Southern Hemisphere,,1962,47067,73,,19,6962,0,1748,17910,3744,727,15884
Southern Hemisphere,,1963,49920,139,,120,10903,0,1508,14218,844,374,21814
Southern Hemisphere,,1964,54976,681,,63,21964,0,3349,7957,270,82,20610
Southern Hemisphere,,1965,42392,428,,81,21298,1,1477,3931,2195,350,12631
Southern Hemisphere,,1966,37028,151,,389,17611,0,665,3882,1096,161,13073
Southern Hemisphere,,1967,31510,73,,1118,16412,0,461,2603,928,4,9911
Southern Hemisphere,,1968,26079,8,,630,11679,0,674,3760,5,0,9323
Southern Hemisphere,,1969,28337,33,,770,11105,0,926,3131,1,78,12293
Southern Hemisphere,,1970,27257,19,,915,9431,1,835,3422,0,2,12632
Southern Hemisphere,,1971,32060,486,,4162,7466,0,544,2324,3,2,17073
Southern Hemisphere,,1972,26109,8,,6583,4373,0,7,1822,5,0,13311
Southern Hemisphere,,1973,27838,317,,8541,4926,0,1,1341,4,0,12708
Southern Hemisphere,,1974,27978,467,,8037,4406,0,0,1026,4,0,14038
Southern Hemisphere,,1975,20929,434,,7185,2272,0,0,233,8,0,10797
Southern Hemisphere,,1976,17875,623,,8676,1898,0,0,8,4,0,6666
Southern Hemisphere,,1977,13128,506,,6000,590,0,0,2,4,0,6026
Southern Hemisphere,,1978,12366,417,,6156,101,0,0,0,11,0,5681
Southern Hemisphere,,1979,9065,300,,7897,65,0,0,0,0,0,803
Southern Hemisphere,,1980,7927,211,,7142,0,0,0,0,0,0,574
Southern Hemisphere,,1981,8354,162,,7903,0,0,0,0,0,0,289
Southern Hemisphere,,1982,7621,320,,7301,0,0,0,0,0,0,0
Southern Hemisphere,,1983,7014,333,,6680,0,0,0,1,0,0,0
Southern Hemisphere,,1984,5568,0,,5568,0,0,0,0,0,0,0
Southern Hemisphere,,1985,5567,0,,5567,0,0,0,0,0,0,0
Southern Hemisphere,,1986,4969,0,,4969,0,0,0,0,0,0,0
Southern Hemisphere,,1987,273,0,,273,0,0,0,0,0,0,0
Southern Hemisphere,,1988,241,0,,241,0,0,0,0,0,0,0
Southern Hemisphere,,1989,330,0,,330,0,0,0,0,0,0,0
Southern Hemisphere,,1990,327,0,,327,0,0,0,0,0,0,0
Southern Hemisphere,,1991,288,0,,288,0,0,0,0,0,0,0
Southern Hemisphere,,1992,330,0,,330,0,0,0,0,0,0,0
Southern Hemisphere,,1993,330,0,,330,0,0,0,0,0,0,0
Southern Hemisphere,,1994,330,0,,330,0,0,0,0,0,0,0
Southern Hemisphere,,1995,440,0,,440,0,0,0,0,0,0,0
Southern Hemisphere,,1996,440,0,,440,0,0,0,0,0,0,0
Southern Hemisphere,,1997,438,0,,438,0,0,0,0,0,0,0
Southern Hemisphere,,1998,389,0,,389,0,0,0,0,0,0,0
Southern Hemisphere,,1999,439,0,,439,0,0,0,0,0,0,0
World,OWID_WRL,1900,1659,0,0,0,40,597,381,502,139,0,0
World,OWID_WRL,1901,2251,0,0,0,29,1029,299,570,316,0,8
World,OWID_WRL,1902,2951,0,0,0,58,1643,142,673,431,2,2
World,OWID_WRL,1903,3437,0,0,0,106,966,492,988,731,2,152
World,OWID_WRL,1904,4549,0,0,0,176,651,873,1949,885,2,13
World,OWID_WRL,1905,4821,0,0,0,233,877,1053,1986,642,16,14
World,OWID_WRL,1906,4621,0,0,0,473,1461,545,1272,772,87,11
World,OWID_WRL,1907,6946,0,0,0,476,2660,497,1487,1692,118,16
World,OWID_WRL,1908,9038,0,0,0,864,1524,722,1886,3932,96,14
World,OWID_WRL,1909,11837,3,0,0,1109,1167,584,2327,6472,100,75
World,OWID_WRL,1910,17204,0,0,0,728,2038,701,2452,11089,118,78
World,OWID_WRL,1911,22388,73,122,0,619,1472,1869,4739,13126,110,258
World,OWID_WRL,1912,25136,187,193,0,565,738,3195,7244,12320,36,658
World,OWID_WRL,1913,25276,126,132,0,1622,288,3360,7612,11326,81,729
World,OWID_WRL,1914,24336,51,174,1,952,83,5776,7558,8648,32,1061
World,OWID_WRL,1915,20580,96,139,11,829,140,5876,7885,4482,44,1078
World,OWID_WRL,1916,12550,26,78,0,560,531,4605,4400,1199,29,1122
World,OWID_WRL,1917,8818,0,69,11,837,0,3394,3310,666,62,469
World,OWID_WRL,1918,10285,32,104,7,1132,104,2359,4927,646,21,953
World,OWID_WRL,1919,10984,16,46,14,1165,70,2168,5174,1140,26,1165
World,OWID_WRL,1920,14416,17,68,6,1188,84,3265,7577,1357,21,833
World,OWID_WRL,1921,10892,0,116,21,715,11,4697,3806,701,16,809
World,OWID_WRL,1922,17735,3,49,20,695,13,6950,6203,2703,9,1090
World,OWID_WRL,1923,16431,11,27,20,1191,20,5100,6520,2505,26,1011
World,OWID_WRL,1924,20420,84,18,20,1633,0,6975,8547,2044,22,1077
World,OWID_WRL,1925,27393,31,142,20,1348,44,6517,13906,3771,27,1587
World,OWID_WRL,1926,26675,78,53,13,2113,18,9014,10657,3013,36,1680
World,OWID_WRL,1927,25601,31,42,13,2133,260,10535,8417,2563,16,1591
World,OWID_WRL,1928,30773,60,21,9,1985,0,14833,9778,1964,15,2108
World,OWID_WRL,1929,38764,27,14,15,1049,10,19171,14650,1474,19,2335
World,OWID_WRL,1930,48415,14,30,60,929,300,30727,12900,1772,6,1677
World,OWID_WRL,1931,12777,0,11,194,522,3,6732,4215,527,8,565
World,OWID_WRL,1932,28308,0,17,369,490,0,19180,6550,735,43,924
World,OWID_WRL,1933,31239,0,106,546,447,5,17542,9197,1391,18,1987
World,OWID_WRL,1934,39316,0,154,731,812,706,16719,14395,3575,17,2207
World,OWID_WRL,1935,39383,0,144,908,698,659,18064,11275,5280,32,2323
World,OWID_WRL,1936,49729,7,188,1078,1309,613,14755,16983,9077,4,5715
World,OWID_WRL,1937,63958,36,14,1283,907,1,15297,31451,7469,14,7486
World,OWID_WRL,1938,48795,0,54,1422,791,212,14231,22556,3931,15,5583
World,OWID_WRL,1939,41364,4,29,987,874,1949,11566,20567,514,7,4867
World,OWID_WRL,1940,22413,0,105,727,571,34,5028,9035,3168,1,3744
World,OWID_WRL,1941,11049,0,57,2365,749,0,144,2516,262,5,4951
World,OWID_WRL,1942,10021,0,101,2459,394,0,147,1747,299,6,4868
World,OWID_WRL,1943,11078,0,99,1911,630,0,365,2193,290,14,5576
World,OWID_WRL,1944,9364,0,6,1610,891,0,1057,2851,338,3,2608
World,OWID_WRL,1945,18743,0,58,1878,227,35,3674,10276,482,1,2112
World,OWID_WRL,1946,33696,29,22,2013,1025,31,9283,16389,285,1,4618
World,OWID_WRL,1947,43945,213,31,2716,1215,12,7034,23225,291,0,9208
World,OWID_WRL,1948,47423,353,0,3893,1431,17,7873,21999,631,1,11225
World,OWID_WRL,1949,49252,273,1,4181,2427,1,6338,22405,5982,0,7644
World,OWID_WRL,1950,49692,343,0,2275,1577,6,7180,22152,5768,0,10391
World,OWID_WRL,1951,62913,303,1,3199,2401,0,5327,25973,4891,23,20795
World,OWID_WRL,1952,49363,411,0,3904,2812,49,4152,25831,3623,9,8572
World,OWID_WRL,1953,52138,7,10,2943,2551,29,3045,30404,3074,17,10058
World,OWID_WRL,1954,62652,0,0,3952,2007,82,2758,31530,4353,34,17936
World,OWID_WRL,1955,62235,0,0,4876,1868,99,1894,30452,6363,18,16665
World,OWID_WRL,1956,59914,14,0,4383,3109,28,1876,31093,3305,51,16055
World,OWID_WRL,1957,67956,36,0,4457,4584,21,1923,30901,5104,19,20911
World,OWID_WRL,1958,71228,29,8,5276,4727,0,1383,30693,8560,3,20549
World,OWID_WRL,1959,75591,43,9,3843,6607,0,1094,28512,16246,80,19157
World,OWID_WRL,1960,79464,10,9,3994,7703,0,1829,30245,15200,6,20468
World,OWID_WRL,1961,74639,23,4,3859,8220,8,1237,29506,7736,1358,22688
World,OWID_WRL,1962,66775,269,4,4006,9178,0,1898,20561,5664,730,24465
World,OWID_WRL,1963,76911,139,2,4203,13583,0,2113,17943,3566,377,34985
World,OWID_WRL,1964,82194,681,20,3859,25753,0,3603,12773,1720,82,33703
World,OWID_WRL,1965,71780,428,4,3472,24589,1,1756,7411,2733,350,31036
World,OWID_WRL,1966,70501,153,57,3621,21435,3,726,7077,1178,161,36090
World,OWID_WRL,1967,64239,95,99,4384,21620,1,558,5643,1034,4,30801
World,OWID_WRL,1968,56752,179,66,4425,16752,0,730,6257,51,2,28290
World,OWID_WRL,1969,59315,122,74,4302,16144,0,977,5184,13,78,32421
World,OWID_WRL,1970,53126,92,0,4727,13397,1,855,5261,28,2,28763
World,OWID_WRL,1971,52753,767,0,7926,10687,0,552,3748,24,2,29047
World,OWID_WRL,1972,41816,138,0,11080,7011,1,7,3286,5,0,20288
World,OWID_WRL,1973,41706,390,0,12471,6930,0,2,2163,4,2,19744
World,OWID_WRL,1974,43235,1172,0,11562,5742,0,0,1901,14,1,22843
World,OWID_WRL,1975,35041,1238,0,10728,2971,0,0,791,8,0,19305
World,OWID_WRL,1976,31276,1595,0,12731,1911,0,1,569,5,0,14464
World,OWID_WRL,1977,24729,1227,0,9612,729,0,2,432,4,1,12722
World,OWID_WRL,1978,21986,797,0,9444,240,4,3,945,11,0,10542
World,OWID_WRL,1979,17982,1101,0,11421,163,0,0,851,0,0,4446
World,OWID_WRL,1980,14321,966,0,10699,103,3,0,459,0,0,2091
World,OWID_WRL,1981,13722,647,0,11115,100,4,0,404,0,0,1452
World,OWID_WRL,1982,12536,802,0,10692,71,3,0,347,0,0,621
World,OWID_WRL,1983,11193,878,0,9528,100,3,0,270,0,0,414
World,OWID_WRL,1984,8669,528,0,7321,95,0,0,271,0,0,454
World,OWID_WRL,1985,7937,357,0,6932,38,0,0,210,0,0,400
World,OWID_WRL,1986,6361,317,0,5728,40,0,0,76,0,0,200
World,OWID_WRL,1987,1554,317,0,946,20,0,0,80,0,0,191
World,OWID_WRL,1988,348,0,0,270,10,0,0,68,0,0,0
World,OWID_WRL,1989,417,0,0,349,0,0,0,68,0,0,0
World,OWID_WRL,1990,327,0,0,327,0,0,0,0,0,0,0
World,OWID_WRL,1991,289,0,0,289,0,0,0,0,0,0,0
World,OWID_WRL,1992,425,0,0,425,0,0,0,0,0,0,0
World,OWID_WRL,1993,556,0,0,556,0,0,0,0,0,0,0
World,OWID_WRL,1994,610,0,0,610,0,0,0,0,0,0,0
World,OWID_WRL,1995,758,0,0,758,0,0,0,0,0,0,0
World,OWID_WRL,1996,905,0,0,905,0,0,0,0,0,0,0
World,OWID_WRL,1997,1055,0,0,1055,0,0,0,0,0,0,0
World,OWID_WRL,1998,1114,0,0,1114,0,0,0,0,0,0,0
World,OWID_WRL,1999,1130,0,0,1130,0,0,0,0,0,0,0
World,OWID_WRL,2000,1350,44,115,1128,0,0,0,7,2,49,5
World,OWID_WRL,2001,1520,50,112,1261,1,0,0,8,4,76,8
World,OWID_WRL,2002,1674,50,131,1377,40,0,0,13,4,54,5
World,OWID_WRL,2003,1775,50,128,1482,50,0,0,9,2,44,10
World,OWID_WRL,2004,1692,51,111,1368,100,0,0,13,1,45,3
World,OWID_WRL,2005,2314,51,124,1939,100,0,0,23,1,71,5
World,OWID_WRL,2006,1855,51,134,1497,102,0,0,21,2,42,6
World,OWID_WRL,2007,1953,50,132,1592,100,0,0,12,1,63,3
World,OWID_WRL,2008,1940,50,130,1585,100,0,0,15,2,56,2
World,OWID_WRL,2009,1871,50,116,1421,101,0,0,136,1,45,1
World,OWID_WRL,2010,1545,51,118,1025,100,0,0,156,12,80,3
World,OWID_WRL,2011,1539,50,128,1193,96,0,0,6,10,55,1
World,OWID_WRL,2012,1328,34,143,959,100,0,0,5,12,72,3
World,OWID_WRL,2013,1641,28,127,1169,100,0,0,143,12,61,1
World,OWID_WRL,2014,1461,25,124,1009,90,0,0,149,9,55,0
World,OWID_WRL,2015,1715,25,125,1247,90,0,0,168,7,52,0
