Entity,Code,Year,"17.2.1 - Net official development assistance (ODA) to LDCs from OECD-DAC countries, by donor countries (millions of constant 2017 United States dollars) - DC_ODA_LDCS (constant USD)"
Netherlands,NLD,2017,1044609260
New Zealand,NZL,2000,65583910
New Zealand,NZL,2001,67859600
New Zealand,NZL,2002,62529360
New Zealand,NZL,2003,74450360
New Zealand,NZL,2004,91123070
New Zealand,NZL,2005,85820390
New Zealand,NZL,2006,94109200
New Zealand,NZL,2007,91308190
New Zealand,NZL,2008,113423440
New Zealand,NZL,2009,124609370
New Zealand,NZL,2010,93175910
New Zealand,NZL,2011,110550710
New Zealand,NZL,2012,122676890
New Zealand,NZL,2013,117888710
New Zealand,NZL,2014,125732780
New Zealand,NZL,2015,148195810
New Zealand,NZL,2016,121102240
New Zealand,NZL,2017,127190000
Norway,NOR,2000,783023970
Norway,NOR,2001,842461540
Norway,NOR,2002,1088995220
Norway,NOR,2003,1166248900
Norway,NOR,2004,1148713410
Norway,NOR,2005,1145751030
Norway,NOR,2006,1176656840
Norway,NOR,2007,1197141110
Norway,NOR,2008,1159717250
Norway,NOR,2009,1147393590
Norway,NOR,2010,1159851590
Norway,NOR,2011,1095341500
Norway,NOR,2012,996524000
Norway,NOR,2013,1094858170
Norway,NOR,2014,1079944560
Norway,NOR,2015,1097507160
Norway,NOR,2016,1091908250
Norway,NOR,2017,1165037770
Poland,POL,2000,14159290
Poland,POL,2001,39295380
Poland,POL,2002,4665720
Poland,POL,2003,5661330
Poland,POL,2004,49736170
Poland,POL,2005,57383230
Poland,POL,2006,154564690
Poland,POL,2007,65829499.99999999
Poland,POL,2008,84597050
Poland,POL,2009,92256610
Poland,POL,2010,94175460
Poland,POL,2011,72519980
Poland,POL,2012,69294050
Poland,POL,2013,108040660
Poland,POL,2014,111856370
Poland,POL,2015,127629920
Poland,POL,2016,195592870
Poland,POL,2017,112926170
Portugal,PRT,2000,263095000.00000003
Portugal,PRT,2001,266834630
Portugal,PRT,2002,297800150
Portugal,PRT,2003,207691980
Portugal,PRT,2004,944892560
Portugal,PRT,2005,177656900
Portugal,PRT,2006,198541150
Portugal,PRT,2007,189135830
Portugal,PRT,2008,198440530
Portugal,PRT,2009,185267490
Portugal,PRT,2010,262316160.00000003
Portugal,PRT,2011,301879340
Portugal,PRT,2012,168205260
Portugal,PRT,2013,129066610
Portugal,PRT,2014,106394220
Portugal,PRT,2015,94336050
Portugal,PRT,2016,102987290
Portugal,PRT,2017,123281290
Slovakia,SVK,2002,2695310
Slovakia,SVK,2003,6655680
Slovakia,SVK,2004,10010280
Slovakia,SVK,2005,39325060
Slovakia,SVK,2006,31484840
Slovakia,SVK,2007,31884400
Slovakia,SVK,2008,36180940
Slovakia,SVK,2009,14836580
Slovakia,SVK,2010,17780480
Slovakia,SVK,2011,14017020
Slovakia,SVK,2012,13591850
Slovakia,SVK,2013,17861060
Slovakia,SVK,2014,14976420
Slovakia,SVK,2015,18996050
Slovakia,SVK,2016,19543520
Slovakia,SVK,2017,22320040
Slovenia,SVN,2008,11562240
Slovenia,SVN,2009,12207750
Slovenia,SVN,2010,12679220
Slovenia,SVN,2011,10452340
Slovenia,SVN,2012,9360810
Slovenia,SVN,2013,9530060
Slovenia,SVN,2014,9461470
Slovenia,SVN,2015,9930660
Slovenia,SVN,2016,13775380
Slovenia,SVN,2017,12387670
South Korea,KOR,2000,86685470
South Korea,KOR,2001,80483260
South Korea,KOR,2002,111732230
South Korea,KOR,2003,150993220
South Korea,KOR,2004,163372480
South Korea,KOR,2005,246710900
South Korea,KOR,2006,138421560
South Korea,KOR,2007,213201320
South Korea,KOR,2008,274047020
South Korea,KOR,2009,324926420
South Korea,KOR,2010,506969740
South Korea,KOR,2011,506696100
South Korea,KOR,2012,622937890
South Korea,KOR,2013,739408880
South Korea,KOR,2014,710461560
South Korea,KOR,2015,759910010
South Korea,KOR,2016,795005970
South Korea,KOR,2017,780015010
Spain,ESP,2000,291685680
Spain,ESP,2001,419397700
Spain,ESP,2002,499490260
Spain,ESP,2003,516797950
Spain,ESP,2004,534899880.00000006
Spain,ESP,2005,810175810
Spain,ESP,2006,735235240
Spain,ESP,2007,955193740
Spain,ESP,2008,1228000820
Spain,ESP,2009,1395697620
Spain,ESP,2010,1386659910
Spain,ESP,2011,877185530
Spain,ESP,2012,423932030
Spain,ESP,2013,386348710
Spain,ESP,2014,420474000
Spain,ESP,2015,317879370
Spain,ESP,2016,569317100
Spain,ESP,2017,584220480
Sweden,SWE,2000,774084330
Sweden,SWE,2001,775691030
Sweden,SWE,2002,946521780
Sweden,SWE,2003,1015557570
Sweden,SWE,2004,908789530
Sweden,SWE,2005,1213155850
Sweden,SWE,2006,1201180310
Sweden,SWE,2007,1291743330
Sweden,SWE,2008,1400148430
Sweden,SWE,2009,1410226390
Sweden,SWE,2010,1323984330
Sweden,SWE,2011,1620921000
Sweden,SWE,2012,1332122970
Sweden,SWE,2013,1483711380
Sweden,SWE,2014,1386225170
Sweden,SWE,2015,1509667490
Sweden,SWE,2016,1437716460
Sweden,SWE,2017,1708254920
Switzerland,CHE,2000,516712720
Switzerland,CHE,2001,502130010
Switzerland,CHE,2002,441476430
Switzerland,CHE,2003,607056200
Switzerland,CHE,2004,550354390
Switzerland,CHE,2005,543608410
Switzerland,CHE,2006,594462020
Switzerland,CHE,2007,601481880
Switzerland,CHE,2008,548304640
Switzerland,CHE,2009,755502390
Switzerland,CHE,2010,640814740
Switzerland,CHE,2011,704673480
Switzerland,CHE,2012,659472330
Switzerland,CHE,2013,760337210
Switzerland,CHE,2014,796594620
Switzerland,CHE,2015,897191180
Switzerland,CHE,2016,892569350
Switzerland,CHE,2017,921996450
United Kingdom,GBR,2000,1817252070
United Kingdom,GBR,2001,2108442480.0000002
United Kingdom,GBR,2002,1571781290
United Kingdom,GBR,2003,2447819980
United Kingdom,GBR,2004,2815063880
United Kingdom,GBR,2005,2443866910
United Kingdom,GBR,2006,3275913540
United Kingdom,GBR,2007,3107597150
United Kingdom,GBR,2008,3533371640
United Kingdom,GBR,2009,3683891090
United Kingdom,GBR,2010,4362858760
United Kingdom,GBR,2011,4586791990
United Kingdom,GBR,2012,4060874750
United Kingdom,GBR,2013,5422013080
United Kingdom,GBR,2014,5407967550
United Kingdom,GBR,2015,5368085920
United Kingdom,GBR,2016,5476013140
United Kingdom,GBR,2017,6081315950
United States,USA,2000,2769537080
United States,USA,2001,2998221040
United States,USA,2002,4064910280
United States,USA,2003,6140910510
United States,USA,2004,6316534700
United States,USA,2005,6964938270
United States,USA,2006,7743710050
United States,USA,2007,7159638200
United States,USA,2008,9465961380
United States,USA,2009,10696150730
United States,USA,2010,11889368110
United States,USA,2011,12694633090
United States,USA,2012,12041780910
United States,USA,2013,11489362900
United States,USA,2014,11292025160
United States,USA,2015,11060168760
United States,USA,2016,12075670190
United States,USA,2017,12090783590
