Entity,Code,Year,Hydropower (terawatt-hours),Nuclear (terawatt-hours),Natural Gas (terawatt-hours),Renewables (excl. hydro) (terawatt-hours),Coal (terawatt-hours),Oil (terawatt-hours)
Iran,IRN,2018,10.77,7.00013333333333,269.102305858907,0,0.486666666666667,23.0231675154812
Italy,ITA,2017,34.37274,0,140.3493,6.75356600000001,35.1287,11.526694
Italy,ITA,2018,45.8520571535834,0,127.22596732992,4.08155143448275,36.5725616083397,10.8650905297683
Japan,JPN,2017,79.244,29.0740431,401.45,14.0384338756884,361.806547161193,65.721691459435
Japan,JPN,2018,80.997,49.106,386.905,15.3065206462526,347.192360195763,59.9802506485303
Kazakhstan,KAZ,2017,11.1805711,0,19.7510637625611,0,69.8574025400661,1.93071659737275
Kazakhstan,KAZ,2018,10.3295118,0,24.1811355287048,0,70.1762801257566,1.71505144553856
Malaysia,MYS,2017,23.0920521552063,0,65.0923582884986,0.0179308743169599,67.7423339107199,4.98587256317511
Malaysia,MYS,2018,24.176496715499,0,66.3616251719099,0.0179308743169031,74.0906167933587,2.32777904363833
Mexico,MEX,2017,31.8476558333324,10.8828617544,196.32046,1.13860911182724,30.86101,38.90402
Mexico,MEX,2018,32.3951145857423,13.5885796237056,196.653828834219,2.18898837021425,29.2075742396091,36.7536465859171
Middle East,,2017,20.7880662716628,7.07356666666667,840.953363953623,0.0433811475409698,22.7509052845055,322.136425205841
Middle East,,2018,15.1905000716628,7.00013333333333,878.46519208453,0.0608333333333206,21.2839064004986,310.921283073502
Netherlands,NLD,2017,0.060757,3.402478,57.883554,6.08067100000001,31.27554,1.184538
Netherlands,NLD,2018,0.072348,3.49421855050052,57.3202145381515,7.37028185444818,30.0316971156381,0.605849245072349
North America,,2017,725.156678055551,958.607261754408,1649.92002129032,15.5826349508652,1400.99750677419,65.1164479569893
North America,,2018,708.352331221244,963.183320676341,1833.90376682906,16.0420790498277,1334.25751923923,66.3408938090839
Other Africa,,2017,110.299679739007,0,173.622826074102,0.431606377341553,27.4185352803477,55.996278125525
Other Africa,,2018,118.442524480116,0,176.588310671578,0.356008426804721,30.9572142349126,55.3358869514618
Other Asia & Pacific,,2017,130.384953505923,8.369,201.604445933514,0.774322293098673,116.944055612559,72.3601252827077
Other Asia & Pacific,,2018,141.868127790005,9.879522,208.962906851526,0.894983985521934,137.535668559418,61.0197719603249
Other CIS,,2017,43.6499411,2.6196,127.461219774317,0.295050000000006,12.6720569527322,1.79637842295082
Other CIS,,2018,44.2964741636324,2.0761,140.414679703165,0.290400000000004,11.3260536920666,0.51647842295082
Other Middle East,,2017,3.55606627166276,0,232.287212598147,0.0433811475409698,22.2642386178388,134.794058404049
Other Middle East,,2018,4.42050007166276,0,241.94746318625,0.0608333333333206,20.7972397338319,135.713439167035
Other S. & Cent. America,,2017,307.985854934664,0,97.9504759879519,0.0849095297054108,49.6849631390065,80.4463431390676
Other S. & Cent. America,,2018,301.970252187804,0,95.8121840585264,0.0000080137965507987,52.5901026344736,72.2431401670752
Poland,POL,2017,2.56,0,10.035,0.474000000000046,133.813,2.021
Poland,POL,2018,1.971,0,12.368,0.416999999999973,134.693,1.217
Russia,RUS,2017,185.31773,203.14557,515.943186763747,4.44349476087496,168.9026778559,10.675750619478
Russia,RUS,2018,190.21311,204.50097,521.488826147457,4.39490476087508,177.4765842218,11.4246148698682
Saudi Arabia,SAU,2017,0,0,225.074477133363,0,0,156.876963819646
Saudi Arabia,SAU,2018,0,0,233.031083230261,0,0,150.592039778965
South & Central America,,2017,720.435289888045,21.827196437943,244.339599434368,0.621463505626164,77.4840400879957,107.536466864539
South & Central America,,2018,731.306513113029,22.5047956976159,227.877656407089,0.537850306091348,76.5356244949782,90.1844423895503
South Africa,ZAF,2017,0.871083139684999,15.756337,1.87853978531266,4.47900000000007,221.363579910784,0.118
South Africa,ZAF,2018,0.914864856414944,11.090427,1.85028113818368,4.70412008360569,224.964875917111,0.118
South Korea,KOR,2017,2.808647,148.426725,127.98089260356,4.79035449999986,261.699628,13.1326073964403
South Korea,KOR,2018,2.92039075633473,133.506,160.436751232591,5.09796575681065,261.300450011817,9.06833566429777
Spain,ESP,2017,18.782,58.1120239,64.037,3.05999500000004,46.349,15.766005
Spain,ESP,2018,35.1982572360118,55.6438033807551,57.197068177496,2.30201437475648,38.3952491076787,15.5503629638791
Taiwan,TWN,2017,5.4468,22.4455,93.4145,5.0111,125.9251,12.7602
Taiwan,TWN,2018,4.4661,27.6824,94.7691,5.21014999999994,126.6128,8.4332
Thailand,THA,2017,4.687186,0,121.044163137,0,35.732450111,0.330289795000106
Thailand,THA,2018,7.597013,0,116.265176074,0,35.79642368,0.17720600699998
Turkey,TUR,2017,58.2185,0,110.49,0.848199999999963,97.4763,1.1999
Turkey,TUR,2018,59.5182807483584,0,92.1681623703586,0.820885030392901,111.722443772098,0.584829738812124
Ukraine,UKR,2017,8.7124883061049,85.5762,9.13587266906704,1.93349584690056,46.7277172422585,1.43252593566895
Ukraine,UKR,2018,9.90073478073947,84.3981,12.054669570637,2.186449372266,47.6581186639867,0.520027612370849
United Arab Emirates,ARE,2017,0,0,132.421334465895,0,0,1.59263661202186
United Arab Emirates,ARE,2018,0,0,134.384339809112,0,0,1.59263661202186
United Kingdom,GBR,2017,5.92812431940996,70.3364262680122,136.829433949873,8.00277737052426,22.5291688181026,1.62094420967984
United Kingdom,GBR,2018,5.46466053102949,65.0638489215146,131.48241535666,7.76349209556608,16.8351068737991,1.68236298713638
United States,USA,2017,296.806674747471,847.315405263166,1393.99429247312,13.6564666992531,1310.00456129032,22.9999548387097
United States,USA,2018,288.706340404037,849.555535789478,1578.50817096774,13.2664636037816,1245.78913763441,26.421311827957
Vietnam,VNM,2017,70.8787064579797,0,44.3557474697278,0,76.1430950156011,0.73796083844969
Vietnam,VNM,2018,80.7062543475046,0,44.3303363676043,0,86.657719540829,0.73796083844969
World,OWID_WRL,2017,4065.44312749683,2638.98219532713,5952.82901156397,176.681943017308,9806.15208205677,870.025869952326
World,OWID_WRL,2018,4193.10415115799,2701.43199870422,6182.75175736201,153.821504476695,10100.528005352,802.772223140534
