Entity,Code,Year,"Estevadeordal, Frantz, and Taylor (2003) (upper bound) (%)",Klasing and Milionis (2014) (%),"Estevadeordal, Frantz, and Taylor (2003) (lower bound) (%)",Penn World Tables (9.1) (%)
World,OWID_WRL,1996,,,,41.847786
World,OWID_WRL,1997,,,,43.588886
World,OWID_WRL,1998,,,,43.267681
World,OWID_WRL,1999,,,,43.487377
World,OWID_WRL,2000,,,,47.164257
World,OWID_WRL,2001,,,,46.009953
World,OWID_WRL,2002,,,,46.429943
World,OWID_WRL,2003,,,,48.279873
World,OWID_WRL,2004,,,,51.768803
World,OWID_WRL,2005,,,,54.31638
World,OWID_WRL,2006,,,,57.504444
World,OWID_WRL,2007,,,,59.031559
World,OWID_WRL,2008,,,,61.11314
World,OWID_WRL,2009,,,,51.399078
World,OWID_WRL,2010,,,,55.853504
World,OWID_WRL,2011,,,,59.459286
World,OWID_WRL,2012,,,,58.663742
World,OWID_WRL,2013,,,,58.387039
World,OWID_WRL,2014,,,,57.883789
World,OWID_WRL,2015,,,,54.342419
World,OWID_WRL,2016,,,,52.008652
World,OWID_WRL,2017,,,,53.479523
