Entity,Code,Year,"Indicator 3.b.1: Geometric mean of the coverage of eight vaccines, conditional on inclusion in national vaccine schedules, in target populations (%) - Past - Unscaled (%)"
Bosnia and Herzegovina,BIH,1990,68.477
Bosnia and Herzegovina,BIH,1995,73.35
Bosnia and Herzegovina,BIH,2000,93.726
Bosnia and Herzegovina,BIH,2005,94.596
Bosnia and Herzegovina,BIH,2010,94.69
Bosnia and Herzegovina,BIH,2016,96.197
Botswana,BWA,1990,84.367
Botswana,BWA,1995,89.373
Botswana,BWA,2000,90.506
Botswana,BWA,2005,94.795
Botswana,BWA,2010,97.724
Botswana,BWA,2016,98.088
Brazil,BRA,1990,80.655
Brazil,BRA,1995,67.618
Brazil,BRA,2000,95.249
Brazil,BRA,2005,99.127
Brazil,BRA,2010,97.496
Brazil,BRA,2016,99.731
Brunei,BRN,1990,92.792
Brunei,BRN,1995,95.951
Brunei,BRN,2000,96.636
Brunei,BRN,2005,96.71
Brunei,BRN,2010,97.088
Brunei,BRN,2016,97.8
Bulgaria,BGR,1990,97.64
Bulgaria,BGR,1995,95.176
Bulgaria,BGR,2000,94.591
Bulgaria,BGR,2005,95.244
Bulgaria,BGR,2010,94.702
Bulgaria,BGR,2016,95.478
Burkina Faso,BFA,1990,45.052
Burkina Faso,BFA,1995,53.312
Burkina Faso,BFA,2000,66.465
Burkina Faso,BFA,2005,86.208
Burkina Faso,BFA,2010,89.835
Burkina Faso,BFA,2016,88.458
Burundi,BDI,1990,71.231
Burundi,BDI,1995,68.811
Burundi,BDI,2000,72.592
Burundi,BDI,2005,89.588
Burundi,BDI,2010,94.763
Burundi,BDI,2016,93.931
Cambodia,KHM,1990,40.668
Cambodia,KHM,1995,50.281
Cambodia,KHM,2000,58.587
Cambodia,KHM,2005,74.665
Cambodia,KHM,2010,83.792
Cambodia,KHM,2016,91.747
Cameroon,CMR,1990,50.764
Cameroon,CMR,1995,54.803
Cameroon,CMR,2000,63.64
Cameroon,CMR,2005,80.741
Cameroon,CMR,2010,83.391
Cameroon,CMR,2016,88.244
Canada,CAN,1990,87.889
Canada,CAN,1995,46.637
Canada,CAN,2000,57.66
Canada,CAN,2005,65.515
Canada,CAN,2010,74.794
Canada,CAN,2016,74.989
Cape Verde,CPV,1990,90.034
Cape Verde,CPV,1995,85.302
Cape Verde,CPV,2000,79.568
Cape Verde,CPV,2005,81.112
Cape Verde,CPV,2010,92.5
Cape Verde,CPV,2016,97.35
Central African Republic,CAF,1990,51.327
Central African Republic,CAF,1995,53.338
Central African Republic,CAF,2000,46.6
Central African Republic,CAF,2005,61.226
Central African Republic,CAF,2010,66.02
Central African Republic,CAF,2016,50.004
Chad,TCD,1990,10.278
Chad,TCD,1995,16.431
Chad,TCD,2000,25.45
Chad,TCD,2005,36.784
Chad,TCD,2010,46.862
Chad,TCD,2016,49.305
Chile,CHL,1990,93.416
Chile,CHL,1995,93.956
Chile,CHL,2000,94.269
Chile,CHL,2005,94.26
Chile,CHL,2010,93.667
Chile,CHL,2016,94.639
China,CHN,1990,94.793
China,CHN,1995,97.569
China,CHN,2000,98.436
China,CHN,2005,99.329
China,CHN,2010,99.782
China,CHN,2016,99.906
Colombia,COL,1990,85.877
Colombia,COL,1995,89.081
Colombia,COL,2000,83.817
Colombia,COL,2005,88.987
Colombia,COL,2010,92.896
Colombia,COL,2016,96.47
Comoros,COM,1990,61.361
Comoros,COM,1995,65.639
Comoros,COM,2000,67.35
Comoros,COM,2005,72.305
Comoros,COM,2010,74.023
Comoros,COM,2016,75.541
Congo,COG,1990,69.343
Congo,COG,1995,56.852
Congo,COG,2000,54.716
Congo,COG,2005,78.813
Congo,COG,2010,83.468
Congo,COG,2016,85.429
Costa Rica,CRI,1990,95.478
Costa Rica,CRI,1995,94.74
Costa Rica,CRI,2000,95.319
Costa Rica,CRI,2005,94.803
Costa Rica,CRI,2010,95.98
Costa Rica,CRI,2016,97.409
Cote d'Ivoire,CIV,1990,65.9
Cote d'Ivoire,CIV,1995,64.984
