Entity,Code,Year,"Indicator 3.b.1: Geometric mean of the coverage of eight vaccines, conditional on inclusion in national vaccine schedules, in target populations (%) - Past - Unscaled (%)"
Qatar,QAT,1990,82.982
Qatar,QAT,1995,89.32
Qatar,QAT,2000,91.859
Qatar,QAT,2005,95.578
Qatar,QAT,2010,97.459
Qatar,QAT,2016,97.987
Romania,ROU,1990,93.827
Romania,ROU,1995,96.016
Romania,ROU,2000,98.046
Romania,ROU,2005,97.195
Romania,ROU,2010,95.906
Romania,ROU,2016,95.503
Russia,RUS,1990,67.6
Russia,RUS,1995,72.665
Russia,RUS,2000,84.855
Russia,RUS,2005,84.285
Russia,RUS,2010,86.464
Russia,RUS,2016,83.776
Rwanda,RWA,1990,79.823
Rwanda,RWA,1995,70.668
Rwanda,RWA,2000,78.547
Rwanda,RWA,2005,89.049
Rwanda,RWA,2010,91.071
Rwanda,RWA,2016,90.248
Saint Lucia,LCA,1990,88.244
Saint Lucia,LCA,1995,93.65
Saint Lucia,LCA,2000,93.222
Saint Lucia,LCA,2005,94.241
Saint Lucia,LCA,2010,97.826
Saint Lucia,LCA,2016,98.907
Saint Vincent and the Grenadines,VCT,1990,96.822
Saint Vincent and the Grenadines,VCT,1995,98.437
Saint Vincent and the Grenadines,VCT,2000,98.344
Saint Vincent and the Grenadines,VCT,2005,98.488
Saint Vincent and the Grenadines,VCT,2010,98.663
Saint Vincent and the Grenadines,VCT,2016,99.499
Samoa,WSM,1990,48.94
Samoa,WSM,1995,51.022
Samoa,WSM,2000,47.771
Samoa,WSM,2005,32.131
Samoa,WSM,2010,35.981
Samoa,WSM,2016,48.021
Sao Tome and Principe,STP,1990,72.028
Sao Tome and Principe,STP,1995,75.715
Sao Tome and Principe,STP,2000,83.151
Sao Tome and Principe,STP,2005,89.684
Sao Tome and Principe,STP,2010,92.802
Sao Tome and Principe,STP,2016,93.689
Saudi Arabia,SAU,1990,94.167
Saudi Arabia,SAU,1995,95.815
Saudi Arabia,SAU,2000,97.692
Saudi Arabia,SAU,2005,98.428
Saudi Arabia,SAU,2010,99.19
Saudi Arabia,SAU,2016,99.058
Senegal,SEN,1990,54.236
Senegal,SEN,1995,62.251
Senegal,SEN,2000,65.161
Senegal,SEN,2005,77.182
Senegal,SEN,2010,79.924
Senegal,SEN,2016,83.216
Serbia,SRB,1990,88.282
Serbia,SRB,1995,86.667
Serbia,SRB,2000,91.398
Serbia,SRB,2005,91.35
Serbia,SRB,2010,94.292
Serbia,SRB,2016,95.958
Seychelles,SYC,1990,96.31
Seychelles,SYC,1995,98.933
Seychelles,SYC,2000,99.405
Seychelles,SYC,2005,99.627
Seychelles,SYC,2010,99.744
Seychelles,SYC,2016,99.811
Sierra Leone,SLE,1990,51.956
Sierra Leone,SLE,1995,55.519
Sierra Leone,SLE,2000,53.191
Sierra Leone,SLE,2005,66.925
Sierra Leone,SLE,2010,76.748
Sierra Leone,SLE,2016,82.682
Singapore,SGP,1990,89.574
Singapore,SGP,1995,95.721
Singapore,SGP,2000,96.943
Singapore,SGP,2005,96.874
Singapore,SGP,2010,97.394
Singapore,SGP,2016,96.699
Slovakia,SVK,1990,96.388
Slovakia,SVK,1995,97.528
Slovakia,SVK,2000,97.748
Slovakia,SVK,2005,97.668
Slovakia,SVK,2010,97.95
Slovakia,SVK,2016,98.583
Slovenia,SVN,1990,93.427
Slovenia,SVN,1995,94.176
Slovenia,SVN,2000,94.355
Slovenia,SVN,2005,94.495
Slovenia,SVN,2010,95.903
Slovenia,SVN,2016,96.553
Solomon Islands,SLB,1990,67.304
Solomon Islands,SLB,1995,75.303
Solomon Islands,SLB,2000,79.482
Solomon Islands,SLB,2005,76.907
Solomon Islands,SLB,2010,80.764
Solomon Islands,SLB,2016,86.09
Somalia,SOM,1990,13.778
Somalia,SOM,1995,17.454
Somalia,SOM,2000,21.908
Somalia,SOM,2005,26.422
Somalia,SOM,2010,29.998
Somalia,SOM,2016,30.989
South Africa,ZAF,1990,74.329
South Africa,ZAF,1995,80.798
South Africa,ZAF,2000,77.541
South Africa,ZAF,2005,81.001
South Africa,ZAF,2010,86.94
South Africa,ZAF,2016,86.464
South Korea,KOR,1990,75.477
South Korea,KOR,1995,89.468
South Korea,KOR,2000,88.697
South Korea,KOR,2005,95.251
South Korea,KOR,2010,97.663
South Korea,KOR,2016,98.689
South Sudan,SSD,1990,21.494
South Sudan,SSD,1995,24.093
South Sudan,SSD,2000,32.827
South Sudan,SSD,2005,40.866
South Sudan,SSD,2010,47.013
South Sudan,SSD,2016,52.739
Spain,ESP,1990,87.571
Spain,ESP,1995,88.095
Spain,ESP,2000,94.404
Spain,ESP,2005,96.755
Spain,ESP,2010,97.556
Spain,ESP,2016,98.074
Sri Lanka,LKA,1990,91.952
Sri Lanka,LKA,1995,97.736
Sri Lanka,LKA,2000,99.428
Sri Lanka,LKA,2005,99.718
Sri Lanka,LKA,2010,99.833
Sri Lanka,LKA,2016,99.893
Sudan,SDN,1990,33.065
Sudan,SDN,1995,56.97
Sudan,SDN,2000,63.962
Sudan,SDN,2005,67.941
Sudan,SDN,2010,75.149
Sudan,SDN,2016,81.549
Suriname,SUR,1990,83.063
Suriname,SUR,1995,86.069
Suriname,SUR,2000,88.946
Suriname,SUR,2005,92.259
Suriname,SUR,2010,93.684
Suriname,SUR,2016,96.815
Swaziland,SWZ,1990,86.394
Swaziland,SWZ,1995,92.652
Swaziland,SWZ,2000,88.905
Swaziland,SWZ,2005,85.694
Swaziland,SWZ,2010,92.351
Swaziland,SWZ,2016,96.236
Sweden,SWE,1990,96.461
Sweden,SWE,1995,97.316
Sweden,SWE,2000,96.806
Sweden,SWE,2005,96.882
Sweden,SWE,2010,96.019
Sweden,SWE,2016,97.472
Switzerland,CHE,1990,88.494
Switzerland,CHE,1995,87.989
Switzerland,CHE,2000,89.023
Switzerland,CHE,2005,92.004
Switzerland,CHE,2010,86.604
Switzerland,CHE,2016,90.71
Syria,SYR,1990,72.981
Syria,SYR,1995,87.204
Syria,SYR,2000,90.709
Syria,SYR,2005,92.547
Syria,SYR,2010,91.31
Syria,SYR,2016,88.627
Taiwan,TWN,1990,99.47
Taiwan,TWN,1995,99.754
Taiwan,TWN,2000,99.517
Taiwan,TWN,2005,99.771
Taiwan,TWN,2010,86.111
Taiwan,TWN,2016,98.582
Tajikistan,TJK,1990,82.585
Tajikistan,TJK,1995,83.128
Tajikistan,TJK,2000,86.364
Tajikistan,TJK,2005,86.468
Tajikistan,TJK,2010,90.679
Tajikistan,TJK,2016,92.624
Tanzania,TZA,1990,82.235
Tanzania,TZA,1995,83.48
Tanzania,TZA,2000,86.357
Tanzania,TZA,2005,91.892
Tanzania,TZA,2010,93.507
Tanzania,TZA,2016,93.438
Thailand,THA,1990,68.911
Thailand,THA,1995,79.575
Thailand,THA,2000,85.904
Thailand,THA,2005,91.18
Thailand,THA,2010,92.983
Thailand,THA,2016,93.026
Timor,TLS,1990,10.587
Timor,TLS,1995,16.545
Timor,TLS,2000,22.87
Timor,TLS,2005,30.446
Timor,TLS,2010,40.447
Timor,TLS,2016,49.562
Togo,TGO,1990,70.924
Togo,TGO,1995,62.483
Togo,TGO,2000,61.995
Togo,TGO,2005,77.786
Togo,TGO,2010,83.357
Togo,TGO,2016,84.599
Tonga,TON,1990,90.743
Tonga,TON,1995,95.341
Tonga,TON,2000,97.358
Tonga,TON,2005,98.858
Tonga,TON,2010,99.206
Tonga,TON,2016,99.573
Trinidad and Tobago,TTO,1990,61.738
Trinidad and Tobago,TTO,1995,71.037
Trinidad and Tobago,TTO,2000,73.681
Trinidad and Tobago,TTO,2005,70.101
Trinidad and Tobago,TTO,2010,68.183
Trinidad and Tobago,TTO,2016,71.312
Tunisia,TUN,1990,92.273
Tunisia,TUN,1995,96.758
Tunisia,TUN,2000,97.811
Tunisia,TUN,2005,98.751
Tunisia,TUN,2010,99.263
Tunisia,TUN,2016,99.388
Turkey,TUR,1990,58.287
Turkey,TUR,1995,67.419
Turkey,TUR,2000,77.335
Turkey,TUR,2005,79.645
Turkey,TUR,2010,85.051
Turkey,TUR,2016,86.471
Turkmenistan,TKM,1990,82.561
Turkmenistan,TKM,1995,88.987
Turkmenistan,TKM,2000,92.927
Turkmenistan,TKM,2005,91.978
Turkmenistan,TKM,2010,91.758
Turkmenistan,TKM,2016,92.349
Uganda,UGA,1990,62.881
Uganda,UGA,1995,68.391
Uganda,UGA,2000,66.56
Uganda,UGA,2005,69.87
Uganda,UGA,2010,76.171
Uganda,UGA,2016,80.256
Ukraine,UKR,1990,90.27
Ukraine,UKR,1995,94.188
Ukraine,UKR,2000,96.354
Ukraine,UKR,2005,88.663
Ukraine,UKR,2010,66.48
Ukraine,UKR,2016,61.986
United Arab Emirates,ARE,1990,80.911
United Arab Emirates,ARE,1995,91.37
United Arab Emirates,ARE,2000,93.958
United Arab Emirates,ARE,2005,95.787
United Arab Emirates,ARE,2010,97.111
United Arab Emirates,ARE,2016,98.167
United Kingdom,GBR,1990,69.98
United Kingdom,GBR,1995,59.18
United Kingdom,GBR,2000,56.205
United Kingdom,GBR,2005,92.036
United Kingdom,GBR,2010,93.902
United Kingdom,GBR,2016,95.27
United States,USA,1990,76.836
United States,USA,1995,86.283
United States,USA,2000,91.283
United States,USA,2005,91.286
United States,USA,2010,85.178
United States,USA,2016,92.334
Uruguay,URY,1990,90.283
Uruguay,URY,1995,94.528
Uruguay,URY,2000,94.916
Uruguay,URY,2005,95.698
Uruguay,URY,2010,96.673
Uruguay,URY,2016,97.097
Uzbekistan,UZB,1990,90.329
Uzbekistan,UZB,1995,93.342
Uzbekistan,UZB,2000,79.144
Uzbekistan,UZB,2005,94.874
Uzbekistan,UZB,2010,98.828
Uzbekistan,UZB,2016,99.58
Vanuatu,VUT,1990,48.192
Vanuatu,VUT,1995,61.052
Vanuatu,VUT,2000,64.455
Vanuatu,VUT,2005,61.181
Vanuatu,VUT,2010,67.957
Vanuatu,VUT,2016,68.32
Venezuela,VEN,1990,57.721
Venezuela,VEN,1995,66.383
Venezuela,VEN,2000,74.858
Venezuela,VEN,2005,73.423
Venezuela,VEN,2010,72.784
Venezuela,VEN,2016,77.588
Vietnam,VNM,1990,66.002
Vietnam,VNM,1995,79.116
Vietnam,VNM,2000,78.943
Vietnam,VNM,2005,82.145
Vietnam,VNM,2010,84.802
Vietnam,VNM,2016,86.765
Yemen,YEM,1990,30.86
Yemen,YEM,1995,51.298
Yemen,YEM,2000,62.166
Yemen,YEM,2005,64.502
Yemen,YEM,2010,68.751
Yemen,YEM,2016,71.543
Zambia,ZMB,1990,79.609
Zambia,ZMB,1995,83.25
Zambia,ZMB,2000,88.324
Zambia,ZMB,2005,90.097
Zambia,ZMB,2010,87.181
Zambia,ZMB,2016,90.186
Zimbabwe,ZWE,1990,86.108
Zimbabwe,ZWE,1995,84.33
Zimbabwe,ZWE,2000,74.036
Zimbabwe,ZWE,2005,78.995
Zimbabwe,ZWE,2010,87.822
Zimbabwe,ZWE,2016,97.18
