Entity,Code,Year,Share of deaths (%)
Heart disease,,2009,31.86
Heart disease,,2010,31.5
Heart disease,,2011,31.1
Heart disease,,2012,31.13
Heart disease,,2013,31.15
Heart disease,,2014,30.84
Heart disease,,2015,30.63
Heart disease,,2016,30.2
Homicide,,1999,0.88
Homicide,,2000,0.87
Homicide,,2001,0.9
Homicide,,2002,0.9
Homicide,,2003,0.91
Homicide,,2004,0.91
Homicide,,2005,0.94
Homicide,,2006,0.97
Homicide,,2007,0.97
Homicide,,2008,0.92
Homicide,,2009,0.88
Homicide,,2010,0.84
Homicide,,2011,0.84
Homicide,,2012,0.86
Homicide,,2013,0.82
Homicide,,2014,0.79
Homicide,,2015,0.86
Homicide,,2016,0.91
Kidney disease,,1999,1.97
Kidney disease,,2000,2.07
Kidney disease,,2001,2.18
Kidney disease,,2002,2.24
Kidney disease,,2003,2.32
Kidney disease,,2004,2.38
Kidney disease,,2005,2.41
Kidney disease,,2006,2.52
Kidney disease,,2007,2.59
Kidney disease,,2008,2.65
Kidney disease,,2009,2.74
Kidney disease,,2010,2.82
Kidney disease,,2011,2.56
Kidney disease,,2012,2.57
Kidney disease,,2013,2.62
Kidney disease,,2014,2.66
Kidney disease,,2015,2.69
Kidney disease,,2016,2.69
Lower respiratory disease,,1999,6.51
Lower respiratory disease,,2000,6.39
Lower respiratory disease,,2001,6.44
Lower respiratory disease,,2002,6.47
Lower respiratory disease,,2003,6.57
Lower respiratory disease,,2004,6.5
Lower respiratory disease,,2005,6.86
Lower respiratory disease,,2006,6.62
Lower respiratory disease,,2007,6.83
Lower respiratory disease,,2008,7.41
Lower respiratory disease,,2009,7.34
Lower respiratory disease,,2010,7.31
Lower respiratory disease,,2011,7.5
Lower respiratory disease,,2012,7.5
Lower respiratory disease,,2013,7.65
Lower respiratory disease,,2014,7.44
Lower respiratory disease,,2015,7.55
Lower respiratory disease,,2016,7.41
Pneumonia & influenza,,1999,3.34
Pneumonia & influenza,,2000,3.43
Pneumonia & influenza,,2001,3.25
Pneumonia & influenza,,2002,3.4
Pneumonia & influenza,,2003,3.38
Pneumonia & influenza,,2004,3.18
Pneumonia & influenza,,2005,3.3
Pneumonia & influenza,,2006,3
Pneumonia & influenza,,2007,2.81
Pneumonia & influenza,,2008,2.95
Pneumonia & influenza,,2009,2.87
Pneumonia & influenza,,2010,2.66
Pneumonia & influenza,,2011,2.82
Pneumonia & influenza,,2012,2.65
Pneumonia & influenza,,2013,2.92
Pneumonia & influenza,,2014,2.79
Pneumonia & influenza,,2015,2.78
Pneumonia & influenza,,2016,2.47
Stroke,,1999,6.87
Stroke,,2000,6.9
Stroke,,2001,6.7
Stroke,,2002,6.54
Stroke,,2003,6.32
Stroke,,2004,6.13
Stroke,,2005,5.75
Stroke,,2006,5.67
Stroke,,2007,5.61
Stroke,,2008,5.52
Stroke,,2009,5.45
Stroke,,2010,5.44
Stroke,,2011,5.3
Stroke,,2012,5.22
Stroke,,2013,5.13
Stroke,,2014,5.08
Stroke,,2015,4.91
Stroke,,2016,4.86
Suicide,,1999,1.53
Suicide,,2000,1.53
Suicide,,2001,1.6
Suicide,,2002,1.64
Suicide,,2003,1.64
Suicide,,2004,1.72
Suicide,,2005,1.71
Suicide,,2006,1.77
Suicide,,2007,1.84
Suicide,,2008,1.89
Suicide,,2009,1.96
Suicide,,2010,2.03
Suicide,,2011,2.07
Suicide,,2012,2.12
Suicide,,2013,2.1
Suicide,,2014,2.17
Suicide,,2015,2.15
Suicide,,2016,2.15
Terrorism,,1999,0
Terrorism,,2000,0
Terrorism,,2001,0.15
Terrorism,,2002,0
Terrorism,,2003,0
Terrorism,,2004,0
Terrorism,,2005,0
Terrorism,,2006,0
Terrorism,,2007,0
Terrorism,,2008,0
Terrorism,,2009,0
Terrorism,,2010,0
Terrorism,,2011,0
Terrorism,,2012,0
Terrorism,,2013,0
Terrorism,,2014,0
Terrorism,,2015,0
Terrorism,,2016,0
