Entity,Code,Year,"Communicable Diseases – Disability Adjusted Life Years (WHO) (per 100,000)"
Nicaragua,NIC,2000,8561
Nicaragua,NIC,2012,5741
Niger,NER,2000,65346
Niger,NER,2012,38549
Nigeria,NGA,2000,72681
Nigeria,NGA,2012,48537
North Korea,PRK,2000,12683
North Korea,PRK,2012,7319
Norway,NOR,2000,1151
Norway,NOR,2012,989
Oman,OMN,2000,6151
Oman,OMN,2012,4469
Pakistan,PAK,2000,26978
Pakistan,PAK,2012,19351
Panama,PAN,2000,6423
Panama,PAN,2012,5461
Papua New Guinea,PNG,2000,32991
Papua New Guinea,PNG,2012,24953
Paraguay,PRY,2000,7357
Paraguay,PRY,2012,5478
Peru,PER,2000,11237
Peru,PER,2012,5933
Philippines,PHL,2000,13047
Philippines,PHL,2012,10384
Poland,POL,2000,2212
Poland,POL,2012,1786
Portugal,PRT,2000,2031
Portugal,PRT,2012,1552
Qatar,QAT,2000,2911
Qatar,QAT,2012,2236
Romania,ROU,2000,5890
Romania,ROU,2012,3076
Russia,RUS,2000,6050
Russia,RUS,2012,4840
Rwanda,RWA,2000,75927
Rwanda,RWA,2012,22931
Saudi Arabia,SAU,2000,5526
Saudi Arabia,SAU,2012,3421
Senegal,SEN,2000,44446
Senegal,SEN,2012,26251
Serbia,SRB,2000,2507
Serbia,SRB,2012,1760
Sierra Leone,SLE,2000,100560
Sierra Leone,SLE,2012,70714
Singapore,SGP,2000,1898
Singapore,SGP,2012,1641
Slovakia,SVK,2000,2328
Slovakia,SVK,2012,2068
Slovenia,SVN,2000,1732
Slovenia,SVN,2012,1313
Solomon Islands,SLB,2000,16328
Solomon Islands,SLB,2012,10879
Somalia,SOM,2000,65607
Somalia,SOM,2012,52376
South Africa,ZAF,2000,34426
South Africa,ZAF,2012,34994
South Korea,KOR,2000,1771
South Korea,KOR,2012,1452
South Sudan,SSD,2000,65175
South Sudan,SSD,2012,45698
Spain,ESP,2000,1569
Spain,ESP,2012,1163
Sri Lanka,LKA,2000,6604
Sri Lanka,LKA,2012,4131
Sudan,SDN,2000,37709
Sudan,SDN,2012,27045
Suriname,SUR,2000,9504
Suriname,SUR,2012,6044
Swaziland,SWZ,2000,67517
Swaziland,SWZ,2012,52456
Sweden,SWE,2000,957
Sweden,SWE,2012,917
Switzerland,CHE,2000,1161
Switzerland,CHE,2012,961
Syria,SYR,2000,5466
Syria,SYR,2012,3775
Tajikistan,TJK,2000,18073
Tajikistan,TJK,2012,12024
Tanzania,TZA,2000,63365
Tanzania,TZA,2012,32371
Thailand,THA,2000,11301
Thailand,THA,2012,5805
Timor,TLS,2000,33016
Timor,TLS,2012,19667
Togo,TGO,2000,49305
Togo,TGO,2012,38319
Trinidad and Tobago,TTO,2000,8631
Trinidad and Tobago,TTO,2012,5294
Tunisia,TUN,2000,5822
Tunisia,TUN,2012,4020
Turkey,TUR,2000,7557
Turkey,TUR,2012,3738
Turkmenistan,TKM,2000,14418
Turkmenistan,TKM,2012,9563
Uganda,UGA,2000,83634
Uganda,UGA,2012,38378
Ukraine,UKR,2000,4955
Ukraine,UKR,2012,4935
United Arab Emirates,ARE,2000,2985
United Arab Emirates,ARE,2012,2588
United Kingdom,GBR,2000,1911
United Kingdom,GBR,2012,1394
United States,USA,2000,1857
United States,USA,2012,1604
Uruguay,URY,2000,3325
Uruguay,URY,2012,2675
Uzbekistan,UZB,2000,11633
Uzbekistan,UZB,2012,7717
Venezuela,VEN,2000,5394
Venezuela,VEN,2012,4143
Vietnam,VNM,2000,8610
Vietnam,VNM,2012,6375
Yemen,YEM,2000,32205
Yemen,YEM,2012,23365
Zambia,ZMB,2000,103127
Zambia,ZMB,2012,44639
Zimbabwe,ZWE,2000,112249
Zimbabwe,ZWE,2012,43557
