Entity,Code,Year,Change in female height (cm) (centimeters)
Ethiopia,ETH,1996,3.5385657
Europe and Central Asia,,1996,10.9153
Fiji,FJI,1996,8.2191881
Finland,FIN,1996,11.9690765
France,FRA,1996,9.5396559
French Polynesia,PYF,1996,8.2179425
Gabon,GAB,1996,5.9143995
Gambia,GMB,1996,5.4115209
Georgia,GEO,1996,9.3718068
Germany,DEU,1996,9.8703201
Ghana,GHA,1996,4.5987534
Greece,GRC,1996,14.3043699
Greenland,GRL,1996,14.5077719
Grenada,GRD,1996,10.7119423
Guatemala,GTM,1996,9.0986229
Guinea,GIN,1996,4.1782473
Guinea-Bissau,GNB,1996,5.5105437
Guyana,GUY,1996,9.261397
Haiti,HTI,1996,8.9838153
Honduras,HND,1996,10.3232153
Hong Kong,HKG,1996,12.9973069
Hungary,HUN,1996,10.4064652
Iceland,ISL,1996,7.3951508
India,IND,1996,4.6194904
Indonesia,IDN,1996,8.0957418
Iran,IRN,1996,11.1265901
Iraq,IRQ,1996,8.9897699
Ireland,IRL,1996,11.16151
Israel,ISR,1996,9.8087342
Italy,ITA,1996,11.1055177
Jamaica,JAM,1996,10.8605026
Japan,JPN,1996,16.0212277
Jordan,JOR,1996,8.623222
Kazakhstan,KAZ,1996,8.4441945
Kenya,KEN,1996,2.2609151
Kiribati,KIR,1996,5.2643497
Kuwait,KWT,1996,9.1690905
Kyrgyzstan,KGZ,1996,9.1694365
Laos,LAO,1996,6.5799561
Latin America and Caribbean,,1996,10.5951
Latvia,LVA,1996,14.2864223
Lebanon,LBN,1996,12.8172974
Lesotho,LSO,1996,2.6446987
Liberia,LBR,1996,4.0430933
Libya,LBY,1996,11.9061282
Lithuania,LTU,1996,12.5270636
Luxembourg,LUX,1996,9.6010285
Macedonia,MKD,1996,10.2066964
Madagascar,MDG,1996,1.5028805
Malawi,MWI,1996,2.9937009
Malaysia,MYS,1996,8.7536982
Maldives,MDV,1996,11.1315789
Mali,MLI,1996,4.3985767
Malta,MLT,1996,10.6617418
Marshall Islands,MHL,1996,2.5926642
Mauritania,MRT,1996,2.762087
Mauritius,MUS,1996,9.1216094
Mexico,MEX,1996,13.3718536
Micronesia (country),FSM,1996,3.6403721
Middle East and North Africa,,1996,8.943
Moldova,MDA,1996,10.9881187
Mongolia,MNG,1996,10.3232655
Montenegro,MNE,1996,12.7037508
Morocco,MAR,1996,7.0501206
Mozambique,MOZ,1996,3.092918
Myanmar,MMR,1996,8.7735287
Namibia,NAM,1996,1.9790626
Nauru,NRU,1996,2.193519
Nepal,NPL,1996,6.724711
Netherlands,NLD,1996,13.8941705
New Zealand,NZL,1996,8.9831385
Nicaragua,NIC,1996,8.2831319
Niger,NER,1996,1.9775513
Nigeria,NGA,1996,3.1962719
Niue,NIU,1996,12.7328087
North America,,1996,7.1633
North Korea,PRK,1996,9.8452969
Norway,NOR,1996,6.3426421
Oman,OMN,1996,10.3826048
Pakistan,PAK,1996,3.2473958
Palau,PLW,1996,4.2232758
Palestine,PSE,1996,7.8872854
Panama,PAN,1996,10.9838824
Papua New Guinea,PNG,1996,4.9557177
Paraguay,PRY,1996,10.6764289
Peru,PER,1996,11.4507324
Philippines,PHL,1996,1.7121351
Poland,POL,1996,14.0463646
Portugal,PRT,1996,12.5843991
Puerto Rico,PRI,1996,11.9025155
Qatar,QAT,1996,8.9545104
Romania,ROU,1996,11.6534214
Russia,RUS,1996,11.6838175
Rwanda,RWA,1996,2.5192575
Saint Kitts and Nevis,KNA,1996,6.4791917
Saint Lucia,LCA,1996,8.6551287
Saint Vincent and the Grenadines,VCT,1996,10.1344943
Samoa,WSM,1996,4.7585304
Sao Tome and Principe,STP,1996,6.020093
Saudi Arabia,SAU,1996,6.763007
Senegal,SEN,1996,5.5765161
Serbia,SRB,1996,15.6950507
Seychelles,SYC,1996,6.6246143
Sierra Leone,SLE,1996,4.1782987
Singapore,SGP,1996,13.2659289
Slovakia,SVK,1996,11.8861062
Slovenia,SVN,1996,13.543199
Solomon Islands,SLB,1996,5.9710995
Somalia,SOM,1996,4.2923717
South Africa,ZAF,1996,3.1169938
South Asia,,1996,7.1097
South Korea,KOR,1996,20.1609134
Spain,ESP,1996,12.2888666
Sri Lanka,LKA,1996,9.3014057
Sub-Saharan Africa,,1996,4.2828
Sudan,SDN,1996,4.2760631
Suriname,SUR,1996,10.1720534
Swaziland,SWZ,1996,5.7772721
Sweden,SWE,1996,5.4089258
Switzerland,CHE,1996,5.9181368
Syria,SYR,1996,9.0370823
Taiwan,TWN,1996,12.0726412
Tajikistan,TJK,1996,6.4410295
Tanzania,TZA,1996,4.8863034
Thailand,THA,1996,9.6821193
Timor,TLS,1996,6.3060867
Togo,TGO,1996,5.288635
Tokelau,TKL,1996,7.1417544
Tonga,TON,1996,7.949119
Trinidad and Tobago,TTO,1996,6.4250985
Tunisia,TUN,1996,9.4926205
Turkey,TUR,1996,10.915628
Turkmenistan,TKM,1996,8.8730765
Tuvalu,TUV,1996,1.5185633
Uganda,UGA,1996,3.1235341
Ukraine,UKR,1996,12.3864014
United Arab Emirates,ARE,1996,9.0735683
United Kingdom,GBR,1996,11.0195473
United States,USA,1996,5.023217
Uruguay,URY,1996,12.5205734
Uzbekistan,UZB,1996,6.9405088
Vanuatu,VUT,1996,5.4553479
Venezuela,VEN,1996,12.6998623
Vietnam,VNM,1996,8.8128523
World,OWID_WRL,1996,8.344391691
Yemen,YEM,1996,8.8687897
Zambia,ZMB,1996,4.2885218
Zimbabwe,ZWE,1996,2.9136566
