Entity,Code,Year, (tonnes)
Azerbaijan,AZE,1940,0.004764514
Azerbaijan,AZE,1950,0.004443846
Azerbaijan,AZE,1960,0.012764137
Azerbaijan,AZE,1970,0.027909533
Azerbaijan,AZE,1980,0.009033066
Azerbaijan,AZE,1990,0.035244079
Azerbaijan,AZE,2000,0.024762478
Bahrain,BHR,1850,0.000205881
Bahrain,BHR,1860,0.000205881
Bahrain,BHR,1870,0.000197563
Bahrain,BHR,1880,0.000189581
Bahrain,BHR,1890,0.000181921
Bahrain,BHR,1900,0.00017457
Bahrain,BHR,1910,0.000139598
Bahrain,BHR,1920,0.000108363
Bahrain,BHR,1930,0.0000788592
Bahrain,BHR,1940,0.002029972
Bahrain,BHR,1950,0.01407987
Bahrain,BHR,1960,0.007118012
Bahrain,BHR,1970,0.006087524
Bahrain,BHR,1980,0.017957863
Bahrain,BHR,1990,0.025485488
Bahrain,BHR,2000,0.103236822
Bangladesh,BGD,1850,0.0001644
Bangladesh,BGD,1860,0.000166241
Bangladesh,BGD,1870,0.000173903
Bangladesh,BGD,1880,0.000166347
Bangladesh,BGD,1890,0.000162883
Bangladesh,BGD,1900,0.000156117
Bangladesh,BGD,1910,0.000140946
Bangladesh,BGD,1920,0.000125776
Bangladesh,BGD,1930,0.000108872
Bangladesh,BGD,1940,0.000092679
Bangladesh,BGD,1950,0.0000772014
Bangladesh,BGD,1960,0.0000773739
Bangladesh,BGD,1970,0.000073588
Bangladesh,BGD,1980,0.000840314
Bangladesh,BGD,1990,0.000564855
Bangladesh,BGD,2000,0.000694639
Belarus,BLR,1850,0.00040874
Belarus,BLR,1860,0.000404332
Belarus,BLR,1870,0.000464143
Belarus,BLR,1880,0.000566748
Belarus,BLR,1890,0.000612225
Belarus,BLR,1900,0.000912018
Belarus,BLR,1910,0.001000657
Belarus,BLR,1920,0.000469369
Belarus,BLR,1930,0.001241502
Belarus,BLR,1940,0.004159069
Belarus,BLR,1950,0.01206666
Belarus,BLR,1960,0.02695328
Belarus,BLR,1970,0.047991951
Belarus,BLR,1980,0.069103102
Belarus,BLR,1990,0.060784373
Belarus,BLR,2000,0.013567189
Belgium,BEL,1850,0.011684
Belgium,BEL,1860,0.017362585
Belgium,BEL,1870,0.027395993
Belgium,BEL,1880,0.030715387
Belgium,BEL,1890,0.036678132
Belgium,BEL,1900,0.042377929
Belgium,BEL,1910,0.047770612
Belgium,BEL,1920,0.040254319
Belgium,BEL,1930,0.096200777
Belgium,BEL,1940,0.058680873
Belgium,BEL,1950,0.069216911
Belgium,BEL,1960,0.079750293
Belgium,BEL,1970,0.117317702
Belgium,BEL,1980,0.08425133
Belgium,BEL,1990,0.02654873
Belgium,BEL,2000,0.01152545
Benin,BEN,1850,0.00021012
Benin,BEN,1860,0.000250861
Benin,BEN,1870,0.000274686
Benin,BEN,1880,0.000314587
Benin,BEN,1890,0.000342275
Benin,BEN,1900,0.000342275
Benin,BEN,1910,0.000310828
Benin,BEN,1920,0.00027938
Benin,BEN,1930,0.000247933
Benin,BEN,1940,0.000216485
Benin,BEN,1950,0.000185038
Benin,BEN,1960,0.000478176
Benin,BEN,1970,0.000650945
Benin,BEN,1980,0.00065249
Benin,BEN,1990,0.000442823
Benin,BEN,2000,0.001218781
Bolivia,BOL,1850,0.0001
Bolivia,BOL,1860,0.0001
Bolivia,BOL,1870,0.0001
Bolivia,BOL,1880,0.000100065
Bolivia,BOL,1890,0.000544469
Bolivia,BOL,1900,0.001117745
Bolivia,BOL,1910,0.002774872
Bolivia,BOL,1920,0.007327354
Bolivia,BOL,1930,0.000105459
Bolivia,BOL,1940,0.000369398
Bolivia,BOL,1950,0.0009249
Bolivia,BOL,1960,0.00198916
Bolivia,BOL,1970,0.003106131
Bolivia,BOL,1980,0.002842701
Bolivia,BOL,1990,0.002178459
Bolivia,BOL,2000,0.002467772
Bosnia and Herzegovina,BIH,1850,0.0005
Bosnia and Herzegovina,BIH,1860,0.0005
Bosnia and Herzegovina,BIH,1870,0.0005
Bosnia and Herzegovina,BIH,1880,0.0005
Bosnia and Herzegovina,BIH,1890,0.0005
Bosnia and Herzegovina,BIH,1900,0.0005
Bosnia and Herzegovina,BIH,1910,0.000420793
Bosnia and Herzegovina,BIH,1920,0.000341585
Bosnia and Herzegovina,BIH,1930,0.000280164
Bosnia and Herzegovina,BIH,1940,0.00018603
Bosnia and Herzegovina,BIH,1950,0.00026516
Bosnia and Herzegovina,BIH,1960,0.025843611
Bosnia and Herzegovina,BIH,1970,0.041041259
Bosnia and Herzegovina,BIH,1980,0.067337121
Bosnia and Herzegovina,BIH,1990,0.109094801
Bosnia and Herzegovina,BIH,2000,0.051302745
Botswana,BWA,1850,0.0000349676
Botswana,BWA,1860,0.0000376262
Botswana,BWA,1870,0.0000406321
Botswana,BWA,1880,0.0000440629
Botswana,BWA,1890,0.0000480336
Botswana,BWA,1900,0.000052724
Botswana,BWA,1910,0.0000604634
Botswana,BWA,1920,0.0000702222
Botswana,BWA,1930,0.0000831187
Botswana,BWA,1940,0.000101129
Botswana,BWA,1950,0.000127732
Botswana,BWA,1960,0.000132003
Botswana,BWA,1970,0.000130859
Botswana,BWA,1980,0.000245106
Botswana,BWA,1990,0.016735312
Botswana,BWA,2000,0.04555182
Brazil,BRA,1850,0.000213063
Brazil,BRA,1860,0.000213063
Brazil,BRA,1870,0.000213063
Brazil,BRA,1880,0.000213063
Brazil,BRA,1890,0.000213064
Brazil,BRA,1900,0.00021309
Brazil,BRA,1910,0.002073089
Brazil,BRA,1920,0.001612819
Brazil,BRA,1930,0.00200098
Brazil,BRA,1940,0.002572852
Brazil,BRA,1950,0.003921998
Brazil,BRA,1960,0.005959377
Brazil,BRA,1970,0.008099652
Brazil,BRA,1980,0.012842585
Brazil,BRA,1990,0.010986742
Brazil,BRA,2000,0.009959535
Brunei,BRN,1850,0.000280256
Brunei,BRN,1860,0.000294799
Brunei,BRN,1870,0.000297362
Brunei,BRN,1880,0.0003122
Brunei,BRN,1890,0.000380766
Brunei,BRN,1900,0.001947033
Brunei,BRN,1910,0.007501856
Brunei,BRN,1920,0.012140627
Brunei,BRN,1930,0.022941586
Brunei,BRN,1940,0.425060917
Brunei,BRN,1950,0.065544696
Brunei,BRN,1960,0.052789435
Brunei,BRN,1970,0.167274468
Brunei,BRN,1980,0.344926432
Brunei,BRN,1990,0.231438242
Brunei,BRN,2000,0.369712978
Bulgaria,BGR,1850,0.000101425
Bulgaria,BGR,1860,0.000101401
Bulgaria,BGR,1870,0.000101375
Bulgaria,BGR,1880,0.000107623
Bulgaria,BGR,1890,0.000796158
Bulgaria,BGR,1900,0.001633791
Bulgaria,BGR,1910,0.002668938
Bulgaria,BGR,1920,0.003569261
Bulgaria,BGR,1930,0.007377261
Bulgaria,BGR,1940,0.01027639
Bulgaria,BGR,1950,0.023340974
Bulgaria,BGR,1960,0.068661467
Bulgaria,BGR,1970,0.183410913
Bulgaria,BGR,1980,0.23133687
Bulgaria,BGR,1990,0.227579016
Bulgaria,BGR,2000,0.130473471
Cambodia,KHM,1850,0.000301493
Cambodia,KHM,1860,0.000301493
Cambodia,KHM,1870,0.000301493
Cambodia,KHM,1880,0.000301493
Cambodia,KHM,1890,0.000301493
Cambodia,KHM,1900,0.000301493
Cambodia,KHM,1910,0.000335148
Cambodia,KHM,1920,0.000368803
Cambodia,KHM,1930,0.000402459
Cambodia,KHM,1940,0.000436114
Cambodia,KHM,1950,0.000469769
Cambodia,KHM,1960,0.000503425
Cambodia,KHM,1970,0.000503424
Cambodia,KHM,1980,0.000493353
Cambodia,KHM,1990,0.000505907
Cambodia,KHM,2000,0.000802868
Cameroon,CMR,1850,0.000101495
Cameroon,CMR,1860,0.000115232
Cameroon,CMR,1870,0.000127471
Cameroon,CMR,1880,0.000147092
Cameroon,CMR,1890,0.00016369
Cameroon,CMR,1900,0.000182129
Cameroon,CMR,1910,0.000196708
Cameroon,CMR,1920,0.000211288
Cameroon,CMR,1930,0.000225868
Cameroon,CMR,1940,0.000240448
Cameroon,CMR,1950,0.000347753
Cameroon,CMR,1960,0.00058011
Cameroon,CMR,1970,0.000892557
Cameroon,CMR,1980,0.00129657
Cameroon,CMR,1990,0.001268989
Cameroon,CMR,2000,0.006732502
Canada,CAN,1850,0.001696401
Canada,CAN,1860,0.002383473
Canada,CAN,1870,0.003840078
Canada,CAN,1880,0.010316293
Canada,CAN,1890,0.021940385
Canada,CAN,1900,0.036100442
Canada,CAN,1910,0.086135513
Canada,CAN,1920,0.119416407
Canada,CAN,1930,0.168870332
Canada,CAN,1940,0.268135801
Canada,CAN,1950,0.24006761
Canada,CAN,1960,0.235055813
Canada,CAN,1970,0.237255052
Canada,CAN,1980,0.164591447
Canada,CAN,1990,0.111168847
Canada,CAN,2000,0.072824545
Chile,CHL,1850,0.019505204
Chile,CHL,1860,0.028961958
Chile,CHL,1870,0.029561696
Chile,CHL,1880,0.030948605
Chile,CHL,1890,0.021475819
Chile,CHL,1900,0.016606726
Chile,CHL,1910,0.029733266
Chile,CHL,1920,0.058189593
Chile,CHL,1930,0.110092286
Chile,CHL,1940,0.149702664
Chile,CHL,1950,0.13347776
Chile,CHL,1960,0.15503616
Chile,CHL,1970,0.162997879
Chile,CHL,1980,0.188465422
Chile,CHL,1990,0.176219538
Chile,CHL,2000,0.074291956
China,CHN,1850,0.000374559
China,CHN,1860,0.000346762
China,CHN,1870,0.000383174
China,CHN,1880,0.00038349
China,CHN,1890,0.000377793
China,CHN,1900,0.000369622
China,CHN,1910,0.000844343
China,CHN,1920,0.000971171
China,CHN,1930,0.001188006
China,CHN,1940,0.002091231
China,CHN,1950,0.001992684
China,CHN,1960,0.013014523
China,CHN,1970,0.009143445
China,CHN,1980,0.012440212
China,CHN,1990,0.015327143
China,CHN,2000,0.017185734
Colombia,COL,1850,0.000178788
Colombia,COL,1860,0.000172722
Colombia,COL,1870,0.000178623
Colombia,COL,1880,0.000176903
Colombia,COL,1890,0.000184275
Colombia,COL,1900,0.000208742
Colombia,COL,1910,0.000199362
Colombia,COL,1920,0.000182237
Colombia,COL,1930,0.000715944
Colombia,COL,1940,0.002316531
Colombia,COL,1950,0.003212495
Colombia,COL,1960,0.005362684
Colombia,COL,1970,0.004873808
Colombia,COL,1980,0.003379055
Colombia,COL,1990,0.003783811
Colombia,COL,2000,0.003782335
Congo,COG,1850,0.0000699894
Congo,COG,1860,0.000069166
Congo,COG,1870,0.0000670486
Congo,COG,1880,0.0000649961
Congo,COG,1890,0.0000715126
Congo,COG,1900,0.0000819841
Congo,COG,1910,0.000314407
Congo,COG,1920,0.000626247
Congo,COG,1930,0.001019241
Congo,COG,1940,0.001509997
Congo,COG,1950,0.002118189
Congo,COG,1960,0.008863559
Congo,COG,1970,0.014673201
Congo,COG,1980,0.012758704
Congo,COG,1990,0.010509363
Congo,COG,2000,0.059370124
Costa Rica,CRI,1850,0.0001
Costa Rica,CRI,1860,0.0001
Costa Rica,CRI,1870,0.0001
Costa Rica,CRI,1880,0.000101603
Costa Rica,CRI,1890,0.000121603
Costa Rica,CRI,1900,0.000139711
Costa Rica,CRI,1910,0.000149037
Costa Rica,CRI,1920,0.000158363
Costa Rica,CRI,1930,0.000167689
Costa Rica,CRI,1940,0.000177015
Costa Rica,CRI,1950,0.002852874
Costa Rica,CRI,1960,0.003538951
Costa Rica,CRI,1970,0.005593984
Costa Rica,CRI,1980,0.006392274
Costa Rica,CRI,1990,0.005906878
Costa Rica,CRI,2000,0.004936467
Cote d'Ivoire,CIV,1850,0.000810922
Cote d'Ivoire,CIV,1860,0.000961698
Cote d'Ivoire,CIV,1870,0.000784695
Cote d'Ivoire,CIV,1880,0.00066063
Cote d'Ivoire,CIV,1890,0.000547855
Cote d'Ivoire,CIV,1900,0.000444339
Cote d'Ivoire,CIV,1910,0.000314522
Cote d'Ivoire,CIV,1920,0.000260946
Cote d'Ivoire,CIV,1930,0.000212838
Cote d'Ivoire,CIV,1940,0.000169725
Cote d'Ivoire,CIV,1950,0.000131169
Cote d'Ivoire,CIV,1960,0.001243736
Cote d'Ivoire,CIV,1970,0.00339747
Cote d'Ivoire,CIV,1980,0.002402903
Cote d'Ivoire,CIV,1990,0.001343932
Cote d'Ivoire,CIV,2000,0.001989025
Croatia,HRV,1850,0.0005
Croatia,HRV,1860,0.000500024
Croatia,HRV,1870,0.000500262
Croatia,HRV,1880,0.000500945
Croatia,HRV,1890,0.000502593
Croatia,HRV,1900,0.000509568
Croatia,HRV,1910,0.000479113
Croatia,HRV,1920,0.000392518
Croatia,HRV,1930,0.000612371
Croatia,HRV,1940,0.000469382
Croatia,HRV,1950,0.000789633
Croatia,HRV,1960,0.00581217
Croatia,HRV,1970,0.024874309
Croatia,HRV,1980,0.03819504
Croatia,HRV,1990,0.037348173
Croatia,HRV,2000,0.015588673
Cuba,CUB,1850,0.005657194
Cuba,CUB,1860,0.000156743
Cuba,CUB,1870,0.00016377
Cuba,CUB,1880,0.000161343
Cuba,CUB,1890,0.00015694
Cuba,CUB,1900,0.000154969
Cuba,CUB,1910,0.003654112
Cuba,CUB,1920,0.005051956
Cuba,CUB,1930,0.00018568
Cuba,CUB,1940,0.000195916
Cuba,CUB,1950,0.009287642
Cuba,CUB,1960,0.024094459
Cuba,CUB,1970,0.030645521
Cuba,CUB,1980,0.030508914
Cuba,CUB,1990,0.033577178
Cuba,CUB,2000,0.028853142
Cyprus,CYP,1850,0.00013468
Cyprus,CYP,1860,0.000134958
Cyprus,CYP,1870,0.00012379
Cyprus,CYP,1880,0.000114513
Cyprus,CYP,1890,0.000647078
Cyprus,CYP,1900,0.001160592
Cyprus,CYP,1910,0.001875058
Cyprus,CYP,1920,0.000445606
Cyprus,CYP,1930,0.00116583
Cyprus,CYP,1940,0.001337157
Cyprus,CYP,1950,0.009864438
Cyprus,CYP,1960,0.024378687
Cyprus,CYP,1970,0.038100005
Cyprus,CYP,1980,0.045834044
Cyprus,CYP,1990,0.067591765
Cyprus,CYP,2000,0.033261227
Czech Republic,CZE,1850,0.000617298
Czech Republic,CZE,1860,0.001380706
Czech Republic,CZE,1870,0.017698499
Czech Republic,CZE,1880,0.067680659
Czech Republic,CZE,1890,0.111164371
Czech Republic,CZE,1900,0.136973529
Czech Republic,CZE,1910,0.155144726
Czech Republic,CZE,1920,0.121787998
Czech Republic,CZE,1930,0.123940131
Czech Republic,CZE,1940,0.182049105
Czech Republic,CZE,1950,0.113666956
Czech Republic,CZE,1960,0.193785978
Czech Republic,CZE,1970,0.258413189
Czech Republic,CZE,1980,0.219476438
Czech Republic,CZE,1990,0.182077728
Czech Republic,CZE,2000,0.025860694
Democratic Republic of Congo,COD,1850,0.0000568139
Democratic Republic of Congo,COD,1860,0.0000614852
Democratic Republic of Congo,COD,1870,0.0000688992
Democratic Republic of Congo,COD,1880,0.0000797814
Democratic Republic of Congo,COD,1890,0.0000894236
Democratic Republic of Congo,COD,1900,0.0000999357
Democratic Republic of Congo,COD,1910,0.000100476
Democratic Republic of Congo,COD,1920,0.000118789
Democratic Republic of Congo,COD,1930,0.009394891
Democratic Republic of Congo,COD,1940,0.01000912
Democratic Republic of Congo,COD,1950,0.017634046
Democratic Republic of Congo,COD,1960,0.019302362
Democratic Republic of Congo,COD,1970,0.019272825
Democratic Republic of Congo,COD,1980,0.013190455
Democratic Republic of Congo,COD,1990,0.006762124
Democratic Republic of Congo,COD,2000,0.000303262
Denmark,DNK,1850,0.00165465
Denmark,DNK,1860,0.002283074
Denmark,DNK,1870,0.004311538
Denmark,DNK,1880,0.006293277
Denmark,DNK,1890,0.009085333
Denmark,DNK,1900,0.014405377
Denmark,DNK,1910,0.018423759
Denmark,DNK,1920,0.015205271
Denmark,DNK,1930,0.026120623
Denmark,DNK,1940,0.019565747
Denmark,DNK,1950,0.042401831
Denmark,DNK,1960,0.07051592
Denmark,DNK,1970,0.121737684
Denmark,DNK,1980,0.088248573
Denmark,DNK,1990,0.034560668
Denmark,DNK,2000,0.005337947
Dominican Republic,DOM,1850,0.000186359
Dominican Republic,DOM,1860,0.000217419
Dominican Republic,DOM,1870,0.000207066
Dominican Republic,DOM,1880,0.000197205
Dominican Republic,DOM,1890,0.000194381
Dominican Republic,DOM,1900,0.00019177
Dominican Republic,DOM,1910,0.000178182
Dominican Republic,DOM,1920,0.000172259
Dominican Republic,DOM,1930,0.000166746
Dominican Republic,DOM,1940,0.000159315
Dominican Republic,DOM,1950,0.001498692
Dominican Republic,DOM,1960,0.003140101
Dominican Republic,DOM,1970,0.006366972
Dominican Republic,DOM,1980,0.010687636
Dominican Republic,DOM,1990,0.009000877
Dominican Republic,DOM,2000,0.011740091
Ecuador,ECU,1850,0.000213063
Ecuador,ECU,1860,0.000213063
Ecuador,ECU,1870,0.000213063
Ecuador,ECU,1880,0.000213105
Ecuador,ECU,1890,0.000213682
Ecuador,ECU,1900,0.000214892
Ecuador,ECU,1910,0.000201618
Ecuador,ECU,1920,0.000260418
Ecuador,ECU,1930,0.002122791
Ecuador,ECU,1940,0.00200374
Ecuador,ECU,1950,0.001968049
Ecuador,ECU,1960,0.003508661
Ecuador,ECU,1970,0.004920415
Ecuador,ECU,1980,0.010936492
Ecuador,ECU,1990,0.008762243
Ecuador,ECU,2000,0.007051963
Egypt,EGY,1850,0.000085674
Egypt,EGY,1860,0.0001
Egypt,EGY,1870,0.0001
Egypt,EGY,1880,0.000100001
Egypt,EGY,1890,0.000100006
Egypt,EGY,1900,0.000100124
Egypt,EGY,1910,0.0000858015
Egypt,EGY,1920,0.000511452
Egypt,EGY,1930,0.000815539
Egypt,EGY,1940,0.002201245
Egypt,EGY,1950,0.005056793
Egypt,EGY,1960,0.006132217
Egypt,EGY,1970,0.005480423
Egypt,EGY,1980,0.008611342
Egypt,EGY,1990,0.011536919
Egypt,EGY,2000,0.007966648
El Salvador,SLV,1850,0.000140657
El Salvador,SLV,1860,0.000132647
El Salvador,SLV,1870,0.0001285
El Salvador,SLV,1880,0.000118336
El Salvador,SLV,1890,0.000112482
El Salvador,SLV,1900,0.000117865
El Salvador,SLV,1910,0.000133559
El Salvador,SLV,1920,0.000149252
El Salvador,SLV,1930,0.000164946
El Salvador,SLV,1940,0.000180639
El Salvador,SLV,1950,0.001392681
El Salvador,SLV,1960,0.002290034
El Salvador,SLV,1970,0.003646691
El Salvador,SLV,1980,0.002918928
El Salvador,SLV,1990,0.002830534
El Salvador,SLV,2000,0.005351147
Eritrea,ERI,1850,0.000104276
Eritrea,ERI,1860,0.0000998949
Eritrea,ERI,1870,0.0000998949
Eritrea,ERI,1880,0.0000998949
Eritrea,ERI,1890,0.0000998949
Eritrea,ERI,1900,0.0000998949
Eritrea,ERI,1910,0.000102962
Eritrea,ERI,1920,0.000106029
Eritrea,ERI,1930,0.000109095
Eritrea,ERI,1940,0.000112162
Eritrea,ERI,1950,0.000115229
Eritrea,ERI,1960,0.000118079
Eritrea,ERI,1970,0.000117388
Eritrea,ERI,1980,0.000114228
Eritrea,ERI,1990,0.000113927
Eritrea,ERI,2000,0.001689289
Estonia,EST,1850,0.000456745
Estonia,EST,1860,0.000421717
Estonia,EST,1870,0.000444245
Estonia,EST,1880,0.000592009
Estonia,EST,1890,0.001199764
Estonia,EST,1900,0.002493464
Estonia,EST,1910,0.002028744
Estonia,EST,1920,0.001065687
Estonia,EST,1930,0.002918848
Estonia,EST,1940,0.005012516
Estonia,EST,1950,0.00408365
Estonia,EST,1960,0.167623403
Estonia,EST,1970,0.188743424
Estonia,EST,1980,0.209428837
Estonia,EST,1990,0.163882725
Estonia,EST,2000,0.083883772
Finland,FIN,1850,0.0015
Finland,FIN,1860,0.001797801
Finland,FIN,1870,0.002162229
Finland,FIN,1880,0.002145257
Finland,FIN,1890,0.005522178
Finland,FIN,1900,0.009806194
Finland,FIN,1910,0.017652567
Finland,FIN,1920,0.008070451
Finland,FIN,1930,0.029316291
Finland,FIN,1940,0.029212059
Finland,FIN,1950,0.07820998
Finland,FIN,1960,0.088202628
Finland,FIN,1970,0.128435493
Finland,FIN,1980,0.122187568
Finland,FIN,1990,0.049875252
Finland,FIN,2000,0.015548865
France,FRA,1850,0.002704892
France,FRA,1860,0.00460288
France,FRA,1870,0.005995919
France,FRA,1880,0.008830249
France,FRA,1890,0.010615703
France,FRA,1900,0.013838882
France,FRA,1910,0.017838305
France,FRA,1920,0.025543984
France,FRA,1930,0.035961074
France,FRA,1940,0.021328988
France,FRA,1950,0.037635917
France,FRA,1960,0.04186271
France,FRA,1970,0.066248814
France,FRA,1980,0.059518349
France,FRA,1990,0.024071983
France,FRA,2000,0.011324062
Gabon,GAB,1850,0.0000602201
Gabon,GAB,1860,0.000059208
Gabon,GAB,1870,0.000059208
Gabon,GAB,1880,0.0000624204
Gabon,GAB,1890,0.0000713751
Gabon,GAB,1900,0.0000802701
Gabon,GAB,1910,0.000114806
Gabon,GAB,1920,0.000170249
Gabon,GAB,1930,0.000238966
Gabon,GAB,1940,0.000323587
Gabon,GAB,1950,0.000427218
Gabon,GAB,1960,0.004604558
Gabon,GAB,1970,0.028624065
Gabon,GAB,1980,0.036702163
Gabon,GAB,1990,0.035940301
Gabon,GAB,2000,0.038405153
Georgia,GEO,1850,0.00054723
Georgia,GEO,1860,0.000512816
Georgia,GEO,1870,0.000554084
Georgia,GEO,1880,0.000695913
Georgia,GEO,1890,0.001117916
Georgia,GEO,1900,0.002105017
Georgia,GEO,1910,0.001819289
Georgia,GEO,1920,0.000883911
Georgia,GEO,1930,0.002065272
Georgia,GEO,1940,0.004234385
Georgia,GEO,1950,0.00455231
Georgia,GEO,1960,0.010372831
Georgia,GEO,1970,0.01887595
Georgia,GEO,1980,0.027506646
Georgia,GEO,1990,0.028065014
Georgia,GEO,2000,0.002813309
Germany,DEU,1850,0.003405718
Germany,DEU,1860,0.006919403
Germany,DEU,1870,0.011814424
Germany,DEU,1880,0.017645107
Germany,DEU,1890,0.025732453
Germany,DEU,1900,0.036039623
Germany,DEU,1910,0.043226768
Germany,DEU,1920,0.044037566
Germany,DEU,1930,0.050597484
Germany,DEU,1940,0.068560333
Germany,DEU,1950,0.059550934
Germany,DEU,1960,0.09522975
Germany,DEU,1970,0.103833265
Germany,DEU,1980,0.095978242
Germany,DEU,1990,0.067378273
Germany,DEU,2000,0.007759144
Ghana,GHA,1850,0.000142905
Ghana,GHA,1860,0.000160145
Ghana,GHA,1870,0.000178572
Ghana,GHA,1880,0.000207145
Ghana,GHA,1890,0.000233625
Ghana,GHA,1900,0.0002531
Ghana,GHA,1910,0.000232473
Ghana,GHA,1920,0.000211846
Ghana,GHA,1930,0.000191219
Ghana,GHA,1940,0.000170592
Ghana,GHA,1950,0.00070485
Ghana,GHA,1960,0.001384812
Ghana,GHA,1970,0.001933374
Ghana,GHA,1980,0.001570464
Ghana,GHA,1990,0.001337767
Ghana,GHA,2000,0.001676812
Greece,GRC,1850,0.000837892
Greece,GRC,1860,0.001029028
Greece,GRC,1870,0.001848936
Greece,GRC,1880,0.00134059
Greece,GRC,1890,0.00241747
Greece,GRC,1900,0.004081078
Greece,GRC,1910,0.004994658
Greece,GRC,1920,0.003250515
Greece,GRC,1930,0.006968152
Greece,GRC,1940,0.002505635
Greece,GRC,1950,0.006406635
Greece,GRC,1960,0.013113226
Greece,GRC,1970,0.032086826
Greece,GRC,1980,0.041483001
Greece,GRC,1990,0.046172923
Greece,GRC,2000,0.045038018
Guatemala,GTM,1850,0.0001
Guatemala,GTM,1860,0.0001
Guatemala,GTM,1870,0.0001
