Entity,Code,Year,Share of people who agree vaccines are important for children to have (%)
Niger,NER,2018,93.9277193
Nigeria,NGA,2018,96.21776329
North Africa,,2018,94
Northern America,,2018,87
Northern Cyprus,OWID_CYN,2018,100
Northern Europe,,2018,89
Norway,NOR,2018,96.46415387
Pakistan,PAK,2018,92.95755059
Palestine,PSE,2018,99.81809299
Panama,PAN,2018,96.14010546
Paraguay,PRY,2018,96.55910239
Peru,PER,2018,94.65921348
Philippines,PHL,2018,93.43471143
Poland,POL,2018,89.29095657
Portugal,PRT,2018,96.44636303
Romania,ROU,2018,89.42052721
Russia,RUS,2018,77.27611037
Rwanda,RWA,2018,98.49394064
Saudi Arabia,SAU,2018,94.51344559
Senegal,SEN,2018,94.94049743
Serbia,SRB,2018,84.24047902
Sierra Leone,SLE,2018,98.39615515
Singapore,SGP,2018,85.74143969
Slovakia,SVK,2018,84.68860603
Slovenia,SVN,2018,88.83694557
South Africa,ZAF,2018,91.89134844
South America,,2018,97
South Asia,,2018,98
South Korea,KOR,2018,72.30762691
Southeast Asia,,2018,95
Southern Africa,,2018,93
Southern Europe,,2018,86
Spain,ESP,2018,87.8456352
Sri Lanka,LKA,2018,98.43022036
Swaziland,SWZ,2018,94.43939896
Sweden,SWE,2018,92.76281682
Switzerland,CHE,2018,75.14677003
Taiwan,TWN,2018,87.60738815
Tajikistan,TJK,2018,96.68208741
Tanzania,TZA,2018,98.93528549
Thailand,THA,2018,97.15742533
Togo,TGO,2018,90.56253903
Tunisia,TUN,2018,91.52962184
Turkey,TUR,2018,93.4521032
Turkmenistan,TKM,2018,90.46698076
Uganda,UGA,2018,97.45142236
Ukraine,UKR,2018,76.4157292
United Arab Emirates,ARE,2018,94.05037382
United Kingdom,GBR,2018,89.00867298
United States,USA,2018,86.93454509
Uruguay,URY,2018,94.46819233
Uzbekistan,UZB,2018,98.28823461
Venezuela,VEN,2018,99.57585105
Vietnam,VNM,2018,91.72212825
Western Africa,,2018,95
Western Europe,,2018,83
World,OWID_WRL,2018,92
Yemen,YEM,2018,93.37462924
Zambia,ZMB,2018,94.93797019
Zimbabwe,ZWE,2018,97.3160044
