Entity,Code,Year,p90 of income/consumption distribution ((international-$ per day)),p10 of income/consumption distribution ((international-$ per day))
Canada (inc),,1991,76.124695,16.399359
Canada (inc),,1994,77.582138,16.606522
Canada (inc),,1997,78.174133,15.97981
Canada (inc),,1998,83.225243,16.116726
Canada (inc),,2000,84.788651,16.299072
Canada (inc),,2004,91.478409,17.292625
Canada (inc),,2007,101.25098,19.690411
Canada (inc),,2010,102.89227,20.064867
Canada (inc),,2013,104.43603,18.269466
Cape Verde (cons),,2002,16.086874,1.633689
Cape Verde (cons),,2007,17.232658,2.1601918
Central African Republic (cons),,1992,2.656534,0.12831834
Central African Republic (cons),,2003,4.0745616,0.54937291
Central African Republic (cons),,2008,5.4852247,0.43444708
Chad (cons),,2003,4.0158687,0.6590122
Chad (cons),,2011,6.6118107,0.80616301
Chile (inc),,1987,22.205854,1.6995678
Chile (inc),,1990,26.632559,2.0759635
Chile (inc),,1992,28.255505,2.5930965
Chile (inc),,1994,31.768644,2.5542767
Chile (inc),,1996,34.234379,2.9591577
Chile (inc),,1998,36.779778,3.0075586
Chile (inc),,2000,31.379799,2.697094
Chile (inc),,2003,30.691895,2.7777948
Chile (inc),,2006,32.125927,3.4927378
Chile (inc),,2009,34.485226,3.5600593
Chile (inc),,2011,36.755707,4.2177753
Chile (inc),,2013,44.157681,5.3356442
Chile (inc),,2015,46.937077,5.1955805
China (Rural) (cons),,1990,2.9007983,0.74943906
China (Rural) (cons),,1993,3.2429132,0.78982222
China (Rural) (cons),,1996,4.2147956,0.99077052
China (Rural) (cons),,1999,4.3277268,0.95348132
China (Rural) (cons),,2002,5.1693087,1.0319228
China (Rural) (cons),,2005,6.4034948,1.3350854
China (Rural) (cons),,2008,7.8064632,1.429149
China (Rural) (cons),,2010,8.9743204,1.6053874
China (Rural) (cons),,2011,9.4374113,1.7604766
China (Rural) (cons),,2012,10.519726,1.8868247
China (Rural) (cons),,2013,11.790856,2.5932422
China (Rural) (cons),,2014,12.841137,2.8086159
China (Rural) (cons),,2015,13.780665,3.1238341
China (Rural) (inc),,1981,1.5552522,0.48376325
China (Rural) (inc),,1984,2.2656245,0.66118938
China (Rural) (inc),,1987,2.8708251,0.72130698
China (Urban) (cons),,1990,4.3013873,1.3124295
China (Urban) (cons),,1993,5.6593513,1.5367439
China (Urban) (cons),,1996,6.6635547,1.7888309
China (Urban) (cons),,1999,8.0038881,1.8961356
China (Urban) (cons),,2002,10.72724,2.3195424
China (Urban) (cons),,2005,13.587167,2.7552881
China (Urban) (cons),,2008,16.753132,3.4093328
China (Urban) (cons),,2010,19.510515,3.9373949
China (Urban) (cons),,2011,20.520386,4.2042694
China (Urban) (cons),,2012,21.859001,4.4900842
China (Urban) (cons),,2013,23.707611,4.4408326
China (Urban) (cons),,2014,24.862289,4.5695195
China (Urban) (cons),,2015,26.226278,4.9585333
China (Urban) (inc),,1981,2.6846712,1.1261898
China (Urban) (inc),,1984,3.0552716,1.3418145
China (Urban) (inc),,1987,3.8575714,1.4650763
China (cons),,2008,12.46806,1.720595
China (cons),,2012,17.010286,2.3702884
Colombia (Urban) (inc),,1988,21.317982,1.7353803
Colombia (Urban) (inc),,1989,21.320797,1.8712838
Colombia (Urban) (inc),,1991,21.3283,1.9034719
Colombia (inc),,1992,21.250347,1.5379107
Colombia (inc),,1996,19.736258,0.66808677
Colombia (inc),,1999,18.936489,0.50028908
Colombia (inc),,2000,21.120035,0.22732551
Colombia (inc),,2001,17.680355,0.6672231
Colombia (inc),,2002,20.898912,1.4325004
Colombia (inc),,2003,20.700668,1.5909768
Colombia (inc),,2004,22.155582,1.8034617
Colombia (inc),,2005,23.222363,1.8752863
