Entity,Code,Year,Adequacy of social safety net programs (% of total welfare of beneficiary households) (% of total welfare of beneficiary households)
Kosovo,OWID_KOS,2012,13.3281561099021
Kosovo,OWID_KOS,2013,12.989874725477
Kyrgyzstan,KGZ,2006,9.20678887636874
Kyrgyzstan,KGZ,2011,8.4104791248811
Kyrgyzstan,KGZ,2012,10.0006933534322
Kyrgyzstan,KGZ,2013,11.152780221866
Latvia,LVA,2008,7.82274403988393
Latvia,LVA,2009,7.08060533272101
Liberia,LBR,2014,9.48896358806708
Lithuania,LTU,2008,6.49627944599187
Malawi,MWI,2004,3.02203432386208
Malawi,MWI,2010,1.80881913272644
Malawi,MWI,2013,1.0266318986783
Malaysia,MYS,2008,1.74578753345899
Maldives,MDV,2004,7.38785907891926
Maldives,MDV,2009,24.7639006450377
Mauritania,MRT,2008,44.1220722111674
Mauritius,MUS,2006,24.8950780800975
Mauritius,MUS,2012,28.7632734963137
Mexico,MEX,2008,18.4868321750808
Mexico,MEX,2010,17.9250927933712
Mexico,MEX,2012,10.2059632615725
Micronesia (country),FSM,2000,19.9646318502231
Moldova,MDA,2010,8.71030000499764
Moldova,MDA,2012,8.80007657789887
Moldova,MDA,2013,9.04455094384826
Mongolia,MNG,2007,6.28946235429819
Mongolia,MNG,2009,6.82053801959723
Mongolia,MNG,2010,5.93264153023365
Mongolia,MNG,2011,10.9821815852813
Mongolia,MNG,2012,11.0652136816749
Montenegro,MNE,2011,28.4419629727322
Montenegro,MNE,2012,29.5973724470934
Montenegro,MNE,2013,31.1341742639732
Montenegro,MNE,2014,22.0878816796756
Nepal,NPL,2010,2.51211619987481
Nicaragua,NIC,2009,4.41828852999843
Niger,NER,2014,1.63388743132395
Nigeria,NGA,2010,2.64930982351218
Nigeria,NGA,2012,0.627014521477547
Nigeria,NGA,2015,2.1896824383558
Pakistan,PAK,2007,17.9244204685044
Pakistan,PAK,2009,12.0028314820381
Pakistan,PAK,2013,7.90893185659371
Palau,PLW,2006,10.4699063487055
Palestine,PSE,2007,5.78025295245592
Palestine,PSE,2009,20.6695276400199
Panama,PAN,2008,2.72465845151999
Panama,PAN,2009,6.03277644739319
Panama,PAN,2010,7.65543138575702
Panama,PAN,2011,7.56028713571406
Panama,PAN,2012,6.93183552009379
Panama,PAN,2013,6.56957593226885
Panama,PAN,2014,6.77706928114443
Papua New Guinea,PNG,2009,0.0447171995563086
Paraguay,PRY,2008,17.5483624585214
Paraguay,PRY,2009,13.4501836456368
Paraguay,PRY,2010,10.7469503328446
Paraguay,PRY,2011,13.4540489843155
Peru,PER,2008,12.8111985369063
Peru,PER,2009,11.0293641002075
Peru,PER,2010,10.108207070499
Peru,PER,2011,10.4626310998261
Peru,PER,2012,9.80225777561479
Peru,PER,2013,8.53908422873999
Peru,PER,2014,7.98997378108178
Philippines,PHL,2013,11.6443495056557
Philippines,PHL,2015,5.42780348307367
Poland,POL,2005,9.94079143161292
Poland,POL,2006,9.94302825984998
Poland,POL,2007,9.67640018062043
Poland,POL,2008,8.76774396975065
Poland,POL,2009,8.61497053115139
Poland,POL,2010,9.80172396410202
Poland,POL,2011,9.7173233012347
Poland,POL,2012,10.2436336216274
Romania,ROU,2008,8.25001122770547
Romania,ROU,2011,11.6142354191504
Romania,ROU,2012,10.9099608067504
Russia,RUS,2014,8.79336062776591
Russia,RUS,2015,6.88701757670598
Russia,RUS,2016,6.80166492397475
Rwanda,RWA,2005,3.84208191726594
Rwanda,RWA,2010,2.1307078982024
Rwanda,RWA,2013,4.59175630683096
Senegal,SEN,2011,7.21740268981653
Serbia,SRB,2007,12.5776573426448
Serbia,SRB,2010,16.4008203246889
Serbia,SRB,2013,19.004603353091
Slovakia,SVK,2009,4.3687081330854
Solomon Islands,SLB,2005,13.0338187082261
South Africa,ZAF,2005,34.3625798693191
South Africa,ZAF,2010,23.867023705672
South Sudan,SSD,2009,1.52500206980741
Sri Lanka,LKA,2006,4.01065930078262
Sri Lanka,LKA,2009,3.4005156354409
Sri Lanka,LKA,2012,3.65133630359942
Sudan,SDN,2009,1.05138892356813
Swaziland,SWZ,2009,15.6953582499305
Tajikistan,TJK,2011,2.42534084731459
Tanzania,TZA,2008,21.4286915005223
Tanzania,TZA,2010,15.5478073506992
Tanzania,TZA,2012,9.38544294385451
Tanzania,TZA,2014,3.69009610547389
Thailand,THA,2006,3.13976710801187
Thailand,THA,2009,3.15198995617506
Thailand,THA,2011,6.82777182909694
Thailand,THA,2013,6.21068019627275
Timor,TLS,2007,9.81442071294668
Timor,TLS,2011,2.05917220110694
Tunisia,TUN,2010,3.80321121004531
Turkey,TUR,2004,2.746379909562
Turkey,TUR,2005,1.47036815626596
Turkey,TUR,2006,1.64656533765651
Turkey,TUR,2007,1.7430521628415
Turkey,TUR,2008,1.91483829389036
Turkey,TUR,2009,6.36699741466732
Turkey,TUR,2010,7.76440636811041
Turkey,TUR,2011,7.42128082852751
Turkey,TUR,2012,7.65151041004541
Turkey,TUR,2013,5.97906024902455
Turkey,TUR,2014,5.77356296992388
Uganda,UGA,2009,6.25016721665183
Uganda,UGA,2012,9.45784741521498
Ukraine,UKR,2006,7.22720418579809
Ukraine,UKR,2011,9.47982958088838
Ukraine,UKR,2012,10.6569712618848
Ukraine,UKR,2013,11.7562677380162
Uruguay,URY,2008,7.77068516352117
Vietnam,VNM,2006,14.1185413748311
Vietnam,VNM,2010,9.01395156085228
Vietnam,VNM,2012,2.48918279922703
Vietnam,VNM,2014,2.88902076181073
Yemen,YEM,2005,3.2734260176126
