Entity,Code,Year,"Age of democracies at the end of 2015 (Boix, Miller, and Rosato, 2013, 2018) (years old)"
Myanmar,MMR,2015,Not a democracy in 2015
Namibia,NAM,2015,Not a democracy in 2015
Nauru,NRU,2015,48
Nepal,NPL,2015,8
Netherlands,NLD,2015,119
New Zealand,NZL,2015,159
Nicaragua,NIC,2015,32
Niger,NER,2015,7
Nigeria,NGA,2015,33
North Korea,PRK,2015,Not a democracy in 2015
Norway,NOR,2015,116
Oman,OMN,2015,Not a democracy in 2015
Pakistan,PAK,2015,8
Palau,PLW,2015,21
Panama,PAN,2015,25
Papua New Guinea,PNG,2015,41
Paraguay,PRY,2015,13
Peru,PER,2015,15
Philippines,PHL,2015,30
Poland,POL,2015,27
Portugal,PRT,2015,40
Qatar,QAT,2015,Not a democracy in 2015
Romania,ROU,2015,25
Russia,RUS,2015,Not a democracy in 2015
Rwanda,RWA,2015,Not a democracy in 2015
Saint Kitts and Nevis,KNA,2015,32
Saint Lucia,LCA,2015,37
Saint Vincent and the Grenadines,VCT,2015,37
Samoa,WSM,2015,Not a democracy in 2015
San Marino,SMR,2015,71
Sao Tome and Principe,STP,2015,25
Saudi Arabia,SAU,2015,Not a democracy in 2015
Senegal,SEN,2015,16
Serbia,SRB,2015,10
Seychelles,SYC,2015,Not a democracy in 2015
Sierra Leone,SLE,2015,14
Singapore,SGP,2015,Not a democracy in 2015
Slovakia,SVK,2015,23
Slovenia,SVN,2015,25
Solomon Islands,SLB,2015,10
Somalia,SOM,2015,Not a democracy in 2015
South Africa,ZAF,2015,22
South Korea,KOR,2015,28
South Sudan,SSD,2015,Not a democracy in 2015
Spain,ESP,2015,39
Sri Lanka,LKA,2015,Not a democracy in 2015
Sudan,SDN,2015,Not a democracy in 2015
Suriname,SUR,2015,25
Swaziland,SWZ,2015,Not a democracy in 2015
Sweden,SWE,2015,105
Switzerland,CHE,2015,168
Syria,SYR,2015,Not a democracy in 2015
Taiwan,TWN,2015,20
Tajikistan,TJK,2015,Not a democracy in 2015
Tanzania,TZA,2015,Not a democracy in 2015
Thailand,THA,2015,Not a democracy in 2015
Timor,TLS,2015,14
Togo,TGO,2015,Not a democracy in 2015
Tonga,TON,2015,Not a democracy in 2015
Trinidad and Tobago,TTO,2015,54
Tunisia,TUN,2015,60
Turkey,TUR,2015,33
Turkmenistan,TKM,2015,Not a democracy in 2015
Tuvalu,TUV,2015,38
Uganda,UGA,2015,Not a democracy in 2015
Ukraine,UKR,2015,25
United Arab Emirates,ARE,2015,Not a democracy in 2015
United Kingdom,GBR,2015,131
United States,USA,2015,216
Uruguay,URY,2015,31
Uzbekistan,UZB,2015,Not a democracy in 2015
Vanuatu,VUT,2015,36
Venezuela,VEN,2015,Not a democracy in 2015
Vietnam,VNM,2015,Not a democracy in 2015
Yemen,YEM,2015,Not a democracy in 2015
Zambia,ZMB,2015,8
Zimbabwe,ZWE,2015,Not a democracy in 2015
