Entity,Code,Year,"Prison population rate (World Prison Brief 2018) (per 100,000)"
Kyrgyzstan,KGZ,2018,171
Laos,LAO,2018,119
Latvia,LVA,2018,218
Lebanon,LBN,2018,126
Lesotho,LSO,2018,92
Liberia,LBR,2018,47
Libya,LBY,2018,99
Liechtenstein,LIE,2018,27
Lithuania,LTU,2018,235
Luxembourg,LUX,2018,115
Macao,MAC,2018,203
Macedonia,MKD,2018,134
Madagascar,MDG,2018,82
Malawi,MWI,2018,80
Malaysia,MYS,2018,177
Maldives,MDV,2018,499
Mali,MLI,2018,33
Malta,MLT,2018,133
Marshall Islands,MHL,2018,66
Martinique,MTQ,2018,214
Mauritania,MRT,2018,46
Mauritius,MUS,2018,194
Mayotte,MYT,2018,117
Mexico,MEX,2018,164
Micronesia (country),FSM,2018,127
Moldova,MDA,2018,215
Monaco,MCO,2018,85
Mongolia,MNG,2018,262
Montenegro,MNE,2018,174
Morocco,MAR,2018,232
Mozambique,MOZ,2018,61
Myanmar,MMR,2018,145
Namibia,NAM,2018,295
Nauru,NRU,2018,140
Nepal,NPL,2018,65
Netherlands,NLD,2018,59
New Caledonia,NCL,2018,200
New Zealand,NZL,2018,219
Nicaragua,NIC,2018,276
Niger,NER,2018,53
Nigeria,NGA,2018,37
Northern Ireland,,2018,75
Northern Mariana Islands,MNP,2018,482
Norway,NOR,2018,74
Oman,OMN,2018,36
Pakistan,PAK,2018,43
Palau,PLW,2018,373
Panama,PAN,2018,390
Papua New Guinea,PNG,2018,63
Paraguay,PRY,2018,199
Peru,PER,2018,269
Philippines,PHL,2018,172
Poland,POL,2018,194
Portugal,PRT,2018,127
Puerto Rico,PRI,2018,313
Qatar,QAT,2018,53
Reunion,REU,2018,129
Romania,ROU,2018,115
Russia,RUS,2018,405
Rwanda,RWA,2018,464
Saint Kitts and Nevis,KNA,2018,393
Saint Lucia,LCA,2018,279
Saint Vincent and the Grenadines,VCT,2018,378
Samoa,WSM,2018,204
Sao Tome and Principe,STP,2018,117
Saudi Arabia,SAU,2018,197
Scotland,,2018,143
Senegal,SEN,2018,76
Serbia,SRB,2018,152
Seychelles,SYC,2018,437
Sierra Leone,SLE,2018,64
Singapore,SGP,2018,201
Sint Maarten (Dutch part),SXM,2018,153
Slovakia,SVK,2018,191
Slovenia,SVN,2018,64
Solomon Islands,SLB,2018,73
South Africa,ZAF,2018,280
South Korea,KOR,2018,109
South Sudan,SSD,2018,52
Spain,ESP,2018,128
Sri Lanka,LKA,2018,94
Sudan,SDN,2018,46
Suriname,SUR,2018,183
Swaziland,SWZ,2018,282
Sweden,SWE,2018,57
Switzerland,CHE,2018,81
Syria,SYR,2018,60
Taiwan,TWN,2018,263
Tajikistan,TJK,2018,121
Tanzania,TZA,2018,58
Thailand,THA,2018,520
Timor,TLS,2018,51
Togo,TGO,2018,64
Tonga,TON,2018,166
Trinidad and Tobago,TTO,2018,270
Tunisia,TUN,2018,180
Turkey,TUR,2018,287
Turkmenistan,TKM,2018,552
Tuvalu,TUV,2018,110
Uganda,UGA,2018,129
Ukraine,UKR,2018,157
United Arab Emirates,ARE,2018,104
United States,USA,2018,655
United States Virgin Islands,VIR,2018,542
Uruguay,URY,2018,321
Uzbekistan,UZB,2018,150
Vanuatu,VUT,2018,71
Venezuela,VEN,2018,178
Vietnam,VNM,2018,137
Yemen,YEM,2018,53
Zambia,ZMB,2018,146
Zimbabwe,ZWE,2018,120
