Entity,Code,Year,Change in female height (%) (%)
Morocco,MAR,1996,4.676029647
Mozambique,MOZ,1996,2.050092906
Myanmar,MMR,1996,6.025841867
Namibia,NAM,1996,1.262161439
Nauru,NRU,1996,1.445112012
Nepal,NPL,1996,4.66552299
Netherlands,NLD,1996,8.974147293
New Zealand,NZL,1996,5.759994705
Nicaragua,NIC,1996,5.66909107
Niger,NER,1996,1.265426018
Nigeria,NGA,1996,2.087358231
Niue,NIU,1996,8.373336828
North America,,1996,4.605160804
North Korea,PRK,1996,6.602189228
Norway,NOR,1996,3.983514672
Oman,OMN,1996,7.072372403
Pakistan,PAK,1996,2.156347742
Palau,PLW,1996,2.7785271
Palestine,PSE,1996,5.227980891
Panama,PAN,1996,7.601976208
Papua New Guinea,PNG,1996,3.305666301
Paraguay,PRY,1996,7.156774241
Peru,PER,1996,8.09343193
Philippines,PHL,1996,1.157663933
Poland,POL,1996,9.330691431
Portugal,PRT,1996,8.363939853
Puerto Rico,PRI,1996,8.080406754
Qatar,QAT,1996,5.952713039
Romania,ROU,1996,7.713835332
Russia,RUS,1996,7.607311863
Rwanda,RWA,1996,1.654493177
Saint Kitts and Nevis,KNA,1996,4.242566338
Saint Lucia,LCA,1996,5.632676228
Saint Vincent and the Grenadines,VCT,1996,6.731117254
Samoa,WSM,1996,3.026913744
Sao Tome and Principe,STP,1996,3.937632187
Saudi Arabia,SAU,1996,4.53534699
Senegal,SEN,1996,3.553273384
Serbia,SRB,1996,10.32602104
Seychelles,SYC,1996,4.261538864
Sierra Leone,SLE,1996,2.741308276
Singapore,SGP,1996,9.021127226
Slovakia,SVK,1996,7.639867087
Slovenia,SVN,1996,8.880318612
Solomon Islands,SLB,1996,4.022428667
Somalia,SOM,1996,2.828226568
South Africa,ZAF,1996,2.012144241
South Asia,,1996,4.863431675
South Korea,KOR,1996,14.1804132
Spain,ESP,1996,8.132455353
Sri Lanka,LKA,1996,6.403126256
Sub-Saharan Africa,,1996,2.794756862
Sudan,SDN,1996,2.817611896
Suriname,SUR,1996,6.759246483
Swaziland,SWZ,1996,3.779495047
Sweden,SWE,1996,3.374493081
Switzerland,CHE,1996,3.756724256
Syria,SYR,1996,6.040428274
Taiwan,TWN,1996,8.081787545
Tajikistan,TJK,1996,4.268793587
Tanzania,TZA,1996,3.236495182
Thailand,THA,1996,6.533723925
Timor,TLS,1996,4.353686824
Togo,TGO,1996,3.456287498
Tokelau,TKL,1996,4.598023253
Tonga,TON,1996,5.044778543
Trinidad and Tobago,TTO,1996,4.166303736
Tunisia,TUN,1996,6.292258484
Turkey,TUR,1996,7.29754128
Turkmenistan,TKM,1996,5.804993291
Tuvalu,TUV,1996,0.969821293
Uganda,UGA,1996,2.033613557
Ukraine,UKR,1996,8.045582405
United Arab Emirates,ARE,1996,6.064934911
United Kingdom,GBR,1996,7.184357256
United States,USA,1996,3.168923779
Uruguay,URY,1996,8.3689401
Uzbekistan,UZB,1996,4.600157312
Vanuatu,VUT,1996,3.572208261
Venezuela,VEN,1996,8.774535275
Vietnam,VNM,1996,6.087037168
World,OWID_WRL,1996,5.520701848
Yemen,YEM,1996,6.112124518
Zambia,ZMB,1996,2.830094051
Zimbabwe,ZWE,1996,1.876128722
