Entity,Code,Year,Change in under-5 population (2015 to 2050; 2050 to 2100)
Cambodia,KHM,2050,-208847
Cambodia,KHM,2100,-421153
Cameroon,CMR,2050,1970060
Cameroon,CMR,2100,903425
Canada,CAN,2050,288673
Canada,CAN,2100,241831
Cape Verde,CPV,2050,-9792
Cape Verde,CPV,2100,-11494
Caribbean,,2050,-782463
Caribbean,,2100,-914712
Central African Republic,CAF,2050,230761
Central African Republic,CAF,2100,-59094
Central America,,2050,-3112861
Central America,,2100,-3317900
Central Asia,,2050,-924816
Central Asia,,2100,-1601041
Chad,TCD,2050,1624238
Chad,TCD,2100,414369
Channel Islands,OWID_CIS,2050,158
Channel Islands,OWID_CIS,2100,-72
Chile,CHL,2050,-179439
Chile,CHL,2100,-172011
China,CHN,2050,-23465536
China,CHN,2100,-16386829
Colombia,COL,2050,-967365
Colombia,COL,2100,-730672
Comoros,COM,2050,35232
Comoros,COM,2100,-6533
Congo,COG,2050,564939
Congo,COG,2100,449831
Costa Rica,CRI,2050,-72141
Costa Rica,CRI,2100,-57914
Cote d'Ivoire,CIV,2050,2783601
Cote d'Ivoire,CIV,2100,2314694
Croatia,HRV,2050,-56226
Croatia,HRV,2100,-37380
Cuba,CUB,2050,-145482
Cuba,CUB,2100,-123958
Curacao,CUW,2050,-66
Curacao,CUW,2100,-857
Cyprus,CYP,2050,-4964
Cyprus,CYP,2100,-2312
Czech Republic,CZE,2050,-54705
Czech Republic,CZE,2100,-69887
Democratic Republic of Congo,COD,2050,10636845
Democratic Republic of Congo,COD,2100,1188213
Denmark,DNK,2050,37153
Denmark,DNK,2100,12128
Djibouti,DJI,2050,-12413
Djibouti,DJI,2100,-19558
Dominican Republic,DOM,2050,-232590
Dominican Republic,DOM,2100,-273101
Eastern Africa,,2050,34349525
Eastern Africa,,2100,11507834
Eastern Asia,,2050,-25115949
Eastern Asia,,2100,-17728884
Eastern Europe,,2050,-3206708
Eastern Europe,,2100,-2784453
Ecuador,ECU,2050,-148600
Ecuador,ECU,2100,-329551
Egypt,EGY,2050,619289
Egypt,EGY,2100,-1902299
El Salvador,SLV,2050,-180802
El Salvador,SLV,2100,-169314
Equatorial Guinea,GNQ,2050,114450
Equatorial Guinea,GNQ,2100,2769
Eritrea,ERI,2050,221812
Eritrea,ERI,2100,-65284
Estonia,EST,2050,-14020
Estonia,EST,2100,-15638
Ethiopia,ETH,2050,1899113
Ethiopia,ETH,2100,-3532150
Europe,,2050,-4197679
Europe,,2100,-4213746
Fiji,FJI,2050,-20348
Fiji,FJI,2100,-24977
Finland,FIN,2050,7796
Finland,FIN,2100,-11483
France,FRA,2050,-14028
France,FRA,2100,-65297
French Guiana,GUF,2050,13878
French Guiana,GUF,2100,4899
French Polynesia,PYF,2050,-4562
French Polynesia,PYF,2100,-4347
Gabon,GAB,2050,57613
Gabon,GAB,2100,-27956
Gambia,GMB,2050,172479
Gambia,GMB,2100,-38984
Georgia,GEO,2050,-84044
Georgia,GEO,2100,-67845
Germany,DEU,2050,-119220
Germany,DEU,2100,-230193
Ghana,GHA,2050,1209641
Ghana,GHA,2100,-84914
Greece,GRC,2050,-117109
Greece,GRC,2100,-66925
Grenada,GRD,2050,-3725
Grenada,GRD,2100,-3289
Guadeloupe (including Saint-Barthélemy and Saint-Martin),,2050,-6477
Guadeloupe (including Saint-Barthélemy and Saint-Martin),,2100,-4598
Guam,GUM,2050,-2122
Guam,GUM,2100,-3319
Guatemala,GTM,2050,1282
Guatemala,GTM,2100,-430054
Guinea,GIN,2050,1103784
Guinea,GIN,2100,289115
Guinea-Bissau,GNB,2050,114132
Guinea-Bissau,GNB,2100,14959
Guyana,GUY,2050,-20206
Guyana,GUY,2100,-25424
Haiti,HTI,2050,-202818
Haiti,HTI,2100,-338069
High-income countries,,2050,-201464
High-income countries,,2100,-1899482
Honduras,HND,2050,-125936
Honduras,HND,2100,-204391
Hong Kong,HKG,2050,80968
Hong Kong,HKG,2100,41725
Hungary,HUN,2050,-82622
Hungary,HUN,2100,-71105
Iceland,ISL,2050,-2151
Iceland,ISL,2100,-2979
India,IND,2050,-20036513
India,IND,2100,-27812961
Indonesia,IDN,2050,-3759535
Indonesia,IDN,2100,-4727820
Iran,IRN,2050,-2307004
Iran,IRN,2100,-1468001
Iraq,IRQ,2050,3713145
Iraq,IRQ,2100,2151516
Ireland,IRL,2050,-15899
Ireland,IRL,2100,-15387
Israel,ISR,2050,133281
Israel,ISR,2100,-56738
Italy,ITA,2050,-211672
Italy,ITA,2100,-187859
Jamaica,JAM,2050,-72612
Jamaica,JAM,2100,-82040
Japan,JPN,2050,-938199
Japan,JPN,2100,-770487
Jordan,JOR,2050,-82498
Jordan,JOR,2100,-234228
Kazakhstan,KAZ,2050,-257045
Kazakhstan,KAZ,2100,-358047
Kenya,KEN,2050,2297004
Kenya,KEN,2100,-893846
Kiribati,KIR,2050,2854
Kiribati,KIR,2100,-1530
Kuwait,KWT,2050,15653
Kuwait,KWT,2100,-11044
Kyrgyzstan,KGZ,2050,-98682
Kyrgyzstan,KGZ,2100,-173293
Laos,LAO,2050,-180808
Laos,LAO,2100,-205758
Latin America and the Caribbean,,2050,-10379261
Latin America and the Caribbean,,2100,-10491347
Latvia,LVA,2050,-24425
Latvia,LVA,2100,-21612
Least developed countries,,2050,63036781
Least developed countries,,2100,20477781
Lebanon,LBN,2050,-216483
Lebanon,LBN,2100,-55443
Lesotho,LSO,2050,2524
Lesotho,LSO,2100,-59006
Less developed regions,,2050,29881012
Less developed regions,,2100,-48241555
"Less developed regions, excluding China",,2050,53426489
"Less developed regions, excluding China",,2100,-31829810
"Less developed regions, excluding least developed countries",,2050,-33155769
"Less developed regions, excluding least developed countries",,2100,-68719336
Liberia,LBR,2050,406543
Liberia,LBR,2100,126866
Libya,LBY,2050,-141688
Libya,LBY,2100,-125290
Lithuania,LTU,2050,-26884
Lithuania,LTU,2100,-30454
Low-income countries,,2050,57303010
Low-income countries,,2100,17188765
Lower-middle-income countries,,2050,9344002
Lower-middle-income countries,,2100,-35185917
Luxembourg,LUX,2050,11559
Luxembourg,LUX,2100,7564
Macao,MAC,2050,11004
Macao,MAC,2100,8966
Macedonia,MKD,2050,-25170
Macedonia,MKD,2100,-23254
Madagascar,MDG,2050,2300609
Madagascar,MDG,2100,840982
Malawi,MWI,2050,1810146
Malawi,MWI,2100,312138
Malaysia,MYS,2050,-214294
Malaysia,MYS,2100,-373799
Maldives,MDV,2050,-9720
Maldives,MDV,2100,-8190
Mali,MLI,2050,2368720
Mali,MLI,2100,360743
Malta,MLT,2050,-2774
Malta,MLT,2100,-2593
Martinique,MTQ,2050,-3130
Martinique,MTQ,2100,-3877
Mauritania,MRT,2050,363700
Mauritania,MRT,2100,191326
Mauritius,MUS,2050,-15323
Mauritius,MUS,2100,-10208
Mayotte,MYT,2050,9112
Mayotte,MYT,2100,-5811
Melanesia,OWID_MNS,2050,277245
Melanesia,OWID_MNS,2100,-116514
Mexico,MEX,2050,-2562898
Mexico,MEX,2100,-2252573
Micronesia (country),FSM,2050,-1772
Micronesia (country),FSM,2100,-3844
Micronesia (region),,2050,-3077
Micronesia (region),,2100,-10876
Middle Africa,,2050,20379062
Middle Africa,,2100,7295507
Middle-income countries,,2050,-29097204
Middle-income countries,,2100,-66729560
Moldova,MDA,2050,-86719
Moldova,MDA,2100,-48762
Mongolia,MNG,2050,-44577
Mongolia,MNG,2100,-62843
Montenegro,MNE,2050,-9699
Montenegro,MNE,2100,-7444
More developed regions,,2050,-1867611
More developed regions,,2100,-3220074
Morocco,MAR,2050,-663839
Morocco,MAR,2100,-789980
Mozambique,MOZ,2050,3552407
Mozambique,MOZ,2100,1615401
Myanmar,MMR,2050,-734955
Myanmar,MMR,2100,-848238
Namibia,NAM,2050,56039
Namibia,NAM,2100,-59559
Nepal,NPL,2050,-808427
Nepal,NPL,2100,-765010
Netherlands,NLD,2050,-37029
Netherlands,NLD,2100,-68151
New Caledonia,NCL,2050,1024
New Caledonia,NCL,2100,-553
New Zealand,NZL,2050,1354
New Zealand,NZL,2100,-19318
Nicaragua,NIC,2050,-165043
Nicaragua,NIC,2100,-136793
Niger,NER,2050,6963943
Niger,NER,2100,6174598
Nigeria,NGA,2050,20496048
Nigeria,NGA,2100,9331428
Non-Africa,,2050,-69463362
Non-Africa,,2100,-87195609
North Korea,PRK,2050,-253940
North Korea,PRK,2100,-317054
Northern Africa,,2050,1844186
Northern Africa,,2100,-2550422
Northern America,,2050,2918094
Northern America,,2100,1597654
Northern Europe,,2050,192984
Northern Europe,,2100,-185816
Norway,NOR,2050,63500
Norway,NOR,2100,31447
Oceania,,2050,614764
Oceania,,2100,21987
Oman,OMN,2050,-44603
Oman,OMN,2100,-66292
Pakistan,PAK,2050,737611
Pakistan,PAK,2100,-6011265
Palestine,PSE,2050,252950
Palestine,PSE,2100,-58549
Panama,PAN,2050,-9228
Panama,PAN,2100,-61160
Papua New Guinea,PNG,2050,273139
Papua New Guinea,PNG,2100,-75862
Paraguay,PRY,2050,-80090
Paraguay,PRY,2100,-170974
Peru,PER,2050,-505786
Peru,PER,2100,-645950
Philippines,PHL,2050,548984
Philippines,PHL,2100,-2513743
Poland,POL,2050,-612807
Poland,POL,2100,-382797
Polynesia,OWID_PYA,2050,-9577
Polynesia,OWID_PYA,2100,-17128
Portugal,PRT,2050,-110270
Portugal,PRT,2100,-52554
Puerto Rico,PRI,2050,-70910
Puerto Rico,PRI,2100,-50162
Qatar,QAT,2050,16314
Qatar,QAT,2100,9129
Reunion,REU,2050,-12974
Reunion,REU,2100,-13737
Romania,ROU,2050,-221975
Romania,ROU,2100,-187747
Russia,RUS,2050,-1375269
Russia,RUS,2100,-1322479
Rwanda,RWA,2050,222802
Rwanda,RWA,2100,-477594
Saint Lucia,LCA,2050,-3330
Saint Lucia,LCA,2100,-2141
Saint Vincent and the Grenadines,VCT,2050,-2826
Saint Vincent and the Grenadines,VCT,2100,-2382
Samoa,WSM,2050,-2349
Samoa,WSM,2100,-6800
Sao Tome and Principe,STP,2050,11114
Sao Tome and Principe,STP,2100,1800
Saudi Arabia,SAU,2050,-400119
Saudi Arabia,SAU,2100,-548797
Senegal,SEN,2050,1462351
Senegal,SEN,2100,778526
Serbia (including Kosovo),,2050,-112132
Serbia (including Kosovo),,2100,-102876
Seychelles,SYC,2050,-2107
Seychelles,SYC,2100,-1804
Sierra Leone,SLE,2050,154884
Sierra Leone,SLE,2100,-246565
Singapore,SGP,2050,-38660
Singapore,SGP,2100,-46777
Slovakia,SVK,2050,-56210
Slovakia,SVK,2100,-52289
Slovenia,SVN,2050,-15249
Slovenia,SVN,2100,-15569
Solomon Islands,SLB,2050,15002
Solomon Islands,SLB,2100,-11521
Somalia,SOM,2050,2415184
Somalia,SOM,2100,1613685
South Africa,ZAF,2050,-555741
South Africa,ZAF,2100,-1046582
South America,,2050,-6483937
South America,,2100,-6258735
South Korea,KOR,2050,-333756
South Korea,KOR,2100,-166755
South Sudan,SSD,2050,968651
South Sudan,SSD,2100,134517
South-Central Asia,,2050,-28145652
South-Central Asia,,2100,-43078345
South-Eastern Asia,,2050,-6833621
South-Eastern Asia,,2100,-11047967
Southern Africa,,2050,-513196
Southern Africa,,2100,-1250557
Southern Asia,,2050,-27220836
Southern Asia,,2100,-41477304
Southern Europe,,2050,-1079793
Southern Europe,,2100,-855507
Spain,ESP,2050,-329021
Spain,ESP,2100,-282114
Sri Lanka,LKA,2050,-513510
Sri Lanka,LKA,2100,-450256
Sub-Saharan Africa,,2050,95632577
Sub-Saharan Africa,,2100,38284402
Sudan,SDN,2050,2939639
Sudan,SDN,2100,1348920
Suriname,SUR,2050,-9823
Suriname,SUR,2100,-11735
Swaziland,SWZ,2050,-340
Swaziland,SWZ,2100,-42158
Sweden,SWE,2050,77972
Sweden,SWE,2100,27922
Switzerland,CHE,2050,41903
Switzerland,CHE,2100,4162
Syria,SYR,2050,149908
Syria,SYR,2100,-560933
Taiwan,TWN,2050,-171913
Taiwan,TWN,2100,-75607
Tajikistan,TJK,2050,137485
Tajikistan,TJK,2100,-237433
Tanzania,TZA,2050,8232886
Tanzania,TZA,2100,6687928
Thailand,THA,2050,-1141455
Thailand,THA,2100,-594821
Timor,TLS,2050,69453
Timor,TLS,2100,-31382
Togo,TGO,2050,558015
Togo,TGO,2100,145742
Tonga,TON,2050,-502
Tonga,TON,2100,-2855
Trinidad and Tobago,TTO,2050,-28587
Trinidad and Tobago,TTO,2100,-18621
Tunisia,TUN,2050,-185083
Tunisia,TUN,2100,-202698
Turkey,TUR,2050,-1538770
Turkey,TUR,2100,-1356378
Turkmenistan,TKM,2050,-70391
Turkmenistan,TKM,2100,-145382
Uganda,UGA,2050,6004737
Uganda,UGA,2100,2006491
Ukraine,UKR,2050,-547874
Ukraine,UKR,2100,-481804
United Arab Emirates,ARE,2050,58480
United Arab Emirates,ARE,2100,104066
United Kingdom,GBR,2050,89214
United Kingdom,GBR,2100,-159407
United States,USA,2050,2630875
United States,USA,2100,1357116
United States Virgin Islands,VIR,2050,-2590
United States Virgin Islands,VIR,2100,-2304
Upper-middle-income countries,,2050,-38441206
Upper-middle-income countries,,2100,-31543643
Uruguay,URY,2050,-42362
Uruguay,URY,2100,-48064
Uzbekistan,UZB,2050,-636183
Uzbekistan,UZB,2100,-686886
Vanuatu,VUT,2050,8428
Vanuatu,VUT,2100,-3601
Venezuela,VEN,2050,-408411
Venezuela,VEN,2100,-588724
Vietnam,VNM,2050,-1167893
Vietnam,VNM,2100,-1278884
Western Africa,,2050,41417186
Western Africa,,2100,20731618
Western Asia,,2050,1675942
Western Asia,,2100,-2254961
Western Europe,,2050,-104162
Western Europe,,2100,-387970
Western Sahara,ESH,2050,9642
Western Sahara,ESH,2100,2550
World,OWID_WRL,2050,28013401
World,OWID_WRL,2100,-51461629
Yemen,YEM,2050,38698
Yemen,YEM,2100,-1299384
Zambia,ZMB,2050,2582794
Zambia,ZMB,2100,2773869
Zimbabwe,ZWE,2050,304362
Zimbabwe,ZWE,2100,-492692
