Entity,Code,Year,Top 10% share of net personal wealth (WID 2018)
United Kingdom,GBR,1967,66.712904
United Kingdom,GBR,1968,67.3585594
United Kingdom,GBR,1969,64.6053851
United Kingdom,GBR,1970,64.4615173
United Kingdom,GBR,1971,63.3988559
United Kingdom,GBR,1972,65.9877777
United Kingdom,GBR,1973,63.4031892
United Kingdom,GBR,1974,61.0411644
United Kingdom,GBR,1975,58.6549044
United Kingdom,GBR,1976,60.9518111
United Kingdom,GBR,1977,57.6655865
United Kingdom,GBR,1978,58.8408828
United Kingdom,GBR,1979,54.0248394
United Kingdom,GBR,1980,52.1030188
United Kingdom,GBR,1981,53.1650901
United Kingdom,GBR,1982,51.228261
United Kingdom,GBR,1983,50.6638825
United Kingdom,GBR,1984,46.705845
United Kingdom,GBR,1985,48.6812949
United Kingdom,GBR,1986,48.8240004
United Kingdom,GBR,1987,50.35882
United Kingdom,GBR,1988,48.1853753
United Kingdom,GBR,1989,48.5264182
United Kingdom,GBR,1990,45.9857285
United Kingdom,GBR,1991,45.5891192
United Kingdom,GBR,1992,47.9958236
United Kingdom,GBR,1993,49.8296171
United Kingdom,GBR,1994,49.5453388
United Kingdom,GBR,1995,46.9169766
United Kingdom,GBR,1996,48.3787954
United Kingdom,GBR,1997,51.5730202
United Kingdom,GBR,1998,51.8868387
United Kingdom,GBR,1999,50.0719726
United Kingdom,GBR,2000,50.5550742
United Kingdom,GBR,2001,50.2399564
United Kingdom,GBR,2002,50.845623
United Kingdom,GBR,2003,50.2552986
United Kingdom,GBR,2005,51.1891425
United Kingdom,GBR,2006,51.9772947
United Kingdom,GBR,2009,54.0134907
United Kingdom,GBR,2012,51.9160152
United States,USA,1913,78.4436524
United States,USA,1914,78.3293724
United States,USA,1915,77.9674947
United States,USA,1916,78.2181382
United States,USA,1917,78.3061743
United States,USA,1918,78.5695314
United States,USA,1919,80.0783157
United States,USA,1920,78.0980647
United States,USA,1921,77.9898405
United States,USA,1922,79.2383969
United States,USA,1923,79.67031
United States,USA,1924,81.1368465
United States,USA,1925,82.2192729
United States,USA,1926,83.1624448
United States,USA,1927,84.176302
United States,USA,1928,84.4579816
United States,USA,1929,84.3985081
United States,USA,1930,84.5908463
United States,USA,1931,84.3579412
United States,USA,1932,84.8006249
United States,USA,1933,84.5589876
United States,USA,1934,83.0258846
United States,USA,1935,81.6811919
United States,USA,1936,82.1767092
United States,USA,1937,80.2915812
United States,USA,1938,79.9473703
United States,USA,1939,80.2756608
United States,USA,1940,77.1253407
United States,USA,1941,74.6282339
United States,USA,1942,72.8759944
United States,USA,1943,73.3404875
United States,USA,1944,71.0735977
United States,USA,1945,71.7669725
United States,USA,1946,71.4942515
United States,USA,1947,70.119983
United States,USA,1948,68.6801791
United States,USA,1949,67.8643227
United States,USA,1950,68.2675123
United States,USA,1951,68.2702541
United States,USA,1952,67.9559767
United States,USA,1953,67.2801554
United States,USA,1954,67.7482545
United States,USA,1955,68.1361318
United States,USA,1956,68.5316026
United States,USA,1957,68.9294279
United States,USA,1958,68.8171625
United States,USA,1959,69.5680738
United States,USA,1960,69.8518872
United States,USA,1961,70.0780571
United States,USA,1962,70.6352532
United States,USA,1963,70.52688
United States,USA,1964,70.4185069
United States,USA,1965,69.842571
United States,USA,1966,71.2520003
United States,USA,1967,68.8188851
United States,USA,1968,71.6879964
United States,USA,1969,69.3319976
United States,USA,1970,70.7310021
United States,USA,1971,69.1990018
United States,USA,1972,70.1279998
United States,USA,1973,66.8581009
United States,USA,1974,67.177999
United States,USA,1975,65.8786953
United States,USA,1976,65.054208
United States,USA,1977,64.7042811
United States,USA,1978,64.1460002
United States,USA,1979,65.2890027
United States,USA,1980,65.101999
United States,USA,1981,64.7809982
United States,USA,1982,63.527
United States,USA,1983,62.6869977
United States,USA,1984,62.0890021
United States,USA,1985,61.7734969
United States,USA,1986,61.3780022
United States,USA,1987,61.5780473
United States,USA,1988,63.2889986
United States,USA,1989,62.7007365
United States,USA,1990,62.8830016
United States,USA,1991,63.4939969
United States,USA,1992,65.1130021
United States,USA,1993,65.4820025
United States,USA,1994,64.6326184
United States,USA,1995,65.9020007
United States,USA,1996,65.4424489
United States,USA,1997,66.9860005
United States,USA,1998,66.7913854
United States,USA,1999,68.6399996
United States,USA,2000,68.7929988
United States,USA,2001,66.4474011
United States,USA,2002,67.8139985
United States,USA,2003,67.9310024
United States,USA,2004,68.5959995
United States,USA,2005,67.4178422
United States,USA,2006,68.9010024
United States,USA,2007,69.7929978
United States,USA,2008,71.9994485
United States,USA,2009,72.7669358
United States,USA,2010,73.2519388
United States,USA,2011,73.2666969
United States,USA,2012,73.7443209
United States,USA,2013,73.2010007
United States,USA,2014,72.1834719
