Entity,Code,Year,Share of women in top 0.1%,Share of women in top 0.25%,Share of women in top 0.5%,Share of women in top 1%,Share of women in top 10%,Share of women in top 5%
Canada,CAN,2012,14.5,,,21.3,29.8,25.2
Canada,CAN,2013,15.9,,,22,29.8,25.4
Canada,CAN,2014,15.3,,,21.7,29.7,25.2
Canada,CAN,2015,16.5,,,23.2,30.8,26.5
Denmark,DNK,1980,4.8,,,4.5,9.4,6.9
Denmark,DNK,1981,5,,,4.7,10.3,7.3
Denmark,DNK,1982,4.6,,,4.8,10.7,7.6
Denmark,DNK,1983,5.5,,,5.6,11.7,8.4
Denmark,DNK,1984,5.8,,,5.6,11.2,8.3
Denmark,DNK,1985,5.8,,,5.8,12.1,8.7
Denmark,DNK,1986,5.6,,,5.6,11.4,8.3
Denmark,DNK,1987,6.8,,,6.2,12.4,9
Denmark,DNK,1988,6.4,,,6.4,14.6,10.4
Denmark,DNK,1989,7.2,,,6.8,15.3,10.9
Denmark,DNK,1990,7,,,7.1,16.3,11.5
Denmark,DNK,1991,8.4,,,8.2,16.7,12.5
Denmark,DNK,1992,8.4,,,9.1,17.6,13.4
Denmark,DNK,1993,8.8,,,9.4,18.6,14
Denmark,DNK,1994,8.9,,,9.5,18.4,14
Denmark,DNK,1995,8.8,,,9.4,18.6,14.3
Denmark,DNK,1996,9.2,,,9.5,19,14.4
Denmark,DNK,1997,8.9,,,9.6,19,14.4
Denmark,DNK,1998,8.2,,,9.9,19.5,14.9
Denmark,DNK,1999,8.7,,,10.2,19.9,15.4
Denmark,DNK,2000,9.7,,,10.3,20.3,15.7
Denmark,DNK,2001,8.2,,,10.4,21.1,16.4
Denmark,DNK,2002,8.8,,,11.3,22.3,17.5
Denmark,DNK,2003,9.8,,,12,23.5,18.5
Denmark,DNK,2004,10.2,,,12.6,24.2,19.2
Denmark,DNK,2005,11.5,,,13,24.8,19.8
Denmark,DNK,2006,11.1,,,13.6,25.3,20.4
Denmark,DNK,2007,10.3,,,13.6,25.5,20.7
Denmark,DNK,2008,11,,,14.3,26.3,21.5
Denmark,DNK,2009,11.4,,,15.8,28.6,23.3
Denmark,DNK,2010,10.3,,,16,30.3,24.3
Denmark,DNK,2011,9.9,,,16.1,30.3,24.4
Denmark,DNK,2012,10.2,,,16.1,30.6,24.5
Denmark,DNK,2013,10.8,,,16.2,30.9,25.1
Italy,ITA,1999,12.5,13.6,14.3,15.4,25.2,21.4
Italy,ITA,2000,12.3,13.3,14.1,15.5,25.3,21.7
Italy,ITA,2001,12,13.2,14.1,15.7,25.4,21.9
Italy,ITA,2002,12.2,13.2,14.1,15.7,25.4,21.9
Italy,ITA,2003,12.6,13.4,14.3,15.9,25.7,22.1
Italy,ITA,2004,11.7,13,14.2,15.8,25.6,22.3
Italy,ITA,2005,11.7,13,14.3,16.1,25.6,22.5
Italy,ITA,2006,12.1,13.4,14.8,16.7,26.2,22.8
Italy,ITA,2007,12.1,13.5,14.8,16.7,26.2,23.1
Italy,ITA,2008,12,13.4,14.9,17,27.2,23.5
Italy,ITA,2009,12,13.5,15.4,17.5,28.2,24.2
Italy,ITA,2010,12.1,13.8,15.7,17.9,28.6,24.5
Italy,ITA,2011,12.5,14.2,16,18.2,28.8,24.9
Italy,ITA,2012,12.7,14.4,16.2,18.4,28,24.8
Italy,ITA,2013,13.4,15.1,17,19.1,28.5,25.4
Italy,ITA,2014,13.8,15.6,17.5,19.6,29,25.9
Italy,ITA,2015,14.1,16,17.8,19.7,28.6,26
New Zealand,NZL,1980,,,8.5,9.2,11.6,10.4
New Zealand,NZL,1981,,,7.3,7.8,11.8,10
New Zealand,NZL,1982,,,8.2,9.5,13.5,10.7
New Zealand,NZL,1983,,,9.7,10.6,14.1,12.4
New Zealand,NZL,1984,,,10.1,12.6,15.6,14.5
New Zealand,NZL,1985,,,13,15.3,16,14.7
New Zealand,NZL,1986,,,11.8,13.1,18.1,15.9
New Zealand,NZL,1987,,,,14,17.9,14.9
New Zealand,NZL,1988,,,12.2,13.8,19.3,16.2
New Zealand,NZL,1989,,,15.1,16.3,20.7,18.3
New Zealand,NZL,1990,,,,18.2,22.6,20.2
New Zealand,NZL,1991,,,,18.6,23.3,20.1
New Zealand,NZL,1992,,,,17.7,23.3,19.8
New Zealand,NZL,1993,,,,14.3,22,18.9
New Zealand,NZL,1994,,,,13.9,22.1,19
New Zealand,NZL,1995,,,,16.1,22.9,19.9
New Zealand,NZL,1996,,,,16.2,24.3,20.5
New Zealand,NZL,1997,,,,,24.6,20.7
New Zealand,NZL,1998,,,14.5,15.7,26.2,21.3
New Zealand,NZL,1999,,,16.8,18.4,27.2,22.6
New Zealand,NZL,2000,,,16.9,17.5,28.1,23.5
New Zealand,NZL,2001,,,15.9,17.3,28.8,24.4
New Zealand,NZL,2002,,,17,17.1,28.8,23.4
New Zealand,NZL,2003,,,15.8,17.6,29.4,24.5
New Zealand,NZL,2004,,,15.6,17.8,28.8,23.8
New Zealand,NZL,2005,,,16.3,17.7,29,24.4
New Zealand,NZL,2006,,,16.9,17.9,29.4,24.4
New Zealand,NZL,2007,,,16.4,18.5,29.4,24.8
New Zealand,NZL,2008,,,15.9,18.9,29.7,24.5
New Zealand,NZL,2009,,,16.2,19.1,30.4,24.2
New Zealand,NZL,2010,,,15,18.2,30.2,24
New Zealand,NZL,2011,,,,18.8,30,24.4
New Zealand,NZL,2012,,,,18.8,29.2,24
New Zealand,NZL,2013,,,,18.2,29.3,24
New Zealand,NZL,2014,,,,17.9,29.4,24.3
New Zealand,NZL,2015,,,,19.7,29.3,24.9
Norway,NOR,2006,10.9,,11.4,11.9,19.4,16
Norway,NOR,2007,12.6,,12.5,13.1,19.9,16.6
Norway,NOR,2008,11.8,,12.4,13.2,21.2,17.6
Norway,NOR,2009,11.3,,11.7,12.6,20.7,17
Norway,NOR,2010,12,,12.4,13,20.9,17.4
Norway,NOR,2011,12.5,,12.6,13.5,21.2,17.7
Norway,NOR,2012,12.7,,12.6,13.2,21.3,17.7
Norway,NOR,2013,13.6,,13.2,13.7,21.5,17.8
Spain,ESP,1999,13.7,,14.5,14.7,24.4,19.8
Spain,ESP,2000,13.7,,14.7,15.1,24.6,20
Spain,ESP,2001,14.5,,15.8,16.3,26,21.7
Spain,ESP,2002,14.8,,15.9,16.5,25.4,21.4
Spain,ESP,2003,15.9,,16.3,17.2,27.2,23
Spain,ESP,2004,16.2,,17,18.2,29,25
Spain,ESP,2005,16.5,,17.3,18.4,28.9,25.1
Spain,ESP,2006,17.7,,18.3,19.4,29.6,25.7
Spain,ESP,2007,17.7,,18.8,20,30.1,27.3
Spain,ESP,2008,18.3,,19.2,20.7,31.2,27.9
Spain,ESP,2009,18.7,,19.9,22.1,33,30
Spain,ESP,2010,18.3,,20.9,23.5,33.2,30.3
Spain,ESP,2011,20,,21.8,24.1,33.4,31
Spain,ESP,2012,19.4,,22.6,25,34.1,31.4
Spain,ESP,2013,19.8,,22.4,24.9,34.8,33.2
UK,,1995,9.6,9.9,9.8,10.7,19.9,15.6
UK,,1996,8.6,10,12.2,13.2,20.6,16.7
UK,,1997,10.7,13.1,12.5,13.5,21.5,17.6
UK,,1998,10.4,10.8,12.1,13.4,21.4,17.7
UK,,1999,10,10.6,11.8,13.4,21.9,18.6
UK,,2000,9.8,11.3,12.5,13.8,21.8,18.4
UK,,2001,10.7,11.4,12.6,14.2,23.3,18.9
UK,,2002,9.1,11.1,12.2,14.1,23.5,19.4
UK,,2003,9.3,11.2,12.7,14.7,24.5,20
UK,,2004,9.5,11.5,12.8,15.1,25.3,21.7
UK,,2005,9.7,11.2,12.9,15.6,25.6,21.5
UK,,2006,9.9,11.7,13.4,15.7,25.9,22.1
UK,,2007,10.8,12.7,14.1,16.2,26.4,22.9
UK,,2009,10.2,12.6,14.5,17,27.9,23.5
UK,,2010,10,12,14.3,16.8,28.3,23.8
UK,,2011,9.9,12.2,14.4,17.1,28.1,24.2
UK,,2012,11.9,13.5,15.4,17.7,28,24.2
UK,,2013,10.8,13.3,15.6,18,28,24.6
UK,,2014,11.4,13.9,16.3,18.6,27.7,24.8
UK,,2015,12.7,15.3,17.1,18.9,28.3,25.1
