Entity,Code,Year,Antibiotic use in livestock (mg/PCU)
Ethiopia,ETH,2010,28.9
Finland,FIN,2010,22.7
Finland,FIN,2011,21.9
Finland,FIN,2012,21.8
Finland,FIN,2013,22.4
Finland,FIN,2014,22.3
Finland,FIN,2015,20.4
France,FRA,2010,136
France,FRA,2011,116.5
France,FRA,2012,102.7
France,FRA,2013,95
France,FRA,2014,107
France,FRA,2015,70.2
Gabon,GAB,2010,70.8
Georgia,GEO,2010,19
Germany,DEU,2010,211.5
Germany,DEU,2011,211.5
Germany,DEU,2012,204.8
Germany,DEU,2013,179.7
Germany,DEU,2014,149.3
Germany,DEU,2015,97.9
Ghana,GHA,2010,35.8
Greece,GRC,2010,103.8
Greece,GRC,2015,57.2
Greenland,GRL,2010,0
Guatemala,GTM,2010,46.2
Guinea,GIN,2010,14.2
Guinea-Bissau,GNB,2010,17.8
Guyana,GUY,2010,90.8
Haiti,HTI,2010,22.8
Honduras,HND,2010,47.7
Hungary,HUN,2010,269.9
Hungary,HUN,2011,192.5
Hungary,HUN,2012,245.8
Hungary,HUN,2013,230.7
Hungary,HUN,2014,193.1
Hungary,HUN,2015,211.4
Iceland,ISL,2010,12.7
Iceland,ISL,2011,6.6
Iceland,ISL,2012,5.9
Iceland,ISL,2013,5.3
Iceland,ISL,2014,5.2
Iceland,ISL,2015,5
India,IND,2010,30
Indonesia,IDN,2010,69.4
Iran,IRN,2010,67.9
Iraq,IRQ,2010,21.1
Ireland,IRL,2010,51.5
Ireland,IRL,2011,46.5
Ireland,IRL,2012,55
Ireland,IRL,2013,56.6
Ireland,IRL,2014,48
Ireland,IRL,2015,51
Israel,ISR,2010,115.3
Italy,ITA,2010,421.1
Italy,ITA,2011,371
Italy,ITA,2012,341
Italy,ITA,2013,301.6
Italy,ITA,2014,359.9
Italy,ITA,2015,322
Jamaica,JAM,2010,95.2
Japan,JPN,2010,100.9
Jordan,JOR,2010,116.2
Kazakhstan,KAZ,2010,22.5
Kenya,KEN,2010,30.4
Kuwait,KWT,2010,122.9
Kyrgyzstan,KGZ,2010,15.6
Laos,LAO,2010,21.6
Latvia,LVA,2010,39.5
Latvia,LVA,2011,36.7
Latvia,LVA,2012,41.5
Latvia,LVA,2013,37.7
Latvia,LVA,2014,36.7
Latvia,LVA,2015,37.6
Lebanon,LBN,2010,120.8
Lesotho,LSO,2010,40.9
Liberia,LBR,2010,33.9
Libya,LBY,2010,109
Lithuania,LTU,2010,48.2
Lithuania,LTU,2011,41.3
Lithuania,LTU,2012,39.2
Lithuania,LTU,2013,29.1
Lithuania,LTU,2014,35.5
Lithuania,LTU,2015,35.1
Luxembourg,LUX,2010,60.3
Luxembourg,LUX,2012,43.2
Luxembourg,LUX,2013,52.1
Luxembourg,LUX,2014,40.9
Luxembourg,LUX,2015,34.6
Madagascar,MDG,2010,16.2
Malaysia,MYS,2010,115.3
Mali,MLI,2010,24.2
Mauritania,MRT,2010,36.1
Mexico,MEX,2010,65.4
Mongolia,MNG,2010,10.5
Montenegro,MNE,2010,26.8
Morocco,MAR,2010,83
Mozambique,MOZ,2010,16
Myanmar,MMR,2010,26.2
Namibia,NAM,2010,16.5
Nepal,NPL,2010,23.5
Netherlands,NLD,2010,164.8
Netherlands,NLD,2011,113.8
Netherlands,NLD,2012,74.9
Netherlands,NLD,2013,69.9
Netherlands,NLD,2014,68.4
Netherlands,NLD,2015,64.4
New Zealand,NZL,2010,30
Nicaragua,NIC,2010,25.2
Niger,NER,2010,32.8
Nigeria,NGA,2010,33.9
North Korea,PRK,2010,31.2
Norway,NOR,2010,4.1
Norway,NOR,2011,3.7
Norway,NOR,2012,3.8
Norway,NOR,2013,3.7
Norway,NOR,2014,3.1
Norway,NOR,2015,2.9
Oman,OMN,2010,143.4
Pakistan,PAK,2010,29.8
Panama,PAN,2010,138.8
Papua New Guinea,PNG,2010,44.1
Paraguay,PRY,2010,24.8
Peru,PER,2010,76
Philippines,PHL,2010,66.4
Poland,POL,2010,121.1
Poland,POL,2011,127.3
Poland,POL,2012,135.2
Poland,POL,2013,151.5
Poland,POL,2014,140.8
Poland,POL,2015,138.9
Portugal,PRT,2010,177.9
Portugal,PRT,2011,161.8
Portugal,PRT,2012,156.9
Portugal,PRT,2013,187.2
Portugal,PRT,2014,201.6
Portugal,PRT,2015,134.4
Puerto Rico,PRI,2010,64
Qatar,QAT,2010,111.7
Romania,ROU,2010,70.4
Romania,ROU,2014,39.1
Romania,ROU,2015,100.5
Russia,RUS,2010,91.4
Saudi Arabia,SAU,2010,124.9
Senegal,SEN,2010,18.3
Serbia,SRB,2010,23.5
Sierra Leone,SLE,2010,17.8
Slovakia,SVK,2010,97.7
Slovakia,SVK,2011,43.7
Slovakia,SVK,2012,43.3
Slovakia,SVK,2013,63.1
Slovakia,SVK,2014,65.9
Slovakia,SVK,2015,53.8
Slovenia,SVN,2010,46.9
Slovenia,SVN,2011,46.1
Slovenia,SVN,2012,37
Slovenia,SVN,2013,22.4
Slovenia,SVN,2014,33.4
Slovenia,SVN,2015,26.4
Solomon Islands,SLB,2010,43.9
Somalia,SOM,2010,20.8
South Africa,ZAF,2010,42.3
South Korea,KOR,2010,118.7
Spain,ESP,2010,259.5
Spain,ESP,2011,335.8
Spain,ESP,2013,317.1
Spain,ESP,2014,418.8
Spain,ESP,2015,402
Sri Lanka,LKA,2010,54
Sudan,SDN,2010,32.2
Suriname,SUR,2010,75.8
Swaziland,SWZ,2010,19.4
Sweden,SWE,2010,15.2
Sweden,SWE,2011,13.6
Sweden,SWE,2012,13.5
Sweden,SWE,2013,12.7
Sweden,SWE,2014,11.5
Sweden,SWE,2015,11.8
Switzerland,CHE,2010,89.1
Switzerland,CHE,2015,50.6
Syria,SYR,2010,52.1
Taiwan,TWN,2010,0
Tajikistan,TJK,2010,15.7
Tanzania,TZA,2010,30.8
Thailand,THA,2010,82.4
Timor,TLS,2010,25.7
Togo,TGO,2010,24.7
Tunisia,TUN,2010,65.7
Turkey,TUR,2010,65.1
Turkmenistan,TKM,2010,21.6
Uganda,UGA,2010,33.3
Ukraine,UKR,2010,68.9
United Arab Emirates,ARE,2010,98.8
United Kingdom,GBR,2010,67.9
United Kingdom,GBR,2011,51.1
United Kingdom,GBR,2012,66
United Kingdom,GBR,2013,62.1
United Kingdom,GBR,2014,62.1
United Kingdom,GBR,2015,56.7
United Kingdom,GBR,2016,45
United States,USA,2010,84.5
Uruguay,URY,2010,24.3
Uzbekistan,UZB,2010,20.3
Venezuela,VEN,2010,45.2
Vietnam,VNM,2010,51.4
Western Sahara,ESH,2010,0
Yemen,YEM,2010,36.4
Zambia,ZMB,2010,25.6
Zimbabwe,ZWE,2010,11.6
