Entity,Code,Year,"17.2.1 - Net official development assistance (ODA) from OECD-DAC countries, by donor countries (millions of constant 2017 United States dollars) - DC_ODA_TOTL (constant USD)"
Denmark,DNK,2012,2469211590
Denmark,DNK,2013,2581454150
Denmark,DNK,2014,2622089230
Denmark,DNK,2015,2669578570
Denmark,DNK,2016,2449602670
Denmark,DNK,2017,2448020000
Denmark,DNK,2018,2448965540
European Union (EU) Institutions,,2000,7813299890
European Union (EU) Institutions,,2001,9523639420
European Union (EU) Institutions,,2002,8071286250
European Union (EU) Institutions,,2003,8672004960
European Union (EU) Institutions,,2004,9389871180
European Union (EU) Institutions,,2005,9938817060
European Union (EU) Institutions,,2006,10534157740
European Union (EU) Institutions,,2007,10713816920
European Union (EU) Institutions,,2008,11313026360
European Union (EU) Institutions,,2009,11943413510
European Union (EU) Institutions,,2010,11708986290
European Union (EU) Institutions,,2011,15068764070
European Union (EU) Institutions,,2012,16178795630
European Union (EU) Institutions,,2013,14058415280
European Union (EU) Institutions,,2014,14440603640
European Union (EU) Institutions,,2015,14153997790
European Union (EU) Institutions,,2016,17630364560
European Union (EU) Institutions,,2017,16440349999.999998
European Union (EU) Institutions,,2018,16126336390
Finland,FIN,2000,598633410
Finland,FIN,2001,625353360
Finland,FIN,2002,699278120
Finland,FIN,2003,703321650
Finland,FIN,2004,773896250
Finland,FIN,2005,1016909470
Finland,FIN,2006,923095500
Finland,FIN,2007,968666260
Finland,FIN,2008,1059478980.0000001
Finland,FIN,2009,1192148850
Finland,FIN,2010,1290432660
Finland,FIN,2011,1263985690
Finland,FIN,2012,1246555220
Finland,FIN,2013,1279909680
Finland,FIN,2014,1434232650
Finland,FIN,2015,1326913870
Finland,FIN,2016,1088355500
Finland,FIN,2017,1083790000
Finland,FIN,2018,925246440
France,FRA,2000,6316636760
France,FRA,2001,6517798300
France,FRA,2002,7929374700
France,FRA,2003,8585046480.000001
France,FRA,2004,8975684170
France,FRA,2005,10415880490
France,FRA,2006,10672440070
France,FRA,2007,8896804090
France,FRA,2008,9103148710
France,FRA,2009,10885280180
France,FRA,2010,11605777080
France,FRA,2011,11021108610
France,FRA,2012,10906446640
France,FRA,2013,9877079300
France,FRA,2014,9204255350
France,FRA,2015,9264600920
France,FRA,2016,9872989410
France,FRA,2017,11330860000
France,FRA,2018,11831748890
Germany,DEU,2000,7663510400
Germany,DEU,2001,7724584970
Germany,DEU,2002,7728795640
Germany,DEU,2003,8115818360
Germany,DEU,2004,8108169650
Germany,DEU,2005,10778865900
Germany,DEU,2006,11012472090
Germany,DEU,2007,11695114930
Germany,DEU,2008,12521546380
Germany,DEU,2009,11012029700
Germany,DEU,2010,12352777480
Germany,DEU,2011,12634154080
Germany,DEU,2012,12358808660
Germany,DEU,2013,12902932810
Germany,DEU,2014,14774354730
Germany,DEU,2015,18764740580
Germany,DEU,2016,25603572770
Germany,DEU,2017,25005060000
Germany,DEU,2018,24265576060
Greece,GRC,2000,349379700
Greece,GRC,2001,317330110
Greece,GRC,2002,399765370
Greece,GRC,2003,422749030
Greece,GRC,2004,330449810
Greece,GRC,2005,386924570
Greece,GRC,2006,408504720
Greece,GRC,2007,427792240
Greece,GRC,2008,546306720
Greece,GRC,2009,476440330
Greece,GRC,2010,416004810
Greece,GRC,2011,328909990
Greece,GRC,2012,275268670
Greece,GRC,2013,199277630
Greece,GRC,2014,210243310
Greece,GRC,2015,243432270
Greece,GRC,2016,377926410
Greece,GRC,2017,313580000
Greece,GRC,2018,268227140.00000003
Hungary,HUN,2003,27318760
Hungary,HUN,2004,77493460
Hungary,HUN,2005,106818050
Hungary,HUN,2006,162177770
Hungary,HUN,2007,92951070
Hungary,HUN,2008,87323580
Hungary,HUN,2009,105309870
Hungary,HUN,2010,103720600
Hungary,HUN,2011,119857890
Hungary,HUN,2012,110064950
Hungary,HUN,2013,115210980
Hungary,HUN,2014,130207300
Hungary,HUN,2015,165526050
Hungary,HUN,2016,211571490
Hungary,HUN,2017,148680000
Hungary,HUN,2018,179516630
Iceland,ISL,2000,14129790
Iceland,ISL,2001,18197520
Iceland,ISL,2002,20957770
Iceland,ISL,2003,24379710
Iceland,ISL,2004,26168400
Iceland,ISL,2005,29308690
Iceland,ISL,2006,45752780
Iceland,ISL,2007,46754890
Iceland,ISL,2008,59429600
Iceland,ISL,2009,51691340
Iceland,ISL,2010,40204500
Iceland,ISL,2011,32915280.000000004
Iceland,ISL,2012,35042630
Iceland,ISL,2013,44766520
Iceland,ISL,2014,44099100
Iceland,ISL,2015,50391270
Iceland,ISL,2016,66733040
Iceland,ISL,2017,68270000
Iceland,ISL,2018,80165230
Ireland,IRL,2000,363821850
Ireland,IRL,2001,429231880
Ireland,IRL,2002,538099930
Ireland,IRL,2003,546593080
Ireland,IRL,2004,596026010
Ireland,IRL,2005,683704160
Ireland,IRL,2006,929655370
Ireland,IRL,2007,982210800
Ireland,IRL,2008,1042493250
Ireland,IRL,2009,857235500
Ireland,IRL,2010,828816630
Ireland,IRL,2011,818772800
Ireland,IRL,2012,767234830
Ireland,IRL,2013,767447500
Ireland,IRL,2014,742203150
Ireland,IRL,2015,727166110
Ireland,IRL,2016,821299220
Ireland,IRL,2017,838030000
Ireland,IRL,2018,884924670
Italy,ITA,2000,2275166420
Italy,ITA,2001,2687557510
Italy,ITA,2002,3542035750
Italy,ITA,2003,2987128700
Italy,ITA,2004,2680792010
Italy,ITA,2005,5439595940
Italy,ITA,2006,3780565440
Italy,ITA,2007,3690318090
Italy,ITA,2008,4183674020.0000005
Italy,ITA,2009,2883369110
Italy,ITA,2010,2745870250
Italy,ITA,2011,3721660050
Italy,ITA,2012,2512606890
Italy,ITA,2013,3011827120
Italy,ITA,2014,3489191210
Italy,ITA,2015,4128675379.9999995
Italy,ITA,2016,5218625060
Italy,ITA,2017,5858030000
Italy,ITA,2018,4612987520
Japan,JPN,2000,11699098610
Japan,JPN,2001,9719405400
Japan,JPN,2002,9581601760
Japan,JPN,2003,8623964040
Japan,JPN,2004,8172302010
Japan,JPN,2005,12372799870
Japan,JPN,2006,11196666100
Japan,JPN,2007,7889891710
Japan,JPN,2008,8732147720
Japan,JPN,2009,7817722110
Japan,JPN,2010,8746127070
Japan,JPN,2011,8099536910
Japan,JPN,2012,7817546010
Japan,JPN,2013,10372681770
Japan,JPN,2014,9142764710
Japan,JPN,2015,9929843340
Japan,JPN,2016,10079863430
Japan,JPN,2017,11462650000
Japan,JPN,2018,9921365070
Luxembourg,LUX,2000,231234310
Luxembourg,LUX,2001,267740000
Luxembourg,LUX,2002,264259520
Luxembourg,LUX,2003,283690480
Luxembourg,LUX,2004,304499140
Luxembourg,LUX,2005,317987550
Luxembourg,LUX,2006,333496900
Luxembourg,LUX,2007,389128740
Luxembourg,LUX,2008,392516750
Luxembourg,LUX,2009,400989610
Luxembourg,LUX,2010,395063270
Luxembourg,LUX,2011,364881500
Luxembourg,LUX,2012,375315970
Luxembourg,LUX,2013,384460790
Luxembourg,LUX,2014,369272910
Luxembourg,LUX,2015,380185900
Luxembourg,LUX,2016,407087830
Luxembourg,LUX,2017,424180000
Luxembourg,LUX,2018,439797020
Netherlands,NLD,2000,5005313910
Netherlands,NLD,2001,5004253350
Netherlands,NLD,2002,4822046160
Netherlands,NLD,2003,4685777890
Netherlands,NLD,2004,4451723440
Netherlands,NLD,2005,5308431560
Netherlands,NLD,2006,5466386530
Netherlands,NLD,2007,5606621860
Netherlands,NLD,2008,5844389010
Netherlands,NLD,2009,5550841180
Netherlands,NLD,2010,5720584830
Netherlands,NLD,2011,5425981260
Netherlands,NLD,2012,5037258510
Netherlands,NLD,2013,4738653880
Netherlands,NLD,2014,4850027690
Netherlands,NLD,2015,5913629780
Netherlands,NLD,2016,5121348200
Netherlands,NLD,2017,4958450000
Netherlands,NLD,2018,5246387940
New Zealand,NZL,2000,263312439.99999997
New Zealand,NZL,2001,268790450
New Zealand,NZL,2002,264577360
New Zealand,NZL,2003,282501530
New Zealand,NZL,2004,306537730
New Zealand,NZL,2005,363199630
New Zealand,NZL,2006,364118850
New Zealand,NZL,2007,380957050
New Zealand,NZL,2008,423782050
New Zealand,NZL,2009,413023100
New Zealand,NZL,2010,385383830
New Zealand,NZL,2011,423692830
New Zealand,NZL,2012,438857680
New Zealand,NZL,2013,427531230
New Zealand,NZL,2014,457205180
New Zealand,NZL,2015,473793270
New Zealand,NZL,2016,471627490
New Zealand,NZL,2017,449750000
New Zealand,NZL,2018,564891490
Norway,NOR,2000,2239368450
Norway,NOR,2001,2399182030
Norway,NOR,2002,2731005880
Norway,NOR,2003,2836206210
Norway,NOR,2004,2743953160
Norway,NOR,2005,3064506660
Norway,NOR,2006,2957876460
Norway,NOR,2007,3324128120
Norway,NOR,2008,3145153500
Norway,NOR,2009,3718614720
Norway,NOR,2010,3619307880
Norway,NOR,2011,3419838300
Norway,NOR,2012,3431034210
Norway,NOR,2013,3971668950
Norway,NOR,2014,3867374150
Norway,NOR,2015,4283287980
Norway,NOR,2016,4621020860
Norway,NOR,2017,4124979999.9999995
Norway,NOR,2018,3952024620
Poland,POL,2000,48275630
Poland,POL,2001,54181610
Poland,POL,2002,21188910
Poland,POL,2003,38126160
Poland,POL,2004,147737550
Poland,POL,2005,222355930
Poland,POL,2006,306978380
Poland,POL,2007,319336010
Poland,POL,2008,278950110
Poland,POL,2009,344105880
Poland,POL,2010,330682100
Poland,POL,2011,347867590
Poland,POL,2012,376331120
Poland,POL,2013,421806240
Poland,POL,2014,388658740
Poland,POL,2015,449826640
Poland,POL,2016,705399780
Poland,POL,2017,679460000
Poland,POL,2018,716059990
Portugal,PRT,2000,464592300
Portugal,PRT,2001,457272630
Portugal,PRT,2002,501065990
Portugal,PRT,2003,400327830
Portugal,PRT,2004,1146977800
Portugal,PRT,2005,405851540
Portugal,PRT,2006,409320080
Portugal,PRT,2007,432670400
Portugal,PRT,2008,531956829.99999994
Portugal,PRT,2009,450579390
Portugal,PRT,2010,595802510
Portugal,PRT,2011,620700760
Portugal,PRT,2012,553134910
Portugal,PRT,2013,440269830
Portugal,PRT,2014,385262780
Portugal,PRT,2015,323363830
Portugal,PRT,2016,355050470
Portugal,PRT,2017,380740000
Portugal,PRT,2018,321529230
Slovakia,SVK,2000,13975050
Slovakia,SVK,2001,19635710
Slovakia,SVK,2002,14289430
Slovakia,SVK,2003,24826990
Slovakia,SVK,2004,38497920
Slovakia,SVK,2005,72962550
Slovakia,SVK,2006,65674859.99999999
Slovakia,SVK,2007,65936269.99999999
Slovakia,SVK,2008,76926370
Slovakia,SVK,2009,63778670
Slovakia,SVK,2010,65236400
Slovakia,SVK,2011,71345780
Slovakia,SVK,2012,70599670
Slovakia,SVK,2013,73424050
Slovakia,SVK,2014,71170080
Slovakia,SVK,2015,86998640
Slovakia,SVK,2016,109445790
Slovakia,SVK,2017,119200000
Slovakia,SVK,2018,124417590
Slovenia,SVN,2005,38498980
Slovenia,SVN,2006,47376900
Slovenia,SVN,2007,51289330
Slovenia,SVN,2008,58155290
Slovenia,SVN,2009,61418110
Slovenia,SVN,2010,53646380
Slovenia,SVN,2011,54133120
Slovenia,SVN,2012,54279680
Slovenia,SVN,2013,54463800
Slovenia,SVN,2014,54063860
Slovenia,SVN,2015,65831530
Slovenia,SVN,2016,84193650
Slovenia,SVN,2017,75790000
Slovenia,SVN,2018,77937630
South Korea,KOR,2000,304764380
South Korea,KOR,2001,418794620
South Korea,KOR,2002,414984170
South Korea,KOR,2003,501406020
South Korea,KOR,2004,541742420
South Korea,KOR,2005,852261650
South Korea,KOR,2006,479942230
South Korea,KOR,2007,699856490
South Korea,KOR,2008,935774280
South Korea,KOR,2009,1054831349.9999999
South Korea,KOR,2010,1333981960
South Korea,KOR,2011,1420153580
South Korea,KOR,2012,1723525870
South Korea,KOR,2013,1825704780
South Korea,KOR,2014,1846683650
South Korea,KOR,2015,1998711490
South Korea,KOR,2016,2357896120
South Korea,KOR,2017,2201350000
South Korea,KOR,2018,2336300390
Spain,ESP,2000,2008251040
Spain,ESP,2001,2886676640
Spain,ESP,2002,2597042940
Spain,ESP,2003,2387804240
Spain,ESP,2004,2596342440
Spain,ESP,2005,3086398640
Spain,ESP,2006,3713686310
Spain,ESP,2007,4441222290
Spain,ESP,2008,5513618440
Spain,ESP,2009,5461931490
Spain,ESP,2010,5180749730
Spain,ESP,2011,3460603420
Spain,ESP,2012,1826368040
Spain,ESP,2013,2030670070
Spain,ESP,2014,1627366610
Spain,ESP,2015,1441188310
Spain,ESP,2016,4358805710
Spain,ESP,2017,2560300000
Spain,ESP,2018,2442392860
Sweden,SWE,2000,2582075240
Sweden,SWE,2001,2633437920
Sweden,SWE,2002,2943427260
Sweden,SWE,2003,2868904420
Sweden,SWE,2004,2942399580
Sweden,SWE,2005,3667252730
Sweden,SWE,2006,4183577930.0000005
Sweden,SWE,2007,4090734250
Sweden,SWE,2008,4266831750.0000005
Sweden,SWE,2009,4576092270
Sweden,SWE,2010,4259617590
Sweden,SWE,2011,4688272300
Sweden,SWE,2012,4528879280
Sweden,SWE,2013,4795390650
Sweden,SWE,2014,5309317230
Sweden,SWE,2015,7266844940
Sweden,SWE,2016,5006682700
Sweden,SWE,2017,5563250000
Sweden,SWE,2018,5811662320
Switzerland,CHE,2000,1651940760
Switzerland,CHE,2001,1667176650
Switzerland,CHE,2002,1594679050
Switzerland,CHE,2003,1885699330
Switzerland,CHE,2004,2066222159.9999998
Switzerland,CHE,2005,2356088630
Switzerland,CHE,2006,2157824540
Switzerland,CHE,2007,2063779200
Switzerland,CHE,2008,2238647840
Switzerland,CHE,2009,2496407440
Switzerland,CHE,2010,2383893020
Switzerland,CHE,2011,2681638900
Switzerland,CHE,2012,2840724400
Switzerland,CHE,2013,2942840930
Switzerland,CHE,2014,3218490840
Switzerland,CHE,2015,3413163360
Switzerland,CHE,2016,3568538340
Switzerland,CHE,2017,3138060000
Switzerland,CHE,2018,3048105340
United Kingdom,GBR,2000,5332275580
United Kingdom,GBR,2001,5639061720
United Kingdom,GBR,2002,5718546800
United Kingdom,GBR,2003,6518348910
United Kingdom,GBR,2004,7155818930
United Kingdom,GBR,2005,9585199870
United Kingdom,GBR,2006,10639626800
United Kingdom,GBR,2007,7542199180
United Kingdom,GBR,2008,9471546780
United Kingdom,GBR,2009,10592174960
United Kingdom,GBR,2010,12206957530
United Kingdom,GBR,2011,12227661820
United Kingdom,GBR,2012,12232420640
United Kingdom,GBR,2013,15656886750
United Kingdom,GBR,2014,15757003880
United Kingdom,GBR,2015,16281842210
United Kingdom,GBR,2016,17574715030
United Kingdom,GBR,2017,18103400000
United Kingdom,GBR,2018,18428927310
United States,USA,2000,13763403500
United States,USA,2001,15462794620
United States,USA,2002,17700195010
United States,USA,2003,21338640540
United States,USA,2004,25089752140
United States,USA,2005,34494120160
United States,USA,2006,28204222140
United States,USA,2007,25429373740
United States,USA,2008,30267898720
United States,USA,2009,32759728400
United States,USA,2010,33309028010
United States,USA,2011,34068544840.000004
United States,USA,2012,33088684990
United States,USA,2013,33169686159.999996
United States,USA,2014,34457931460
United States,USA,2015,31919782560
United States,USA,2016,35075245570
United States,USA,2017,34731980000
United States,USA,2018,32999803679.999996
