Entity,Code,Year,Oil (terawatt-hours)
Brazil,BRA,2011,64.942573606
Brazil,BRA,2012,33.9317938329998
Brazil,BRA,2013,104.86082504000024
Brazil,BRA,2014,62.324860641999976
Brazil,BRA,2015,-58.64782098699993
Brazil,BRA,2016,-92.11089441900003
Brazil,BRA,2017,39.44589084300014
Brazil,BRA,2018,-2.101497969000093
Bulgaria,BGR,1966,6.158636110810001
Bulgaria,BGR,1967,12.848341669010004
Bulgaria,BGR,1968,11.615658337569997
Bulgaria,BGR,1969,16.94068055279
Bulgaria,BGR,1970,14.760454171039996
Bulgaria,BGR,1971,10.58987942827001
Bulgaria,BGR,1972,4.655453644800005
Bulgaria,BGR,1973,6.603564939400002
Bulgaria,BGR,1974,5.098876934999993
Bulgaria,BGR,1975,7.973888995200014
Bulgaria,BGR,1976,5.525526857699987
Bulgaria,BGR,1977,5.800258626100003
Bulgaria,BGR,1978,4.51115837399999
Bulgaria,BGR,1979,4.762078880400026
Bulgaria,BGR,1980,3.460591050099964
Bulgaria,BGR,1981,-17.934672194899974
Bulgaria,BGR,1982,-4.5539736375000075
Bulgaria,BGR,1983,-4.885845224099995
Bulgaria,BGR,1984,-5.4670925041999965
Bulgaria,BGR,1985,-10.039611921200006
Bulgaria,BGR,1986,6.607653000699983
Bulgaria,BGR,1987,-5.035023815599999
Bulgaria,BGR,1988,7.633912694200006
Bulgaria,BGR,1989,-3.2204077085999927
Bulgaria,BGR,1990,-10.363969015899997
Bulgaria,BGR,1991,-38.13219644382001
Bulgaria,BGR,1992,-8.842495874440004
Bulgaria,BGR,1993,5.442786688080005
Bulgaria,BGR,1994,-4.115211942049996
Bulgaria,BGR,1995,1.6929098898699948
Bulgaria,BGR,1996,-4.819553619339999
Bulgaria,BGR,1997,-14.809813530869995
Bulgaria,BGR,1998,2.9691167052899985
Bulgaria,BGR,1999,-4.792824169370007
Bulgaria,BGR,2000,-1.8054150208700008
Bulgaria,BGR,2001,3.5077884976000036
Bulgaria,BGR,2002,0.7775679486700042
Bulgaria,BGR,2003,2.0333249209899975
Bulgaria,BGR,2004,-1.300455912030003
Bulgaria,BGR,2005,5.086522130139997
Bulgaria,BGR,2006,1.8548035138500012
Bulgaria,BGR,2007,-1.209353865449998
Bulgaria,BGR,2008,-2.2547609583499977
Bulgaria,BGR,2009,-4.980411917460003
Bulgaria,BGR,2010,-5.728426373040001
Bulgaria,BGR,2011,-2.2000696156800004
Bulgaria,BGR,2012,2.7902518526200026
Bulgaria,BGR,2013,-3.349465574370008
Bulgaria,BGR,2014,2.887076173210012
Bulgaria,BGR,2015,6.495021579529997
Bulgaria,BGR,2016,0.458796196359998
Bulgaria,BGR,2017,2.3651929836999983
Bulgaria,BGR,2018,0.3694941481400065
Canada,CAN,1966,34.44425896709993
Canada,CAN,1967,45.84396438199997
Canada,CAN,1968,46.68690806130007
