Entity,Code,Year,17th percentile (%),2.5th percentile (%),83rd percentile (%),97.5th percentile (%),Median (%)
Cape Verde,CPV,215,0.087624642,0.724950018,-0.651967625,-1.414006799,-0.23649172
Central African Republic,CAF,215,-0.340518876,-0.021727837,-1.150679977,-1.71123462,-0.709585167
Chad,TCD,215,-0.105246793,0.611606894,-1.642200015,-2.633680492,-0.815188199
Chile,CHL,215,0.349687477,0.716492855,-0.025299897,-0.226653601,0.10709363
China,CHN,215,0.040767474,0.215353519,-0.204116231,-0.484635536,-0.038198337
Colombia,COL,215,0.053718739,0.686933768,-0.878177586,-1.732121477,-0.341368209
Comoros,COM,215,-0.192985743,0.026109308,-0.684738588,-1.034610784,-0.413543057
Congo,COG,215,-0.269111738,0.12011974,-1.104992751,-1.66501205,-0.657846887
Costa Rica,CRI,215,0.026594818,0.796838256,-0.911285675,-1.802746428,-0.393629417
Cote d'Ivoire,CIV,215,-0.291795681,0.086660157,-1.116798099,-1.685056286,-0.668744637
Croatia,HRV,215,0.265799073,0.757854011,-0.118874397,-0.482390366,0.021488774
Cuba,CUB,215,-0.118712694,0.266727875,-0.833526851,-1.366817603,-0.434004274
Cyprus,CYP,215,-0.065741868,0.095859192,-0.475524482,-0.812326883,-0.238707082
Czech Republic,CZE,215,0.796260391,1.67742496,-0.192704525,-0.856670483,0.199098072
Democratic Republic of Congo,COD,215,-0.293433184,-0.008877125,-0.989691187,-1.482662528,-0.607516206
Denmark,DNK,215,0.613086424,1.242203044,-0.043992185,-0.412319236,0.202756636
Djibouti,DJI,215,0.185893863,1.268510678,-1.789316113,-3.116379971,-0.741932685
Dominican Republic,DOM,215,-0.201718625,0.05111695,-0.773433665,-1.185039508,-0.452518197
Ecuador,ECU,215,0.067483729,0.768457121,-0.664767712,-1.534226099,-0.237256398
Egypt,EGY,215,-0.099095155,0.240751098,-0.888016604,-1.458672827,-0.44477107
El Salvador,SLV,215,0.324080115,1.357327799,-1.561454902,-2.848210636,-0.561965935
Eritrea,ERI,215,-0.027201389,0.611086891,-1.13919108,-1.935925794,-0.509285891
Estonia,EST,215,1.160920707,2.218188234,-0.184345152,-0.952450589,0.397697296
Ethiopia,ETH,215,-0.121628009,0.04403407,-0.596481282,-0.964014038,-0.321555218
Fiji,FJI,215,-0.063112786,0.184976567,-0.616322158,-0.996983368,-0.314852141
Finland,FIN,215,1.368558222,2.460986949,-0.119957426,-0.888878901,0.536506264
France,FRA,215,0.314339299,0.764983932,-0.070717966,-0.351088125,0.054000372
Gabon,GAB,215,-0.305842859,-0.111390593,-0.828154656,-1.178141598,-0.541517139
Gambia,GMB,215,-0.093031732,0.39825746,-1.018553999,-1.668321731,-0.532681024
Georgia,GEO,215,0.28773313,0.727951073,-0.074395369,-0.355470216,0.045345697
Germany,DEU,215,0.58124415,1.258579049,-0.134388673,-0.597442752,0.138807624
Greece,GRC,215,0.052121521,0.293781544,-0.321209229,-0.770552252,-0.062590665
Guatemala,GTM,215,0.01515541,0.588218871,-0.998860335,-1.77694748,-0.438239248
Guinea,GIN,215,-0.297457516,-0.002841207,-0.964436066,-1.433342719,-0.599152737
Guyana,GUY,215,-0.110273801,1.014314871,-1.491600487,-2.891319379,-0.72790064
Honduras,HND,215,0.044464153,0.75272144,-1.26620295,-2.222945957,-0.554662546
Hungary,HUN,215,0.457775308,1.130477416,-0.118542856,-0.534990744,0.068015585
Iceland,ISL,215,1.336806742,2.198049613,0.095637216,-0.538163259,0.66550443
India,IND,215,-0.176860738,0.324008135,-1.240279907,-2.005511845,-0.660504933
Indonesia,IDN,215,-0.12158753,0.212442477,-1.081823124,-1.659760062,-0.584660226
Iran,IRN,215,0.01417036,0.192867124,-0.382124221,-0.789516594,-0.119048517
Iraq,IRQ,215,-0.053684954,0.562293922,-1.212649421,-2.008187111,-0.587614798
Italy,ITA,215,0.110595456,0.398869478,-0.15684741,-0.49326577,-0.004049661
Japan,JPN,215,0.060781396,0.240717193,-0.154689087,-0.388335336,-0.018057572
Jordan,JOR,215,-0.023103767,0.192331113,-0.560974459,-1.019123842,-0.238134929
Kazakhstan,KAZ,215,1.056560271,1.938941087,-0.061824409,-0.695867486,0.416467562
Kenya,KEN,215,-0.09180199,0.085939171,-0.604693827,-0.986792896,-0.313055005
Kyrgyzstan,KGZ,215,0.935452174,1.733653087,-0.008808708,-0.511926495,0.380687368
Laos,LAO,215,-0.054085254,0.536726147,-1.183182118,-2.060750686,-0.53751237
Latvia,LVA,215,1.077795884,2.184367212,-0.282240995,-1.176755241,0.313091603
Lebanon,LBN,215,0.050938311,0.239221103,-0.192961016,-0.482505758,-0.029240658
Lesotho,LSO,215,0.279540534,0.613856419,-0.03908245,-0.237246955,0.067201992
Liberia,LBR,215,-0.30400626,0.028614741,-0.939078528,-1.426865665,-0.586737497
Lithuania,LTU,215,0.961890642,2.031059726,-0.267558148,-1.10291638,0.268508769
Luxembourg,LUX,215,0.550024671,1.182367048,-0.093474014,-0.538997605,0.136108486
Macedonia,MKD,215,0.46107961,0.998892384,-0.061494878,-0.37861737,0.109698788
Madagascar,MDG,215,-0.111543873,0.103057861,-0.66661384,-1.069419176,-0.350557141
Malawi,MWI,215,-0.123237999,0.341719022,-1.048819339,-1.762871286,-0.5375734
Malaysia,MYS,215,-0.09305649,0.41245212,-1.141551902,-1.856671669,-0.576861637
Mali,MLI,215,-0.266693407,0.365435874,-1.697990986,-2.670874732,-0.914833144
Mauritania,MRT,215,-0.275808913,0.299706029,-1.433866005,-2.215516219,-0.816232442
Mauritius,MUS,215,-0.0201791,0.150251048,-0.689620505,-1.107440096,-0.360644508
Mexico,MEX,215,-0.089004401,0.036074253,-0.488975281,-0.816570742,-0.256001805
Moldova,MDA,215,0.587808094,1.34030216,-0.132051156,-0.645537995,0.121219477
Mongolia,MNG,215,1.838918236,3.101455276,-0.049251814,-1.120784649,0.842564399
Morocco,MAR,215,0.002930274,0.219007005,-0.442993977,-0.841838298,-0.169698569
Mozambique,MOZ,215,-0.148533298,0.313081759,-1.083221301,-1.748795282,-0.576598951
Namibia,NAM,215,-0.130371842,0.233002748,-0.898729811,-1.465938032,-0.470360651
Nepal,NPL,215,-0.025374302,0.388876976,-0.817508684,-1.4202376,-0.369756073
Netherlands,NLD,215,0.423344829,0.939367558,-0.062670078,-0.369570069,0.104091556
New Zealand,NZL,215,0.137852479,0.303165483,-0.039467462,-0.175698687,0.032355952
Nicaragua,NIC,215,0.252957168,1.330904921,-1.667520447,-2.88253892,-0.688757764
Nigeria,NGA,215,-0.304802425,0.102973482,-1.202774662,-1.821018087,-0.71240091
Norway,NOR,215,1.096056696,2.00852338,-0.149033421,-0.861065515,0.393289188
Pakistan,PAK,215,-0.025950941,0.533369569,-1.143697693,-1.974764195,-0.51336621
Panama,PAN,215,-0.065086038,0.583825105,-1.006621895,-1.810467144,-0.508763133
Paraguay,PRY,215,0.203262968,1.129834306,-1.361730695,-2.533757791,-0.469500003
Peru,PER,215,0.025443171,0.219296782,-0.279462546,-0.667087687,-0.072965861
Philippines,PHL,215,-0.215530701,0.042037952,-0.763653957,-1.152511156,-0.469271171
Poland,POL,215,0.748112543,1.633579872,-0.159495626,-0.762424129,0.193919608
Portugal,PRT,215,0.025170586,0.151069169,-0.165718783,-0.394163329,-0.031103491
Romania,ROU,215,0.551605306,1.270220089,-0.111844588,-0.603406142,0.118208584
Russia,RUS,215,0.013504694,0.024177454,-0.001808238,-0.009908813,0.005085123
Rwanda,RWA,215,-0.128036803,0.041312252,-0.62600081,-1.0213871,-0.339796473
Saint Vincent and the Grenadines,VCT,215,-0.125189711,0.311094749,-0.772932545,-1.346629849,-0.414018212
Samoa,WSM,215,-0.159449962,0.05631893,-0.662994345,-1.00481925,-0.394648905
Saudi Arabia,SAU,215,-0.1714255,0.50602245,-1.509684146,-2.434091273,-0.79313896
Senegal,SEN,215,-0.235112628,0.168797718,-1.026264321,-1.607754279,-0.59730743
Serbia,SRB,215,0.481292759,1.134898525,-0.12135322,-0.531927886,0.087408825
Sierra Leone,SLE,215,-0.33258752,0.032374208,-0.955583131,-1.456611437,-0.615010688
Slovakia,SVK,215,0.769120205,1.627628401,-0.161975835,-0.795543868,0.197385372
Slovenia,SVN,215,0.669763268,1.411352217,-0.144546424,-0.690883267,0.170022271
Solomon Islands,SLB,215,-0.277413502,-0.127091261,-0.67259242,-0.936038908,-0.457777678
South Africa,ZAF,215,-0.019136573,0.121736339,-0.426146746,-0.798095224,-0.177676313
South Korea,KOR,215,0.230994978,0.520795739,-0.039240919,-0.219004521,0.050627559
Spain,ESP,215,0.043411022,0.242711085,-0.250759083,-0.60131503,-0.045127537
Sri Lanka,LKA,215,0.036907441,0.642443303,-1.369984089,-2.217025133,-0.621732029
Sudan,SDN,215,-0.063474585,0.806424987,-1.671536058,-2.727686743,-0.816702063
Suriname,SUR,215,0.027176893,0.766540532,-1.370353403,-2.269568453,-0.621582123
Swaziland,SWZ,215,-0.014146398,0.273012382,-0.646576454,-1.155460191,-0.284268618
Sweden,SWE,215,0.985488659,1.862176352,-0.108904484,-0.770677173,0.351109336
Switzerland,CHE,215,0.900498119,1.799366161,-0.152820277,-0.875766756,0.281415509
Tajikistan,TJK,215,0.325496943,0.801809588,-0.062401067,-0.335500592,0.062763245
Tanzania,TZA,215,-0.209220918,0.045182232,-0.819450787,-1.272185035,-0.477995732
Thailand,THA,215,-0.06439589,0.706508004,-1.414501008,-2.422289505,-0.670037231
Togo,TGO,215,-0.257719459,0.213731755,-1.205593875,-1.848869433,-0.702385647
Trinidad and Tobago,TTO,215,-0.179493253,0.258223039,-0.71349215,-1.226542919,-0.419651755
Tunisia,TUN,215,-0.011197445,0.304657413,-0.685972059,-1.218504449,-0.294549633
Turkey,TUR,215,0.155043908,0.451485752,-0.116132752,-0.401591496,0.006482442
Turkmenistan,TKM,215,0.046353304,0.317341234,-0.417956826,-0.952108863,-0.104155548
Uganda,UGA,215,-0.188425569,0.082486257,-0.870366771,-1.352778925,-0.491043401
Ukraine,UKR,215,0.689589055,1.50184694,-0.149224284,-0.712750055,0.167273804
United Arab Emirates,ARE,215,-0.193842241,0.498234794,-1.621667339,-2.574375421,-0.853389131
United Kingdom,GBR,215,0.410723974,0.858822985,-0.046925544,-0.344804274,0.122512033
United States,USA,215,0.097137585,0.348763743,-0.140085216,-0.439979468,-0.004133504
Uruguay,URY,215,0.022718848,0.302955565,-0.472407887,-0.921647797,-0.170468562
Uzbekistan,UZB,215,0.079976655,0.355808844,-0.2358411,-0.650537895,-0.020688741
Vanuatu,VUT,215,-0.092953027,0.160423504,-0.71714568,-1.123936402,-0.374070114
Venezuela,VEN,215,-0.101130076,0.634789593,-1.291503592,-2.304779847,-0.638448431
Vietnam,VNM,215,0.072596366,0.714502792,-1.20597429,-2.067215539,-0.533096405
Zambia,ZMB,215,-0.112787008,0.247593962,-0.880711345,-1.468382108,-0.445733454
Zimbabwe,ZWE,215,-0.041990788,0.356891728,-0.844875657,-1.483200245,-0.391353363
