Entity,Code,Year,Non-rich to Non-rich (%),Non-rich to Rich (%),Rich to Non-rich (%),Rich to Rich (%)
World,OWID_WRL,1907,1.86231,14.52406,17.48386,66.12977
World,OWID_WRL,1908,1.74406,14.82439,17.64936,65.78219
World,OWID_WRL,1909,1.79695,15.71861,17.79333,64.69112
World,OWID_WRL,1910,1.81119,15.33195,18.74969,64.10717
World,OWID_WRL,1911,1.8263,15.96489,18.49222,63.71659
World,OWID_WRL,1912,1.8982,16.38123,18.66835,63.05222
World,OWID_WRL,1913,1.3411,15.39729,19.33592,63.92569
World,OWID_WRL,1914,0.87648,13.30034,19.11265,66.71053
World,OWID_WRL,1915,0.83016,14.84094,14.15126,70.17765
World,OWID_WRL,1916,0.70559,14.7999,14.22779,70.26672
World,OWID_WRL,1917,0.87365,13.38096,13.87888,71.8665
World,OWID_WRL,1918,1.27688,14.10431,15.31946,69.29935
World,OWID_WRL,1919,0.86381,14.89809,15.29616,68.94194
World,OWID_WRL,1920,1.08788,14.57619,20.05091,64.28503
World,OWID_WRL,1921,1.32483,13.36681,21.35126,63.9571
World,OWID_WRL,1922,1.17535,14.59773,18.44889,65.77804
World,OWID_WRL,1923,1.43701,16.83012,20.17787,61.555
World,OWID_WRL,1924,2.07269,15.73885,21.11731,61.07116
World,OWID_WRL,1925,2.49581,14.38952,21.97056,61.14412
World,OWID_WRL,1926,2.28012,14.13033,21.19299,62.39656
World,OWID_WRL,1927,2.43549,14.19404,21.42926,61.94122
World,OWID_WRL,1928,2.10878,14.56227,22.69139,60.63757
World,OWID_WRL,1929,2.07584,14.02167,23.17528,60.72722
World,OWID_WRL,1930,2.20235,12.70604,22.71298,62.37863
World,OWID_WRL,1931,1.91694,13.20554,21.97555,62.90197
World,OWID_WRL,1932,2.28677,15.51391,22.32967,59.86966
World,OWID_WRL,1933,2.58018,15.28163,22.62628,59.51191
World,OWID_WRL,1934,2.68292,15.60198,23.36076,58.35434
World,OWID_WRL,1935,2.67974,15.90889,24.51056,56.90082
World,OWID_WRL,1936,2.55666,16.65803,23.72295,57.06237
World,OWID_WRL,1937,2.40154,16.16285,24.18683,57.24878
World,OWID_WRL,1938,2.24787,14.68561,25.27495,57.79157
World,OWID_WRL,1939,1.5649,12.71196,25.85039,59.87275
World,OWID_WRL,1940,1.18004,13.88278,22.1514,62.78579
World,OWID_WRL,1941,1.17572,11.9148,21.54789,65.3616
World,OWID_WRL,1942,1.4335,11.17785,17.81925,69.56939
World,OWID_WRL,1943,1.55952,10.99145,12.23096,75.21807
World,OWID_WRL,1944,1.71718,12.36605,12.80267,73.11409
World,OWID_WRL,1945,2.36644,15.20216,18.82447,63.60693
World,OWID_WRL,1946,1.91718,14.9679,24.73274,58.38218
World,OWID_WRL,1947,1.52945,14.61836,29.18156,54.67062
World,OWID_WRL,1948,3.45909,14.6569,32.40317,49.48084
World,OWID_WRL,1949,7.30034,20.00645,26.62742,46.06578
World,OWID_WRL,1950,9.04783,26.40153,25.48766,39.06298
World,OWID_WRL,1951,9.61308,26.12936,25.39183,38.86573
World,OWID_WRL,1952,10.20096,24.85494,27.08041,37.86369
World,OWID_WRL,1953,9.67541,26.55556,24.68645,39.08258
World,OWID_WRL,1954,11.09191,26.15431,25.03935,37.71443
World,OWID_WRL,1955,12.31875,25.25456,24.74802,37.67867
World,OWID_WRL,1956,16.4108,24.09109,23.07323,36.42489
World,OWID_WRL,1957,11.5586,24.92286,26.1605,37.35804
World,OWID_WRL,1958,11.44332,25.44785,26.84956,36.25927
World,OWID_WRL,1959,11.12486,25.38164,25.29192,38.20158
World,OWID_WRL,1960,12.4591,24.94916,25.38401,37.20773
World,OWID_WRL,1961,10.34412,25.45136,25.9212,38.28333
World,OWID_WRL,1962,10.01862,26.52669,25.01915,38.43555
World,OWID_WRL,1963,9.72139,26.96944,24.30303,39.00614
World,OWID_WRL,1964,9.94153,26.62353,23.75482,39.68012
World,OWID_WRL,1965,9.90627,25.90481,24.13167,40.05725
World,OWID_WRL,1966,9.87093,26.08439,23.33782,40.70686
World,OWID_WRL,1967,9.86146,25.98253,22.87168,41.28433
World,OWID_WRL,1968,10.21773,25.71771,22.43736,41.62721
World,OWID_WRL,1969,9.94011,25.56036,22.62929,41.87024
World,OWID_WRL,1970,9.80931,25.40295,23.16425,41.62349
World,OWID_WRL,1971,9.90259,25.02001,23.18078,41.89662
World,OWID_WRL,1972,9.84733,25.43264,22.25912,42.46091
World,OWID_WRL,1973,10.5303,26.50101,21.94175,41.02695
World,OWID_WRL,1974,12.35249,29.78293,21.16305,36.70152
World,OWID_WRL,1975,12.45683,28.00661,23.84972,35.68684
World,OWID_WRL,1976,12.68739,29.21963,22.59852,35.49446
World,OWID_WRL,1977,12.87806,29.30019,23.13424,34.68752
World,OWID_WRL,1978,12.33731,27.89783,24.18751,35.57735
World,OWID_WRL,1979,12.72879,28.90609,23.13569,35.22944
World,OWID_WRL,1980,13.63881,29.42105,23.28767,33.65248
World,OWID_WRL,1981,14.46769,27.92966,24.41983,33.18282
World,OWID_WRL,1982,14.5685,27.29597,24.12896,34.00657
World,OWID_WRL,1983,13.96981,26.6681,23.70754,35.65455
World,OWID_WRL,1984,13.04296,26.83659,22.39696,37.72349
World,OWID_WRL,1985,12.26175,26.64443,21.77294,39.32088
World,OWID_WRL,1986,10.89775,25.8245,21.65269,41.62507
World,OWID_WRL,1987,11.06113,26.60222,21.30351,41.03314
World,OWID_WRL,1988,11.24905,25.87476,21.60769,41.26851
World,OWID_WRL,1989,11.65215,26.07016,21.50087,40.77682
World,OWID_WRL,1990,12.04598,25.80407,22.10527,40.04469
World,OWID_WRL,1991,9.14698,17.72367,17.10548,56.02387
World,OWID_WRL,1992,10.60981,17.61388,18.30717,53.46915
World,OWID_WRL,1993,11.89304,18.52389,20.35184,49.23124
World,OWID_WRL,1994,12.32368,18.626,19.8694,49.18092
World,OWID_WRL,1995,13.03723,18.73038,19.80976,48.42264
World,OWID_WRL,1996,13.71044,19.14958,20.10049,47.03949
World,OWID_WRL,1997,14.04651,19.64997,20.2518,46.05172
World,OWID_WRL,1998,12.77511,19.74735,19.31095,48.1666
World,OWID_WRL,1999,12.79026,20.5297,18.42121,48.25883
World,OWID_WRL,2000,14.15687,22.29619,18.35704,45.1899
World,OWID_WRL,2001,14.36802,22.30636,18.2832,45.04242
World,OWID_WRL,2002,15.13898,22.47771,18.14178,44.24154
World,OWID_WRL,2003,16.41939,22.69531,17.68102,43.20427
World,OWID_WRL,2004,18.01058,23.0972,17.8748,41.01741
World,OWID_WRL,2005,19.36935,24.04314,17.69726,38.89026
World,OWID_WRL,2006,20.87311,24.29331,17.54667,37.28691
World,OWID_WRL,2007,21.69402,23.65901,18.21688,36.43009
World,OWID_WRL,2008,23.77726,23.6713,18.4921,34.05935
World,OWID_WRL,2009,24.09839,23.03792,19.09081,33.77287
World,OWID_WRL,2010,25.59965,23.60117,19.19062,31.60856
World,OWID_WRL,2011,26.9226,23.50834,19.04964,30.51942
World,OWID_WRL,2012,28.43653,23.22877,19.16877,29.16592
World,OWID_WRL,2013,28.92063,22.68252,19.54939,28.84746
World,OWID_WRL,2014,28.86999,22.56629,19.31332,29.25041
World,OWID_WRL,1827,,0.16776,21.96473,77.86751
World,OWID_WRL,1828,,0.31139,24.01728,75.67133
World,OWID_WRL,1829,,0.31134,24.35635,75.33231
World,OWID_WRL,1830,,0.24805,21.13147,78.62048
World,OWID_WRL,1831,,0.28619,26.613,73.10081
World,OWID_WRL,1832,,0.87269,17.66939,81.45793
World,OWID_WRL,1833,,0.78716,17.98516,81.22768
World,OWID_WRL,1834,,0.89108,28.39701,70.71191
World,OWID_WRL,1835,,0.66421,18.49433,80.84146
World,OWID_WRL,1836,,0.69067,16.05363,83.25571
World,OWID_WRL,1837,,0.57471,17.14497,82.28032
World,OWID_WRL,1838,,0.73555,15.19957,84.06489
World,OWID_WRL,1839,,0.39091,18.48301,81.12608
World,OWID_WRL,1841,,1.37755,15.79927,82.82318
World,OWID_WRL,1842,,1.75389,17.26133,80.98478
World,OWID_WRL,1855,,6.01329,20.36006,73.62666
