Entity,Code,Year,Wind (deaths per million),Rip Current (deaths per million),Winter (deaths per million),Cold (deaths per million),Heat (deaths per million),Hurricane (deaths per million),Tornado (deaths per million),Flood (deaths per million),Lightning (deaths per million)
United States,USA,1970,,,,,,0.053644929,0.351130445,0.638862337,0.6
United States,USA,1971,,,,,,0.038524326,0.751224351,0.327456768,0.6
United States,USA,1972,,,,,,0.576475969,0.128635134,2.644166635,0.45
United States,USA,1973,,,,,,0.023595034,0.410553587,0.8399832,0.59
United States,USA,1974,,,,,,0.004676087,1.68806756,0.519045704,0.53
United States,USA,1975,,,,,,0.018520834,0.277812504,0.588036468,0.58
United States,USA,1976,,,,,,0.041277777,0.201802463,0.885178985,0.38
United States,USA,1977,,,,,,0,0.195242441,0.953509596,0.53
United States,USA,1978,,,,,,0.161735966,0.238111283,0.561583215,0.44
United States,USA,1979,,,,,,0.097753882,0.368798738,0.537646353,0.39
United States,USA,1980,,,,,,0.017603697,0.123225877,0.360875784,0.42
United States,USA,1981,,,,,,0,0.104590658,0.366067304,0.38
United States,USA,1982,,,,,,0,0.276262173,0.66907245,0.44
United States,USA,1983,,,,,,0.094100739,0.145428415,0.87257049,0.4
United States,USA,1984,,,,,,0.01696173,0.517332768,0.534294498,0.39
United States,USA,1985,,,,,,0.126090684,0.390881122,0.697701787,0.36
United States,USA,1900,,,,,,,,,4.83
United States,USA,1901,,,,,,,,,6.32
United States,USA,1902,,,,,,,,,5.27
United States,USA,1903,,,,,,,,,4.4
United States,USA,1904,,,,,,,,,3.8
United States,USA,1905,,,,,,,,,3.69
United States,USA,1906,,,,,,,,,5.02
United States,USA,1907,,,,,,,,,3.87
United States,USA,1908,,,,,,,,,4.2
United States,USA,1909,,,,,,,,,3.42
United States,USA,1910,,,,,,,,,3.18
United States,USA,1911,,,,,,,,,4.2
United States,USA,1912,,,,,,,,,4.27
United States,USA,1913,,,,,,,,,5.16
United States,USA,1914,,,,,,,,,4.46
United States,USA,1915,,,,,,,,,3.45
United States,USA,1916,,,,,,,,,5.11
United States,USA,1917,,,,,,,,,5.13
United States,USA,1918,,,,,,,,,5.09
United States,USA,1919,,,,,,,,,4.95
United States,USA,1920,,,,,,,,,4.77
United States,USA,1921,,,,,,,,,5.28
United States,USA,1922,,,,,,,,,4.62
United States,USA,1923,,,,,,,,,4.69
United States,USA,1924,,,,,,,,,3.4
United States,USA,1925,,,,,,,,,4.38
United States,USA,1926,,,,,,,,,3.55
