Entity,Code,Year,"Out-of-school children of primary school age, both sexes (number) ( )"
Democratic Republic of Congo,COD,1988,1853515
Democratic Republic of Congo,COD,1991,2280039
Democratic Republic of Congo,COD,1992,2497359
Democratic Republic of Congo,COD,1993,2693522
Democratic Republic of Congo,COD,1994,2753426
Democratic Republic of Congo,COD,1995,2345035
Democratic Republic of Congo,COD,1999,5068180
Denmark,DNK,1981,20229
Denmark,DNK,1982,16289
Denmark,DNK,1983,8502
Denmark,DNK,1984,4164
Denmark,DNK,1985,4846
Denmark,DNK,1986,5095
Denmark,DNK,1987,4266
Denmark,DNK,1988,3700
Denmark,DNK,1989,7952
Denmark,DNK,1990,8094
Denmark,DNK,1991,5862
Denmark,DNK,1992,8471
Denmark,DNK,1993,9848
Denmark,DNK,1994,4140
Denmark,DNK,1995,5500
Denmark,DNK,1996,6029
Denmark,DNK,1998,1957
Denmark,DNK,1999,7532
Denmark,DNK,2000,7174
Denmark,DNK,2001,582
Denmark,DNK,2002,512
Denmark,DNK,2004,6924
Denmark,DNK,2005,15784
Denmark,DNK,2006,14330
Denmark,DNK,2007,12029
Denmark,DNK,2008,14211
Denmark,DNK,2009,14466
Denmark,DNK,2010,15011
Denmark,DNK,2011,10402
Denmark,DNK,2012,8102
Denmark,DNK,2013,6152
Denmark,DNK,2014,7401
Djibouti,DJI,1985,52689
Djibouti,DJI,1986,54446
Djibouti,DJI,1987,58306
Djibouti,DJI,1988,62144
Djibouti,DJI,1989,65282
Djibouti,DJI,1990,67039
Djibouti,DJI,1991,68462
Djibouti,DJI,1992,68420
Djibouti,DJI,1993,72626
Djibouti,DJI,1994,74705
Djibouti,DJI,1995,77435
Djibouti,DJI,1996,81613
Djibouti,DJI,1997,86643
Djibouti,DJI,1999,90963
Djibouti,DJI,2000,90935
Djibouti,DJI,2001,86981
Djibouti,DJI,2002,84335
Djibouti,DJI,2004,77335
Djibouti,DJI,2005,73783
Djibouti,DJI,2006,68254
Djibouti,DJI,2007,62455
Djibouti,DJI,2008,47323
Djibouti,DJI,2009,47563
Djibouti,DJI,2011,39398
Djibouti,DJI,2013,40444
Djibouti,DJI,2014,33464
Djibouti,DJI,2015,40493
Dominica,DMA,1975,221
Dominica,DMA,1976,1106
Dominica,DMA,1977,1186
Dominica,DMA,1979,2051
Dominica,DMA,1980,2120
Dominica,DMA,1981,2288
Dominica,DMA,1982,1712
Dominica,DMA,2000,155
Dominica,DMA,2001,274
Dominica,DMA,2002,131
Dominica,DMA,2003,201
Dominica,DMA,2004,153
Dominica,DMA,2005,424
Dominica,DMA,2006,563
Dominica,DMA,2007,932
Dominica,DMA,2008,853
Dominica,DMA,2009,222
Dominican Republic,DOM,1972,213303
Dominican Republic,DOM,1999,190646
Dominican Republic,DOM,2000,181188
Dominican Republic,DOM,2002,114352
Dominican Republic,DOM,2003,151863
Dominican Republic,DOM,2004,213531
Dominican Republic,DOM,2005,193351
Dominican Republic,DOM,2006,211565
Dominican Republic,DOM,2007,136655
Dominican Republic,DOM,2008,179790
Dominican Republic,DOM,2009,61565
Dominican Republic,DOM,2010,96250
Dominican Republic,DOM,2011,108626
Dominican Republic,DOM,2012,133221
Dominican Republic,DOM,2013,149208
Dominican Republic,DOM,2014,178919
East Asia & Pacific,,1986,14431613
East Asia & Pacific,,1987,9567839
East Asia & Pacific,,1988,7384119
East Asia & Pacific,,1989,6952130
East Asia & Pacific,,1990,7453310
East Asia & Pacific,,1991,7080816
East Asia & Pacific,,1992,6963989
East Asia & Pacific,,1993,8445214
East Asia & Pacific,,1994,10381702
East Asia & Pacific,,1995,13206893
East Asia & Pacific,,1996,15612211
East Asia & Pacific,,1997,17467512
East Asia & Pacific,,1998,14416053
East Asia & Pacific,,1999,11287203
East Asia & Pacific,,2000,10413243
East Asia & Pacific,,2001,9127629
East Asia & Pacific,,2002,4724445
East Asia & Pacific,,2003,4957419
East Asia & Pacific,,2004,6500490
East Asia & Pacific,,2005,9104465
East Asia & Pacific,,2006,9683212
East Asia & Pacific,,2007,7630792
East Asia & Pacific,,2008,7325611
East Asia & Pacific,,2009,6601152
East Asia & Pacific,,2010,6380486
East Asia & Pacific,,2011,6060678
East Asia & Pacific,,2012,6139291
East Asia & Pacific,,2013,6479337
East Asia & Pacific,,2014,6301808
East Asia & Pacific (all income levels),,1976,21889632
East Asia & Pacific (all income levels),,1977,26360884
East Asia & Pacific (all income levels),,1978,31643210
East Asia & Pacific (all income levels),,1979,32199812
East Asia & Pacific (all income levels),,1980,30720716
East Asia & Pacific (all income levels),,1981,28299036
East Asia & Pacific (all income levels),,1982,26856182
East Asia & Pacific (all income levels),,1983,26155230
East Asia & Pacific (all income levels),,1984,24696936
East Asia & Pacific (all income levels),,1985,19167742
East Asia & Pacific (all income levels),,1986,14609429
East Asia & Pacific (all income levels),,1987,9679471
East Asia & Pacific (all income levels),,1988,7481275
East Asia & Pacific (all income levels),,1989,7050973
East Asia & Pacific (all income levels),,1990,7574524
East Asia & Pacific (all income levels),,1991,7226792
East Asia & Pacific (all income levels),,1992,7123015
East Asia & Pacific (all income levels),,1993,8655203
East Asia & Pacific (all income levels),,1994,10570001
East Asia & Pacific (all income levels),,1995,13429588
East Asia & Pacific (all income levels),,1996,15819320
East Asia & Pacific (all income levels),,1997,17682692
East Asia & Pacific (all income levels),,1998,14644910
East Asia & Pacific (all income levels),,1999,11494421
East Asia & Pacific (all income levels),,2000,10601680
East Asia & Pacific (all income levels),,2001,9319056
East Asia & Pacific (all income levels),,2002,4919003
East Asia & Pacific (all income levels),,2003,5120015
East Asia & Pacific (all income levels),,2004,6655800
East Asia & Pacific (all income levels),,2005,9243842
East Asia & Pacific (all income levels),,2006,9814936
East Asia & Pacific (all income levels),,2007,7751249
East Asia & Pacific (all income levels),,2008,7440988
East Asia & Pacific (all income levels),,2009,6727227
East Asia & Pacific (all income levels),,2010,6507351
East Asia & Pacific (all income levels),,2011,6168434
East Asia & Pacific (all income levels),,2012,6253023
East Asia & Pacific (all income levels),,2013,6667381
East Asia & Pacific (all income levels),,2014,6488666
Ecuador,ECU,1971,204162
Ecuador,ECU,1973,208676
Ecuador,ECU,1974,203941
Ecuador,ECU,1975,216641
Ecuador,ECU,1976,216890
Ecuador,ECU,1977,185375
Ecuador,ECU,1978,167164
Ecuador,ECU,1979,131536
Ecuador,ECU,1980,152097
Ecuador,ECU,1994,122815
Ecuador,ECU,1995,119006
Ecuador,ECU,1996,103793
Ecuador,ECU,1997,65691
Ecuador,ECU,1998,60031
Ecuador,ECU,1999,64101
Ecuador,ECU,2000,51973
Ecuador,ECU,2001,29647
Ecuador,ECU,2002,11083
Ecuador,ECU,2003,12156
Ecuador,ECU,2005,11147
Ecuador,ECU,2006,9789
Ecuador,ECU,2007,11400
Ecuador,ECU,2009,50040
Ecuador,ECU,2010,55714
Ecuador,ECU,2012,58959
Ecuador,ECU,2013,23062
Ecuador,ECU,2014,63225
Egypt,EGY,1971,1947858
Egypt,EGY,1972,1960339
Egypt,EGY,1973,2001326
Egypt,EGY,1978,1956041
Egypt,EGY,1994,1147120
Egypt,EGY,1997,1090843
Egypt,EGY,1999,1094441
Egypt,EGY,2000,986546
Egypt,EGY,2001,821711
Egypt,EGY,2002,668172
Egypt,EGY,2003,497349
Egypt,EGY,2004,300972
Egypt,EGY,2005,301575
Egypt,EGY,2006,419631
Egypt,EGY,2007,174406
Egypt,EGY,2009,134548
Egypt,EGY,2010,91107
Egypt,EGY,2011,211904
Egypt,EGY,2012,173401
Egypt,EGY,2014,113300
El Salvador,SLV,1970,215629
El Salvador,SLV,1998,143658
El Salvador,SLV,2000,63141
El Salvador,SLV,2001,55190
El Salvador,SLV,2002,36138
El Salvador,SLV,2003,31716
El Salvador,SLV,2005,29154
El Salvador,SLV,2006,29374
El Salvador,SLV,2007,34447
El Salvador,SLV,2008,32920
El Salvador,SLV,2009,31906
El Salvador,SLV,2010,30101
El Salvador,SLV,2011,31175
El Salvador,SLV,2012,31296
El Salvador,SLV,2013,29996
El Salvador,SLV,2014,40769
Equatorial Guinea,GNQ,1994,10700
Equatorial Guinea,GNQ,2000,23356
Equatorial Guinea,GNQ,2001,18745
Equatorial Guinea,GNQ,2002,20789
Equatorial Guinea,GNQ,2003,22499
Equatorial Guinea,GNQ,2008,47004
Equatorial Guinea,GNQ,2009,48257
Equatorial Guinea,GNQ,2010,49026
Equatorial Guinea,GNQ,2011,47589
Equatorial Guinea,GNQ,2012,45885
Eritrea,ERI,1992,375640
Eritrea,ERI,1994,383131
Eritrea,ERI,1995,388210
Eritrea,ERI,1996,390644
Eritrea,ERI,1997,392949
Eritrea,ERI,1999,371756
Eritrea,ERI,2000,345189
Eritrea,ERI,2001,332948
Eritrea,ERI,2002,303083
Eritrea,ERI,2003,276702
Eritrea,ERI,2004,261854
Eritrea,ERI,2005,253651
Eritrea,ERI,2006,257797
Eritrea,ERI,2007,286292
Eritrea,ERI,2008,309696
Eritrea,ERI,2009,336093
Eritrea,ERI,2010,360725
Eritrea,ERI,2011,361400
Eritrea,ERI,2012,362317
Eritrea,ERI,2013,405054
Estonia,EST,1995,17158
Estonia,EST,1996,12362
Estonia,EST,1998,994
Estonia,EST,1999,1070
Estonia,EST,2000,1250
Estonia,EST,2001,1255
Estonia,EST,2002,1213
Estonia,EST,2003,2733
Estonia,EST,2004,3431
Estonia,EST,2005,3360
Estonia,EST,2006,3513
Estonia,EST,2007,2490
Estonia,EST,2008,2736
Estonia,EST,2009,2789
Estonia,EST,2010,638
Estonia,EST,2011,258
Estonia,EST,2012,255
Estonia,EST,2013,336
Ethiopia,ETH,1987,4805717
Ethiopia,ETH,1988,4920437
Ethiopia,ETH,1989,5183887
Ethiopia,ETH,1994,7245754
Ethiopia,ETH,1995,7292333
Ethiopia,ETH,1996,7123530
Ethiopia,ETH,1998,6746276
Ethiopia,ETH,1999,6666638
Ethiopia,ETH,2000,6413308
Ethiopia,ETH,2001,6124395
Ethiopia,ETH,2002,6059028
Ethiopia,ETH,2003,6178655
Ethiopia,ETH,2004,6063454
Ethiopia,ETH,2005,4913240
Ethiopia,ETH,2006,4480664
Ethiopia,ETH,2007,3935178
Ethiopia,ETH,2008,3268537
Ethiopia,ETH,2009,3423539
Ethiopia,ETH,2010,3788083
Ethiopia,ETH,2011,3258008
Ethiopia,ETH,2012,3115293
Ethiopia,ETH,2014,2123190
Euro area,,1970,1120490
Euro area,,1971,1132610
Euro area,,1972,1113142
Euro area,,1973,1125095
Euro area,,1974,997342
Euro area,,1975,942807
Euro area,,1976,874898
Euro area,,1977,858704
Euro area,,1978,762332
Euro area,,1979,692360
Euro area,,1980,671178
Euro area,,1981,639397
Euro area,,1982,682586
Euro area,,1983,796181
Euro area,,1984,816401
Euro area,,1985,789812
Euro area,,1986,615936
Euro area,,1987,585861
Euro area,,1988,547721
Euro area,,1989,525485
Euro area,,1990,558821
Euro area,,1991,554345
Euro area,,1992,648488
Euro area,,1993,629450
Euro area,,1994,655571
Euro area,,1995,572301
Euro area,,1996,441052
Euro area,,1997,333104
Euro area,,1998,163408
Euro area,,1999,117004
Euro area,,2000,114879
Euro area,,2001,124962
Euro area,,2002,132960
Euro area,,2003,159882
Euro area,,2004,208269
Euro area,,2005,215097
Euro area,,2006,203342
Euro area,,2007,163606
Euro area,,2008,156572
Euro area,,2009,158937
Euro area,,2010,151840
Euro area,,2011,175086
Euro area,,2012,161214
Euro area,,2013,156149
Euro area,,2014,189071
Europe & Central Asia,,1992,1468551
Europe & Central Asia,,1993,1718380
Europe & Central Asia,,1994,1812274
Europe & Central Asia,,1995,2041182
Europe & Central Asia,,1996,1993761
Europe & Central Asia,,1997,2119333
Europe & Central Asia,,1998,1939315
Europe & Central Asia,,1999,1749596
Europe & Central Asia,,2000,1465453
Europe & Central Asia,,2001,1003490
Europe & Central Asia,,2002,698439
Europe & Central Asia,,2003,799044
Europe & Central Asia,,2004,723082
Europe & Central Asia,,2005,1161658
Europe & Central Asia,,2006,1107384
Europe & Central Asia,,2007,1069586
Europe & Central Asia,,2008,1024031
Europe & Central Asia,,2009,1090028
Europe & Central Asia,,2010,1001291
Europe & Central Asia,,2011,967819
Europe & Central Asia,,2012,1032908
Europe & Central Asia,,2013,994589
Europe & Central Asia,,2014,1110253
Europe & Central Asia (all income levels),,1972,3959802
Europe & Central Asia (all income levels),,1973,4102972
Europe & Central Asia (all income levels),,1974,4017868
Europe & Central Asia (all income levels),,1975,3914379
Europe & Central Asia (all income levels),,1976,3702584
Europe & Central Asia (all income levels),,1977,3618468
Europe & Central Asia (all income levels),,1978,3501748
Europe & Central Asia (all income levels),,1979,3379307
Europe & Central Asia (all income levels),,1980,3383399
Europe & Central Asia (all income levels),,1981,3668826
Europe & Central Asia (all income levels),,1982,3647676
Europe & Central Asia (all income levels),,1983,3778563
Europe & Central Asia (all income levels),,1984,3449165
Europe & Central Asia (all income levels),,1985,3438088
Europe & Central Asia (all income levels),,1986,3113970
Europe & Central Asia (all income levels),,1987,2955976
Europe & Central Asia (all income levels),,1988,2697400
Europe & Central Asia (all income levels),,1989,2825190
Europe & Central Asia (all income levels),,1990,2802918
Europe & Central Asia (all income levels),,1991,2589038
Europe & Central Asia (all income levels),,1992,2731548
Europe & Central Asia (all income levels),,1993,2868961
Europe & Central Asia (all income levels),,1994,2933856
Europe & Central Asia (all income levels),,1995,3099942
Europe & Central Asia (all income levels),,1996,2933581
Europe & Central Asia (all income levels),,1997,2811965
Europe & Central Asia (all income levels),,1998,2311427
Europe & Central Asia (all income levels),,1999,2080506
Europe & Central Asia (all income levels),,2000,1783572
Europe & Central Asia (all income levels),,2001,1306333
Europe & Central Asia (all income levels),,2002,1025753
Europe & Central Asia (all income levels),,2003,1166840
Europe & Central Asia (all income levels),,2004,1199282
Europe & Central Asia (all income levels),,2005,1630342
Europe & Central Asia (all income levels),,2006,1558183
Europe & Central Asia (all income levels),,2007,1521373
Europe & Central Asia (all income levels),,2008,1374516
Europe & Central Asia (all income levels),,2009,1434805
Europe & Central Asia (all income levels),,2010,1291384
Europe & Central Asia (all income levels),,2011,1268519
Europe & Central Asia (all income levels),,2012,1312354
Europe & Central Asia (all income levels),,2013,1270097
Europe & Central Asia (all income levels),,2014,1423031
European Union,,1970,1633270
European Union,,1971,1633882
European Union,,1972,1597135
European Union,,1973,1659097
European Union,,1974,1545252
European Union,,1975,1528723
European Union,,1976,1484869
European Union,,1977,1490484
European Union,,1978,1438296
European Union,,1979,1412849
European Union,,1980,1371223
European Union,,1981,1420277
European Union,,1982,1405068
European Union,,1983,1519715
European Union,,1984,1534579
European Union,,1985,1582699
European Union,,1986,1407145
European Union,,1987,1325022
European Union,,1988,1293171
European Union,,1989,1365714
European Union,,1990,1454956
European Union,,1991,1531746
European Union,,1992,1638339
European Union,,1993,1488463
European Union,,1994,1331884
European Union,,1995,1210994
European Union,,1996,1053211
European Union,,1997,810454
European Union,,1998,438454
European Union,,1999,431444
European Union,,2000,416357
European Union,,2001,395281
European Union,,2002,390692
European Union,,2003,397795
European Union,,2004,487082
European Union,,2005,491487
European Union,,2006,496369
European Union,,2007,492647
European Union,,2008,395678
European Union,,2009,391661
European Union,,2010,340949
European Union,,2011,362042
European Union,,2012,355936
European Union,,2013,372387
European Union,,2014,409889
Fiji,FJI,1992,3782
Fiji,FJI,1994,3365
Fiji,FJI,1995,4997
Fiji,FJI,1996,7561
Fiji,FJI,1997,7090
Fiji,FJI,1998,6041
Fiji,FJI,1999,6428
Fiji,FJI,2000,5801
Fiji,FJI,2001,2286
Fiji,FJI,2002,845
Fiji,FJI,2003,731
Fiji,FJI,2004,851
Fiji,FJI,2006,842
Fiji,FJI,2007,372
Fiji,FJI,2008,644
Fiji,FJI,2009,587
Fiji,FJI,2011,928
Fiji,FJI,2012,1287
Fiji,FJI,2013,2941
Finland,FIN,1972,87742
Finland,FIN,1979,11838
Finland,FIN,1993,4357
Finland,FIN,1994,4794
Finland,FIN,1995,6030
Finland,FIN,1996,5787
Finland,FIN,1997,4415
Finland,FIN,1998,1475
Finland,FIN,1999,647
Finland,FIN,2000,1029
Finland,FIN,2001,945
Finland,FIN,2002,1844
Finland,FIN,2003,4645
Finland,FIN,2004,8268
Finland,FIN,2005,9729
Finland,FIN,2006,11654
Finland,FIN,2007,9690
Finland,FIN,2008,8384
Finland,FIN,2009,8072
Finland,FIN,2010,7146
Finland,FIN,2011,6055
Finland,FIN,2012,2853
Finland,FIN,2013,1422
Finland,FIN,2014,1721
France,FRA,1971,121533
France,FRA,1972,117635
France,FRA,1973,108285
France,FRA,1974,88935
France,FRA,1976,104467
France,FRA,1977,93919
France,FRA,1979,4974
France,FRA,1980,10295
France,FRA,1982,58612
France,FRA,1983,150555
France,FRA,1985,163354
France,FRA,1986,50780
France,FRA,1987,4434
France,FRA,1990,1537
France,FRA,1991,1742
France,FRA,1992,15621
France,FRA,1993,78054
France,FRA,1994,87327
France,FRA,1995,49573
France,FRA,1996,10994
France,FRA,1997,17274
France,FRA,1999,13665
France,FRA,2000,15858
France,FRA,2001,14680
France,FRA,2002,15292
France,FRA,2003,20964
France,FRA,2004,34495
France,FRA,2005,26133
France,FRA,2006,29880
France,FRA,2007,29633
France,FRA,2008,32097
France,FRA,2009,28848
France,FRA,2010,28559
France,FRA,2011,37080
France,FRA,2012,41748
France,FRA,2013,26063
France,FRA,2014,22173
Gabon,GAB,1975,644
Gabon,GAB,1997,15654
Gambia,GMB,1971,45825
Gambia,GMB,1972,49197
Gambia,GMB,1973,51306
Gambia,GMB,1974,53857
Gambia,GMB,1975,55878
Gambia,GMB,1976,57521
Gambia,GMB,1977,53750
Gambia,GMB,1978,50996
Gambia,GMB,1979,51016
Gambia,GMB,1980,49497
Gambia,GMB,1981,43572
Gambia,GMB,1982,42148
Gambia,GMB,1983,40682
Gambia,GMB,1984,40722
Gambia,GMB,1985,39890
Gambia,GMB,1986,42530
Gambia,GMB,1990,71000
Gambia,GMB,1992,83687
Gambia,GMB,1993,81792
Gambia,GMB,1996,71234
Gambia,GMB,1998,67201
Gambia,GMB,1999,46941
Gambia,GMB,2000,52562
Gambia,GMB,2001,51860
Gambia,GMB,2002,57743
Gambia,GMB,2003,51892
Gambia,GMB,2004,53388
Gambia,GMB,2005,61719
Gambia,GMB,2006,53484
Gambia,GMB,2007,56217
Gambia,GMB,2008,69536
Gambia,GMB,2010,80024
Gambia,GMB,2011,83109
Gambia,GMB,2012,79261
Gambia,GMB,2013,94354
Gambia,GMB,2014,99253
Georgia,GEO,1995,56266
Georgia,GEO,1996,55922
Georgia,GEO,1997,50563
Georgia,GEO,2004,35918
Georgia,GEO,2005,32454
Georgia,GEO,2006,16260
Georgia,GEO,2007,14482
Georgia,GEO,2008,1148
Georgia,GEO,2009,109
Georgia,GEO,2011,1663
Germany,DEU,1999,1016
Germany,DEU,2000,4236
Germany,DEU,2001,4793
Germany,DEU,2002,2323
Germany,DEU,2003,7971
Germany,DEU,2004,6149
Germany,DEU,2005,7895
Germany,DEU,2006,11909
Germany,DEU,2007,6880
Germany,DEU,2008,12306
Germany,DEU,2009,13236
Germany,DEU,2010,11471
Germany,DEU,2011,10378
Germany,DEU,2012,11517
Germany,DEU,2013,4265
Germany,DEU,2014,4282
Ghana,GHA,1999,1107740
Ghana,GHA,2000,1023607
Ghana,GHA,2001,1205779
Ghana,GHA,2002,1152395
Ghana,GHA,2003,1208181
Ghana,GHA,2004,1291398
Ghana,GHA,2005,1085890
Ghana,GHA,2006,1114371
Ghana,GHA,2007,920794
Ghana,GHA,2008,750303
Ghana,GHA,2009,815515
Ghana,GHA,2011,584468
Ghana,GHA,2012,659463
Ghana,GHA,2013,498432
Ghana,GHA,2014,413314
Ghana,GHA,2015,319399
Greece,GRC,1971,23555
Greece,GRC,1972,21644
Greece,GRC,1973,18165
Greece,GRC,1974,13458
Greece,GRC,1975,20794
Greece,GRC,1976,27805
Greece,GRC,1977,37924
Greece,GRC,1978,44681
Greece,GRC,1979,48759
Greece,GRC,1980,54085
Greece,GRC,1981,27994
Greece,GRC,1982,16509
Greece,GRC,1983,3441
Greece,GRC,1984,3693
Greece,GRC,1985,4078
Greece,GRC,1986,5024
Greece,GRC,1987,25083
Greece,GRC,1988,23713
Greece,GRC,1989,33648
Greece,GRC,1990,38468
Greece,GRC,1991,38128
Greece,GRC,1992,49616
Greece,GRC,1993,63926
Greece,GRC,1994,70380
Greece,GRC,1995,64445
Greece,GRC,1996,74587
Greece,GRC,1997,73041
Greece,GRC,1998,26742
Greece,GRC,1999,23140
Greece,GRC,2000,12864
Greece,GRC,2001,17672
Greece,GRC,2002,13998
Greece,GRC,2003,12115
Greece,GRC,2004,12869
Greece,GRC,2005,18569
Greece,GRC,2006,20078
Greece,GRC,2007,16758
Greece,GRC,2010,9467
Greece,GRC,2011,12966
Greece,GRC,2012,13735
Greece,GRC,2013,18174
Grenada,GRD,1972,3807
Grenada,GRD,1977,397
Grenada,GRD,1978,196
Grenada,GRD,1979,246
Grenada,GRD,1980,678
Grenada,GRD,1981,1482
Grenada,GRD,1982,1999
Grenada,GRD,1983,1992
Grenada,GRD,1984,1578
Grenada,GRD,1999,2
Grenada,GRD,2002,601
Grenada,GRD,2004,225
Grenada,GRD,2005,1386
Grenada,GRD,2007,938
Grenada,GRD,2008,586
Grenada,GRD,2009,343
Grenada,GRD,2013,202
Grenada,GRD,2014,338
Guatemala,GTM,1970,439020
Guatemala,GTM,1971,445065
Guatemala,GTM,1972,455365
Guatemala,GTM,1974,473808
Guatemala,GTM,1975,476626
Guatemala,GTM,1978,495677
Guatemala,GTM,1979,505424
Guatemala,GTM,1980,499186
Guatemala,GTM,1981,480208
Guatemala,GTM,1982,533479
Guatemala,GTM,1983,504588
Guatemala,GTM,1997,495173
Guatemala,GTM,1999,327695
Guatemala,GTM,2000,280792
Guatemala,GTM,2001,300345
Guatemala,GTM,2002,241186
Guatemala,GTM,2004,159272
Guatemala,GTM,2005,133502
Guatemala,GTM,2006,107924
Guatemala,GTM,2007,88789
Guatemala,GTM,2008,90335
Guatemala,GTM,2009,20754
Guatemala,GTM,2010,29648
Guatemala,GTM,2011,76672
Guatemala,GTM,2012,144295
Guatemala,GTM,2013,203495
Guatemala,GTM,2014,257525
Guinea,GIN,1984,513117
Guinea,GIN,1985,508587
Guinea,GIN,1986,543001
Guinea,GIN,1987,580095
Guinea,GIN,1988,594803
Guinea,GIN,1989,621594
Guinea,GIN,1990,658525
Guinea,GIN,1991,673325
Guinea,GIN,1998,800823
Guinea,GIN,1999,786662
Guinea,GIN,2000,760082
Guinea,GIN,2001,725384
Guinea,GIN,2002,634094
Guinea,GIN,2003,595222
Guinea,GIN,2004,561272
Guinea,GIN,2005,541835
Guinea,GIN,2006,518545
Guinea,GIN,2007,501331
Guinea,GIN,2008,533325
Guinea,GIN,2009,528576
Guinea,GIN,2010,506221
Guinea,GIN,2011,450701
Guinea,GIN,2012,473988
Guinea,GIN,2013,469877
Guinea,GIN,2014,416632
Guinea-Bissau,GNB,1981,72299
Guinea-Bissau,GNB,1982,63416
Guinea-Bissau,GNB,1984,69996
Guinea-Bissau,GNB,1985,72104
Guinea-Bissau,GNB,1987,87942
Guinea-Bissau,GNB,1988,92850
Guinea-Bissau,GNB,2000,111378
Guinea-Bissau,GNB,2010,75502
Guyana,GUY,1971,20242
Guyana,GUY,1972,19768
Guyana,GUY,1974,13673
Guyana,GUY,1976,11510
Guyana,GUY,1977,2683
Guyana,GUY,1979,7079
Guyana,GUY,1982,13116
Guyana,GUY,1991,3868
Guyana,GUY,1992,5194
Guyana,GUY,1993,4918
Guyana,GUY,1995,5315
Guyana,GUY,1996,8943
Guyana,GUY,2003,8613
Guyana,GUY,2008,12741
Guyana,GUY,2009,20347
Guyana,GUY,2010,17821
Guyana,GUY,2011,16025
Guyana,GUY,2012,16556
Haiti,HTI,1980,548127
Haiti,HTI,1981,543510
Haiti,HTI,1982,503050
Haiti,HTI,1983,474632
Haiti,HTI,1984,516853
Haiti,HTI,1985,484163
Haiti,HTI,1986,478605
Haiti,HTI,1987,583789
Haiti,HTI,1997,563560
Heavily indebted poor countries (HIPC),,1972,23715832
Heavily indebted poor countries (HIPC),,1973,23992116
Heavily indebted poor countries (HIPC),,1974,24380576
Heavily indebted poor countries (HIPC),,1975,24195476
Heavily indebted poor countries (HIPC),,1976,23977932
Heavily indebted poor countries (HIPC),,1977,23809822
Heavily indebted poor countries (HIPC),,1978,23823996
Heavily indebted poor countries (HIPC),,1979,23913264
Heavily indebted poor countries (HIPC),,1980,23664040
Heavily indebted poor countries (HIPC),,1981,23674414
Heavily indebted poor countries (HIPC),,1982,24623926
Heavily indebted poor countries (HIPC),,1983,24929478
Heavily indebted poor countries (HIPC),,1984,25746682
Heavily indebted poor countries (HIPC),,1985,26537372
Heavily indebted poor countries (HIPC),,1986,27225252
Heavily indebted poor countries (HIPC),,1987,28570408
Heavily indebted poor countries (HIPC),,1988,29479640
Heavily indebted poor countries (HIPC),,1989,31005780
Heavily indebted poor countries (HIPC),,1990,32563572
Heavily indebted poor countries (HIPC),,1991,32683896
Heavily indebted poor countries (HIPC),,1992,34219680
Heavily indebted poor countries (HIPC),,1993,35413076
Heavily indebted poor countries (HIPC),,1994,35827096
Heavily indebted poor countries (HIPC),,1995,35456768
Heavily indebted poor countries (HIPC),,1996,36369708
Heavily indebted poor countries (HIPC),,1997,35382976
Heavily indebted poor countries (HIPC),,1998,36231740
Heavily indebted poor countries (HIPC),,1999,37201892
Heavily indebted poor countries (HIPC),,2000,36648140
Heavily indebted poor countries (HIPC),,2001,35437816
Heavily indebted poor countries (HIPC),,2002,33457724
Heavily indebted poor countries (HIPC),,2003,31910750
Heavily indebted poor countries (HIPC),,2004,30575092
Heavily indebted poor countries (HIPC),,2005,28990796
Heavily indebted poor countries (HIPC),,2006,27551568
Heavily indebted poor countries (HIPC),,2007,26445048
Heavily indebted poor countries (HIPC),,2008,24014420
Heavily indebted poor countries (HIPC),,2009,24554416
Heavily indebted poor countries (HIPC),,2010,25267108
Heavily indebted poor countries (HIPC),,2011,24360884
Heavily indebted poor countries (HIPC),,2012,23675588
Heavily indebted poor countries (HIPC),,2013,22935464
Heavily indebted poor countries (HIPC),,2014,22588052
High income,,1970,7945136
High income,,1971,7938036
High income,,1972,7973163
High income,,1973,7582531
High income,,1974,7789759
High income,,1975,7448378
High income,,1976,6829233
High income,,1977,6660982
High income,,1978,6369932
High income,,1979,6264982
High income,,1980,4468754
High income,,1981,4484651
High income,,1982,4050702
High income,,1983,4502793
High income,,1984,4788046
High income,,1985,4745271
High income,,1986,4226519
High income,,1987,3746832
High income,,1988,3488303
High income,,1989,3337254
High income,,1990,3217352
High income,,1991,3295207
High income,,1992,3722717
High income,,1993,3919240
High income,,1994,3965388
High income,,1995,3614737
High income,,1996,3542874
High income,,1997,3067137
High income,,1998,2504144
High income,,1999,2315526
High income,,2000,2213248
High income,,2001,2254186
High income,,2002,2581119
High income,,2003,2688495
High income,,2004,2957774
High income,,2005,2709641
High income,,2006,2382045
High income,,2007,2078720
High income,,2008,1862945
High income,,2009,2163621
High income,,2010,2224107
High income,,2011,2458379
High income,,2012,2290152
High income,,2013,2603513
High income,,2014,2309701
Honduras,HND,1978,162544
Honduras,HND,1979,144579
Honduras,HND,1980,143082
Honduras,HND,1982,78137
Honduras,HND,1983,68492
Honduras,HND,1984,62801
Honduras,HND,1986,68713
Honduras,HND,1991,101117
Honduras,HND,1993,95481
Honduras,HND,2000,117486
Honduras,HND,2003,75440
Honduras,HND,2004,54049
Honduras,HND,2005,96914
Honduras,HND,2006,42134
Honduras,HND,2007,87417
Honduras,HND,2008,42142
Honduras,HND,2009,36911
Honduras,HND,2010,43102
Honduras,HND,2011,27043
Honduras,HND,2012,28715
Honduras,HND,2013,57140
