Entity,Code,Year,Coal (terrawatt-hours),Oil (terrawatt-hours),Natural gas (terrawatt-hours),Nuclear (terrawatt-hours),Natural flow hydropower (terrawatt-hours),Wind and solar (terrawatt-hours),Other fuels (terrawatt-hours)
United Kingdom,GBR,1957,306.3342,6.978000000000001,,1.5119000000000002,2.7912,,6.4847314602
United Kingdom,GBR,1958,304.4734,30.238000000000003,,1.163,2.6749000000000005,,7.6582316057
United Kingdom,GBR,1959,304.82230000000004,49.4275,,4.4194,2.6749000000000005,,8.7479102707
United Kingdom,GBR,1960,349.71410000000003,67.2214,,7.559500000000001,3.1401000000000003,,6.280200000000001
United Kingdom,GBR,1961,383.4411,65.128,,8.7225,3.8379000000000003,,6.788774666500001
United Kingdom,GBR,1962,422.75050000000005,68.0355,,12.676700000000002,3.9542000000000006,,7.0448109773
United Kingdom,GBR,1963,466.5956,59.6619,,21.631800000000002,3.6053,,5.145112348900001
United Kingdom,GBR,1964,474.85290000000003,66.8725,,27.795700000000004,3.9542000000000006,,5.2464601231
United Kingdom,GBR,1965,465.54890000000006,78.3862,,50.4742,4.652,,2.4423
United Kingdom,GBR,1966,466.2467000000001,90.83030000000001,,67.45400000000001,4.5357,,3.7216000000000005
United Kingdom,GBR,1967,460.6643,92.1096,,77.6884,4.8846,,4.8846
United Kingdom,GBR,1968,503.9279,79.6655,,87.3413,3.7216000000000005,,2.4423
United Kingdom,GBR,1969,520.3262000000001,103.39070000000001,1.2793,91.9933,3.2564000000000006,,1.2793
United Kingdom,GBR,1970,500.9041,154.33010000000002,1.2793,81.41000000000001,4.5357,,
United Kingdom,GBR,1971,493.34460000000007,181.7769,7.443200000000001,85.71310000000001,3.3727,,1.2793
United Kingdom,GBR,1972,447.40610000000004,234.1119,18.724300000000003,91.52810000000001,3.3727,,
United Kingdom,GBR,1973,515.209,210.38670000000002,7.443200000000001,86.7598,3.8379000000000003,,1.2793
United Kingdom,GBR,1974,450.19730000000004,214.1083,28.6098,104.32110000000002,4.0705,,1.2793
United Kingdom,GBR,1975,486.7155000000001,159.331,24.888200000000005,94.4356,3.8379000000000003,,1.2793
United Kingdom,GBR,1976,517.4187000000001,126.9996,18.724300000000003,111.18280000000001,4.5357,,
United Kingdom,GBR,1977,531.6073,132.00050000000002,14.886400000000002,123.74320000000002,3.9542000000000006,,
United Kingdom,GBR,1978,535.5615,143.1653,10.001800000000001,115.83480000000002,4.0705,,1.2793
United Kingdom,GBR,1979,582.663,133.1635,6.280200000000001,118.97490000000002,4.303100000000001,,1.2793
United Kingdom,GBR,1980,593.2463,89.2021,4.8846,115.25330000000001,3.9542000000000006,,1.2793
United Kingdom,GBR,1981,577.3132,63.4998,2.4423,118.3934,4.4194,,1.2793
United Kingdom,GBR,1982,543.7025,77.2232,2.4423,138.16440000000003,4.5357,,1.2793
United Kingdom,GBR,1983,548.4708,59.7782,2.4423,156.6561,4.5357,,
United Kingdom,GBR,1984,361.3441,265.16400000000004,4.8846,168.63500000000002,4.5357,,
United Kingdom,GBR,1985,497.88030000000003,132.00050000000002,6.280200000000001,191.895,3.9542000000000006,,
United Kingdom,GBR,1986,557.1933,75.71130000000001,2.0934,179.5672,4.7683,,
United Kingdom,GBR,1987,599.8754,73.269,10.583300000000001,167.93720000000002,4.1868,,8.3736
United Kingdom,GBR,1988,579.5229,81.5263,11.2811,192.7091,4.8846,,8.955100000000002
United Kingdom,GBR,1989,565.1017,82.6893,6.280200000000001,206.3162,4.7683,,10.2344
United Kingdom,GBR,1990,579.6392000000001,97.69200000000001,6.512800000000001,189.10380000000004,5.1172,,9.7692
United Kingdom,GBR,1991,581.2674,87.9228,6.6291,202.7109,4.5357,,10.9322
United Kingdom,GBR,1992,545.9122,93.8541,17.910200000000003,214.5735,5.349800000000001,,12.676700000000002
United Kingdom,GBR,1993,460.6643,67.2214,81.8752,250.9754,4.303100000000001,,11.8626
United Kingdom,GBR,1994,431.47300000000007,47.79930000000001,117.46300000000001,246.556,5.1172,,12.327800000000002
United Kingdom,GBR,1995,422.0527,48.264500000000005,154.33010000000002,247.13750000000002,4.652,,20.817700000000002
United Kingdom,GBR,1996,391.0006,45.938500000000005,202.01310000000004,257.9534,3.3727,0.46520000000000006,24.89983
United Kingdom,GBR,1997,329.129,23.3763,252.8362,255.62740000000002,4.4194,0.6978,26.67922
United Kingdom,GBR,1998,347.737,17.7939,267.7226,272.60720000000003,5.1172,0.9304000000000001,29.33086
United Kingdom,GBR,1999,296.6813,17.910200000000003,315.5219,258.4186,5.349800000000001,0.8141000000000002,32.447700000000005
United Kingdom,GBR,2000,333.43210000000005,18.026500000000002,324.5933,228.41320000000002,5.1172,0.9304000000000001,34.02938
United Kingdom,GBR,2001,367.6243,16.5146,312.9633,241.5551,4.0705,0.9304000000000001,33.843300000000006
United Kingdom,GBR,2002,344.5969,15.0027,329.8268,233.76300000000003,4.7683,1.2793,36.44842
United Kingdom,GBR,2003,378.4402,13.8397,324.5933,233.0652,3.2564000000000006,1.2793,45.70590000000001
United Kingdom,GBR,2004,364.13530000000003,12.793000000000001,340.1775,211.20080000000002,4.8846,1.9771000000000003,48.31102
United Kingdom,GBR,2005,378.7891,15.119000000000002,331.68760000000003,213.64310000000003,4.8846,2.9075,60.85979
United Kingdom,GBR,2006,417.9822,16.6309,311.45140000000004,199.2219,4.5357,4.1868,58.39423
United Kingdom,GBR,2007,382.85960000000006,13.4908,355.87800000000004,163.2852,5.1172,5.349800000000001,54.37025
United Kingdom,GBR,2008,348.43480000000005,18.375400000000003,376.812,138.51330000000002,5.1172,7.0943000000000005,54.2800941237
United Kingdom,GBR,2009,286.79580000000004,17.561300000000003,359.25070000000005,177.12490000000003,5.2335,9.304,56.6418464882
United Kingdom,GBR,2010,297.2628,13.7234,377.1609,162.0059,3.6053,10.350700000000002,59.47000500000001
United Kingdom,GBR,2011,302.7289,9.0714,309.1254,181.7769,5.6987000000000005,16.1657,65.411772
United Kingdom,GBR,2012,399.2579,8.4899,216.55060000000003,176.89230000000003,5.349800000000001,21.166600000000003,70.60921900000001
United Kingdom,GBR,2013,364.3679,6.8617,205.851,179.5672,4.652,30.354300000000002,75.000707
United Kingdom,GBR,2014,279.2363,6.3965000000000005,217.8299,161.0755,5.9313,36.053000000000004,89.84872800000001
United Kingdom,GBR,2015,213.29420000000002,7.0943000000000005,212.59640000000002,180.03240000000002,6.280200000000001,47.915600000000005,103.25230300000001
United Kingdom,GBR,2016,81.8752,6.7454,294.5879,179.21830000000003,5.349800000000001,47.915600000000005,109.17081000000002
