Entity,Code,Year,Deaths from smallpox per 1 million deaths
England,,1870,0.113
England,,1871,1.012
England,,1872,0.821
England,,1873,0.098
England,,1874,0.088
England,,1875,0.035
England,,1876,0.099
England,,1877,0.173
England,,1878,0.074
England,,1879,0.021
England,,1880,0.025
England,,1881,0.119
England,,1882,0.05
England,,1883,0.036
England,,1884,0.082
England,,1885,0.103
England,,1886,0.011
England,,1887,0.019
England,,1888,0.039
England,,1889,0.001
England,,1890,0
England,,1891,0.002
England,,1892,0.015
England,,1893,0.049
England,,1894,0.027
England,,1895,0.007
England,,1896,0.018
England,,1897,0.001
England,,1898,0.008
England,,1899,0.005
England,,1900,0.003
Netherlands,NLD,1866,0.404
Netherlands,NLD,1867,0.154
Netherlands,NLD,1868,0.04
Netherlands,NLD,1869,0.014
Netherlands,NLD,1870,0.196
Netherlands,NLD,1871,4.355
Netherlands,NLD,1872,1.021
Netherlands,NLD,1873,0.095
Netherlands,NLD,1874,0.034
Netherlands,NLD,1875,0.05
Netherlands,NLD,1876,0.029
Netherlands,NLD,1877,0.006
Netherlands,NLD,1878,0.003
Netherlands,NLD,1879,0.002
Netherlands,NLD,1880,0.019
Netherlands,NLD,1881,0.018
Netherlands,NLD,1882,0.037
Netherlands,NLD,1883,0.161
Netherlands,NLD,1884,0.015
Netherlands,NLD,1885,0.007
Netherlands,NLD,1886,0.016
Netherlands,NLD,1887,0.004
Netherlands,NLD,1890,0.002
Netherlands,NLD,1892,0.002
Netherlands,NLD,1893,0.01
Netherlands,NLD,1894,0.041
Netherlands,NLD,1895,0.13
Netherlands,NLD,1896,0.016
Netherlands,NLD,1897,0.007
Netherlands,NLD,1899,0.001
Prussia,,1847,0.095
Prussia,,1848,0.137
Prussia,,1849,0.108
Prussia,,1850,0.157
Prussia,,1851,0.129
Prussia,,1852,0.189
Prussia,,1853,0.395
Prussia,,1854,0.436
Prussia,,1855,0.097
Prussia,,1856,0.073
Prussia,,1857,0.133
Prussia,,1858,0.264
Prussia,,1859,0.196
Prussia,,1860,0.189
Prussia,,1861,0.302
Prussia,,1862,0.211
Prussia,,1863,0.338
Prussia,,1864,0.462
Prussia,,1865,0.438
Prussia,,1866,0.62
Prussia,,1867,0.432
Prussia,,1868,0.188
Prussia,,1869,0.194
Prussia,,1870,0.175
Prussia,,1871,2.432
Prussia,,1872,2.624
Prussia,,1873,0.356
Prussia,,1874,0.095
Prussia,,1875,0.036
Prussia,,1876,0.031
Prussia,,1877,0.003
Prussia,,1878,0.007
Prussia,,1879,0.013
Prussia,,1880,0.026
Prussia,,1881,0.036
Prussia,,1882,0.036
Prussia,,1883,0.02
Prussia,,1884,0.014
Prussia,,1885,0.014
Prussia,,1886,0.005
Prussia,,1887,0.005
Prussia,,1888,0.003
Prussia,,1889,0.005
Prussia,,1890,0.0012
Prussia,,1891,0.0012
Prussia,,1892,0.003
Prussia,,1893,0.0044
Prussia,,1894,0.0025
Prussia,,1895,0.0006
Prussia,,1896,0.0002
Prussia,,1897,0.0002
Prussia,,1898,0.0004
Scotland,,1855,0.44
Scotland,,1856,0.436
Scotland,,1857,0.281
Scotland,,1858,0.11
Scotland,,1859,0.224
Scotland,,1860,0.489
Scotland,,1861,0.25
Scotland,,1862,0.137
Scotland,,1863,0.526
Scotland,,1864,0.552
Scotland,,1865,0.12
Scotland,,1866,0.062
Scotland,,1867,0.031
Scotland,,1868,0.005
Scotland,,1869,0.019
Scotland,,1870,0.034
Scotland,,1871,0.429
Scotland,,1872,0.718
Scotland,,1873,0.327
Scotland,,1874,0.358
Scotland,,1875,0.022
Scotland,,1876,0.011
Scotland,,1877,0.011
Scotland,,1878,0.001
Scotland,,1879,0.002
Scotland,,1880,0.003
Scotland,,1881,0.005
Scotland,,1882,0.001
Scotland,,1883,0.003
Scotland,,1884,0.004
Scotland,,1885,0.01
Scotland,,1886,0.006
Scotland,,1887,0.004
Scotland,,1888,0
Scotland,,1889,0.001
Scotland,,1892,0.003
Scotland,,1893,0.017
Scotland,,1894,0.032
Scotland,,1895,0.011
Scotland,,1896,0.0004
Scotland,,1897,0.002
Scotland,,1898,0.0004
Scotland,,1899,0.0002
Sweden,SWE,1774,1.032
Sweden,SWE,1775,0.631
Sweden,SWE,1776,0.737
Sweden,SWE,1777,0.943
Sweden,SWE,1778,3.177
Sweden,SWE,1779,7.196
Sweden,SWE,1780,1.593
Sweden,SWE,1781,0.699
Sweden,SWE,1782,1.166
Sweden,SWE,1783,1.836
Sweden,SWE,1784,5.826
Sweden,SWE,1785,2.37
Sweden,SWE,1786,0.313
Sweden,SWE,1787,0.825
Sweden,SWE,1788,2.544
Sweden,SWE,1789,3.148
Sweden,SWE,1790,2.74
Sweden,SWE,1791,1.425
Sweden,SWE,1792,0.88
Sweden,SWE,1793,0.944
Sweden,SWE,1794,1.758
Sweden,SWE,1795,2.956
Sweden,SWE,1796,1.963
Sweden,SWE,1797,0.751
Sweden,SWE,1798,0.585
Sweden,SWE,1799,1.609
Sweden,SWE,1800,5.126
Sweden,SWE,1801,2.566
Sweden,SWE,1802,0.646
Sweden,SWE,1803,0.613
Sweden,SWE,1804,0.608
Sweden,SWE,1805,0.452
Sweden,SWE,1806,0.616
Sweden,SWE,1807,0.888
Sweden,SWE,1808,0.759
Sweden,SWE,1809,1.009
Sweden,SWE,1810,0.347
Sweden,SWE,1811,0.291
Sweden,SWE,1812,0.167
Sweden,SWE,1813,0.225
Sweden,SWE,1814,0.126
Sweden,SWE,1815,0.191
Sweden,SWE,1816,0.277
Sweden,SWE,1817,0.096
Sweden,SWE,1818,0.12
Sweden,SWE,1819,0.063
Sweden,SWE,1820,0.055
Sweden,SWE,1821,0.014
Sweden,SWE,1822,0.004
Sweden,SWE,1823,0.015
Sweden,SWE,1824,0.226
Sweden,SWE,1825,0.449
Sweden,SWE,1826,0.223
Sweden,SWE,1827,0.212
Sweden,SWE,1828,0.09
Sweden,SWE,1829,0.019
Sweden,SWE,1830,0.036
Sweden,SWE,1831,0.211
Sweden,SWE,1832,0.213
Sweden,SWE,1833,0.387
Sweden,SWE,1834,0.352
Sweden,SWE,1835,0.147
Sweden,SWE,1836,0.045
Sweden,SWE,1837,0.117
Sweden,SWE,1838,0.583
Sweden,SWE,1839,0.621
Sweden,SWE,1840,0.207
Sweden,SWE,1841,0.075
Sweden,SWE,1842,0.018
Sweden,SWE,1843,0.003
Sweden,SWE,1870,0.183
Sweden,SWE,1871,0.078
Sweden,SWE,1872,0.081
Sweden,SWE,1873,0.261
Sweden,SWE,1874,0.936
Sweden,SWE,1875,0.461
Sweden,SWE,1876,0.136
Sweden,SWE,1877,0.079
Sweden,SWE,1878,0.044
Sweden,SWE,1879,0.031
Sweden,SWE,1880,0.038
Sweden,SWE,1881,0.065
Sweden,SWE,1882,0.034
Sweden,SWE,1883,0.027
Sweden,SWE,1884,0.012
Sweden,SWE,1885,0.0008
Sweden,SWE,1886,0.0002
Sweden,SWE,1887,0.0006
Sweden,SWE,1888,0.0015
Sweden,SWE,1889,0.0004
Sweden,SWE,1890,0.0002
Sweden,SWE,1891,0.0002
Sweden,SWE,1892,0.0008
Sweden,SWE,1893,0.005
Sweden,SWE,1894,0.0035
Sweden,SWE,1895,0
Sweden,SWE,1896,0
Sweden,SWE,1897,0
Sweden,SWE,1898,0.0002
Sweden,SWE,1899,0
