Entity,Code,Year,,
World,OWID_WRL,1941,33.14000048,51.25865394
World,OWID_WRL,1942,25.53940107,49.65937425
World,OWID_WRL,1943,23.84828569,48.49389115
World,OWID_WRL,1944,25.9760274,49.98519768
World,OWID_WRL,1945,25.32995096,51.89853534
World,OWID_WRL,1946,21.36802469,52.44961153
World,OWID_WRL,1947,17.24790119,52.47263329
World,OWID_WRL,1948,15.84722665,54.89674234
World,OWID_WRL,1949,16.25979214,54.37934345
World,OWID_WRL,1950,21.45549841,54.23760478
World,OWID_WRL,1951,19.69563287,52.01676685
World,OWID_WRL,1952,20.11276504,51.41123411
World,OWID_WRL,1953,20.10133857,51.87558201
World,OWID_WRL,1954,19.26664311,52.72082476
World,OWID_WRL,1955,19.56991007,53.25660769
World,OWID_WRL,1956,18.7804848,52.72216113
World,OWID_WRL,1957,17.25308266,50.58422362
World,OWID_WRL,1958,15.76552964,49.39413003
World,OWID_WRL,1959,16.0181688,48.20979534
World,OWID_WRL,1960,15.35111925,51.36530669
World,OWID_WRL,1961,16.10820127,50.8496553
World,OWID_WRL,1962,17.07364183,44.47779666
World,OWID_WRL,1963,16.95383187,43.95399987
World,OWID_WRL,1964,16.49025272,47.14567308
World,OWID_WRL,1965,16.7629294,51.91654135
World,OWID_WRL,1966,15.76378749,46.87114828
World,OWID_WRL,1967,12.64931325,42.04780014
World,OWID_WRL,1968,9.968683847,38.67462605
World,OWID_WRL,1969,8.007491224,35.90476485
World,OWID_WRL,1970,11.22851898,33.14533985
World,OWID_WRL,1971,12.11133392,32.50092937
World,OWID_WRL,1972,11.66432992,32.15952411
World,OWID_WRL,1973,11.12141804,36.20254479
World,OWID_WRL,1974,14.34115165,129.3481577
World,OWID_WRL,1975,17.98156102,146.0005951
World,OWID_WRL,1976,18.05355206,73.65089036
World,OWID_WRL,1977,16.73962106,59.21532165
World,OWID_WRL,1978,16.4321484,52.03858934
World,OWID_WRL,1979,17.75559587,53.21910526
World,OWID_WRL,1980,19.40112697,66.35618545
World,OWID_WRL,1981,21.25575045,63.709712
World,OWID_WRL,1982,18.74496258,51.39168676
World,OWID_WRL,1983,16.7932002,43.3781754
World,OWID_WRL,1984,16.09819769,43.08498646
World,OWID_WRL,1985,14.62347156,36.89004085
World,OWID_WRL,1986,12.43486762,36.55056041
World,OWID_WRL,1987,13.52391365,31.93682041
World,OWID_WRL,1988,17.17584605,35.6144277
World,OWID_WRL,1989,17.18564344,38.53920106
World,OWID_WRL,1990,12.51288286,36.26509829
World,OWID_WRL,1991,14.82755461,36.5191451
World,OWID_WRL,1992,15.10071373,34.82629171
World,OWID_WRL,1993,13.63290199,26.72737228
World,OWID_WRL,1994,13.29253939,26.06001006
World,OWID_WRL,1995,12.35713116,26.87764689
World,OWID_WRL,1996,11.52892855,29.09044959
World,OWID_WRL,1997,11.19314168,29.89640231
World,OWID_WRL,1998,13.22576127,30.87374588
World,OWID_WRL,1999,12.04755875,30.90917761
World,OWID_WRL,2000,11.15212392,29.73403531
World,OWID_WRL,2001,10.56373314,27.6006631
World,OWID_WRL,2002,11.2946225,26.27125704
World,OWID_WRL,2003,11.17761895,24.16992663
World,OWID_WRL,2004,11.93708992,25.38867686
World,OWID_WRL,2005,16.93823108,25.16846308
World,OWID_WRL,2006,18.31406586,25.66388919
World,OWID_WRL,2007,17.92656978,40.03514821
World,OWID_WRL,2008,30.61446242,187.8587769
World,OWID_WRL,2009,42.5616295,66.3643282
World,OWID_WRL,2010,31.47696073,66.02550706
World,OWID_WRL,2011,40.02277089,96.19880163
World,OWID_WRL,2012,41.3450667,94.75472051
World,OWID_WRL,2013,33.65090468,74.38312158
World,OWID_WRL,2014,26.17,54.94
World,OWID_WRL,2015,26.49101899,58.12155308
World,OWID_WRL,1880,,121.9549586
World,OWID_WRL,1881,,169.7759461
World,OWID_WRL,1882,,137.2851316
World,OWID_WRL,1883,,140.3382268
World,OWID_WRL,1884,,131.1335638
World,OWID_WRL,1885,,149.8582915
World,OWID_WRL,1886,,106.6570932
World,OWID_WRL,1887,,93.94074798
World,OWID_WRL,1888,,110.909103
World,OWID_WRL,1889,,135.9965958
World,OWID_WRL,1890,,161.9635119
World,OWID_WRL,1891,,159.6497475
World,OWID_WRL,1892,,124.1720258
World,OWID_WRL,1893,,116.4856589
World,OWID_WRL,1894,,94.8804262
World,OWID_WRL,1895,,96.65738162
World,OWID_WRL,1896,,106.1281337
World,OWID_WRL,1897,,72.47923836
World,OWID_WRL,1898,,74.45338104
World,OWID_WRL,1899,,94.47682822
