Entity,Code,Year,Legality status of abortion
Hungary,HUN,2017,Legal (no restrictions)
Iceland,ISL,2017,Legal (some restrictions)
India,IND,2017,Legal (some restrictions)
Indonesia,IDN,2017,Highly restricted
Iran,IRN,2017,Highly restricted
Iraq,IRQ,2017,Banned (no exception)
Ireland,IRL,2017,Highly restricted
Israel,ISR,2017,Highly restricted
Italy,ITA,2017,Legal (no restrictions)
Jamaica,JAM,2017,Highly restricted
Japan,JPN,2017,Legal (some restrictions)
Jordan,JOR,2017,Highly restricted
Kazakhstan,KAZ,2017,Legal (no restrictions)
Kenya,KEN,2017,Highly restricted
Kiribati,KIR,2017,Highly restricted
Kosovo,OWID_KOS,2017,Legal (no restrictions)
Kuwait,KWT,2017,Highly restricted
Kyrgyzstan,KGZ,2017,Legal (no restrictions)
Laos,LAO,2017,Banned (no exception)
Latvia,LVA,2017,Legal (no restrictions)
Lebanon,LBN,2017,Highly restricted
Lesotho,LSO,2017,Highly restricted
Liberia,LBR,2017,Highly restricted
Libya,LBY,2017,Highly restricted
Liechtenstein,LIE,2017,Highly restricted
Lithuania,LTU,2017,Legal (no restrictions)
Luxembourg,LUX,2017,Legal (no restrictions)
Macedonia,MKD,2017,Legal (no restrictions)
Madagascar,MDG,2017,Banned (no exception)
Malawi,MWI,2017,Highly restricted
Malaysia,MYS,2017,Highly restricted
Maldives,MDV,2017,Highly restricted
Mali,MLI,2017,Highly restricted
Malta,MLT,2017,Banned (no exception)
Marshall Islands,MHL,2017,Banned (no exception)
Mauritania,MRT,2017,Banned (no exception)
Mauritius,MUS,2017,Highly restricted
Mexico,MEX,2017,Highly restricted
Micronesia,,2017,Banned (no exception)
Moldova,MDA,2017,Legal (no restrictions)
Monaco,MCO,2017,Highly restricted
Mongolia,MNG,2017,Legal (no restrictions)
Montenegro,MNE,2017,Legal (no restrictions)
Morocco,MAR,2017,Highly restricted
Mozambique,MOZ,2017,Highly restricted
Myanmar,MMR,2017,Highly restricted
Namibia,NAM,2017,Highly restricted
Nauru,NRU,2017,Highly restricted
Nepal,NPL,2017,Legal (no restrictions)
Netherlands,NLD,2017,Legal (no restrictions)
New Zealand,NZL,2017,Highly restricted
Nicaragua,NIC,2017,Banned (no exception)
Niger,NER,2017,Highly restricted
Nigeria,NGA,2017,Highly restricted
North Korea,PRK,2017,Legal (no restrictions)
Norway,NOR,2017,Legal (no restrictions)
Oman,OMN,2017,Highly restricted
Pakistan,PAK,2017,Highly restricted
Palau,PLW,2017,Banned (no exception)
Palestine,PSE,2017,Highly restricted
Panama,PAN,2017,Highly restricted
Papua New Guinea,PNG,2017,Highly restricted
Paraguay,PRY,2017,Highly restricted
Peru,PER,2017,Highly restricted
Philippines,PHL,2017,Banned (no exception)
Poland,POL,2017,Highly restricted
Portugal,PRT,2017,Legal (no restrictions)
Puerto Rico,PRI,2017,Legal (no restrictions)
Qatar,QAT,2017,Highly restricted
Romania,ROU,2017,Legal (no restrictions)
Russia,RUS,2017,Legal (no restrictions)
Rwanda,RWA,2017,Highly restricted
Saint Kitts and Nevis,KNA,2017,Highly restricted
Saint Lucia,LCA,2017,Highly restricted
Saint Vincent and the Grenadines,VCT,2017,Legal (some restrictions)
Samoa,WSM,2017,Highly restricted
San Marino,SMR,2017,Banned (no exception)
Sao Tome and Principe,STP,2017,Banned (no exception)
Saudi Arabia,SAU,2017,Highly restricted
Senegal,SEN,2017,Banned (no exception)
Serbia,SRB,2017,Legal (no restrictions)
Seychelles,SYC,2017,Highly restricted
Sierra Leone,SLE,2017,Highly restricted
Singapore,SGP,2017,Legal (no restrictions)
Slovakia,SVK,2017,Legal (no restrictions)
Slovenia,SVN,2017,Legal (no restrictions)
Solomon Islands,SLB,2017,Highly restricted
Somalia,SOM,2017,Highly restricted
South Africa,ZAF,2017,Legal (no restrictions)
South Korea,KOR,2017,Highly restricted
South Sudan,SSD,2017,Highly restricted
Spain,ESP,2017,Legal (no restrictions)
Sri Lanka,LKA,2017,Highly restricted
Sudan,SDN,2017,Highly restricted
Suriname,SUR,2017,Banned (no exception)
Swaziland,SWZ,2017,Highly restricted
Sweden,SWE,2017,Legal (no restrictions)
Switzerland,CHE,2017,Legal (no restrictions)
Syria,SYR,2017,Highly restricted
Taiwan,TWN,2017,Legal (some restrictions)
Tajikistan,TJK,2017,Legal (no restrictions)
Tanzania,TZA,2017,Highly restricted
Thailand,THA,2017,Highly restricted
Timor,TLS,2017,Highly restricted
Togo,TGO,2017,Highly restricted
Tonga,TON,2017,Banned (no exception)
Trinidad and Tobago,TTO,2017,Highly restricted
Tunisia,TUN,2017,Legal (no restrictions)
Turkey,TUR,2017,Legal (no restrictions)
Turkmenistan,TKM,2017,Legal (no restrictions)
Tuvalu,TUV,2017,Highly restricted
Uganda,UGA,2017,Highly restricted
Ukraine,UKR,2017,Legal (no restrictions)
United Arab Emirates,ARE,2017,Highly restricted
United Kingdom,GBR,2017,Legal (some restrictions)
United States,USA,2017,Legal (no restrictions)
Uruguay,URY,2017,Legal (no restrictions)
Uzbekistan,UZB,2017,Legal (no restrictions)
Vanuatu,VUT,2017,Highly restricted
Venezuela,VEN,2017,Highly restricted
Vietnam,VNM,2017,Legal (no restrictions)
Yemen,YEM,2017,Highly restricted
Zambia,ZMB,2017,Legal (some restrictions)
Zimbabwe,ZWE,2017,Highly restricted
