Entity,Code,Year,9-year average,Annual drought severity index
Southwest US,,1942,1.973789007,3.420992583
Southwest US,,1943,1.407030041,0.009453928
Southwest US,,1944,0.699087767,0.456283929
Southwest US,,1945,0.199895676,0.611047147
Southwest US,,1946,-0.075086359,-0.609508645
Southwest US,,1947,-0.186424453,-0.650283986
Southwest US,,1948,-0.262146764,0.280396903
Southwest US,,1949,-0.440258484,0.428116627
Southwest US,,1950,-0.645926224,-1.907860128
Southwest US,,1951,-0.748985003,-1.2679534
Southwest US,,1952,-0.895208786,0.989308967
Southwest US,,1953,-1.275600721,-1.475198179
Southwest US,,1954,-1.684887391,-2.714443643
Southwest US,,1955,-1.68704594,-2.103616416
Southwest US,,1956,-1.177397127,-2.26048141
Southwest US,,1957,-0.591292914,0.640200216
Southwest US,,1958,-0.460443307,1.616214217
Southwest US,,1959,-0.782213264,-2.231097605
Southwest US,,1960,-1.075759422,-1.817177379
Southwest US,,1961,-1.062871838,-1.005879357
Southwest US,,1962,-0.885823666,-0.153371934
Southwest US,,1963,-0.670938898,-1.162367048
Southwest US,,1964,-0.369143084,-1.443053333
Southwest US,,1965,-0.035041518,1.658649133
Southwest US,,1966,0.16812774,-0.363190896
Southwest US,,1967,0.23356359,0.401640516
Southwest US,,1968,0.275305142,-0.163845448
Southwest US,,1969,0.304662248,0.917570118
Southwest US,,1970,0.270733836,0.192756963
Southwest US,,1971,0.222477627,0.222077061
Southwest US,,1972,0.224568442,-0.759103803
Southwest US,,1973,0.180967931,2.00019866
Southwest US,,1974,-0.076362102,-1.014311021
Southwest US,,1975,-0.516916658,0.450386803
Southwest US,,1976,-0.793704177,-1.596949208
Southwest US,,1977,-0.518879355,-2.887906169
Southwest US,,1978,0.200336444,1.323647758
Southwest US,,1979,0.760708932,2.490213807
Southwest US,,1980,0.89595445,1.273635128
Southwest US,,1981,1.083925161,-1.786410365
Southwest US,,1982,1.71941287,1.656852662
Southwest US,,1983,2.409944173,4.929926902
Southwest US,,1984,2.546757943,2.603659005
Southwest US,,1985,2.075109519,2.13176259
Southwest US,,1986,1.315022792,1.289387494
Southwest US,,1987,0.452330151,0.597914631
Southwest US,,1988,-0.442095328,-0.001102085
Southwest US,,1989,-1.125354846,-2.245105616
Southwest US,,1990,-1.246561027,-2.480230933
Southwest US,,1991,-0.750736788,-0.945235068
Southwest US,,1992,-0.033766712,0.391174197
Southwest US,,1993,0.449606848,2.169917598
Southwest US,,1994,0.612132048,-1.198443646
Southwest US,,1995,0.665357308,2.06872993
Southwest US,,1996,0.784788063,-0.193697866
Southwest US,,1997,0.892471802,0.590890376
Southwest US,,1998,0.679467983,3.01824911
Southwest US,,1999,-0.056278827,-0.152474292
Southwest US,,2000,-1.107327344,-1.959416128
Southwest US,,2001,-2.012442616,-1.626612031
Southwest US,,2002,-2.350266401,-3.936242464
Southwest US,,2003,-1.930527775,-3.057827097
Southwest US,,2004,-1.063861978,-1.054831451
Southwest US,,2005,-0.494005077,2.424620865
Southwest US,,2006,-0.662385424,-0.599124436
Southwest US,,2007,-1.206433306,-2.390523027
Southwest US,,2008,-1.453818988,-1.964146003
Southwest US,,2009,-1.24048992,-2.183707479
Southwest US,,2010,-1.051248394,0.858450734
Southwest US,,2011,-1.381841072,-0.083871822
Southwest US,,2012,-2.105454625,-3.462829588
Southwest US,,2013,-2.64908584,-3.432893829
Southwest US,,2014,-2.694389945,-3.084923597
Southwest US,,2015,-2.424099371,-1.98715449
United States,USA,1895,-0.072910156,-0.118333333
United States,USA,1896,-0.069573568,0.2225
United States,USA,1897,-0.073688151,-0.4525
United States,USA,1898,-0.090869141,0.101666667
United States,USA,1899,-0.170442708,0.02
United States,USA,1900,-0.299860026,-0.0475
United States,USA,1901,-0.312021484,-1.144166667
United States,USA,1902,-0.052233073,-0.840833333
United States,USA,1903,0.448313802,1.705
United States,USA,1904,1.118837891,-0.031666667
United States,USA,1905,1.94703125,1.553333333
United States,USA,1906,2.731914063,3.608333333
United States,USA,1907,2.992864583,4.315
United States,USA,1908,2.369781901,3.363333333
United States,USA,1909,1.105299479,1.8175
United States,USA,1910,0.015338542,-2.465833333
United States,USA,1911,-0.250182292,-2.398333333
United States,USA,1912,0.141246745,2.6125
United States,USA,1913,0.613958333,0.485
United States,USA,1914,0.921731771,-0.27
United States,USA,1915,1.00789388,2.091666667
United States,USA,1916,0.717148438,2.3975
United States,USA,1917,0.230485026,-0.640833333
United States,USA,1918,0.133235677,-2.930833333
United States,USA,1919,0.545517578,1.7725
United States,USA,1920,0.868603516,3.469166667
United States,USA,1921,0.71179362,-0.545833333
United States,USA,1922,0.321132813,-0.47
United States,USA,1923,-0.019501953,1.145833333
United States,USA,1924,-0.215520833,-0.386666667
United States,USA,1925,-0.04781901,-2.058333333
United States,USA,1926,0.602949219,0.4175
United States,USA,1927,1.278453776,2.823333333
United States,USA,1928,1.247412109,2.774166667
United States,USA,1929,0.326383464,1.090833333
United States,USA,1930,-0.8746875,-1.983333333
United States,USA,1931,-1.677200521,-4.178333333
United States,USA,1932,-2.133723958,0.075833333
United States,USA,1933,-2.70186849,-1.039166667
United States,USA,1934,-3.320677083,-6.6775
United States,USA,1935,-3.472363281,-3.103333333
United States,USA,1936,-3.013336589,-3.5325
United States,USA,1937,-2.384023438,-2.320833333
United States,USA,1938,-2.025611979,0.075
United States,USA,1939,-1.789163411,-2.88
United States,USA,1940,-1.126822917,-4.238333333
United States,USA,1941,0.003557943,1.6675
United States,USA,1942,0.931699219,3.1875
United States,USA,1943,1.249580078,0.8775
United States,USA,1944,1.313277995,-0.154166667
United States,USA,1945,1.513795573,2.056666667
United States,USA,1946,1.72265625,2.371666667
United States,USA,1947,1.690218099,2.1375
United States,USA,1948,1.481119792,0.819166667
United States,USA,1949,1.269641927,1.244166667
United States,USA,1950,0.959876302,1.329166667
United States,USA,1951,0.247405599,1.683333333
United States,USA,1952,-0.960198568,-0.9375
United States,USA,1953,-2.31061849,-2.883333333
United States,USA,1954,-3.19453776,-4.345
United States,USA,1955,-3.112779948,-4.465
United States,USA,1956,-2.042135417,-3.595
United States,USA,1957,-0.608935547,0.904166667
United States,USA,1958,0.351982422,2.735833333
United States,USA,1959,0.564983724,-0.335
United States,USA,1960,0.344586589,0.010833333
United States,USA,1961,-0.047913411,0.890833333
United States,USA,1962,-0.539752604,0.020833333
United States,USA,1963,-0.908300781,-2.929166667
United States,USA,1964,-0.918522135,-1.0625
United States,USA,1965,-0.62742513,0.708333333
United States,USA,1966,-0.162454427,-1.764166667
United States,USA,1967,0.457880859,0.435
United States,USA,1968,1.066269531,1.795833333
United States,USA,1969,1.381298828,2.501666667
United States,USA,1970,1.466894531,0.7425
United States,USA,1971,1.745065104,0.603333333
United States,USA,1972,2.394775391,1.979166667
United States,USA,1973,3.008681641,4.8475
United States,USA,1974,2.991497396,3.474166667
United States,USA,1975,2.206471354,3.718333333
United States,USA,1976,1.174261068,-0.348333333
United States,USA,1977,0.57289388,-1.150833333
United States,USA,1978,0.525084635,0.919166667
United States,USA,1979,0.643850911,2.23
United States,USA,1980,0.817822266,-0.398333333
United States,USA,1981,1.387460938,-0.755
United States,USA,1982,2.35296875,3.3725
United States,USA,1983,3.05469401,5.010833333
United States,USA,1984,2.931497396,3.9475
United States,USA,1985,2.06860026,0.960833333
United States,USA,1986,0.86063151,2.135833333
United States,USA,1987,-0.296126302,-0.57
United States,USA,1988,-0.94773763,-3.51
United States,USA,1989,-0.805817057,-0.851666667
United States,USA,1990,-0.044977214,0.030833333
United States,USA,1991,0.931292318,1.150833333
United States,USA,1992,1.826897786,1.185
United States,USA,1993,2.455146484,4.37
United States,USA,1994,2.763297526,2.138333333
United States,USA,1995,2.879729818,2.795833333
United States,USA,1996,2.837281901,2.789166667
United States,USA,1997,2.349287109,4.295833333
United States,USA,1998,1.152057292,1.553333333
United States,USA,1999,-0.476474609,-0.138333333
United States,USA,2000,-1.757936198,-4.435833333
United States,USA,2001,-2.050390625,-2.870833333
United States,USA,2002,-1.409501953,-2.058333333
United States,USA,2003,-0.523841146,0.583333333
United States,USA,2004,-0.120159505,1.3075
United States,USA,2005,-0.350983073,0.089166667
United States,USA,2006,-0.705572917,-2.215833333
United States,USA,2007,-0.576110026,-1.651666667
United States,USA,2008,0.085670573,0.346666667
United States,USA,2009,0.692213542,1.250833333
United States,USA,2010,0.610465495,3.05
United States,USA,2011,-0.092431641,-0.1575
United States,USA,2012,-0.629039714,-4.005833333
United States,USA,2013,-0.416432292,-0.224166667
United States,USA,2014,0.280732422,1.231666667
United States,USA,2015,0.862480469,1.1675
