Entity,Code,Year,"Average weekly hours worked (women, 15+) (OECD Labor Force Statistics (2017)) (Hours)"
France,FRA,1991,35.72195168
France,FRA,1992,35.43769246
France,FRA,1993,35.25536969
France,FRA,1994,35.04542517
France,FRA,1995,34.83145642
France,FRA,1996,34.66868492
France,FRA,1997,34.34579939
France,FRA,1998,34.30821489
France,FRA,1999,34.22017155
France,FRA,2000,33.92549919
France,FRA,2001,33.74056994
France,FRA,2002,33.36419679
France,FRA,2003,34.30003663
France,FRA,2004,34.18456762
France,FRA,2005,34.33698877
France,FRA,2006,34.47028451
France,FRA,2007,34.56295999
France,FRA,2008,34.6597927
France,FRA,2009,34.51778086
France,FRA,2010,34.6395396
France,FRA,2011,34.66449779
France,FRA,2012,34.56471653
France,FRA,2013,34.33517722
France,FRA,2014,34.19811193
France,FRA,2015,34.26657818
France,FRA,2016,34.39876466
Germany,DEU,1983,35.40484222
Germany,DEU,1984,35.93057859
Germany,DEU,1985,35.8107797
Germany,DEU,1986,35.52175386
Germany,DEU,1987,35.39676767
Germany,DEU,1988,35.07520508
Germany,DEU,1989,34.79681843
Germany,DEU,1990,33.54942191
Germany,DEU,1991,34.45230628
Germany,DEU,1992,34.10771316
Germany,DEU,1993,33.68620481
Germany,DEU,1994,33.50678311
Germany,DEU,1995,33.10607892
Germany,DEU,1996,33.09404246
Germany,DEU,1997,32.71103194
Germany,DEU,1998,32.33532352
Germany,DEU,1999,32.0850423
Germany,DEU,2000,31.91055155
Germany,DEU,2001,31.53048377
Germany,DEU,2002,31.35216796
Germany,DEU,2003,30.84719607
Germany,DEU,2004,30.76793404
Germany,DEU,2005,30.29017327
Germany,DEU,2006,30.2027708
Germany,DEU,2007,30.13838958
Germany,DEU,2008,30.31079342
Germany,DEU,2009,30.49076326
Germany,DEU,2010,30.47631175
Germany,DEU,2011,30.38594481
Germany,DEU,2012,30.45224451
Germany,DEU,2013,30.3336845
Germany,DEU,2014,30.49754821
Germany,DEU,2015,30.44036922
Germany,DEU,2016,30.55338628
Greece,GRC,1983,43.26830228
Greece,GRC,1984,41.92018204
Greece,GRC,1985,41.84631888
Greece,GRC,1986,41.25936778
Greece,GRC,1987,40.66901447
Greece,GRC,1988,40.63967004
Greece,GRC,1989,40.91061966
Greece,GRC,1990,40.7399698
Greece,GRC,1991,40.88862727
Greece,GRC,1992,41.0476382
Greece,GRC,1993,41.14063485
Greece,GRC,1994,40.70875396
Greece,GRC,1995,40.34476304
Greece,GRC,1996,40.37844277
Greece,GRC,1997,40.10377873
Greece,GRC,1998,39.8642274
Greece,GRC,1999,40.15119058
Greece,GRC,2000,40.33704903
Greece,GRC,2001,40.42808206
Greece,GRC,2002,40.25969162
Greece,GRC,2003,40.41207951
Greece,GRC,2004,40.06141198
Greece,GRC,2005,39.91322183
Greece,GRC,2006,39.44929862
Greece,GRC,2007,39.21765658
Greece,GRC,2008,39.2895919
Greece,GRC,2009,39.29342347
Greece,GRC,2010,39.31096581
Greece,GRC,2011,39.37878555
Greece,GRC,2012,39.09889021
Greece,GRC,2013,39.02184171
Greece,GRC,2014,39.039
Greece,GRC,2015,39.23428082
Greece,GRC,2016,39.25073464
Hungary,HUN,1995,40.0329069
Hungary,HUN,1996,40.12560359
Hungary,HUN,1997,39.88916662
Hungary,HUN,1998,39.7755671
Hungary,HUN,1999,39.89400043
Hungary,HUN,2000,39.77135953
Hungary,HUN,2001,39.76177585
Hungary,HUN,2002,39.70922312
Hungary,HUN,2003,39.41105585
Hungary,HUN,2004,39.33031548
Hungary,HUN,2005,39.22636225
Hungary,HUN,2006,39.39088333
Hungary,HUN,2007,39.35039462
Hungary,HUN,2008,39.27515247
Hungary,HUN,2009,39.07604628
Hungary,HUN,2010,38.94211514
Hungary,HUN,2011,38.7024419
Hungary,HUN,2012,38.50413098
Hungary,HUN,2013,38.63004901
Hungary,HUN,2014,38.95458112
Hungary,HUN,2015,38.97057769
Hungary,HUN,2016,38.99607738
Iceland,ISL,2000,33.89107628
Iceland,ISL,2001,34.10633175
Iceland,ISL,2002,34.07475799
Iceland,ISL,2003,35.4587698
Iceland,ISL,2004,35.04718591
Iceland,ISL,2005,34.69061546
Iceland,ISL,2006,35.16336871
Iceland,ISL,2007,35.2203414
Iceland,ISL,2008,35.53885186
Iceland,ISL,2009,34.54884215
Iceland,ISL,2010,34.35724081
Iceland,ISL,2011,34.92361038
Iceland,ISL,2012,34.9777125
Iceland,ISL,2013,34.90964967
Iceland,ISL,2014,35.20154127
Iceland,ISL,2015,35.03931506
Iceland,ISL,2016,34.93117117
Ireland,IRL,1983,36.85480852
Ireland,IRL,1984,36.9122656
Ireland,IRL,1985,36.70024385
Ireland,IRL,1986,36.83637547
Ireland,IRL,1987,36.54555536
Ireland,IRL,1988,36.1255389
Ireland,IRL,1989,36.20420322
Ireland,IRL,1990,35.81721371
Ireland,IRL,1991,35.87004585
Ireland,IRL,1992,35.25687704
Ireland,IRL,1993,34.72341517
Ireland,IRL,1994,34.67692446
Ireland,IRL,1995,34.2376358
Ireland,IRL,1996,34.66272449
Ireland,IRL,1997,34.12739268
Ireland,IRL,1998,33.08642441
Ireland,IRL,1999,32.67247783
Ireland,IRL,2000,32.82274262
Ireland,IRL,2001,32.50675621
Ireland,IRL,2002,32.33289535
Ireland,IRL,2003,32.08583201
Ireland,IRL,2004,31.89743902
Ireland,IRL,2005,31.71078866
Ireland,IRL,2006,31.7613484
Ireland,IRL,2007,31.47824735
Ireland,IRL,2008,31.30335699
Ireland,IRL,2009,30.8058891
Ireland,IRL,2010,30.67737122
Ireland,IRL,2011,30.53169538
Ireland,IRL,2012,30.93470036
Ireland,IRL,2013,31.33745738
Ireland,IRL,2014,31.52438219
Ireland,IRL,2015,31.54707708
Ireland,IRL,2016,31.68114022
Israel,ISR,1995,35.74217946
Israel,ISR,1996,35.97094796
Israel,ISR,1997,36.37616265
Israel,ISR,1998,35.74067148
Israel,ISR,1999,35.80274805
Israel,ISR,2000,36.03642035
Israel,ISR,2001,35.78095542
Israel,ISR,2002,35.67148689
Israel,ISR,2003,35.68062885
Israel,ISR,2004,35.86678683
Israel,ISR,2005,35.5034963
Israel,ISR,2006,35.61829881
Israel,ISR,2007,35.95744504
Israel,ISR,2008,35.93943948
Israel,ISR,2009,35.82853022
Israel,ISR,2010,36.15896052
Israel,ISR,2011,36.42870742
Israel,ISR,2012,36.64061785
Israel,ISR,2013,36.40188676
Israel,ISR,2014,36.39907865
Israel,ISR,2015,36.56580691
Israel,ISR,2016,36.63506481
Italy,ITA,1995,35.9106816
Italy,ITA,1996,36.06343536
Italy,ITA,1997,35.69085244
Italy,ITA,1998,35.66125367
Italy,ITA,1999,35.41363947
Italy,ITA,2000,35.60426057
Italy,ITA,2001,35.52944747
Italy,ITA,2002,35.48426014
Italy,ITA,2003,35.38837481
Italy,ITA,2004,34.17607136
Italy,ITA,2005,34.06889132
Italy,ITA,2006,34.00676015
Italy,ITA,2007,33.83155324
Italy,ITA,2008,33.62296999
Italy,ITA,2009,33.50787088
Italy,ITA,2010,33.30406937
Italy,ITA,2011,33.13054444
Italy,ITA,2012,32.80325513
Italy,ITA,2013,32.70367754
Italy,ITA,2014,32.67192601
Italy,ITA,2015,32.77687798
Italy,ITA,2016,32.76893253
Korea,,1991,51.02736458
Korea,,1992,50.24423748
Korea,,1993,50.46657606
Korea,,1994,50.25056159
Korea,,1995,50.4207885
Korea,,1996,50.27586021
Korea,,1997,49.57419342
Korea,,1998,48.86592763
Korea,,1999,48.82727168
Korea,,2000,48.77425032
Korea,,2001,48.46170359
Korea,,2002,47.92048289
Korea,,2003,47.25630894
Korea,,2004,46.88067825
Korea,,2005,46.42728728
Korea,,2006,46.15956044
Korea,,2007,45.35255747
Korea,,2008,44.2873065
Korea,,2009,44.00459146
Korea,,2010,42.94833162
Korea,,2011,41.70024061
Korea,,2012,42.35966967
Korea,,2013,40.9450903
Korea,,2014,41.49363922
Korea,,2015,41.33909496
Korea,,2016,40.60345467
Latvia,LVA,2000,40.69157846
Latvia,LVA,2001,41.12799156
Latvia,LVA,2002,40.339749
Latvia,LVA,2003,40.24160362
Latvia,LVA,2004,39.23769934
Latvia,LVA,2005,39.47253446
Latvia,LVA,2006,39.85247277
Latvia,LVA,2007,39.55301093
Latvia,LVA,2008,38.96815225
Latvia,LVA,2009,38.57756954
Latvia,LVA,2010,38.13310591
Latvia,LVA,2011,38.08876107
Latvia,LVA,2012,37.90088421
Latvia,LVA,2013,38.08559566
Latvia,LVA,2014,38.27695938
Latvia,LVA,2015,38.1244604
Latvia,LVA,2016,37.97736106
Lithuania,LTU,1998,38.46029182
Lithuania,LTU,1999,37.6385773
Lithuania,LTU,2000,37.56091881
Lithuania,LTU,2001,36.96322008
Lithuania,LTU,2002,36.8689247
Lithuania,LTU,2003,36.99546264
Lithuania,LTU,2004,37.31938737
Lithuania,LTU,2005,37.55705896
Lithuania,LTU,2006,37.99443896
Lithuania,LTU,2007,38.14376102
Lithuania,LTU,2008,38.60903445
Lithuania,LTU,2009,38.25210655
Lithuania,LTU,2010,38.04981917
Lithuania,LTU,2011,37.74257291
Lithuania,LTU,2012,37.63411087
Lithuania,LTU,2013,37.74060255
Lithuania,LTU,2014,37.74364926
Lithuania,LTU,2015,37.88666453
Lithuania,LTU,2016,37.84969867
Luxembourg,LUX,1983,37.45719516
Luxembourg,LUX,1984,37.49989166
Luxembourg,LUX,1985,37.27866337
Luxembourg,LUX,1986,37.15062382
Luxembourg,LUX,1987,36.97019206
Luxembourg,LUX,1988,37.10398809
Luxembourg,LUX,1989,36.85533313
Luxembourg,LUX,1990,36.80233245
Luxembourg,LUX,1991,36.08747651
Luxembourg,LUX,1992,36.34551139
Luxembourg,LUX,1993,36.33616621
Luxembourg,LUX,1994,35.43585227
Luxembourg,LUX,1995,34.84570025
Luxembourg,LUX,1996,35.0812586
Luxembourg,LUX,1997,34.69689729
Luxembourg,LUX,1998,33.84790345
Luxembourg,LUX,1999,34.19180152
Luxembourg,LUX,2000,33.93909011
Luxembourg,LUX,2001,33.57099962
Luxembourg,LUX,2002,33.74448164
Luxembourg,LUX,2003,33.72639206
Luxembourg,LUX,2004,33.42864366
Luxembourg,LUX,2005,33.12971166
Luxembourg,LUX,2006,33.55351712
Luxembourg,LUX,2007,33.09742315
Luxembourg,LUX,2008,32.87370209
Luxembourg,LUX,2009,32.71906073
Luxembourg,LUX,2010,32.79961382
Luxembourg,LUX,2011,33.01037868
Luxembourg,LUX,2012,33.41626076
Luxembourg,LUX,2013,33.46821774
Luxembourg,LUX,2014,33.75399241
Luxembourg,LUX,2015,33.81426289
Luxembourg,LUX,2016,34.11691934
Macedonia,MKD,2006,42.86636177
Macedonia,MKD,2007,42.94536442
Macedonia,MKD,2008,42.92874935
Macedonia,MKD,2009,42.556804
Macedonia,MKD,2010,41.93516084
Macedonia,MKD,2011,42.12356207
Macedonia,MKD,2012,41.3478237
Macedonia,MKD,2013,41.61732003
Macedonia,MKD,2014,41.50313138
Macedonia,MKD,2015,41.4189565
Macedonia,MKD,2016,41.03455449
Malta,MLT,2000,37.24400354
Malta,MLT,2001,35.26103124
Malta,MLT,2002,35.80471015
Malta,MLT,2003,35.40532637
Malta,MLT,2004,35.38883369
Malta,MLT,2005,35.17320766
Malta,MLT,2006,35.42009711
Malta,MLT,2007,34.64820709
Malta,MLT,2008,34.78400613
Malta,MLT,2009,35.03901904
Malta,MLT,2010,34.809294
Malta,MLT,2011,34.63493956
Malta,MLT,2012,34.76411856
Malta,MLT,2013,34.54204523
Malta,MLT,2014,34.01594519
Malta,MLT,2015,34.46308141
Malta,MLT,2016,35.01891101
Mexico,MEX,1995,37.37734506
Mexico,MEX,1996,37.70405018
Mexico,MEX,1997,37.90579422
Mexico,MEX,1998,37.74911279
Mexico,MEX,1999,38.18995189
Mexico,MEX,2000,38.52139707
Mexico,MEX,2001,38.32957177
Mexico,MEX,2002,38.10738474
Mexico,MEX,2003,38.23073159
Mexico,MEX,2004,37.73448513
Mexico,MEX,2005,38.49549486
Mexico,MEX,2006,38.2484741
Mexico,MEX,2007,38.03106278
Mexico,MEX,2008,38.23836712
Mexico,MEX,2009,38.13634502
Mexico,MEX,2010,38.14463601
Mexico,MEX,2011,38.18259286
Mexico,MEX,2012,38.01119966
Mexico,MEX,2013,38.20135653
Mexico,MEX,2014,38.09700325
Mexico,MEX,2015,38.15981372
Mexico,MEX,2016,38.36906804
Netherlands,NLD,1983,29.07911129
Netherlands,NLD,1985,28.89185177
Netherlands,NLD,1987,26.30830489
Netherlands,NLD,1988,26.06769628
Netherlands,NLD,1989,25.55706231
Netherlands,NLD,1990,25.60336797
Netherlands,NLD,1991,25.75705034
Netherlands,NLD,1992,25.69798778
Netherlands,NLD,1993,25.51396875
Netherlands,NLD,1994,25.24591418
Netherlands,NLD,1995,25.24535935
Netherlands,NLD,1996,25.23083529
Netherlands,NLD,1997,25.45935301
Netherlands,NLD,1998,25.16531683
Netherlands,NLD,1999,25.11932299
Netherlands,NLD,2000,24.69549699
Netherlands,NLD,2001,24.74869832
Netherlands,NLD,2002,24.38527965
Netherlands,NLD,2003,24.25152612
Netherlands,NLD,2004,24.15838935
Netherlands,NLD,2005,24.03807883
Netherlands,NLD,2006,24.32380387
Netherlands,NLD,2007,24.38248649
Netherlands,NLD,2008,24.52367569
Netherlands,NLD,2009,24.56739106
Netherlands,NLD,2010,24.49192421
Netherlands,NLD,2011,24.48905896
Netherlands,NLD,2012,24.49413708
Netherlands,NLD,2013,24.38195959
Netherlands,NLD,2014,24.54126665
Netherlands,NLD,2015,24.54553208
Netherlands,NLD,2016,24.83344763
New Zealand,NZL,1986,32.87372383
New Zealand,NZL,1987,32.60237371
New Zealand,NZL,1988,32.25465025
New Zealand,NZL,1989,32.41326927
New Zealand,NZL,1990,32.05039935
New Zealand,NZL,1991,32.05985139
New Zealand,NZL,1992,31.91667163
New Zealand,NZL,1993,32.22677723
New Zealand,NZL,1994,32.13240576
New Zealand,NZL,1995,32.37210566
New Zealand,NZL,1996,32.09361477
New Zealand,NZL,1997,31.97658358
New Zealand,NZL,1998,31.88582297
New Zealand,NZL,1999,32.17431237
New Zealand,NZL,2000,32.44603054
New Zealand,NZL,2001,32.33794546
New Zealand,NZL,2002,32.36419448
New Zealand,NZL,2003,32.45993239
New Zealand,NZL,2004,32.28717499
New Zealand,NZL,2005,32.40174707
New Zealand,NZL,2006,32.52719039
New Zealand,NZL,2007,32.40277241
New Zealand,NZL,2008,32.51244188
New Zealand,NZL,2009,32.42130408
New Zealand,NZL,2010,32.42286527
New Zealand,NZL,2011,32.27779345
New Zealand,NZL,2012,32.16024494
New Zealand,NZL,2013,32.67185775
New Zealand,NZL,2014,32.78435309
New Zealand,NZL,2015,32.78627154
New Zealand,NZL,2016,33.08735517
Norway,NOR,1996,30.03483089
Norway,NOR,1997,30.1280597
Norway,NOR,1998,30.26492248
Norway,NOR,1999,30.35429389
Norway,NOR,2000,30.71821632
Norway,NOR,2001,30.77646503
Norway,NOR,2002,30.65817669
Norway,NOR,2003,30.71682331
Norway,NOR,2004,30.54156456
Norway,NOR,2005,30.72897086
Norway,NOR,2006,30.61337565
Norway,NOR,2007,30.83442375
Norway,NOR,2008,31.06311961
Norway,NOR,2009,31.12154835
Norway,NOR,2010,31.05187396
Norway,NOR,2011,31.1264115
Norway,NOR,2012,31.45092597
Norway,NOR,2013,31.41688727
Norway,NOR,2014,31.59768247
Norway,NOR,2015,31.6341171
Norway,NOR,2016,31.76022929
OECD,,1983,35.48880685
OECD,,1984,35.56030541
OECD,,1985,35.56128622
OECD,,1986,35.52994049
OECD,,1987,35.46615474
OECD,,1988,35.48247968
OECD,,1989,35.45067767
OECD,,1990,35.36666033
OECD,,1991,36.11667316
OECD,,1992,36.03181949
OECD,,1993,35.98228385
OECD,,1994,36.02018955
OECD,,1995,36.00885193
OECD,,1996,36.03882779
OECD,,1997,36.06604766
OECD,,1998,35.91845627
OECD,,1999,35.90563855
OECD,,2000,36.32150994
OECD,,2001,34.6792181
OECD,,2002,34.45135467
OECD,,2003,34.30773376
OECD,,2004,34.14210933
OECD,,2005,34.22379019
OECD,,2006,34.23776875
OECD,,2007,34.0910556
OECD,,2008,34.07647011
OECD,,2009,33.83997631
OECD,,2010,33.8025963
OECD,,2011,33.73153521
OECD,,2012,33.76149105
OECD,,2013,33.72999982
OECD,,2014,33.81706523
OECD,,2015,33.91413193
OECD,,2016,33.91811883
Poland,POL,2001,38.39337099
Poland,POL,2002,38.3095686
Poland,POL,2003,38.26282402
Poland,POL,2004,38.03329963
Poland,POL,2005,38.05544066
Poland,POL,2006,38.10458417
Poland,POL,2007,38.32295147
Poland,POL,2008,38.37727433
Poland,POL,2009,38.32525294
Poland,POL,2010,38.14732277
Poland,POL,2011,38.22354634
Poland,POL,2012,38.36597201
Poland,POL,2013,38.41098411
Poland,POL,2014,38.55603498
Poland,POL,2015,38.67668347
Poland,POL,2016,38.7523407
Portugal,PRT,1986,42.769016
Portugal,PRT,1987,42.86778221
Portugal,PRT,1988,42.21731857
Portugal,PRT,1989,41.5830778
Portugal,PRT,1990,41.28728626
Portugal,PRT,1991,40.17849931
Portugal,PRT,1992,40.18030462
Portugal,PRT,1993,39.91036427
Portugal,PRT,1994,39.15812038
Portugal,PRT,1995,39.32289884
Portugal,PRT,1996,39.33006231
Portugal,PRT,1997,38.41565312
Portugal,PRT,1998,37.88108308
Portugal,PRT,1999,37.64335212
Portugal,PRT,2000,37.46461596
Portugal,PRT,2001,37.29300277
Portugal,PRT,2002,37.29359453
Portugal,PRT,2003,36.97287349
Portugal,PRT,2004,36.9671799
Portugal,PRT,2005,37.01153292
Portugal,PRT,2006,37.1110589
Portugal,PRT,2007,36.98672767
Portugal,PRT,2008,36.96112848
Portugal,PRT,2009,36.89892302
Portugal,PRT,2010,37.09566677
Portugal,PRT,2011,37.27388286
Portugal,PRT,2012,37.38073085
Portugal,PRT,2013,37.71775952
Portugal,PRT,2014,38.29182507
Portugal,PRT,2015,38.02892548
Portugal,PRT,2016,38.10501601
Romania,ROU,2000,38.99581946
Romania,ROU,2001,39.04988644
Romania,ROU,2002,40.00054464
Romania,ROU,2003,40.1736083
