Entity,Code,Year,GHG emissions per capita (tonnes carbon dioxide equivalents (CO₂e))
American Samoa,ASM,2001,0.87
American Samoa,ASM,2002,0.87
American Samoa,ASM,2003,0.88
American Samoa,ASM,2004,0.88
American Samoa,ASM,2005,0.89
American Samoa,ASM,2006,0.91
American Samoa,ASM,2007,0.93
American Samoa,ASM,2008,0.96
American Samoa,ASM,2009,0.98
American Samoa,ASM,2010,1.02
American Samoa,ASM,2011,1.04
American Samoa,ASM,2012,1.06
Angola,AGO,1970,8.95
Angola,AGO,1971,5.65
Angola,AGO,1972,5.95
Angola,AGO,1973,6.08
Angola,AGO,1974,5.38
Angola,AGO,1975,5.78
Angola,AGO,1976,4.87
Angola,AGO,1977,5.36
Angola,AGO,1978,5.52
Angola,AGO,1979,6.55
Angola,AGO,1980,5.38
Angola,AGO,1981,4.53
Angola,AGO,1982,4.72
Angola,AGO,1983,4.52
Angola,AGO,1984,3.49
Angola,AGO,1985,3.46
Angola,AGO,1986,3.29
Angola,AGO,1987,4.16
Angola,AGO,1988,3.1
Angola,AGO,1989,3.33
Angola,AGO,1990,4.17
Angola,AGO,1991,3.49
Angola,AGO,1992,5.01
Angola,AGO,1993,2.97
Angola,AGO,1994,3.23
Angola,AGO,1995,3.38
Angola,AGO,1996,3.21
Angola,AGO,1997,2.19
Angola,AGO,1998,2.28
Angola,AGO,1999,2.26
Angola,AGO,2000,2.12
Angola,AGO,2001,2.02
Angola,AGO,2002,1.96
Angola,AGO,2003,1.97
Angola,AGO,2004,1.95
Angola,AGO,2005,1.83
Angola,AGO,2006,1.8
Angola,AGO,2007,1.75
Angola,AGO,2008,1.72
Angola,AGO,2009,1.7
Angola,AGO,2010,1.71
Angola,AGO,2011,1.69
Angola,AGO,2012,1.66
Antigua and Barbuda,ATG,1980,4.26
Antigua and Barbuda,ATG,1981,5.89
Antigua and Barbuda,ATG,1982,7.61
Antigua and Barbuda,ATG,1983,5.85
Antigua and Barbuda,ATG,1984,6.45
Antigua and Barbuda,ATG,1985,5.23
Antigua and Barbuda,ATG,1986,4.94
Antigua and Barbuda,ATG,1987,5.01
Antigua and Barbuda,ATG,1988,5.78
Antigua and Barbuda,ATG,1989,5.56
Antigua and Barbuda,ATG,1990,5.58
Antigua and Barbuda,ATG,1991,5.55
Antigua and Barbuda,ATG,1992,5.43
Antigua and Barbuda,ATG,1993,5.14
Antigua and Barbuda,ATG,1994,5.31
Antigua and Barbuda,ATG,1995,5.32
Antigua and Barbuda,ATG,1996,5.16
Antigua and Barbuda,ATG,1997,4.66
Antigua and Barbuda,ATG,1998,4.75
Antigua and Barbuda,ATG,1999,4.94
Antigua and Barbuda,ATG,2000,4.77
Antigua and Barbuda,ATG,2001,4.69
Antigua and Barbuda,ATG,2002,4.71
Antigua and Barbuda,ATG,2003,4.8
Antigua and Barbuda,ATG,2004,5.09
Antigua and Barbuda,ATG,2005,5.09
Antigua and Barbuda,ATG,2006,5.13
Antigua and Barbuda,ATG,2007,5.23
Antigua and Barbuda,ATG,2008,5.32
Antigua and Barbuda,ATG,2011,5.62
Antigua and Barbuda,ATG,2012,5.71
Arab World,,1970,4.51
Arab World,,1971,4.59
Arab World,,1972,4.83
Arab World,,1973,5.26
Arab World,,1974,4.97
Arab World,,1975,4.86
Arab World,,1976,5.34
Arab World,,1977,5.33
Arab World,,1978,5.33
Arab World,,1979,5.51
Arab World,,1980,5.6
Arab World,,1981,4.9
Arab World,,1982,5.03
Arab World,,1983,4.96
Arab World,,1984,4.74
Arab World,,1985,3.83
Arab World,,1986,3.87
Arab World,,1987,3.78
Arab World,,1988,3.81
Arab World,,1989,3.88
Arab World,,1990,3.58
Arab World,,1991,3.66
Arab World,,1992,3.58
Arab World,,1993,3.68
Arab World,,1994,3.72
Arab World,,1995,4.82
Arab World,,1996,4.82
Arab World,,1997,4.76
Arab World,,1998,6.41
Arab World,,1999,6.44
Arab World,,2000,6.52
Arab World,,2001,6.17
Arab World,,2002,6.51
Arab World,,2003,6.49
Arab World,,2004,5.37
Arab World,,2005,5.59
Arab World,,2006,5.35
Arab World,,2007,7.1
Arab World,,2008,6.96
Arab World,,2009,6.86
Arab World,,2010,5.4
Arab World,,2011,6.81
Arab World,,2012,5.11
Argentina,ARG,1970,9.26
Argentina,ARG,1971,8.76
Argentina,ARG,1972,9.03
Argentina,ARG,1973,9
Argentina,ARG,1974,8.95
Argentina,ARG,1975,8.95
Argentina,ARG,1976,9.33
Argentina,ARG,1977,9.2
Argentina,ARG,1978,9.1
Argentina,ARG,1979,9.24
Argentina,ARG,1980,9.03
Argentina,ARG,1981,8.61
Argentina,ARG,1982,8.4
Argentina,ARG,1983,8.44
Argentina,ARG,1984,8.13
Argentina,ARG,1985,7.84
Argentina,ARG,1986,8.13
Argentina,ARG,1987,8.2
Argentina,ARG,1988,8.37
Argentina,ARG,1989,8.23
Argentina,ARG,1990,8.14
Argentina,ARG,1991,8.05
Argentina,ARG,1992,8.09
Argentina,ARG,1993,8.11
Argentina,ARG,1994,7.84
Argentina,ARG,1995,7.86
Argentina,ARG,1996,8.14
Argentina,ARG,1997,8.36
Argentina,ARG,1998,8.6
Argentina,ARG,1999,9.11
Argentina,ARG,2000,8.94
Argentina,ARG,2001,8.71
Argentina,ARG,2002,8.21
Argentina,ARG,2003,9
Argentina,ARG,2004,9.55
Argentina,ARG,2005,9.16
Argentina,ARG,2006,9.44
Argentina,ARG,2007,9.62
Argentina,ARG,2008,10.19
Argentina,ARG,2009,9.15
Argentina,ARG,2010,8.85
Argentina,ARG,2011,8.95
Argentina,ARG,2012,9.03
Armenia,ARM,1970,2.47
Armenia,ARM,1971,2.47
Armenia,ARM,1972,2.55
Armenia,ARM,1973,2.72
Armenia,ARM,1974,2.88
Armenia,ARM,1975,4.1
Armenia,ARM,1976,4.13
Armenia,ARM,1977,4.22
Armenia,ARM,1978,4.31
Armenia,ARM,1979,4.42
Armenia,ARM,1980,4.68
Armenia,ARM,1981,4.79
Armenia,ARM,1982,4.94
Armenia,ARM,1983,4.92
Armenia,ARM,1984,4.87
Armenia,ARM,1985,4.87
Armenia,ARM,1986,4.86
Armenia,ARM,1987,4.77
Armenia,ARM,1988,5.03
Armenia,ARM,1989,4.94
Armenia,ARM,1990,6.99
Armenia,ARM,1991,7.25
Armenia,ARM,1992,4.22
Armenia,ARM,1993,2.49
Armenia,ARM,1994,1.86
Armenia,ARM,1995,2.09
Armenia,ARM,1996,1.89
Armenia,ARM,1997,2.14
Armenia,ARM,1998,2.17
Armenia,ARM,1999,2.07
Armenia,ARM,2000,2.24
Armenia,ARM,2001,2.26
Armenia,ARM,2002,2.13
Armenia,ARM,2003,2.31
Armenia,ARM,2004,2.54
Armenia,ARM,2005,2.82
Armenia,ARM,2006,2.96
Armenia,ARM,2007,3.18
Armenia,ARM,2008,4.29
Armenia,ARM,2009,3.89
Armenia,ARM,2010,3.96
Armenia,ARM,2011,4.32
Armenia,ARM,2012,4.27
Aruba,ABW,1970,0.72
Aruba,ABW,1971,0.72
Aruba,ABW,1972,0.72
Aruba,ABW,1973,0.73
Aruba,ABW,1974,0.73
Aruba,ABW,1975,0.73
Aruba,ABW,1976,2.17
Aruba,ABW,1977,2.24
Aruba,ABW,1978,5.97
Aruba,ABW,1979,6.83
Aruba,ABW,1980,7.07
Aruba,ABW,1981,8.57
Aruba,ABW,1982,9.19
Aruba,ABW,1983,8.53
Aruba,ABW,1984,9.09
Aruba,ABW,1985,10.19
Aruba,ABW,1986,6.96
Aruba,ABW,1987,9.98
Australia,AUS,1970,25.51
Australia,AUS,1971,24.31
Australia,AUS,1972,26.97
Australia,AUS,1973,24.91
Australia,AUS,1974,25.93
Australia,AUS,1975,27.18
Australia,AUS,1976,29.04
Australia,AUS,1977,29.24
Australia,AUS,1978,26.32
Australia,AUS,1979,28.39
Australia,AUS,1980,29.53
Australia,AUS,1981,25.99
Australia,AUS,1982,28.25
Australia,AUS,1983,25.16
Australia,AUS,1984,25.61
Australia,AUS,1985,28.98
Australia,AUS,1986,27.14
Australia,AUS,1987,25.38
Australia,AUS,1988,26.29
Australia,AUS,1989,27.42
Australia,AUS,1990,28.26
Australia,AUS,1991,28.89
Australia,AUS,1992,27.84
Australia,AUS,1993,27.14
Australia,AUS,1994,29.26
Australia,AUS,1995,27.07
Australia,AUS,1996,27.79
Australia,AUS,1997,49.74
Australia,AUS,1998,49.21
Australia,AUS,1999,62.88
Australia,AUS,2000,56.45
Australia,AUS,2001,63.95
Australia,AUS,2002,56.86
Australia,AUS,2003,51.45
Australia,AUS,2004,56.86
Australia,AUS,2005,44.58
Australia,AUS,2006,54.09
Australia,AUS,2007,51.16
Australia,AUS,2008,42.01
Australia,AUS,2009,50.95
Australia,AUS,2010,35.5
Australia,AUS,2011,35.17
Australia,AUS,2012,33.49
Austria,AUT,1970,9.16
Austria,AUT,1971,9.48
Austria,AUT,1972,9.75
Austria,AUT,1973,10.2
Austria,AUT,1974,9.88
Austria,AUT,1975,9.6
Austria,AUT,1976,10.32
Austria,AUT,1977,10
Austria,AUT,1978,10.3
Austria,AUT,1979,10.68
Austria,AUT,1980,10.44
Austria,AUT,1981,9.98
Austria,AUT,1982,9.65
Austria,AUT,1983,9.67
Austria,AUT,1984,9.99
Austria,AUT,1985,10.17
Austria,AUT,1986,9.97
Austria,AUT,1987,9.93
Austria,AUT,1988,9.89
Austria,AUT,1989,9.78
Austria,AUT,1990,10.4
Austria,AUT,1991,10.74
Austria,AUT,1992,10.1
Austria,AUT,1993,10.04
Austria,AUT,1994,10.05
Austria,AUT,1995,10.38
Austria,AUT,1996,10.76
Austria,AUT,1997,10.63
Austria,AUT,1998,10.75
Austria,AUT,1999,10.5
Austria,AUT,2000,10.32
Austria,AUT,2001,10.68
Austria,AUT,2002,10.81
Austria,AUT,2003,11.41
Austria,AUT,2004,11.79
Austria,AUT,2005,11.86
Austria,AUT,2006,11.57
Austria,AUT,2007,11.24
Austria,AUT,2008,11.37
Austria,AUT,2009,10.67
Austria,AUT,2010,11.26
Austria,AUT,2011,11
Austria,AUT,2012,10.73
Azerbaijan,AZE,1970,5.08
Azerbaijan,AZE,1971,5.04
Azerbaijan,AZE,1972,5.23
Azerbaijan,AZE,1973,5.63
Azerbaijan,AZE,1974,6.02
Azerbaijan,AZE,1975,7.31
Azerbaijan,AZE,1976,7.42
Azerbaijan,AZE,1977,7.59
Azerbaijan,AZE,1978,7.78
Azerbaijan,AZE,1979,7.99
Azerbaijan,AZE,1980,8.31
Azerbaijan,AZE,1981,8.87
Azerbaijan,AZE,1982,8.96
Azerbaijan,AZE,1983,9.09
Azerbaijan,AZE,1984,9.13
Azerbaijan,AZE,1985,9.21
Azerbaijan,AZE,1986,9.24
Azerbaijan,AZE,1987,9.14
Azerbaijan,AZE,1988,9.3
Azerbaijan,AZE,1989,9.09
Azerbaijan,AZE,1990,10.91
Azerbaijan,AZE,1991,10.86
Azerbaijan,AZE,1993,7
Azerbaijan,AZE,1994,6.38
Azerbaijan,AZE,1995,5.53
Azerbaijan,AZE,1996,5.02
Azerbaijan,AZE,1997,4.81
Azerbaijan,AZE,1998,5.05
Azerbaijan,AZE,1999,5.07
Azerbaijan,AZE,2000,5.3
Azerbaijan,AZE,2001,5.11
Azerbaijan,AZE,2002,4.93
Azerbaijan,AZE,2003,5.36
Azerbaijan,AZE,2004,5.42
Azerbaijan,AZE,2005,5.67
Azerbaijan,AZE,2006,5.72
Azerbaijan,AZE,2007,5.26
Azerbaijan,AZE,2008,6.14
Azerbaijan,AZE,2009,5.55
Azerbaijan,AZE,2010,5.6
Azerbaijan,AZE,2011,5.88
Azerbaijan,AZE,2012,6.08
Bahamas,BHS,1970,21.05
Bahamas,BHS,1981,27.75
Bahamas,BHS,1982,23.41
Bahamas,BHS,1983,20.29
Bahamas,BHS,1984,18.86
Bahamas,BHS,1985,14.66
Bahamas,BHS,1986,13.18
Bahamas,BHS,1987,13.02
Bahamas,BHS,1988,13.5
Bahamas,BHS,1989,14.1
Bahamas,BHS,1990,14.02
Bahamas,BHS,1991,13.28
Bahamas,BHS,1992,11.57
Bahamas,BHS,1993,10.91
Bahamas,BHS,1994,11.54
Bahamas,BHS,1995,12.61
Bahamas,BHS,1996,13.59
Bahamas,BHS,1997,12.32
Bahamas,BHS,1998,12.7
Bahamas,BHS,1999,12.2
Bahamas,BHS,2000,10.69
Bahamas,BHS,2001,10.4
Bahamas,BHS,2002,10.53
Bahamas,BHS,2003,11.26
Bahamas,BHS,2004,11.57
Bahamas,BHS,2005,11.71
Bahamas,BHS,2006,11.95
Bahamas,BHS,2007,12.06
Bahamas,BHS,2008,12.45
Bahamas,BHS,2009,12.22
Bahamas,BHS,2010,12.67
Bahamas,BHS,2011,12.89
Bahamas,BHS,2012,13.08
Bahrain,BHR,1970,17.92
Bahrain,BHR,1971,17.94
Bahrain,BHR,1972,25.76
Bahrain,BHR,1973,28.23
Bahrain,BHR,1974,31.19
Bahrain,BHR,1975,29.88
Bahrain,BHR,1976,30.19
Bahrain,BHR,1977,30.71
Bahrain,BHR,1978,30.13
Bahrain,BHR,1979,30.16
Bahrain,BHR,1980,29.06
Bahrain,BHR,1981,29.77
Bahrain,BHR,1982,31.13
Bahrain,BHR,1983,31.19
Bahrain,BHR,1984,31.36
Bahrain,BHR,1985,34.89
Bahrain,BHR,1986,37.52
Bahrain,BHR,1987,35.92
Bahrain,BHR,1988,34.98
Bahrain,BHR,1989,33.84
Bahrain,BHR,1990,34.38
Bahrain,BHR,1991,28.32
Bahrain,BHR,1992,29.02
Bahrain,BHR,1993,28.59
Bahrain,BHR,1994,27.69
Bahrain,BHR,1995,27.2
Bahrain,BHR,1996,27.63
Bahrain,BHR,1999,28.35
Bahrain,BHR,2001,27.31
Bahrain,BHR,2002,27.16
Bahrain,BHR,2003,26.38
Bahrain,BHR,2004,25.85
Bahrain,BHR,2005,26.35
Bahrain,BHR,2006,26.21
Bahrain,BHR,2009,24.68
Bahrain,BHR,2010,24.92
Bahrain,BHR,2011,24.99
Bahrain,BHR,2012,25.26
Bangladesh,BGD,1970,1.73
Bangladesh,BGD,1971,1.62
Bangladesh,BGD,1972,1.62
Bangladesh,BGD,1973,1.62
Bangladesh,BGD,1974,1.58
Bangladesh,BGD,1975,1.61
Bangladesh,BGD,1976,1.55
Bangladesh,BGD,1977,1.53
Bangladesh,BGD,1978,1.54
Bangladesh,BGD,1979,1.52
Bangladesh,BGD,1980,1.41
Bangladesh,BGD,1981,1.39
Bangladesh,BGD,1982,1.37
Bangladesh,BGD,1983,1.28
Bangladesh,BGD,1984,1.31
Bangladesh,BGD,1985,1.27
Bangladesh,BGD,1986,1.27
Bangladesh,BGD,1987,1.22
Bangladesh,BGD,1988,1.21
Bangladesh,BGD,1989,1.22
Bangladesh,BGD,1990,1.19
Bangladesh,BGD,1991,1.17
Bangladesh,BGD,1992,1.16
Bangladesh,BGD,1993,1.13
Bangladesh,BGD,1994,1.13
Bangladesh,BGD,1995,1.15
Bangladesh,BGD,1996,1.15
Bangladesh,BGD,1997,1.13
Bangladesh,BGD,1998,1.02
Bangladesh,BGD,1999,1.07
Bangladesh,BGD,2000,1.03
Bangladesh,BGD,2001,1.06
Bangladesh,BGD,2002,1.05
Bangladesh,BGD,2003,1.05
Bangladesh,BGD,2004,1.04
Bangladesh,BGD,2005,1.05
Bangladesh,BGD,2006,1.07
Bangladesh,BGD,2007,1.09
Bangladesh,BGD,2008,1.11
Bangladesh,BGD,2009,1.13
Bangladesh,BGD,2010,1.17
Bangladesh,BGD,2011,1.17
Bangladesh,BGD,2012,1.18
Barbados,BRB,1970,2.97
Barbados,BRB,1971,2.93
Barbados,BRB,1972,3.14
Barbados,BRB,1973,3.43
Barbados,BRB,1974,2.89
Barbados,BRB,1975,3.42
Barbados,BRB,1976,3.24
Barbados,BRB,1977,3.4
Barbados,BRB,1978,3.67
Barbados,BRB,1979,3.41
Barbados,BRB,1980,3.44
Barbados,BRB,1981,4.4
Barbados,BRB,1982,4.38
Barbados,BRB,1983,5.03
Barbados,BRB,1984,5.23
Barbados,BRB,1985,5.13
Barbados,BRB,1986,5.15
Barbados,BRB,1987,5.07
Barbados,BRB,1988,4.62
Barbados,BRB,1989,4.62
Barbados,BRB,1990,4.61
Barbados,BRB,1991,4.76
Barbados,BRB,1992,4.72
Barbados,BRB,1993,4.29
Barbados,BRB,1994,4.14
Barbados,BRB,1995,4.15
Barbados,BRB,1996,4.07
Barbados,BRB,1997,4.21
Barbados,BRB,1998,4.51
Barbados,BRB,1999,4.87
Barbados,BRB,2000,4.87
Barbados,BRB,2001,4.53
Barbados,BRB,2002,4.66
Barbados,BRB,2012,5.47
Belarus,BLR,1970,15.17
Belarus,BLR,1971,15.2
Belarus,BLR,1972,15.71
Belarus,BLR,1973,16.29
Belarus,BLR,1974,16.69
Belarus,BLR,1975,17.95
Belarus,BLR,1976,18.16
Belarus,BLR,1977,18.6
Belarus,BLR,1978,18.84
Belarus,BLR,1979,19.31
Belarus,BLR,1980,19.54
Belarus,BLR,1981,19.6
Belarus,BLR,1982,19.22
Belarus,BLR,1983,19.06
Belarus,BLR,1984,18.65
Belarus,BLR,1985,18.36
Belarus,BLR,1986,18.08
Belarus,BLR,1987,17.94
Belarus,BLR,1988,18.35
Belarus,BLR,1989,17.97
Belarus,BLR,1990,18.2
Belarus,BLR,1991,17.81
Belarus,BLR,1992,16.66
Belarus,BLR,1993,14.98
Belarus,BLR,1994,13.68
Belarus,BLR,1995,12.79
Belarus,BLR,1996,12.85
Belarus,BLR,1997,12.98
Belarus,BLR,1998,8.67
Belarus,BLR,1999,8.73
Belarus,BLR,2000,8.36
Belarus,BLR,2001,8.14
Belarus,BLR,2002,9.09
Belarus,BLR,2003,8.37
Belarus,BLR,2004,8.8
Belarus,BLR,2005,9.31
Belarus,BLR,2006,9.84
Belarus,BLR,2007,10.01
Belarus,BLR,2008,10.59
Belarus,BLR,2009,10.7
Belarus,BLR,2010,11.4
Belarus,BLR,2011,11.5
Belarus,BLR,2012,11.59
Belgium,BEL,1970,16.55
Belgium,BEL,1971,15.97
Belgium,BEL,1972,17.12
Belgium,BEL,1973,17.67
Belgium,BEL,1974,17.68
Belgium,BEL,1975,15.62
Belgium,BEL,1976,16.59
Belgium,BEL,1977,16.45
Belgium,BEL,1978,16.94
Belgium,BEL,1979,17.91
Belgium,BEL,1980,16.78
Belgium,BEL,1981,15.6
Belgium,BEL,1982,14.68
Belgium,BEL,1983,13.78
Belgium,BEL,1984,14.19
Belgium,BEL,1985,13.97
Belgium,BEL,1986,13.96
Belgium,BEL,1987,13.86
Belgium,BEL,1988,13.89
Belgium,BEL,1989,13.88
Belgium,BEL,1990,13.83
Belgium,BEL,1991,14.27
Belgium,BEL,1992,14.05
Belgium,BEL,1993,13.76
Belgium,BEL,1994,14.27
Belgium,BEL,1995,14.47
Belgium,BEL,1996,15.1
Belgium,BEL,1997,14.68
Belgium,BEL,1998,14.91
Belgium,BEL,1999,14.42
Belgium,BEL,2000,14.34
Belgium,BEL,2001,14.05
Belgium,BEL,2002,13.36
Belgium,BEL,2003,13.88
Belgium,BEL,2004,13.55
Belgium,BEL,2005,13.05
Belgium,BEL,2006,12.78
Belgium,BEL,2007,12.41
Belgium,BEL,2008,12.81
Belgium,BEL,2009,12.14
Belgium,BEL,2010,12.67
Belgium,BEL,2011,12.45
Belgium,BEL,2012,11.99
Belize,BLZ,1970,2.56
Belize,BLZ,1971,2.6
Belize,BLZ,1972,2.87
Belize,BLZ,1973,3.06
Belize,BLZ,1974,2.98
Belize,BLZ,1975,3.18
Belize,BLZ,1976,2.9
Belize,BLZ,1977,3.14
Belize,BLZ,1978,3.05
Belize,BLZ,1979,3.2
Belize,BLZ,1980,3.06
Belize,BLZ,1981,3.6
Belize,BLZ,1982,3.68
Belize,BLZ,1983,3.72
Belize,BLZ,1984,3.76
Belize,BLZ,1985,3.2
Belize,BLZ,1986,3.37
Belize,BLZ,1987,3.4
Belize,BLZ,1988,2.66
Belize,BLZ,1989,2.91
Belize,BLZ,1990,3.37
Belize,BLZ,1991,3.61
Belize,BLZ,1992,3.26
Belize,BLZ,1993,3.08
Belize,BLZ,1994,2.94
Belize,BLZ,1995,2.91
Belize,BLZ,1996,2.69
Belize,BLZ,1997,2.99
Belize,BLZ,1998,4.01
Belize,BLZ,1999,4.78
Belize,BLZ,2000,6.78
Belize,BLZ,2001,3.97
Belize,BLZ,2002,6.49
Belize,BLZ,2003,13.39
Belize,BLZ,2004,4.15
Belize,BLZ,2005,7.14
Belize,BLZ,2006,4.39
Belize,BLZ,2007,6.04
Belize,BLZ,2008,4.6
Belize,BLZ,2009,4.89
Belize,BLZ,2010,4.66
Belize,BLZ,2011,4.67
Belize,BLZ,2012,4.66
Benin,BEN,1970,12.09
Benin,BEN,1971,11.58
Benin,BEN,1972,11.26
Benin,BEN,1973,11.9
Benin,BEN,1974,9.27
Benin,BEN,1975,9.68
Benin,BEN,1976,9.64
Benin,BEN,1977,10.95
Benin,BEN,1978,9.19
Benin,BEN,1979,9.73
Benin,BEN,1980,11.62
Benin,BEN,1981,9.54
Benin,BEN,1982,10.68
Benin,BEN,1983,9.74
Benin,BEN,1984,9.44
Benin,BEN,1985,8.44
Benin,BEN,1986,8.23
Benin,BEN,1987,8.32
Benin,BEN,1988,7.51
Benin,BEN,1989,7.87
Benin,BEN,1990,9.48
Benin,BEN,1991,7.41
Benin,BEN,1992,8.26
Benin,BEN,1993,7.46
Benin,BEN,1994,7.21
Benin,BEN,1995,7.67
Benin,BEN,1996,7.4
Benin,BEN,1997,7.36
Benin,BEN,1998,7.65
Benin,BEN,1999,6.53
Benin,BEN,2000,5.86
Benin,BEN,2001,4.67
Benin,BEN,2002,6.55
Benin,BEN,2003,4.9
Benin,BEN,2004,4.09
Benin,BEN,2005,6.09
Benin,BEN,2006,4.43
Benin,BEN,2007,4.72
Benin,BEN,2008,4.33
Benin,BEN,2009,4.26
Benin,BEN,2010,3.59
Benin,BEN,2011,3.52
Benin,BEN,2012,3.45
Bermuda,BMU,1970,6.35
Bermuda,BMU,1971,6.41
Bermuda,BMU,1972,8.55
Bermuda,BMU,1973,8.78
Bermuda,BMU,1975,10.42
Bermuda,BMU,1977,9.63
Bermuda,BMU,1978,8.99
Bermuda,BMU,1980,8.61
Bermuda,BMU,1981,13.46
Bermuda,BMU,1982,13.99
Bermuda,BMU,1983,18.17
Bermuda,BMU,1984,17.21
