Entity,Code,Year,Paid work (minutes),Education (minutes),Commuting (minutes),Shopping (minutes),Food preparation (minutes),Leisure (minutes),Elderly care,Voluntary work
Netherlands,NLD,2005,228.49644,75.627197,34.786892,34.960922,35.455463,66.706879,21.160044,25.967518
Norway,NOR,1971,226.68726,139.24632,26.509335,31.713821,68.028259,67.445061,,87.017639
Norway,NOR,1972,226.02174,122.1532,28.283478,28.453737,61.426281,75.694351,,80.90213
Norway,NOR,1980,234.81166,122.85405,27.063347,33.305271,52.33366,88.838135,,82.472824
Norway,NOR,1981,230.47482,131.81624,26.392881,31.796671,47.628635,82.680511,,71.457108
Norway,NOR,1982,265.02316,75.776428,23.558868,30.625401,50.94175,94.497612,,66.354408
Norway,NOR,1990,237.91377,131.82161,28.489483,25.43129,37.920826,80.197678,,79.974686
Norway,NOR,1991,240.77658,147.25186,28.339149,25.17951,37.64241,76.867462,,82.254692
Norway,NOR,2000,246.26859,162.81862,29.02565,23.989098,32.613823,81.358231,,69.880058
Norway,NOR,2001,251.82387,184.65552,30.449366,22.624149,31.243633,73.710838,,73.813568
Slovenia,SVN,1965,223.38118,139.01239,23.668995,24.017231,77.490158,53.554543,,62.261982
Slovenia,SVN,2000,282.82138,122.52842,34.131264,29.101397,53.716938,64.689926,,65.737328
Slovenia,SVN,2001,282.18155,134.0484,32.746681,29.43956,51.406464,64.670761,,59.455936
South Africa,ZAF,2000,179.32599,124.30932,36.422497,34.776085,46.775829,71.174332,27.864624,66.070961
South Korea,KOR,2009,249.48087,144.81583,42.470013,27.501703,48.223606,27.390055,19.463144,15.144948
Spain,ESP,1992,239.69389,112.34924,34.242046,31.254938,48.668709,51.468269,32.235909,49.747463
Spain,ESP,1993,235.52142,114.54271,34.331703,30.185596,49.065353,45.613499,22.950878,47.150711
Spain,ESP,1997,250.93896,126.73119,35.157257,29.685728,39.021313,40.776211,83.66481,54.946068
Spain,ESP,1998,256.54163,128.68954,37.936962,23.617956,36.573055,41.175968,55.097397,108.78156
Spain,ESP,2002,229.57422,116.43858,32.156452,31.17827,47.954987,45.350685,40.680782,42.588982
Spain,ESP,2003,227.08102,120.0184,30.742908,30.34269,45.717285,43.295254,40.043816,48.457558
Spain,ESP,2008,269.63483,124.46782,28.791824,27.582869,30.749735,33.713192,52.698071,66.484604
Spain,ESP,2009,228.63934,114.20266,30.536684,31.632061,45.72242,44.192451,59.149658,20.818529
Spain,ESP,2010,228.04842,113.94678,30.564192,30.495848,41.413273,45.480057,60.745205,25.06867
United Kingdom,GBR,1961,208.40305,47.944653,28.463585,45.848728,61.925213,85.659355,,67.221809
United Kingdom,GBR,1974,216.3656,68.328423,25.705002,40.575108,54.955185,65.374542,,73.97155
United Kingdom,GBR,1975,211.97064,80.011383,26.280924,39.301376,54.463276,66.285095,,68.906685
United Kingdom,GBR,1983,190.83347,111.41492,27.837158,40.678947,44.410675,65.81826,22.987915,45.659069
United Kingdom,GBR,1984,191.92741,84.761261,27.484026,36.71629,45.293556,66.193771,29.744467,35.685925
United Kingdom,GBR,1987,213.41328,91.120506,26.323195,35.857899,37.212379,64.021225,34.871159,36.013729
United Kingdom,GBR,1995,227.01866,81.200027,32.41032,46.358318,34.845718,80.524162,39.707954,77.422226
United Kingdom,GBR,2000,270.27179,110.56407,36.97039,34.250774,34.122066,55.36367,23.185535,34.546005
United Kingdom,GBR,2001,270.74924,122.16767,35.11657,33.160694,33.33263,54.65432,27.135828,34.264946
United Kingdom,GBR,2005,218.85388,99.084099,29.989933,42.235313,26.631165,88.496613,50.187397,71.640846
United States,USA,1965,291.76236,43.665951,31.135921,36.015739,55.112595,54.612968,27.46674,69.170006
United States,USA,1966,257.89526,31.86801,23.307131,38.073441,52.578369,65.983246,30.558655,64.816551
United States,USA,1975,251.30127,118.71117,27.001144,32.687214,43.160938,56.966351,32.496952,60.833466
United States,USA,1976,263.73392,100.50498,27.074476,31.097607,40.350582,62.261791,34.875759,60.911804
United States,USA,1985,217.40706,99.809166,26.986631,32.752789,34.998905,52.057446,31.476786,37.425789
United States,USA,1992,214.51845,89.109413,23.793758,37.811375,24.169308,64.824272,19.465382,72.315613
United States,USA,1993,203.59541,125.1664,22.482685,36.667236,23.996229,62.957478,23.166002,60.281418
United States,USA,1994,215.54282,116.90368,22.741516,33.167534,23.064854,57.115005,18.082375,55.329811
United States,USA,1995,213.69524,108.00018,26.822514,32.165649,25.279274,63.189728,37.37508,67.72332
United States,USA,1998,209.60461,159.53793,25.464993,31.858572,27.681622,55.309402,18.099333,64.624901
United States,USA,1999,219.56017,108.54375,25.188322,43.368378,27.621864,51.84671,23.475922,77.877686
United States,USA,2000,229.21864,83.030861,32.254539,36.003128,32.922722,48.095879,25.677755,50.893017
United States,USA,2003,255.74731,138.12749,24.566692,29.732679,26.92251,51.903088,30.085424,54.701511
United States,USA,2004,255.95024,124.24999,26.380596,30.443426,26.68689,51.695038,32.774796,52.838898
United States,USA,2005,259.02554,117.48721,27.423521,29.363091,27.058422,52.079979,29.105042,52.121773
United States,USA,2006,258.19614,118.44545,26.800381,30.707226,27.710667,52.791454,26.711765,52.567162
United States,USA,2007,253.53226,134.91327,24.712482,29.429699,26.85449,51.712585,26.223892,55.634781
United States,USA,2008,254.72623,161.57043,26.740097,27.499649,25.703979,50.321709,28.07391,50.404968
United States,USA,2009,246.14156,139.37451,27.075699,28.514925,26.238222,51.435089,26.847504,54.272934
United States,USA,2010,240.80031,131.62921,26.20302,29.060171,27.170511,54.262741,28.877686,54.731606
United States,USA,2011,244.97659,136.0968,25.962555,27.43705,26.81966,53.420425,29.186577,61.089001
United States,USA,2012,246.41943,154.60033,26.566502,27.295803,25.838902,53.147343,25.201395,51.129677
