Entity,Code,Year,Onshore wind LCOE (2016 $/kWh)
United Kingdom,GBR,1990,0.238452286
United Kingdom,GBR,1991,0.225247339
United Kingdom,GBR,1992,0.209610418
United Kingdom,GBR,1993,0.202227328
United Kingdom,GBR,1994,0.201994283
United Kingdom,GBR,1995,0.18837211
United Kingdom,GBR,1996,0.191800909
United Kingdom,GBR,1997,0.177292193
United Kingdom,GBR,1998,0.161375506
United Kingdom,GBR,1999,0.15224639
United Kingdom,GBR,2000,0.132804218
United Kingdom,GBR,2001,0.114072269
United Kingdom,GBR,2002,0.117517566
United Kingdom,GBR,2003,0.121074925
United Kingdom,GBR,2004,0.134083202
United Kingdom,GBR,2005,0.120392212
United Kingdom,GBR,2006,0.120466508
United Kingdom,GBR,2007,0.114158809
United Kingdom,GBR,2008,0.118093503
United Kingdom,GBR,2009,0.112663503
United Kingdom,GBR,2010,0.087534354
United Kingdom,GBR,2011,0.084902193
United Kingdom,GBR,2012,0.081457285
United Kingdom,GBR,2013,0.082946837
United Kingdom,GBR,2014,0.081527251
United Kingdom,GBR,2015,0.077672426
United Kingdom,GBR,2016,0.078878602
United States,USA,1983,0.441379876
United States,USA,1984,0.391525869
United States,USA,1985,0.367458417
United States,USA,1986,0.326629704
United States,USA,1987,0.318463961
United States,USA,1988,0.235336702
United States,USA,1989,0.215758353
United States,USA,1990,0.244118302
United States,USA,1991,0.235173387
United States,USA,1998,0.10641509
United States,USA,1999,0.101094335
United States,USA,2000,0.085471605
United States,USA,2001,0.080855077
United States,USA,2002,0.075670539
United States,USA,2003,0.06405881
United States,USA,2004,0.075954326
United States,USA,2005,0.070647193
United States,USA,2006,0.075591462
United States,USA,2007,0.076988917
United States,USA,2008,0.080864898
United States,USA,2009,0.096025617
United States,USA,2010,0.088260651
United States,USA,2011,0.086870426
United States,USA,2012,0.076116698
United States,USA,2013,0.063308478
United States,USA,2014,0.053584899
United States,USA,2015,0.051101221
United States,USA,2016,0.048718035
World,OWID_WRL,1983,0.4
World,OWID_WRL,1984,0.39
World,OWID_WRL,1985,0.36
World,OWID_WRL,1986,0.31
World,OWID_WRL,1987,0.3
World,OWID_WRL,1988,0.24
World,OWID_WRL,1989,0.22
World,OWID_WRL,1990,0.24
World,OWID_WRL,1991,0.22
World,OWID_WRL,1992,0.21
World,OWID_WRL,1993,0.22
World,OWID_WRL,1994,0.21
World,OWID_WRL,1995,0.21
World,OWID_WRL,1996,0.19
World,OWID_WRL,1997,0.16
World,OWID_WRL,1998,0.14
World,OWID_WRL,1999,0.13
World,OWID_WRL,2000,0.14
World,OWID_WRL,2001,0.13
World,OWID_WRL,2002,0.12
World,OWID_WRL,2003,0.1
World,OWID_WRL,2004,0.11
World,OWID_WRL,2005,0.1
World,OWID_WRL,2006,0.1
World,OWID_WRL,2007,0.09
World,OWID_WRL,2008,0.09
World,OWID_WRL,2009,0.1
World,OWID_WRL,2010,0.08
World,OWID_WRL,2011,0.08
World,OWID_WRL,2012,0.08
World,OWID_WRL,2013,0.07
World,OWID_WRL,2014,0.07
World,OWID_WRL,2015,0.06
World,OWID_WRL,2016,0.06
World,OWID_WRL,2017,0.05
