Entity,Code,Year, (£)
England,,1651,5482481142
England,,1652,6269976290
England,,1653,6993810883
England,,1654,6839155719
England,,1655,7235523185
England,,1656,6689486279
England,,1657,6301410604
England,,1658,6122779727
England,,1659,5131504932
England,,1660,5597780588
England,,1661,5748632094
England,,1662,5857102955
England,,1663,6847992215
England,,1664,6483643983
England,,1665,6686250043
England,,1666,7549857567
England,,1667,7583955849
England,,1668,6830057274
England,,1669,7001628433
England,,1670,6792868546
England,,1671,6535914520
England,,1672,6466246462
England,,1673,6634674754
England,,1674,6334266755
England,,1675,6499879286
England,,1676,7681116018
England,,1677,7126235823
England,,1678,7410243944
England,,1679,6897502506
England,,1680,7717831196
England,,1681,6924089903
England,,1682,7214386573
England,,1683,7779459967
England,,1684,6506465303
England,,1685,7153744168
England,,1686,6639729850
England,,1687,7303835318
England,,1688,7803697536
England,,1689,7617198556
England,,1690,8131529536
England,,1691,8269532616
England,,1692,8944702089
England,,1693,7610219419
England,,1694,9039457825
England,,1695,8647532773
England,,1696,8281232872
England,,1697,8222194555
England,,1698,8461698950
England,,1699,8158120424
England,,1700,8860700777
England,,1701,9655688010
England,,1702,9406659972
England,,1703,8803817086
England,,1704,10480959730
England,,1705,9947717508
England,,1706,8424168121
England,,1707,9464493313
England,,1708,10074147750
England,,1709,8727592402
England,,1710,7934802758
England,,1711,8651500900
England,,1712,8643535787
England,,1713,8272498957
England,,1714,9099808542
England,,1715,8844438746
England,,1716,9179009825
England,,1717,9696528242
England,,1718,10244106138
England,,1719,10063633168
England,,1720,10705517697
England,,1721,10287872741
England,,1722,10397587530
England,,1723,10147817072
England,,1724,10046501843
England,,1725,10308610755
England,,1726,9990396484
England,,1727,9929779861
England,,1728,10232779357
England,,1729,9664106401
England,,1730,9885302220
England,,1731,9728261931
England,,1732,10374617191
England,,1733,10604620463
England,,1734,10566322445
England,,1735,10315645074
England,,1736,11082410813
England,,1737,10488856101
England,,1738,10684805882
England,,1739,10613413066
England,,1740,10435112408
England,,1741,10739809376
England,,1742,10987069665
England,,1743,10728665301
England,,1744,10578701361
England,,1745,10734551333
England,,1746,11071769873
England,,1747,11576280944
England,,1748,11452424717
England,,1749,11384485398
England,,1750,11549500945
England,,1751,11299616979
England,,1752,11856149706
England,,1753,11961369932
England,,1754,11626236893
England,,1755,11978621821
England,,1756,11775684414
England,,1757,12453947810
England,,1758,12627183544
England,,1759,12826933951
England,,1760,13199688918
England,,1761,13725123411
England,,1762,13343338129
England,,1763,13299527066
England,,1764,13293871969
England,,1765,13186082561
England,,1766,13362233893
England,,1767,13454267296
England,,1768,13578186867
England,,1769,14345478441
England,,1770,13953523461
England,,1771,14214193994
England,,1772,13851092922
England,,1773,14098060679
England,,1774,13784455507
England,,1775,14224864895
England,,1776,14685615979
England,,1777,15110437189
England,,1778,15005046265
England,,1779,14963974841
England,,1780,15647620494
England,,1781,16093382113
England,,1782,15933040394
England,,1783,15851028719
England,,1784,15913562970
England,,1785,15802656661
England,,1786,16079073255
England,,1787,15811396875
England,,1788,15775182426
England,,1789,16128235353
England,,1790,17352272796
England,,1791,17426605650
England,,1792,18126929658
England,,1793,17832994458
England,,1794,17255845454
England,,1795,19130148703
England,,1796,19473453813
England,,1797,19332113946
England,,1798,19517920706
England,,1799,20030876088
England,,1800,21007178588
England,,1801,21196036815
England,,1802,21441918082
England,,1803,20993073853
England,,1804,20973947056
England,,1805,22246368979
England,,1806,22160222781
England,,1807,23607752961
England,,1808,22508026958
England,,1809,23215248042
England,,1810,24711200548
England,,1811,24455359631
England,,1812,23448482152
England,,1813,24721678732
England,,1814,24174837326
England,,1815,26756515034
England,,1816,25355173198
England,,1817,25781116623
England,,1818,25755720294
England,,1819,25333256923
England,,1820,27390744800
England,,1821,27858062794
England,,1822,28396209839
England,,1823,29232962515
England,,1824,30835936189
England,,1825,31531819491
England,,1826,29848046041
England,,1827,32147258447
England,,1828,32245916835
England,,1829,32519411547
England,,1830,33977127469
England,,1831,35067176958
England,,1832,35213656981
England,,1833,35652371221
England,,1834,36939773424
England,,1835,39260449435
England,,1836,40196618135
England,,1837,39908262844
England,,1838,41865086211
England,,1839,42843751673
England,,1840,43014429631
England,,1841,41708006066
England,,1842,41400131933
England,,1843,42865516759
England,,1844,46062189337
England,,1845,48272726416
England,,1846,50688216803
England,,1847,49979658649
England,,1848,51494771221
England,,1849,52159100046
England,,1850,51526482583
England,,1851,53893993618
England,,1852,55609306435
England,,1853,57530243926
England,,1854,59762057365
England,,1855,59413095796
England,,1856,62294468268
England,,1857,62632054128
England,,1858,62362011963
England,,1859,65041875232
England,,1860,66377728439
England,,1861,67645836412
England,,1862,66904354989
England,,1863,70495916709
England,,1864,71328030033
England,,1865,74757026831
England,,1866,75614780017
England,,1867,76047076772
England,,1868,79037817852
England,,1869,80780697013
England,,1870,87553220374
England,,1871,92367328990
England,,1872,92476263104
England,,1873,92934774295
England,,1874,96998365446
England,,1875,97770597092
England,,1876,98093945020
England,,1877,98937436938
England,,1878,99274347875
England,,1879,97298555129
England,,1880,104988759770
England,,1881,107694236471
England,,1882,109563910103
England,,1883,113094732747
England,,1884,111823995228
England,,1885,110492126330
England,,1886,110923079821
England,,1887,115760343251
England,,1888,119893274906
England,,1889,123775976599
England,,1890,124944698962
England,,1891,128750368564
England,,1892,125264607058
England,,1893,123949488176
England,,1894,130418674603
England,,1895,134634538516
England,,1896,140223054932
England,,1897,141821108963
England,,1898,149038282848
England,,1899,154848901754
England,,1900,154325196736
England,,1901,158356767952
England,,1902,160587107729
England,,1903,158696991015
England,,1904,160929983900
England,,1905,166444537144
England,,1906,170455212634
England,,1907,174467319690
England,,1908,167357421574
England,,1909,171888090894
England,,1910,176790507600
England,,1911,183040847312
England,,1912,186108461428
England,,1913,194715605890
England,,1914,199290915260
England,,1915,212022126008
England,,1916,216187856209
England,,1917,218003751710
England,,1918,222765845576
England,,1919,200732290677
England,,1920,185286377716
England,,1921,166492227012
England,,1922,176904498870
England,,1923,182423002955
England,,1924,191377556753
England,,1925,198405840257
England,,1926,191950231705
England,,1927,207620700852
England,,1928,209338725708
England,,1929,215534027464
England,,1930,213607757170
England,,1931,202987239875
England,,1932,203872282983
England,,1933,210588198331
England,,1934,223655599513
England,,1935,231881294281
England,,1936,243282731966
England,,1937,251716672171
England,,1938,253382635668
England,,1939,265148502868
England,,1940,295083784460
England,,1941,322363936729
England,,1942,328923667999
England,,1943,334806601599
England,,1944,318563457500
England,,1945,301643515731
England,,1946,292793084651
England,,1947,288940544064
England,,1948,299509000000
England,,1949,310671000000
England,,1950,320464000000
England,,1951,331648000000
England,,1952,338373000000
England,,1953,357566000000
England,,1954,373614000000
England,,1955,387108000000
England,,1956,394376000000
England,,1957,402797000000
England,,1958,406918000000
England,,1959,422319000000
England,,1960,450306000000
England,,1961,463124000000
England,,1962,469020000000
England,,1963,493612000000
England,,1964,521278000000
England,,1965,534185000000
England,,1966,541616000000
England,,1967,554064000000
England,,1968,585261000000
England,,1969,596905000000
England,,1970,612620000000
England,,1971,635811000000
England,,1972,663487000000
England,,1973,708711000000
England,,1974,692700000000
England,,1975,682698000000
England,,1976,701255000000
England,,1977,717440000000
England,,1978,744171000000
England,,1979,768885000000
England,,1980,753463000000
England,,1981,749574000000
England,,1982,766837000000
England,,1983,798963000000
England,,1984,814588000000
England,,1985,850472000000
England,,1986,874906000000
England,,1987,921096000000
England,,1988,973504000000
England,,1989,999421000000
England,,1990,1008975000000
England,,1991,1001702000000
England,,1992,1006832000000
England,,1993,1032585000000
England,,1994,1070171000000
England,,1995,1093489000000
England,,1996,1119779000000
England,,1997,1152278000000
England,,1998,1191098000000
England,,1999,1231936000000
England,,2000,1278830000000
England,,2001,1310431000000
England,,2002,1338365000000
England,,2003,1385736000000
England,,2004,1418069000000
England,,2005,1464210000000
England,,2006,1500097000000
England,,2007,1538059000000
England,,2008,1531690000000
England,,2009,1463182000000
England,,2010,1494588000000
England,,2011,1514583000000
England,,2012,1530435000000
England,,2013,1551553000000
England,,2014,1604169000000
England,,2015,1642802000000
England,,2016,1672084000000
