Entity,Code,Year,Mean (Real 2011 international dollars),Median (Real 2011 international dollars)
Ireland,IRL,1996,19924.55859,16669.92773
Ireland,IRL,2000,24626.69141,21902.79883
Ireland,IRL,2004,28788.56055,24802.60352
Ireland,IRL,2007,31338.89648,27463.23438
Ireland,IRL,2010,26558.82813,23355.78516
Israel,ISR,1986,13913.24219,11942.36328
Israel,ISR,1992,16456.30664,14029.53223
Israel,ISR,1997,16837.05273,14200.82813
Israel,ISR,2001,19063.62305,15785.66016
Israel,ISR,2005,18898.93164,15528.57031
Israel,ISR,2007,20362.33008,16816.67773
Israel,ISR,2010,21393.92578,17422.83789
Italy,ITA,1986,17968.12695,15451.83105
Italy,ITA,1987,19542.53711,16342.9082
Italy,ITA,1989,21380.51563,18377.43359
Italy,ITA,1991,21370.42773,19037.88477
Italy,ITA,1993,20461.64063,17470.05664
Italy,ITA,1995,20013.37891,17075.89648
Italy,ITA,1998,21247.83594,17860.7207
Italy,ITA,2000,21374.04102,18135.72266
Italy,ITA,2004,22512.66406,18741.75586
Italy,ITA,2008,22767.69727,19426.04102
Italy,ITA,2010,21868.32031,18821.36523
Luxembourg,LUX,1985,19299.83984,17500.76563
Luxembourg,LUX,1991,29753.80273,27301.3418
Luxembourg,LUX,1994,31819.2207,29202.77734
Luxembourg,LUX,1997,32671.23828,29042.0332
Luxembourg,LUX,2000,35255.39063,30997.49805
Luxembourg,LUX,2004,39938.82813,35500.31641
Luxembourg,LUX,2007,40299.64063,35410.19531
Luxembourg,LUX,2010,39513.8125,34976.94922
Netherlands,NLD,1993,22172.97461,20505.32422
Netherlands,NLD,1999,25672.23633,23875.96875
Netherlands,NLD,2004,26506.40234,23678.41797
Netherlands,NLD,2007,29882.12305,26049.07422
Netherlands,NLD,2010,28830.89844,25694.9375
Norway,NOR,1979,16319.76367,15436.02246
Norway,NOR,1986,21869.69531,20476.08203
Norway,NOR,1991,22601.67969,21196.88477
Norway,NOR,1995,22407.94531,21050.77734
Norway,NOR,2000,27191.37305,24688.30078
Norway,NOR,2004,30211.38281,26695.58008
Norway,NOR,2007,32886.74219,30744.78516
Norway,NOR,2010,34423.02734,32047.63281
Poland,POL,1992,10523.44043,9312.110352
Poland,POL,1995,8318.711914,7203.181641
Poland,POL,1999,10038.48438,8864.121094
Poland,POL,2004,10204.95703,8707.246094
Poland,POL,2007,12345.96777,10448.6543
Poland,POL,2010,14457.74902,12308.84082
Slovakia,SVK,1992,10728.68848,10099.39355
Slovakia,SVK,1996,10795.74023,9989.507813
Slovakia,SVK,2004,11825.53613,10618.68457
Slovakia,SVK,2007,15102.40723,13934.94531
Slovakia,SVK,2010,16632.21289,15026.95996
Slovenia,SVN,1997,16134.20703,15279.69629
Slovenia,SVN,1999,16264.55273,15388.5
Slovenia,SVN,2004,18216.33008,17038.40234
Slovenia,SVN,2007,19651.73242,18564.53711
Slovenia,SVN,2010,20791.20313,19658.53125
Spain,ESP,1980,13125.11621,11293.42383
Spain,ESP,1985,12672.29199,10757.18359
Spain,ESP,1990,16094.36426,13856.70996
Spain,ESP,1995,18979.64648,15347.25879
Spain,ESP,2000,22972.00781,19460.4375
Spain,ESP,2004,21600.10742,18997.5918
Spain,ESP,2007,23587.61328,21112.76953
Spain,ESP,2010,21506.59766,18762.67773
Sweden,SWE,1981,14576.13965,14068.57324
Sweden,SWE,1987,15609.79785,15155.11523
Sweden,SWE,1992,18576.83398,17576.47656
Sweden,SWE,1995,17360.05859,16460.2207
Sweden,SWE,2000,21086.77539,19180.42773
Sweden,SWE,2005,23750.11719,22062.93359
Switzerland,CHE,2000,33827.4375,29442.13867
Switzerland,CHE,2002,35122.01563,31302.70313
Switzerland,CHE,2004,33317.19141,30148.96875
United Kingdom,GBR,1979,14530.37109,13197.68652
United Kingdom,GBR,1986,15130.69043,13255.01465
United Kingdom,GBR,1991,18348.18359,15483.90918
United Kingdom,GBR,1994,19587.38281,15977.15137
United Kingdom,GBR,1995,18789.58789,15714.65039
United Kingdom,GBR,1999,22244.70313,18178.52734
United Kingdom,GBR,2004,26822.95898,21573.95117
United Kingdom,GBR,2007,27956.34766,23071.14453
United Kingdom,GBR,2010,27416.87695,22481.65625
United States,USA,1979,29635.83398,26674.17578
United States,USA,1986,30822.99805,26977.3457
United States,USA,1991,31254.04883,27040.11914
United States,USA,1994,32610.49414,26895.59766
United States,USA,1997,34384.80078,28303.38477
United States,USA,2000,36644.08594,30351.37305
United States,USA,2004,37053.29297,30618.77734
United States,USA,2007,37840.91797,31040.31445
United States,USA,2010,36404.79297,30067.48633
United States,USA,2013,36720.47266,29783.57813
