Entity,Code,Year,"Indicator:Alcohol, consumption of pure alcohol by type of beverage (%) - Beverage Types:Spirits (% total alcohol consumption)"
Mauritius,MUS,2010,21.3
Mexico,MEX,2010,22.2
Micronesia (country),FSM,2010,38.9
Moldova,MDA,2010,64.5
Mongolia,MNG,2010,69.6
Montenegro,MNE,2010,41.7
Morocco,MAR,2010,19.9
Mozambique,MOZ,2010,25.4
Myanmar,MMR,2010,11.8
Namibia,NAM,2010,0.9
Nauru,NRU,2010,0
Nepal,NPL,2010,51.4
Netherlands,NLD,2010,16.9
New Zealand,NZL,2010,15.2
Nicaragua,NIC,2010,60.6
Niger,NER,2010,40.7
Nigeria,NGA,2010,0.9
Niue,NIU,2010,51.3
Norway,NOR,2010,19
Oman,OMN,2010,42.2
Palau,PLW,2010,16.4
Panama,PAN,2010,26
Papua New Guinea,PNG,2010,47.7
Paraguay,PRY,2010,28.8
Peru,PER,2010,47.1
Philippines,PHL,2010,72.7
Poland,POL,2010,35.5
Portugal,PRT,2010,10.9
Qatar,QAT,2010,84.6
Romania,ROU,2010,21.1
Russia,RUS,2010,51
Rwanda,RWA,2010,0.4
Saint Kitts and Nevis,KNA,2010,48
Saint Lucia,LCA,2010,56.1
Saint Vincent and the Grenadines,VCT,2010,63.1
Samoa,WSM,2010,12.5
Sao Tome and Principe,STP,2010,16.3
Saudi Arabia,SAU,2010,97.9
Senegal,SEN,2010,3.6
Serbia,SRB,2010,24.6
Seychelles,SYC,2010,10.8
Sierra Leone,SLE,2010,0.7
Singapore,SGP,2010,14.7
Slovakia,SVK,2010,46.2
Slovenia,SVN,2010,8.6
Solomon Islands,SLB,2010,16.7
South Africa,ZAF,2010,16.7
South Korea,KOR,2010,3
Spain,ESP,2010,28.2
Sri Lanka,LKA,2010,85.2
Sudan,SDN,2010,13.5
Suriname,SUR,2010,57.2
Swaziland,SWZ,2010,0.7
Sweden,SWE,2010,15.1
Switzerland,CHE,2010,17.6
Syria,SYR,2010,63.5
Tajikistan,TJK,2010,88.7
Tanzania,TZA,2010,1.8
Thailand,THA,2010,72.6
Timor,TLS,2010,14.8
Togo,TGO,2010,2.4
Tonga,TON,2010,34.3
Trinidad and Tobago,TTO,2010,43.8
Tunisia,TUN,2010,3.7
Turkey,TUR,2010,27.9
Turkmenistan,TKM,2010,58.4
Tuvalu,TUV,2010,74.5
Uganda,UGA,2010,1.9
Ukraine,UKR,2010,48
United Arab Emirates,ARE,2010,86.7
United Kingdom,GBR,2010,21.8
United States,USA,2010,32.7
Uruguay,URY,2010,9.5
Uzbekistan,UZB,2010,75.4
Vanuatu,VUT,2010,36.7
Venezuela,VEN,2010,23.4
Vietnam,VNM,2010,2.1
Yemen,YEM,2010,0
Zambia,ZMB,2010,13.6
Zimbabwe,ZWE,2010,6.8
