Entity,Code,Year,Change in male height (cm) (centimeters)
Tonga,TON,1996,6.3459455
Trinidad and Tobago,TTO,1996,9.8350379
Tunisia,TUN,1996,9.8807289
Turkey,TUR,1996,13.8874943
Turkmenistan,TKM,1996,10.270118
Tuvalu,TUV,1996,4.2843408
Uganda,UGA,1996,3.4466716
Ukraine,UKR,1996,10.756056
United Arab Emirates,ARE,1996,11.1510719
United Kingdom,GBR,1996,10.6179026
United States,USA,1996,6.0511236
Uruguay,URY,1996,9.6229388
Uzbekistan,UZB,1996,8.2990198
Vanuatu,VUT,1996,4.5057353
Venezuela,VEN,1996,11.6324095
Vietnam,VNM,1996,9.1477168
World,OWID_WRL,1996,8.797910708
Yemen,YEM,1996,5.3825676
Zambia,ZMB,1996,4.3092163
Zimbabwe,ZWE,1996,3.8090071
