Entity,Code,Year,Fossil fuels (%)
Romania,ROU,2004,1.3508454670966952
Romania,ROU,2005,-2.341220480113171
Romania,ROU,2006,3.854795929273358
Romania,ROU,2007,-3.726924829403122
Romania,ROU,2008,-2.8853156756706633
Romania,ROU,2009,-14.246611506557983
Romania,ROU,2010,-2.834577534592808
Romania,ROU,2011,6.709759052804554
Romania,ROU,2012,-3.2210781461399773
Romania,ROU,2013,-12.468052785001104
Romania,ROU,2014,0.7196633947739395
Romania,ROU,2015,-0.7437438958651343
Romania,ROU,2016,-0.15684513164140323
Romania,ROU,2017,4.475110040097863
Romania,ROU,2018,-1.433144258083574
Russia,RUS,1986,1.5787531296615809
Russia,RUS,1987,3.000280350239848
Russia,RUS,1988,1.6451502788413563
Russia,RUS,1989,0.39513528806169873
Russia,RUS,1990,-1.5948552370750213
Russia,RUS,1991,-1.5773898638157258
Russia,RUS,1992,-4.2227314005533145
Russia,RUS,1993,-7.471277549100897
Russia,RUS,1994,-8.988071231095418
Russia,RUS,1995,-6.024364587270781
Russia,RUS,1996,-3.636720753064604
Russia,RUS,1997,-6.166926481174794
Russia,RUS,1998,-0.042391605781733066
Russia,RUS,1999,0.5000268378336115
Russia,RUS,2000,1.4651522218898094
Russia,RUS,2001,1.152007460794957
Russia,RUS,2002,-0.04844112090257591
Russia,RUS,2003,2.3281045789868227
Russia,RUS,2004,0.4287569322084961
Russia,RUS,2005,-0.10943933452427501
Russia,RUS,2006,4.666658345360775
Russia,RUS,2007,0.4738429910888575
Russia,RUS,2008,0.939278239509389
Russia,RUS,2009,-5.913936715963731
Russia,RUS,2010,4.646302691316184
Russia,RUS,2011,3.8225121026698616
Russia,RUS,2012,0.14723164209187178
Russia,RUS,2013,-1.8224329914349968
Russia,RUS,2014,0.44152229663696474
Russia,RUS,2015,-2.479934978040421
Russia,RUS,2016,1.871143899464589
Russia,RUS,2017,0.3507144815420027
Russia,RUS,2018,4.1292238542967485
Saudi Arabia,SAU,1966,1.3532580964981111
Saudi Arabia,SAU,1967,1.444810317080436
Saudi Arabia,SAU,1968,1.5523999669863953
Saudi Arabia,SAU,1969,1.688153593653574
Saudi Arabia,SAU,1970,5.284201311919801
Saudi Arabia,SAU,1971,0.15843153761896378
Saudi Arabia,SAU,1972,7.177814625212786
Saudi Arabia,SAU,1973,6.6737599347016285
Saudi Arabia,SAU,1974,6.0974733226804245
Saudi Arabia,SAU,1975,-20.69583106106173
Saudi Arabia,SAU,1976,15.609776055782753
Saudi Arabia,SAU,1977,18.09058493732678
Saudi Arabia,SAU,1978,11.445203489776068
Saudi Arabia,SAU,1979,21.15234854386545
Saudi Arabia,SAU,1980,-10.046616598598323
Saudi Arabia,SAU,1981,19.364711031736448
Saudi Arabia,SAU,1982,10.157646173041934
Saudi Arabia,SAU,1983,8.299655973255039
Saudi Arabia,SAU,1984,19.617832615403863
Saudi Arabia,SAU,1985,2.0163260578966113
Saudi Arabia,SAU,1986,7.526613265355708
Saudi Arabia,SAU,1987,5.999845156641248
Saudi Arabia,SAU,1988,4.633181748940829
Saudi Arabia,SAU,1989,-1.5775603367803814
Saudi Arabia,SAU,1990,8.381427711543932
Saudi Arabia,SAU,1991,4.75200440198329
Saudi Arabia,SAU,1992,0.9567503808680433
Saudi Arabia,SAU,1993,2.1485725431563463
Saudi Arabia,SAU,1994,15.627023455384293
Saudi Arabia,SAU,1995,-2.5504549738863624
Saudi Arabia,SAU,1996,3.4134347365817552
Saudi Arabia,SAU,1997,1.8588782463831999
Saudi Arabia,SAU,1998,5.232013349018927
