Entity,Code,Year,CO₂ concentration (parts per million)
World,OWID_WRL,"761,152 BCE",214
World,OWID_WRL,"760,216 BCE",214.69
World,OWID_WRL,"759,914 BCE",216.64
World,OWID_WRL,"758,990 BCE",222.71
World,OWID_WRL,"758,566 BCE",225.62
World,OWID_WRL,"758,158 BCE",225.37
World,OWID_WRL,"757,928 BCE",223.02
World,OWID_WRL,"757,612 BCE",226.94
World,OWID_WRL,"757,186 BCE",222.72
World,OWID_WRL,"756,412 BCE",218.35
World,OWID_WRL,"755,835 BCE",213.61
World,OWID_WRL,"754,901 BCE",209.45
World,OWID_WRL,"754,616 BCE",208.1
World,OWID_WRL,"753,637 BCE",203.3
World,OWID_WRL,"753,165 BCE",199.05
World,OWID_WRL,"751,985 BCE",203.9
World,OWID_WRL,"751,539 BCE",195.43
World,OWID_WRL,"750,616 BCE",197.5
World,OWID_WRL,"750,024 BCE",193.55
World,OWID_WRL,"749,086 BCE",191.3
World,OWID_WRL,"748,756 BCE",192.08
World,OWID_WRL,"747,864 BCE",190.17
World,OWID_WRL,"747,313 BCE",188.68
World,OWID_WRL,"746,387 BCE",187.54
World,OWID_WRL,"745,990 BCE",187.95
World,OWID_WRL,"745,227 BCE",187.92
World,OWID_WRL,"744,670 BCE",190.24
World,OWID_WRL,"743,721 BCE",187.29
World,OWID_WRL,"742,573 BCE",188.97
World,OWID_WRL,"742,009 BCE",188.18
World,OWID_WRL,"741,112 BCE",187.33
World,OWID_WRL,"740,695 BCE",188.65
World,OWID_WRL,"739,924 BCE",189.14
World,OWID_WRL,"739,380 BCE",184.77
World,OWID_WRL,"738,511 BCE",183.39
World,OWID_WRL,"738,156 BCE",185.4
World,OWID_WRL,"737,225 BCE",185.61
World,OWID_WRL,"736,631 BCE",191.74
World,OWID_WRL,"735,710 BCE",204.52
World,OWID_WRL,"735,320 BCE",206.92
World,OWID_WRL,"734,572 BCE",213.14
World,OWID_WRL,"734,157 BCE",217.19
World,OWID_WRL,"733,460 BCE",217.88
World,OWID_WRL,"733,185 BCE",214.66
World,OWID_WRL,"732,513 BCE",216.15
World,OWID_WRL,"732,072 BCE",210.6
World,OWID_WRL,"731,379 BCE",207.72
World,OWID_WRL,"731,044 BCE",208.11
World,OWID_WRL,"730,372 BCE",213.73
World,OWID_WRL,"729,911 BCE",211.62
World,OWID_WRL,"729,234 BCE",210.7
World,OWID_WRL,"728,958 BCE",210.16
World,OWID_WRL,"728,310 BCE",212.17
World,OWID_WRL,"727,887 BCE",210.01
World,OWID_WRL,"727,038 BCE",211.08
World,OWID_WRL,"726,644 BCE",210.24
World,OWID_WRL,"725,949 BCE",210.07
World,OWID_WRL,"724,627 BCE",211.43
World,OWID_WRL,"724,300 BCE",211.08
World,OWID_WRL,"723,524 BCE",211.49
World,OWID_WRL,"723,025 BCE",210.48
World,OWID_WRL,"722,192 BCE",214.01
World,OWID_WRL,"721,830 BCE",212.55
World,OWID_WRL,"721,045 BCE",212.11
World,OWID_WRL,"720,556 BCE",216.1
World,OWID_WRL,"719,740 BCE",218.96
World,OWID_WRL,"719,458 BCE",219.2
World,OWID_WRL,"718,641 BCE",217.04
World,OWID_WRL,"718,137 BCE",212.03
World,OWID_WRL,"717,337 BCE",200.82
World,OWID_WRL,"716,828 BCE",193.46
World,OWID_WRL,"716,005 BCE",189.88
World,OWID_WRL,"715,398 BCE",198.43
World,OWID_WRL,"714,636 BCE",210.51
World,OWID_WRL,"714,360 BCE",213.6
World,OWID_WRL,"713,615 BCE",227.58
World,OWID_WRL,"713,166 BCE",223.14
World,OWID_WRL,"712,454 BCE",227.08
World,OWID_WRL,"712,116 BCE",227.64
World,OWID_WRL,"711,363 BCE",223.89
World,OWID_WRL,"710,294 BCE",224
World,OWID_WRL,"710,071 BCE",224.12
World,OWID_WRL,"709,449 BCE",225.39
World,OWID_WRL,"709,033 BCE",224.9
World,OWID_WRL,"708,506 BCE",227.03
World,OWID_WRL,"707,960 BCE",230.51
World,OWID_WRL,"707,504 BCE",231.43
World,OWID_WRL,"707,009 BCE",234.84
World,OWID_WRL,"706,463 BCE",233.11
World,OWID_WRL,"706,250 BCE",233.58
World,OWID_WRL,"705,694 BCE",233.51
World,OWID_WRL,"705,361 BCE",238.85
World,OWID_WRL,"704,761 BCE",236.05
World,OWID_WRL,"704,543 BCE",236.05
World,OWID_WRL,"704,103 BCE",237.66
World,OWID_WRL,"703,777 BCE",237.18
World,OWID_WRL,"703,294 BCE",235.09
World,OWID_WRL,"703,103 BCE",234.04
World,OWID_WRL,"702,632 BCE",233.54
World,OWID_WRL,"702,301 BCE",232.83
World,OWID_WRL,"701,846 BCE",232.28
World,OWID_WRL,"701,519 BCE",233.35
World,OWID_WRL,"701,060 BCE",230.59
World,OWID_WRL,"700,784 BCE",232.18
World,OWID_WRL,"700,251 BCE",232.16
World,OWID_WRL,"700,043 BCE",230.88
World,OWID_WRL,"699,575 BCE",232.46
World,OWID_WRL,"699,319 BCE",235.42
World,OWID_WRL,"698,865 BCE",236.61
World,OWID_WRL,"698,535 BCE",236.72
World,OWID_WRL,"698,154 BCE",237.21
World,OWID_WRL,"697,915 BCE",239.73
World,OWID_WRL,"697,489 BCE",239.01
World,OWID_WRL,"697,266 BCE",238.86
World,OWID_WRL,"696,803 BCE",241.83
World,OWID_WRL,"696,556 BCE",240.9
World,OWID_WRL,"696,089 BCE",241.03
World,OWID_WRL,"695,797 BCE",239.88
World,OWID_WRL,"695,392 BCE",238.42
World,OWID_WRL,"695,140 BCE",239.44
World,OWID_WRL,"694,695 BCE",238.13
World,OWID_WRL,"694,485 BCE",238.05
World,OWID_WRL,"694,032 BCE",238.74
World,OWID_WRL,"693,782 BCE",236.8
World,OWID_WRL,"693,309 BCE",239.8
World,OWID_WRL,"692,999 BCE",239.31
World,OWID_WRL,"692,587 BCE",240.46
World,OWID_WRL,"692,330 BCE",239.34
World,OWID_WRL,"691,871 BCE",237.76
World,OWID_WRL,"691,624 BCE",243.7
World,OWID_WRL,"691,127 BCE",238.47
World,OWID_WRL,"690,882 BCE",239.3
World,OWID_WRL,"690,368 BCE",243.56
World,OWID_WRL,"690,018 BCE",239.38
World,OWID_WRL,"689,518 BCE",238.42
World,OWID_WRL,"689,272 BCE",239.29
World,OWID_WRL,"688,786 BCE",236.45
World,OWID_WRL,"688,525 BCE",235.8
World,OWID_WRL,"688,001 BCE",232.27
World,OWID_WRL,"687,743 BCE",232.07
World,OWID_WRL,"687,208 BCE",230.67
World,OWID_WRL,"686,860 BCE",227.64
World,OWID_WRL,"686,350 BCE",227.65
World,OWID_WRL,"686,050 BCE",226.73
World,OWID_WRL,"685,495 BCE",222.97
World,OWID_WRL,"685,204 BCE",222.7
World,OWID_WRL,"684,632 BCE",222.62
World,OWID_WRL,"684,319 BCE",220.63
World,OWID_WRL,"683,730 BCE",220.62
World,OWID_WRL,"683,345 BCE",221.82
World,OWID_WRL,"682,808 BCE",224.36
World,OWID_WRL,"682,474 BCE",225.64
World,OWID_WRL,"681,879 BCE",222.7
World,OWID_WRL,"681,508 BCE",220.24
World,OWID_WRL,"680,790 BCE",219.14
World,OWID_WRL,"680,394 BCE",221.31
World,OWID_WRL,"679,720 BCE",227.9
World,OWID_WRL,"679,276 BCE",225.81
World,OWID_WRL,"678,678 BCE",233.11
World,OWID_WRL,"678,363 BCE",233.61
World,OWID_WRL,"677,785 BCE",232.7
World,OWID_WRL,"677,505 BCE",229.16
World,OWID_WRL,"676,792 BCE",220.09
World,OWID_WRL,"676,378 BCE",218.21
World,OWID_WRL,"675,651 BCE",216.59
World,OWID_WRL,"675,202 BCE",219.96
World,OWID_WRL,"674,581 BCE",222.57
World,OWID_WRL,"673,457 BCE",216.12
World,OWID_WRL,"673,078 BCE",211.69
World,OWID_WRL,"672,279 BCE",204.67
World,OWID_WRL,"671,746 BCE",201.12
World,OWID_WRL,"670,811 BCE",197.13
World,OWID_WRL,"670,201 BCE",194.79
World,OWID_WRL,"669,508 BCE",196.83
World,OWID_WRL,"669,121 BCE",194.88
World,OWID_WRL,"668,346 BCE",191.51
World,OWID_WRL,"667,869 BCE",187.66
World,OWID_WRL,"666,966 BCE",180.67
World,OWID_WRL,"666,465 BCE",177.71
World,OWID_WRL,"665,460 BCE",173.71
World,OWID_WRL,"664,803 BCE",174.77
World,OWID_WRL,"663,887 BCE",180.54
World,OWID_WRL,"663,372 BCE",180.17
World,OWID_WRL,"662,458 BCE",187.77
World,OWID_WRL,"662,370 BCE",192.55
World,OWID_WRL,"661,988 BCE",191.02
World,OWID_WRL,"660,928 BCE",190.86
World,OWID_WRL,"660,847 BCE",193.91
World,OWID_WRL,"660,332 BCE",189.69
World,OWID_WRL,"659,266 BCE",191.59
World,OWID_WRL,"659,168 BCE",193.97
World,OWID_WRL,"658,514 BCE",188.43
World,OWID_WRL,"657,462 BCE",185.68
World,OWID_WRL,"657,344 BCE",187.38
World,OWID_WRL,"656,814 BCE",184.1
World,OWID_WRL,"655,772 BCE",190.88
World,OWID_WRL,"655,704 BCE",189.23
World,OWID_WRL,"655,231 BCE",192.93
World,OWID_WRL,"654,183 BCE",200.35
World,OWID_WRL,"653,574 BCE",200
World,OWID_WRL,"652,489 BCE",194.82
World,OWID_WRL,"651,780 BCE",192.87
World,OWID_WRL,"650,759 BCE",186.79
World,OWID_WRL,"650,154 BCE",187.27
World,OWID_WRL,"648,997 BCE",193.44
World,OWID_WRL,"648,398 BCE",189.25
World,OWID_WRL,"647,241 BCE",196.17
World,OWID_WRL,"646,662 BCE",193.48
World,OWID_WRL,"645,305 BCE",191.85
World,OWID_WRL,"644,427 BCE",189.89
World,OWID_WRL,"643,201 BCE",195.82
World,OWID_WRL,"642,351 BCE",195.31
World,OWID_WRL,"640,907 BCE",191.56
World,OWID_WRL,"640,125 BCE",191.38
World,OWID_WRL,"638,422 BCE",190.18
World,OWID_WRL,"637,468 BCE",188.85
World,OWID_WRL,"635,764 BCE",195.33
World,OWID_WRL,"634,572 BCE",194
World,OWID_WRL,"633,059 BCE",194.86
World,OWID_WRL,"632,931 BCE",195.95
World,OWID_WRL,"632,128 BCE",193.1
World,OWID_WRL,"630,407 BCE",196.5
World,OWID_WRL,"629,576 BCE",200.46
World,OWID_WRL,"627,916 BCE",200.78
World,OWID_WRL,"627,820 BCE",205.27
World,OWID_WRL,"627,190 BCE",199.52
World,OWID_WRL,"625,880 BCE",205.76
World,OWID_WRL,"625,019 BCE",215.71
World,OWID_WRL,"624,097 BCE",228.51
World,OWID_WRL,"623,448 BCE",235.02
World,OWID_WRL,"622,547 BCE",237.93
World,OWID_WRL,"621,105 BCE",239.19
World,OWID_WRL,"621,001 BCE",243.89
World,OWID_WRL,"619,701 BCE",243.53
World,OWID_WRL,"618,334 BCE",245.89
World,OWID_WRL,"617,004 BCE",248.29
World,OWID_WRL,"615,660 BCE",252.64
World,OWID_WRL,"614,407 BCE",252.73
World,OWID_WRL,"614,349 BCE",252.9
World,OWID_WRL,"613,191 BCE",252.75
World,OWID_WRL,"611,993 BCE",256.19
World,OWID_WRL,"610,812 BCE",258.14
World,OWID_WRL,"609,651 BCE",259.68
World,OWID_WRL,"609,601 BCE",257.82
World,OWID_WRL,"608,480 BCE",257.74
World,OWID_WRL,"607,297 BCE",259.22
World,OWID_WRL,"606,029 BCE",254.58
World,OWID_WRL,"604,676 BCE",248.48
World,OWID_WRL,"603,353 BCE",244.53
World,OWID_WRL,"601,999 BCE",239.14
World,OWID_WRL,"600,651 BCE",237.86
World,OWID_WRL,"599,305 BCE",232.45
World,OWID_WRL,"597,865 BCE",229.38
World,OWID_WRL,"597,268 BCE",225.97
World,OWID_WRL,"596,380 BCE",219.02
World,OWID_WRL,"595,854 BCE",216.27
World,OWID_WRL,"594,841 BCE",216.44
World,OWID_WRL,"594,272 BCE",221.22
World,OWID_WRL,"593,486 BCE",232.92
World,OWID_WRL,"592,914 BCE",237.98
World,OWID_WRL,"592,097 BCE",238.15
World,OWID_WRL,"591,611 BCE",233.16
World,OWID_WRL,"590,836 BCE",229.39
World,OWID_WRL,"590,433 BCE",225.68
World,OWID_WRL,"589,069 BCE",237.38
World,OWID_WRL,"588,539 BCE",243.56
World,OWID_WRL,"588,090 BCE",248.1
World,OWID_WRL,"587,475 BCE",250.2
World,OWID_WRL,"586,991 BCE",246.35
World,OWID_WRL,"586,329 BCE",238.78
World,OWID_WRL,"585,939 BCE",234.4
World,OWID_WRL,"585,222 BCE",225.99
World,OWID_WRL,"584,771 BCE",223.96
World,OWID_WRL,"582,009 BCE",210.64
World,OWID_WRL,"581,624 BCE",206.68
World,OWID_WRL,"580,886 BCE",209.88
World,OWID_WRL,"580,505 BCE",215.45
World,OWID_WRL,"579,978 BCE",219.41
World,OWID_WRL,"579,597 BCE",225.21
World,OWID_WRL,"579,169 BCE",230.26
World,OWID_WRL,"578,864 BCE",236.17
World,OWID_WRL,"578,452 BCE",243.81
World,OWID_WRL,"578,261 BCE",244.14
World,OWID_WRL,"577,883 BCE",251.47
World,OWID_WRL,"577,331 BCE",252.92
World,OWID_WRL,"576,792 BCE",249.06
World,OWID_WRL,"576,246 BCE",251.08
World,OWID_WRL,"575,704 BCE",251.34
World,OWID_WRL,"575,165 BCE",251.3
World,OWID_WRL,"574,649 BCE",252.9
World,OWID_WRL,"574,163 BCE",252.54
World,OWID_WRL,"573,705 BCE",248.86
World,OWID_WRL,"573,284 BCE",252.08
World,OWID_WRL,"572,856 BCE",251.86
World,OWID_WRL,"572,415 BCE",251.77
World,OWID_WRL,"571,963 BCE",248.72
World,OWID_WRL,"571,526 BCE",249.19
World,OWID_WRL,"571,104 BCE",247.66
World,OWID_WRL,"570,720 BCE",246.31
World,OWID_WRL,"570,366 BCE",250.3
World,OWID_WRL,"570,025 BCE",251.6
World,OWID_WRL,"569,683 BCE",249.6
World,OWID_WRL,"569,311 BCE",251.8
World,OWID_WRL,"568,912 BCE",251.8
World,OWID_WRL,"568,513 BCE",251.3
World,OWID_WRL,"568,117 BCE",250
World,OWID_WRL,"567,734 BCE",251.3
World,OWID_WRL,"567,365 BCE",250.2
World,OWID_WRL,"566,980 BCE",253
World,OWID_WRL,"566,584 BCE",252.8
World,OWID_WRL,"566,254 BCE",253.9
World,OWID_WRL,"565,935 BCE",253.2
World,OWID_WRL,"565,599 BCE",254.5
World,OWID_WRL,"565,289 BCE",253.9
World,OWID_WRL,"564,968 BCE",254.3
World,OWID_WRL,"564,639 BCE",253.7
World,OWID_WRL,"564,295 BCE",251.4
World,OWID_WRL,"563,946 BCE",252.6
World,OWID_WRL,"563,589 BCE",252.4
World,OWID_WRL,"563,184 BCE",251.4
World,OWID_WRL,"562,774 BCE",247.6
World,OWID_WRL,"562,361 BCE",245.8
World,OWID_WRL,"561,978 BCE",245.7
World,OWID_WRL,"561,586 BCE",242.3
World,OWID_WRL,"561,185 BCE",240.1
World,OWID_WRL,"560,706 BCE",234.1
World,OWID_WRL,"560,360 BCE",234.6
World,OWID_WRL,"559,938 BCE",231.9
World,OWID_WRL,"559,501 BCE",231.6
World,OWID_WRL,"559,016 BCE",228.3
World,OWID_WRL,"558,487 BCE",230.3
World,OWID_WRL,"557,923 BCE",230.2
World,OWID_WRL,"557,687 BCE",229.7
World,OWID_WRL,"557,366 BCE",234.5
World,OWID_WRL,"556,828 BCE",238.1
World,OWID_WRL,"556,356 BCE",240.4
World,OWID_WRL,"556,205 BCE",245.6
World,OWID_WRL,"555,888 BCE",250.5
World,OWID_WRL,"555,707 BCE",244
World,OWID_WRL,"555,435 BCE",249.1
World,OWID_WRL,"555,249 BCE",243
World,OWID_WRL,"554,973 BCE",241
World,OWID_WRL,"554,457 BCE",233.9
World,OWID_WRL,"553,892 BCE",226.7
World,OWID_WRL,"553,208 BCE",224.3
World,OWID_WRL,"552,530 BCE",223.6
World,OWID_WRL,"551,859 BCE",220.3
World,OWID_WRL,"551,669 BCE",222.1
World,OWID_WRL,"551,296 BCE",226.3
World,OWID_WRL,"551,071 BCE",222.3
World,OWID_WRL,"550,732 BCE",221.7
World,OWID_WRL,"550,161 BCE",219.9
World,OWID_WRL,"549,431 BCE",215.2
World,OWID_WRL,"548,633 BCE",213.6
World,OWID_WRL,"548,281 BCE",208.8
World,OWID_WRL,"547,770 BCE",202.5
World,OWID_WRL,"546,821 BCE",204.6
World,OWID_WRL,"545,857 BCE",209.7
World,OWID_WRL,"544,880 BCE",209.6
World,OWID_WRL,"543,915 BCE",210.3
World,OWID_WRL,"542,936 BCE",208.1
World,OWID_WRL,"541,895 BCE",203.6
World,OWID_WRL,"540,790 BCE",205
World,OWID_WRL,"539,704 BCE",211.2
World,OWID_WRL,"538,634 BCE",212.9
World,OWID_WRL,"537,564 BCE",206.4
World,OWID_WRL,"536,491 BCE",205
World,OWID_WRL,"535,384 BCE",199.4
World,OWID_WRL,"534,228 BCE",199.8
World,OWID_WRL,"533,745 BCE",190.5
World,OWID_WRL,"533,094 BCE",193.8
World,OWID_WRL,"532,718 BCE",195.1
World,OWID_WRL,"531,982 BCE",200
World,OWID_WRL,"531,604 BCE",204.4
World,OWID_WRL,"531,038 BCE",211.4
World,OWID_WRL,"530,643 BCE",214.5
World,OWID_WRL,"530,129 BCE",220.7
World,OWID_WRL,"529,251 BCE",220.3
World,OWID_WRL,"528,341 BCE",221.2
World,OWID_WRL,"527,453 BCE",222.7
World,OWID_WRL,"526,567 BCE",224.7
World,OWID_WRL,"525,749 BCE",227.8
World,OWID_WRL,"524,946 BCE",230.3
World,OWID_WRL,"524,157 BCE",233.7
World,OWID_WRL,"523,387 BCE",235.8
World,OWID_WRL,"522,621 BCE",236.8
World,OWID_WRL,"521,852 BCE",241.9
World,OWID_WRL,"519,624 BCE",243.5
World,OWID_WRL,"518,872 BCE",245.5
World,OWID_WRL,"518,123 BCE",247.7
World,OWID_WRL,"517,379 BCE",245.3
World,OWID_WRL,"516,650 BCE",245.5
World,OWID_WRL,"515,926 BCE",246.2
World,OWID_WRL,"515,205 BCE",247.2
World,OWID_WRL,"514,471 BCE",243
World,OWID_WRL,"513,701 BCE",241.5
World,OWID_WRL,"512,898 BCE",239.2
World,OWID_WRL,"512,083 BCE",238.2
World,OWID_WRL,"511,255 BCE",242
World,OWID_WRL,"510,414 BCE",235.2
World,OWID_WRL,"509,562 BCE",236.4
World,OWID_WRL,"508,702 BCE",233.4
World,OWID_WRL,"507,835 BCE",240.3
World,OWID_WRL,"506,991 BCE",237
World,OWID_WRL,"506,168 BCE",238.2
World,OWID_WRL,"505,362 BCE",236
World,OWID_WRL,"504,534 BCE",235.5
World,OWID_WRL,"503,734 BCE",233.9
World,OWID_WRL,"502,962 BCE",234.1
World,OWID_WRL,"502,227 BCE",232.2
World,OWID_WRL,"501,469 BCE",232
World,OWID_WRL,"500,688 BCE",231.2
World,OWID_WRL,"499,911 BCE",230.8
World,OWID_WRL,"499,134 BCE",228.2
World,OWID_WRL,"498,355 BCE",230.8
World,OWID_WRL,"497,577 BCE",230.6
World,OWID_WRL,"496,787 BCE",232.8
World,OWID_WRL,"496,016 BCE",236.5
World,OWID_WRL,"495,238 BCE",236.4
World,OWID_WRL,"494,494 BCE",237.6
World,OWID_WRL,"493,776 BCE",238.5
World,OWID_WRL,"493,074 BCE",238.3
World,OWID_WRL,"492,350 BCE",239.1
World,OWID_WRL,"491,643 BCE",239.7
World,OWID_WRL,"490,914 BCE",243.7
World,OWID_WRL,"490,205 BCE",246.7
World,OWID_WRL,"489,501 BCE",243.3
World,OWID_WRL,"488,784 BCE",242.6
World,OWID_WRL,"488,545 BCE",249.3
World,OWID_WRL,"488,076 BCE",252.8
World,OWID_WRL,"487,770 BCE",240.9
World,OWID_WRL,"487,352 BCE",242
World,OWID_WRL,"486,615 BCE",237.1
World,OWID_WRL,"485,898 BCE",231.3
World,OWID_WRL,"485,179 BCE",232.9
World,OWID_WRL,"484,449 BCE",233
World,OWID_WRL,"483,718 BCE",231.2
World,OWID_WRL,"482,986 BCE",231.4
World,OWID_WRL,"482,230 BCE",231.4
World,OWID_WRL,"481,445 BCE",227.3
World,OWID_WRL,"480,631 BCE",223.4
World,OWID_WRL,"479,713 BCE",223.8
World,OWID_WRL,"478,777 BCE",218.8
World,OWID_WRL,"478,378 BCE",220.8
World,OWID_WRL,"477,826 BCE",231.3
World,OWID_WRL,"477,453 BCE",236.5
World,OWID_WRL,"476,942 BCE",239.1
World,OWID_WRL,"475,991 BCE",236.6
World,OWID_WRL,"475,000 BCE",232.8
World,OWID_WRL,"473,975 BCE",233.1
World,OWID_WRL,"473,024 BCE",241.2
World,OWID_WRL,"472,142 BCE",245.6
World,OWID_WRL,"471,851 BCE",243.9
World,OWID_WRL,"471,268 BCE",243.7
World,OWID_WRL,"470,913 BCE",232.7
World,OWID_WRL,"470,313 BCE",229.2
World,OWID_WRL,"469,875 BCE",218.7
World,OWID_WRL,"469,251 BCE",215.5
World,OWID_WRL,"468,776 BCE",206.5
World,OWID_WRL,"468,090 BCE",205.5
World,OWID_WRL,"466,928 BCE",203.4
World,OWID_WRL,"465,757 BCE",204.4
World,OWID_WRL,"464,682 BCE",208.1
World,OWID_WRL,"463,652 BCE",210
World,OWID_WRL,"463,315 BCE",205.2
World,OWID_WRL,"462,649 BCE",199.9
World,OWID_WRL,"461,577 BCE",194.4
World,OWID_WRL,"460,464 BCE",190.7
World,OWID_WRL,"459,336 BCE",195.5
World,OWID_WRL,"458,302 BCE",202.4
World,OWID_WRL,"457,262 BCE",208.3
World,OWID_WRL,"456,844 BCE",203.3
World,OWID_WRL,"456,258 BCE",204.3
World,OWID_WRL,"455,795 BCE",199.1
World,OWID_WRL,"455,164 BCE",192.5
World,OWID_WRL,"454,052 BCE",193.3
World,OWID_WRL,"452,914 BCE",198.4
World,OWID_WRL,"451,826 BCE",201.9
World,OWID_WRL,"450,786 BCE",204.9
World,OWID_WRL,"449,797 BCE",201.2
World,OWID_WRL,"448,693 BCE",201.7
World,OWID_WRL,"447,621 BCE",208.1
World,OWID_WRL,"446,509 BCE",203.5
World,OWID_WRL,"445,269 BCE",201.1
World,OWID_WRL,"443,382 BCE",199.1
World,OWID_WRL,"441,895 BCE",202
World,OWID_WRL,"440,281 BCE",201.3
World,OWID_WRL,"438,710 BCE",201.7
World,OWID_WRL,"437,113 BCE",200.3
World,OWID_WRL,"435,535 BCE",207.5
World,OWID_WRL,"433,990 BCE",209.8
World,OWID_WRL,"432,429 BCE",207.6
World,OWID_WRL,"431,900 BCE",211.5
World,OWID_WRL,"430,229 BCE",227.2
World,OWID_WRL,"429,074 BCE",219.7
World,OWID_WRL,"427,228 BCE",242.5
World,OWID_WRL,"426,890 BCE",248.2
World,OWID_WRL,"425,991 BCE",252.1
World,OWID_WRL,"425,205 BCE",255.3
World,OWID_WRL,"424,672 BCE",265.4
World,OWID_WRL,"424,287 BCE",270
World,OWID_WRL,"423,791 BCE",270.8
World,OWID_WRL,"423,182 BCE",268.3
World,OWID_WRL,"422,558 BCE",267.7
World,OWID_WRL,"421,275 BCE",270.6
World,OWID_WRL,"420,583 BCE",266.4
World,OWID_WRL,"419,962 BCE",268.6
World,OWID_WRL,"418,752 BCE",273.8
World,OWID_WRL,"418,184 BCE",271.2
World,OWID_WRL,"417,626 BCE",273.7
World,OWID_WRL,"416,555 BCE",274.6
World,OWID_WRL,"416,007 BCE",271.8
World,OWID_WRL,"415,490 BCE",273.4
World,OWID_WRL,"414,475 BCE",271.7
World,OWID_WRL,"413,996 BCE",276.4
World,OWID_WRL,"413,230 BCE",271.6
World,OWID_WRL,"412,261 BCE",264.9
World,OWID_WRL,"411,309 BCE",274.9
World,OWID_WRL,"409,398 BCE",283.5
World,OWID_WRL,"408,504 BCE",282.6
World,OWID_WRL,"407,648 BCE",274.7
World,OWID_WRL,"406,869 BCE",284.5
World,OWID_WRL,"405,332 BCE",285.6
World,OWID_WRL,"404,593 BCE",279.6
World,OWID_WRL,"403,113 BCE",280.5
World,OWID_WRL,"402,363 BCE",276.5
World,OWID_WRL,"400,910 BCE",275.7
World,OWID_WRL,"400,191 BCE",283.1
World,OWID_WRL,"398,760 BCE",283.2
World,OWID_WRL,"397,976 BCE",277.1
World,OWID_WRL,"396,325 BCE",276.3
World,OWID_WRL,"392,956 BCE",260.7
World,OWID_WRL,"392,054 BCE",273.6
World,OWID_WRL,"391,027 BCE",259.5
World,OWID_WRL,"390,337 BCE",258.1
World,OWID_WRL,"387,460 BCE",245.8
World,OWID_WRL,"385,875 BCE",246.8
World,OWID_WRL,"384,334 BCE",239.1
World,OWID_WRL,"382,607 BCE",240
World,OWID_WRL,"380,981 BCE",227
World,OWID_WRL,"376,810 BCE",229.6
World,OWID_WRL,"375,085 BCE",224.6
