Entity,Code,Year,Number of people without access to safe drinking water (people)
Bhutan,BTN,2015,522744.3292
Bosnia and Herzegovina,BIH,2000,483535.427
Bosnia and Herzegovina,BIH,2001,467113.0096
Bosnia and Herzegovina,BIH,2002,449040.5259
Bosnia and Herzegovina,BIH,2003,438651.1228
Bosnia and Herzegovina,BIH,2004,429364.2397
Bosnia and Herzegovina,BIH,2005,419185.333
Bosnia and Herzegovina,BIH,2006,408772.2026
Bosnia and Herzegovina,BIH,2007,397765.0775
Bosnia and Herzegovina,BIH,2008,384066.9955
Bosnia and Herzegovina,BIH,2009,364898.3507
Bosnia and Herzegovina,BIH,2010,338678.7856
Bosnia and Herzegovina,BIH,2011,304124.2959
Bosnia and Herzegovina,BIH,2012,262950.7695
Bosnia and Herzegovina,BIH,2013,221984.7206
Bosnia and Herzegovina,BIH,2014,184711.629
Bosnia and Herzegovina,BIH,2015,160866.2389
Bulgaria,BGR,2000,392995.5981
Bulgaria,BGR,2001,296172.7007
Bulgaria,BGR,2002,187540.5037
Bulgaria,BGR,2003,187908.5548
Bulgaria,BGR,2004,192624.3763
Bulgaria,BGR,2005,196667.0427
Bulgaria,BGR,2006,198512.7465
Bulgaria,BGR,2007,200835.2465
Bulgaria,BGR,2008,204539.4505
Bulgaria,BGR,2009,211727.4688
Bulgaria,BGR,2010,217320.3082
Bulgaria,BGR,2011,223749.8634
Bulgaria,BGR,2012,234389.9134
Bulgaria,BGR,2013,246357.0572
Bulgaria,BGR,2014,271827.9529
Bulgaria,BGR,2015,274756.3144
Cambodia,KHM,2000,10095172.73
Cambodia,KHM,2001,10245115.35
Cambodia,KHM,2002,10377906.26
Cambodia,KHM,2003,10497058.62
Cambodia,KHM,2004,10607355.92
Cambodia,KHM,2005,10712707.52
Cambodia,KHM,2006,10813900.02
Cambodia,KHM,2007,10911271.27
Cambodia,KHM,2008,11007846.12
Cambodia,KHM,2009,11106329.08
Cambodia,KHM,2010,11209015.42
Cambodia,KHM,2011,11317021.65
Cambodia,KHM,2012,11429487.52
Cambodia,KHM,2013,11543840.8
Cambodia,KHM,2014,11656186.18
Cambodia,KHM,2015,11763549.4
Channel Islands,OWID_CIS,2009,12718.69325
Channel Islands,OWID_CIS,2010,12804.53575
Channel Islands,OWID_CIS,2011,12887.24225
Channel Islands,OWID_CIS,2012,12969.214
Channel Islands,OWID_CIS,2013,13053.5745
Channel Islands,OWID_CIS,2014,13126.08925
Channel Islands,OWID_CIS,2015,13202.283
Chile,CHL,2000,1370998.232
Chile,CHL,2001,1285681.926
Chile,CHL,2002,1197497.961
Chile,CHL,2003,1107241.613
Chile,CHL,2004,1015392.697
Chile,CHL,2005,922262.05
Chile,CHL,2006,828203.3812
Chile,CHL,2007,732784.6763
Chile,CHL,2008,634721.074
Chile,CHL,2009,532428.9264
Chile,CHL,2010,454463.0344
Chile,CHL,2011,374372.562
Chile,CHL,2012,289921.8509
Chile,CHL,2013,206696.5034
Chile,CHL,2014,158907.431
Chile,CHL,2015,145845.2181
Colombia,COL,2000,13163723.97
Colombia,COL,2001,13202409.87
Colombia,COL,2002,13237647.4
Colombia,COL,2003,13268702.03
Colombia,COL,2004,13294293.7
Colombia,COL,2005,13314056.57
Colombia,COL,2006,13327689.43
Colombia,COL,2007,13402679.28
Colombia,COL,2008,13474066.13
Colombia,COL,2009,13541879.64
Colombia,COL,2010,13606140.76
Colombia,COL,2011,13666817.34
Colombia,COL,2012,13724091.94
Colombia,COL,2013,13777896.42
Colombia,COL,2014,13836426.01
Colombia,COL,2015,13927178.03
Congo,COG,2000,2296024.839
Congo,COG,2001,2359310.418
Congo,COG,2002,2423136.093
Congo,COG,2003,2490158.261
Congo,COG,2004,2547618.803
Congo,COG,2005,2611201.883
Congo,COG,2006,2681688.315
Congo,COG,2007,2757807.39
Congo,COG,2008,2836166.503
Congo,COG,2009,2912192.605
Congo,COG,2010,2982762.177
Congo,COG,2011,3048157.158
Congo,COG,2012,3109497.508
Congo,COG,2013,3167040.367
Congo,COG,2014,3223977.123
Congo,COG,2015,3286051.326
Costa Rica,CRI,2000,1166902.529
Costa Rica,CRI,2001,1120264.692
Costa Rica,CRI,2002,1070049.303
Costa Rica,CRI,2003,1016890.528
Costa Rica,CRI,2004,961442.8519
Costa Rica,CRI,2005,904156.1532
Costa Rica,CRI,2006,845154.0484
Costa Rica,CRI,2007,784380.4997
Costa Rica,CRI,2008,721830.6068
Costa Rica,CRI,2009,657481.9358
Costa Rica,CRI,2010,601865.146
Costa Rica,CRI,2011,577014.731
Costa Rica,CRI,2012,552907.7635
Costa Rica,CRI,2013,529616.9147
Costa Rica,CRI,2014,507699.066
Costa Rica,CRI,2015,490343.0827
Cote d'Ivoire,CIV,2000,10672424.65
Cote d'Ivoire,CIV,2001,10783124.92
Cote d'Ivoire,CIV,2002,10874028.34
Cote d'Ivoire,CIV,2003,10954493.82
Cote d'Ivoire,CIV,2004,11036622.66
Cote d'Ivoire,CIV,2005,11129614.88
Cote d'Ivoire,CIV,2006,11235501.15
Cote d'Ivoire,CIV,2007,11344489.86
Cote d'Ivoire,CIV,2008,11466605.22
Cote d'Ivoire,CIV,2009,11602637.05
Cote d'Ivoire,CIV,2010,11753274.85
Cote d'Ivoire,CIV,2011,11919751.6
Cote d'Ivoire,CIV,2012,12102206.43
Cote d'Ivoire,CIV,2013,12297454.11
Cote d'Ivoire,CIV,2014,12501324.71
Cote d'Ivoire,CIV,2015,12710788.69
Croatia,HRV,2000,473404.46
Croatia,HRV,2001,503869.7678
Croatia,HRV,2002,487343.2554
Croatia,HRV,2003,466225.5658
Croatia,HRV,2004,444010.0097
Croatia,HRV,2005,427503.337
Croatia,HRV,2006,408498.4434
Croatia,HRV,2007,389434.3741
Croatia,HRV,2008,374587.4698
Croatia,HRV,2009,399266.519
Croatia,HRV,2010,419049.7895
Croatia,HRV,2011,313284.9259
Croatia,HRV,2012,332228.1525
Croatia,HRV,2013,352747.4349
Croatia,HRV,2014,367908.7217
Croatia,HRV,2015,368163.0063
Cyprus,CYP,2000,39169.80585
Cyprus,CYP,2001,38726.36891
Cyprus,CYP,2002,37773.4863
Cyprus,CYP,2003,36862.03922
Cyprus,CYP,2004,33587.25395
Cyprus,CYP,2005,31488.45971
Cyprus,CYP,2006,30905.96814
Cyprus,CYP,2007,31509.32414
Cyprus,CYP,2008,32425.27603
Cyprus,CYP,2009,32398.5565
Cyprus,CYP,2010,30577.06086
Cyprus,CYP,2011,26605.99976
Cyprus,CYP,2012,20848.82457
Cyprus,CYP,2013,13926.24934
Cyprus,CYP,2014,6845.949931
Cyprus,CYP,2015,316.062931
Czech Republic,CZE,2000,369540.8719
Czech Republic,CZE,2001,349545.818
Czech Republic,CZE,2002,336161.6607
Czech Republic,CZE,2003,334045.0649
Czech Republic,CZE,2004,324801.558
Czech Republic,CZE,2005,308579.6541
Czech Republic,CZE,2006,284712.7143
Czech Republic,CZE,2007,275081.3968
Czech Republic,CZE,2008,282875.6021
Czech Republic,CZE,2009,269338.4513
Czech Republic,CZE,2010,241792.0939
Czech Republic,CZE,2011,224047.8608
Czech Republic,CZE,2012,221995.1171
Czech Republic,CZE,2013,224736.1423
Czech Republic,CZE,2014,237795.5475
Czech Republic,CZE,2015,258002.496
Denmark,DNK,2000,330524.0504
Denmark,DNK,2001,334282.6693
Denmark,DNK,2002,337961.8243
Denmark,DNK,2003,339566.6747
Denmark,DNK,2004,321981.0754
Denmark,DNK,2005,302088.7491
Denmark,DNK,2006,281258.8548
Denmark,DNK,2007,263485.5066
Denmark,DNK,2008,251636.6311
Denmark,DNK,2009,236769.4024
Denmark,DNK,2010,218038.1832
Denmark,DNK,2011,198966.254
Denmark,DNK,2012,179027.6425
Denmark,DNK,2013,174022.6728
Denmark,DNK,2014,180807.3222
Denmark,DNK,2015,199465.521
Ecuador,ECU,2000,4248478.311
Ecuador,ECU,2001,4246403.153
Ecuador,ECU,2002,4246256.139
Ecuador,ECU,2003,4247348.782
Ecuador,ECU,2004,4246887.701
Ecuador,ECU,2005,4245801.834
Ecuador,ECU,2006,4244338.146
Ecuador,ECU,2007,4242036.792
Ecuador,ECU,2008,4238421.332
Ecuador,ECU,2009,4232703.979
Ecuador,ECU,2010,4224289.811
Ecuador,ECU,2011,4213065.119
Ecuador,ECU,2012,4198782.772
Ecuador,ECU,2013,4181406.402
Ecuador,ECU,2014,4160856.816
Ecuador,ECU,2015,4139293.445
Estonia,EST,2000,92368.80112
Estonia,EST,2001,87362.50894
Estonia,EST,2002,83990.27722
Estonia,EST,2003,81542.10779
Estonia,EST,2004,79095.0489
Estonia,EST,2005,75684.88584
Estonia,EST,2006,70586.38494
Estonia,EST,2007,84428.88852
Estonia,EST,2008,104466.5109
Estonia,EST,2009,125074.182
Estonia,EST,2010,145108.7725
Estonia,EST,2011,164127.8087
Estonia,EST,2012,182338.7288
Estonia,EST,2013,200452.0835
Estonia,EST,2014,219586.1101
Estonia,EST,2015,243170.7592
Ethiopia,ETH,2000,63387955.56
Ethiopia,ETH,2001,65009996.5
Ethiopia,ETH,2002,66692414.13
Ethiopia,ETH,2003,68485981.79
Ethiopia,ETH,2004,70281509.87
Ethiopia,ETH,2005,72069812.4
Ethiopia,ETH,2006,73846498.1
Ethiopia,ETH,2007,75610512.99
Ethiopia,ETH,2008,77321544.74
Ethiopia,ETH,2009,79037467.5
Ethiopia,ETH,2010,80763508.52
Ethiopia,ETH,2011,82500970.27
Ethiopia,ETH,2012,84243109.38
Ethiopia,ETH,2013,85982165.28
Ethiopia,ETH,2014,87704838.7
Ethiopia,ETH,2015,89401797.4
Finland,FIN,2000,415286.312
Finland,FIN,2001,381211.0742
Finland,FIN,2002,347558.8581
Finland,FIN,2003,312645.8755
Finland,FIN,2004,278523.9552
Finland,FIN,2005,244597.7839
Finland,FIN,2006,210086.1476
Finland,FIN,2007,175164.6739
Finland,FIN,2008,140116.4112
Finland,FIN,2009,104078.5486
Finland,FIN,2010,99127.11036
Finland,FIN,2011,112831.3516
Finland,FIN,2012,126856.6974
Finland,FIN,2013,140818.9394
Finland,FIN,2014,154315.6563
Finland,FIN,2015,149377.9081
France,FRA,2000,5543453.829
France,FRA,2001,5680979.858
France,FRA,2002,5784967.453
France,FRA,2003,5857279.077
France,FRA,2004,5945620.818
France,FRA,2005,6058477.081
France,FRA,2006,6152719.836
France,FRA,2007,6211101.983
France,FRA,2008,6245455.781
France,FRA,2009,6264320.269
France,FRA,2010,6282036.03
France,FRA,2011,6306718.12
France,FRA,2012,6346150.126
France,FRA,2013,6422011.671
France,FRA,2014,6482047.097
France,FRA,2015,6504369.543
Georgia,GEO,2000,912751.7203
Georgia,GEO,2001,912111.6224
Georgia,GEO,2002,912204.1197
Georgia,GEO,2003,883803.8834
Georgia,GEO,2004,836602.5883
Georgia,GEO,2005,789170.5951
Georgia,GEO,2006,757429.5353
Georgia,GEO,2007,765463.96
Georgia,GEO,2008,774705.1777
Georgia,GEO,2009,785138.7018
Georgia,GEO,2010,797964.9189
Georgia,GEO,2011,815312.0551
Georgia,GEO,2012,835961.1388
Georgia,GEO,2013,817260.3978
Georgia,GEO,2014,792887.9445
Georgia,GEO,2015,798417.8874
Germany,DEU,2000,847906.5125
Germany,DEU,2001,1072248.347
Germany,DEU,2002,1319714.889
Germany,DEU,2003,1494896.627
Germany,DEU,2004,1627684.642
Germany,DEU,2005,1750725.206
Germany,DEU,2006,1847410.376
Germany,DEU,2007,1937411.348
Germany,DEU,2008,1968519.389
Germany,DEU,2009,1905999.953
Germany,DEU,2010,1864452.496
Germany,DEU,2011,373078.3225
Germany,DEU,2012,491348.2672
Germany,DEU,2013,667981.1322
Germany,DEU,2014,969205.0262
Germany,DEU,2015,1631131.057
Ghana,GHA,2000,15963118.48
Ghana,GHA,2001,16310353.16
Ghana,GHA,2002,16597710.52
Ghana,GHA,2003,16890900.28
Ghana,GHA,2004,17188234.08
Ghana,GHA,2005,17488388.63
Ghana,GHA,2006,17790991.86
Ghana,GHA,2007,18094962.78
Ghana,GHA,2008,18396493.53
Ghana,GHA,2009,18691004.11
Ghana,GHA,2010,18974535.08
Ghana,GHA,2011,19245570.55
Ghana,GHA,2012,19504600.9
Ghana,GHA,2013,19752407.16
Ghana,GHA,2014,19990338.32
Ghana,GHA,2015,20219176.19
Gibraltar,GIB,2000,4088.217059
Gibraltar,GIB,2001,4055.38739
Gibraltar,GIB,2002,3905.448598
Gibraltar,GIB,2003,3698.116362
Gibraltar,GIB,2004,3473.945242
Gibraltar,GIB,2005,3280.603528
Gibraltar,GIB,2006,3137.986969
Gibraltar,GIB,2007,3022.142951
Gibraltar,GIB,2008,2928.16625
Gibraltar,GIB,2009,2837.180071
Gibraltar,GIB,2010,2748.260234
Gibraltar,GIB,2011,2632.435172
Gibraltar,GIB,2012,2518.610109
Gibraltar,GIB,2013,2411.62393
Gibraltar,GIB,2014,2344.249177
Gibraltar,GIB,2015,2316.334211
Greece,GRC,2000,11807.4579
Greece,GRC,2001,30646.92105
Greece,GRC,2002,42087.87552
Greece,GRC,2003,45548.71168
Greece,GRC,2004,50233.18309
Greece,GRC,2005,56560.43287
Greece,GRC,2006,57471.8181
Greece,GRC,2007,49206.1781
Greece,GRC,2008,45046.67771
Greece,GRC,2009,53581.59791
Greece,GRC,2010,66884.70169
Greece,GRC,2011,71980.24337
Greece,GRC,2012,52617.56511
Greece,GRC,2013,29435.8696
Greece,GRC,2014,13252.59855
Greenland,GRL,2000,3490.031049
Greenland,GRL,2001,3489.897624
Greenland,GRL,2002,3569.675848
Greenland,GRL,2003,3545.515737
Greenland,GRL,2004,3371.810683
Greenland,GRL,2005,3139.389218
Greenland,GRL,2006,2796.310983
Greenland,GRL,2007,2458.904478
Greenland,GRL,2008,2157.763616
Greenland,GRL,2009,2095.564617
Greenland,GRL,2010,2613.463022
Greenland,GRL,2011,2523.531124
Greenland,GRL,2012,2361.522257
Greenland,GRL,2013,2042.090482
Greenland,GRL,2014,1908.887304
Greenland,GRL,2015,1754.492241
Guatemala,GTM,2000,5786405.941
Guatemala,GTM,2001,5833601.15
Guatemala,GTM,2002,5882353.754
Guatemala,GTM,2003,5931415.176
Guatemala,GTM,2004,5978983.841
Guatemala,GTM,2005,6023782.79
Guatemala,GTM,2006,6065340.44
Guatemala,GTM,2007,6103867.49
Guatemala,GTM,2008,6139601.464
Guatemala,GTM,2009,6172973.893
Guatemala,GTM,2010,6204191.16
Guatemala,GTM,2011,6233161.116
Guatemala,GTM,2012,6259312.364
Guatemala,GTM,2013,6281939.342
Guatemala,GTM,2014,6300025.077
Guatemala,GTM,2015,6312847.814
Hungary,HUN,2000,4863728.068
Hungary,HUN,2001,4855042.482
Hungary,HUN,2002,4840554.022
Hungary,HUN,2003,4825404.093
Hungary,HUN,2004,4569177.8
Hungary,HUN,2005,4314733.268
Hungary,HUN,2006,4063471.87
Hungary,HUN,2007,3811193.059
Hungary,HUN,2008,3557037.919
Hungary,HUN,2009,3307134.859
Hungary,HUN,2010,3054077.698
Hungary,HUN,2011,2800266.048
Hungary,HUN,2012,2528147.543
Hungary,HUN,2013,2284141.006
Hungary,HUN,2014,2043349.248
Hungary,HUN,2015,1807067.341
Iceland,ISL,2000,29413.65387
Iceland,ISL,2001,28875.07649
Iceland,ISL,2002,27088.69795
Iceland,ISL,2003,24590.24684
Iceland,ISL,2004,22332.8084
Iceland,ISL,2005,21770.083
Iceland,ISL,2006,23100.92972
Iceland,ISL,2007,24753.55
Iceland,ISL,2008,24328.53117
Iceland,ISL,2009,19382.5776
Iceland,ISL,2010,13411.69853
Iceland,ISL,2011,9517.732364
Iceland,ISL,2012,6908.307773
Iceland,ISL,2013,5998.005236
Iceland,ISL,2014,5694.893982
Iceland,ISL,2015,7053.115227
Iran,IRN,2000,6126586.467
Iran,IRN,2001,6153079.829
Iran,IRN,2002,6172580.675
Iran,IRN,2003,6186981.789
Iran,IRN,2004,6198871.051
Iran,IRN,2005,6264219.695
Iran,IRN,2006,6331910.105
Iran,IRN,2007,6405908.728
Iran,IRN,2008,6483940.444
Iran,IRN,2009,6563536.515
Iran,IRN,2010,6644340.888
Iran,IRN,2011,6726794.985
Iran,IRN,2012,6810848.041
Iran,IRN,2013,6896889.178
Iran,IRN,2014,6983644.016
Iran,IRN,2015,7070320.937
Ireland,IRL,2000,280754.4767
Ireland,IRL,2001,267178.0078
Ireland,IRL,2002,251631.2969
Ireland,IRL,2003,228406.7014
Ireland,IRL,2004,207916.1286
Ireland,IRL,2005,197631.8227
Ireland,IRL,2006,204472.9245
Ireland,IRL,2007,217785.3497
Ireland,IRL,2008,198320.5324
Ireland,IRL,2009,145669.4751
Ireland,IRL,2010,90189.34376
Ireland,IRL,2011,51908.1018
Ireland,IRL,2012,32498.82177
Ireland,IRL,2013,29260.11308
Ireland,IRL,2014,35144.55894
Ireland,IRL,2015,66223.73852
Israel,ISR,2000,311972.6371
Israel,ISR,2001,346412.878
Israel,ISR,2002,367850.3115
Israel,ISR,2003,377677.6482
Israel,ISR,2004,378422.2745
Israel,ISR,2005,366705.4297
Israel,ISR,2006,340068.4996
Israel,ISR,2007,301554.6482
Israel,ISR,2008,258264.2288
Israel,ISR,2009,266940.0804
Israel,ISR,2010,248496.2448
Israel,ISR,2011,248602.3374
Israel,ISR,2012,262929.4927
Israel,ISR,2013,289370.6898
Israel,ISR,2014,324647.8463
Israel,ISR,2015,365254.6196
Italy,ITA,2000,7529827.795
Italy,ITA,2001,7051943.936
Italy,ITA,2002,6550623.235
Italy,ITA,2003,6171281.551
Italy,ITA,2004,5905922.67
Italy,ITA,2005,5581972.608
Italy,ITA,2006,5187901.602
Italy,ITA,2007,4947767.506
Italy,ITA,2008,4835163.495
Italy,ITA,2009,4630640.653
Italy,ITA,2010,4362872.987
Italy,ITA,2011,4041365.622
Italy,ITA,2012,3807157.455
Italy,ITA,2013,4130035.647
Italy,ITA,2014,4652319.657
Italy,ITA,2015,4712900.473
Japan,JPN,2000,5235314.499
Japan,JPN,2001,5290172.188
Japan,JPN,2002,5319952.091
Japan,JPN,2003,5327540.683
Japan,JPN,2004,5129484.731
Japan,JPN,2005,4889301.637
Japan,JPN,2006,4764273.975
Japan,JPN,2007,4748102.858
Japan,JPN,2008,4690978.81
Japan,JPN,2009,4599326.082
Japan,JPN,2010,4589391.322
Japan,JPN,2011,4363931.79
Japan,JPN,2012,4216351.646
Japan,JPN,2013,4129437.075
Japan,JPN,2014,4092183.172
Japan,JPN,2015,4118910.998
Jordan,JOR,2000,613591.7734
Jordan,JOR,2001,628901.6208
Jordan,JOR,2002,642347.965
Jordan,JOR,2003,657167.5926
Jordan,JOR,2004,677687.2654
Jordan,JOR,2005,707763.4919
Jordan,JOR,2006,745953.7798
Jordan,JOR,2007,793225.494
Jordan,JOR,2008,858364.4425
Jordan,JOR,2009,952622.7743
Jordan,JOR,2010,1082557.062
Jordan,JOR,2011,1252075.993
Jordan,JOR,2012,1454774.656
Jordan,JOR,2013,1673792.261
Jordan,JOR,2014,1885946.175
Jordan,JOR,2015,2074093.715
Kuwait,KWT,2000,121271
Kuwait,KWT,2001,119333
Kuwait,KWT,2002,101618
Kuwait,KWT,2003,73125
Kuwait,KWT,2004,41595
Kuwait,KWT,2005,13019
Kuwait,KWT,2013,4696
Kuwait,KWT,2014,29329
Kuwait,KWT,2015,43679
Kyrgyzstan,KGZ,2000,2601783.664
Kyrgyzstan,KGZ,2001,2628403.323
Kyrgyzstan,KGZ,2002,2648784.559
Kyrgyzstan,KGZ,2003,2679185.925
Kyrgyzstan,KGZ,2004,2716515.687
Kyrgyzstan,KGZ,2005,2672440.5
Kyrgyzstan,KGZ,2006,2617271.859
Kyrgyzstan,KGZ,2007,2547762.827
Kyrgyzstan,KGZ,2008,2470090.513
Kyrgyzstan,KGZ,2009,2399144.919
Kyrgyzstan,KGZ,2010,2320970.027
Kyrgyzstan,KGZ,2011,2237350.707
Kyrgyzstan,KGZ,2012,2171640.81
Kyrgyzstan,KGZ,2013,2118796.307
Kyrgyzstan,KGZ,2014,2064409.314
Kyrgyzstan,KGZ,2015,2018086.317
Latvia,LVA,2000,441395.4411
Latvia,LVA,2001,432502.7918
Latvia,LVA,2002,427361.3678
Latvia,LVA,2003,428099.884
Latvia,LVA,2004,426332.8537
Latvia,LVA,2005,424601.3296
Latvia,LVA,2006,426121.1572
Latvia,LVA,2007,429506.2655
Latvia,LVA,2008,427485.1934
Latvia,LVA,2009,412633.0462
Latvia,LVA,2010,389247.5404
Latvia,LVA,2011,372211.9876
Latvia,LVA,2012,367422.563
Latvia,LVA,2013,365449.4984
Latvia,LVA,2014,364444.5839
Latvia,LVA,2015,362974.2574
Lebanon,LBN,2000,1812178.628
Lebanon,LBN,2001,1873988.841
Lebanon,LBN,2002,1956592.628
Lebanon,LBN,2003,2047080.088
Lebanon,LBN,2004,2127456.648
Lebanon,LBN,2005,2186112.01
Lebanon,LBN,2006,2215350.844
Lebanon,LBN,2007,2221949.53
Lebanon,LBN,2008,2225907.947
Lebanon,LBN,2009,2254968.933
Lebanon,LBN,2010,2327069.901
Lebanon,LBN,2011,2449505.316
Lebanon,LBN,2012,2611024.704
Lebanon,LBN,2013,2788440.711
Lebanon,LBN,2014,2949418.851
Lebanon,LBN,2015,3070976.081
Liechtenstein,LIE,2000,4
Liechtenstein,LIE,2001,8
Liechtenstein,LIE,2002,23
Liechtenstein,LIE,2003,31
Liechtenstein,LIE,2004,27
Liechtenstein,LIE,2005,0
Lithuania,LTU,2000,1032158.409
Lithuania,LTU,2001,1008891.095
Lithuania,LTU,2002,986043.0515
Lithuania,LTU,2003,963529.5295
Lithuania,LTU,2004,892475.7152
Lithuania,LTU,2005,808311.732
Lithuania,LTU,2006,729652.8323
Lithuania,LTU,2007,668553.5401
Lithuania,LTU,2008,616585.3803
Lithuania,LTU,2009,566031.6957
Lithuania,LTU,2010,488415.2183
Lithuania,LTU,2011,410733.9253
Lithuania,LTU,2012,364777.1454
Lithuania,LTU,2013,329209.3702
Lithuania,LTU,2014,294641.0431
Lithuania,LTU,2015,265573.804
Luxembourg,LUX,2000,8469.74427
Luxembourg,LUX,2001,9642.414349
Luxembourg,LUX,2002,10799.54507
Luxembourg,LUX,2003,12702.12347
