Entity,Code,Year,Drinking water - Proportion of population using improved water supplies - Safely managed - National - Percent (%)
Bhutan,BTN,2008,31.46788363803242
Bhutan,BTN,2009,31.92431443564595
Bhutan,BTN,2010,32.37544019590057
Bhutan,BTN,2011,32.82113914329131
Bhutan,BTN,2012,33.25809835314117
Bhutan,BTN,2013,33.68592127337136
Bhutan,BTN,2014,34.02538007479886
Bhutan,BTN,2015,34.15480438501676
Bosnia and Herzegovina,BIH,2000,86.56146000465202
Bosnia and Herzegovina,BIH,2001,86.95765771777577
Bosnia and Herzegovina,BIH,2002,87.35460487322955
Bosnia and Herzegovina,BIH,2003,87.51170986379013
Bosnia and Herzegovina,BIH,2004,87.61199434524347
Bosnia and Herzegovina,BIH,2005,87.71233998199492
Bosnia and Herzegovina,BIH,2006,87.81274677404444
Bosnia and Herzegovina,BIH,2007,87.91321472139201
Bosnia and Herzegovina,BIH,2008,88.01439897408954
Bosnia and Herzegovina,BIH,2009,88.11617510748503
Bosnia and Herzegovina,BIH,2010,88.21845138863142
Bosnia and Herzegovina,BIH,2011,88.32116149589382
Bosnia and Herzegovina,BIH,2012,88.42420932808952
Bosnia and Herzegovina,BIH,2013,88.4787519661563
Bosnia and Herzegovina,BIH,2014,88.57216874879367
Bosnia and Herzegovina,BIH,2015,88.57549309958799
Bulgaria,BGR,2000,97.20850798124741
Bulgaria,BGR,2001,97.20936671076107
Bulgaria,BGR,2002,97.21057256513585
Bulgaria,BGR,2003,97.2117692299454
Bulgaria,BGR,2004,97.17794506473702
Bulgaria,BGR,2005,97.13236871349548
Bulgaria,BGR,2006,97.0870416008681
Bulgaria,BGR,2007,97.04196531294645
Bulgaria,BGR,2008,96.99713760197042
Bulgaria,BGR,2009,96.95255051319494
Bulgaria,BGR,2010,96.90820675659161
Bulgaria,BGR,2011,96.86409762816187
Bulgaria,BGR,2012,96.8202197562657
Bulgaria,BGR,2013,96.77656256377121
Bulgaria,BGR,2014,96.53954596940599
Bulgaria,BGR,2015,96.55161315462625
Cambodia,KHM,2000,16.86503762955596
Cambodia,KHM,2001,17.32973145936051
