Entity,Code,Year,"Out-of-school children of primary school age, female (number) ( )"
East Asia & Pacific,,1987,7076843
East Asia & Pacific,,1988,5361166
East Asia & Pacific,,1989,5109337
East Asia & Pacific,,1990,5388822
East Asia & Pacific,,1991,5185185
East Asia & Pacific,,1992,5220528
East Asia & Pacific,,1993,5817214
East Asia & Pacific,,1994,6667306
East Asia & Pacific,,1995,7798933
East Asia & Pacific,,1996,8580760
East Asia & Pacific,,1997,9235406
East Asia & Pacific,,1998,7511571
East Asia & Pacific,,1999,5701863
East Asia & Pacific,,2000,5287715
East Asia & Pacific,,2001,4623051
East Asia & Pacific,,2002,2443502
East Asia & Pacific,,2003,2648598
East Asia & Pacific,,2004,2778048
East Asia & Pacific,,2005,4636878
East Asia & Pacific,,2006,4903592
East Asia & Pacific,,2007,3813888
East Asia & Pacific,,2008,3678411
East Asia & Pacific,,2009,3320921
East Asia & Pacific,,2010,2975856
East Asia & Pacific,,2011,2580154
East Asia & Pacific,,2012,2809034
East Asia & Pacific,,2013,2961459
East Asia & Pacific,,2014,2993418
East Asia & Pacific (all income levels),,1985,14900030
East Asia & Pacific (all income levels),,1986,11047993
East Asia & Pacific (all income levels),,1987,7127720
East Asia & Pacific (all income levels),,1988,5403832
East Asia & Pacific (all income levels),,1989,5151716
East Asia & Pacific (all income levels),,1990,5442034
East Asia & Pacific (all income levels),,1991,5250106
East Asia & Pacific (all income levels),,1992,5290394
East Asia & Pacific (all income levels),,1993,5908374
East Asia & Pacific (all income levels),,1994,6746412
East Asia & Pacific (all income levels),,1995,7891425
East Asia & Pacific (all income levels),,1996,8666863
East Asia & Pacific (all income levels),,1997,9325469
East Asia & Pacific (all income levels),,1998,7603272
East Asia & Pacific (all income levels),,1999,5781450
East Asia & Pacific (all income levels),,2000,5362776
East Asia & Pacific (all income levels),,2001,4708577
East Asia & Pacific (all income levels),,2002,2533860
East Asia & Pacific (all income levels),,2003,2718400
East Asia & Pacific (all income levels),,2004,2844816
East Asia & Pacific (all income levels),,2005,4697266
East Asia & Pacific (all income levels),,2006,4960987
East Asia & Pacific (all income levels),,2007,3863703
East Asia & Pacific (all income levels),,2008,3726941
East Asia & Pacific (all income levels),,2009,3380772
East Asia & Pacific (all income levels),,2010,3041212
East Asia & Pacific (all income levels),,2011,2635237
East Asia & Pacific (all income levels),,2012,2867453
East Asia & Pacific (all income levels),,2013,3055246
East Asia & Pacific (all income levels),,2014,3086232
Ecuador,ECU,1971,103230
Ecuador,ECU,1973,106672
Ecuador,ECU,1974,102944
Ecuador,ECU,1975,106842
Ecuador,ECU,1976,106876
Ecuador,ECU,1977,92438
Ecuador,ECU,1978,84048
Ecuador,ECU,1979,68605
Ecuador,ECU,1980,78231
Ecuador,ECU,1994,57750
Ecuador,ECU,1995,55751
Ecuador,ECU,1996,47585
Ecuador,ECU,1997,29034
Ecuador,ECU,1998,24589
Ecuador,ECU,1999,25641
Ecuador,ECU,2000,21169
Ecuador,ECU,2001,8812
Ecuador,ECU,2009,12694
Ecuador,ECU,2010,19837
Ecuador,ECU,2014,21518
Egypt,EGY,1971,1289344
Egypt,EGY,1972,1311342
Egypt,EGY,1973,1342975
Egypt,EGY,1978,1326148
Egypt,EGY,1994,816070
Egypt,EGY,1997,742991
Egypt,EGY,1999,649581
Egypt,EGY,2000,579451
Egypt,EGY,2001,480957
Egypt,EGY,2002,388975
Egypt,EGY,2003,296144
Egypt,EGY,2004,179822
Egypt,EGY,2012,145352
Egypt,EGY,2014,33219
El Salvador,SLV,1970,110538
El Salvador,SLV,1983,95730
El Salvador,SLV,1998,44348
El Salvador,SLV,2000,31540
El Salvador,SLV,2001,26255
El Salvador,SLV,2002,16622
El Salvador,SLV,2003,15184
El Salvador,SLV,2005,12265
El Salvador,SLV,2006,12826
El Salvador,SLV,2007,14916
El Salvador,SLV,2008,14029
El Salvador,SLV,2009,13844
El Salvador,SLV,2010,14173
El Salvador,SLV,2011,15196
El Salvador,SLV,2012,15405
El Salvador,SLV,2013,14012
El Salvador,SLV,2014,18824
Equatorial Guinea,GNQ,1994,5616
Equatorial Guinea,GNQ,2000,14138
Equatorial Guinea,GNQ,2001,11163
Equatorial Guinea,GNQ,2002,12431
Equatorial Guinea,GNQ,2003,12571
Equatorial Guinea,GNQ,2008,23702
Equatorial Guinea,GNQ,2009,24181
Equatorial Guinea,GNQ,2010,24445
Equatorial Guinea,GNQ,2011,23638
Equatorial Guinea,GNQ,2012,22806
Eritrea,ERI,1992,188718
Eritrea,ERI,1994,192708
Eritrea,ERI,1995,195283
Eritrea,ERI,1996,196466
Eritrea,ERI,1997,197874
Eritrea,ERI,1999,189431
Eritrea,ERI,2000,177036
Eritrea,ERI,2001,171383
Eritrea,ERI,2002,158180
Eritrea,ERI,2003,145762
Eritrea,ERI,2004,138889
Eritrea,ERI,2005,134400
Eritrea,ERI,2006,135027
Eritrea,ERI,2007,147507
Eritrea,ERI,2008,159019
Eritrea,ERI,2009,171279
Eritrea,ERI,2010,183321
Eritrea,ERI,2011,184897
Eritrea,ERI,2012,186120
Eritrea,ERI,2013,205607
Estonia,EST,1995,9045
Estonia,EST,1996,6499
Estonia,EST,1999,10
Estonia,EST,2000,13
Estonia,EST,2001,13
Estonia,EST,2003,927
Estonia,EST,2004,1287
Estonia,EST,2005,1461
Estonia,EST,2006,1672
Estonia,EST,2007,1142
Estonia,EST,2008,1369
Estonia,EST,2009,1503
Estonia,EST,2010,481
Estonia,EST,2011,81
Estonia,EST,2012,66
Estonia,EST,2013,209
Ethiopia,ETH,1987,2558422
Ethiopia,ETH,1988,2635974
Ethiopia,ETH,1989,2748673
Ethiopia,ETH,1994,3751628
Ethiopia,ETH,1995,3826832
Ethiopia,ETH,1996,3806033
Ethiopia,ETH,1998,3690367
Ethiopia,ETH,1999,3635733
Ethiopia,ETH,2000,3497146
Ethiopia,ETH,2001,3342293
Ethiopia,ETH,2002,3303446
Ethiopia,ETH,2003,3350457
Ethiopia,ETH,2004,3244754
Ethiopia,ETH,2005,2646058
Ethiopia,ETH,2006,2391974
Ethiopia,ETH,2007,2116440
Ethiopia,ETH,2008,1788760
Ethiopia,ETH,2009,1822672
Ethiopia,ETH,2010,2014672
Ethiopia,ETH,2011,1777390
Ethiopia,ETH,2012,1705794
Ethiopia,ETH,2014,1276071
Euro area,,1970,489905
Euro area,,1971,495049
Euro area,,1972,480061
Euro area,,1973,490615
Euro area,,1974,446769
Euro area,,1975,425341
Euro area,,1976,383120
Euro area,,1977,380163
Euro area,,1978,343148
Euro area,,1979,311923
Euro area,,1980,303821
Euro area,,1981,289792
Euro area,,1982,312703
Euro area,,1983,361815
Euro area,,1984,372659
Euro area,,1985,361063
Euro area,,1986,280980
Euro area,,1987,260663
Euro area,,1988,240581
Euro area,,1989,230552
Euro area,,1990,250630
Euro area,,1991,247367
Euro area,,1992,293871
Euro area,,1993,294862
Euro area,,1994,334029
Euro area,,1995,288900
Euro area,,1996,221752
Euro area,,1997,158381
Euro area,,1998,75737
Euro area,,1999,53677
Euro area,,2000,48984
Euro area,,2001,57124
Euro area,,2002,63003
Euro area,,2003,81091
Euro area,,2004,104963
Euro area,,2005,114143
Euro area,,2006,111617
Euro area,,2007,88835
Euro area,,2008,83578
Euro area,,2009,79356
Euro area,,2010,72336
Euro area,,2011,82119
Euro area,,2012,69231
Euro area,,2013,73023
Euro area,,2014,96690
Europe & Central Asia,,1992,836446
Europe & Central Asia,,1993,991044
Europe & Central Asia,,1994,1042918
Europe & Central Asia,,1995,1121723
Europe & Central Asia,,1996,1115938
Europe & Central Asia,,1997,1198935
Europe & Central Asia,,1998,1111669
Europe & Central Asia,,1999,1007593
Europe & Central Asia,,2000,827748
Europe & Central Asia,,2001,600668
Europe & Central Asia,,2002,446221
Europe & Central Asia,,2003,489661
Europe & Central Asia,,2004,442667
Europe & Central Asia,,2005,627776
Europe & Central Asia,,2006,594119
Europe & Central Asia,,2007,554540
Europe & Central Asia,,2008,533995
Europe & Central Asia,,2009,551455
Europe & Central Asia,,2010,504836
Europe & Central Asia,,2011,485938
Europe & Central Asia,,2012,516727
Europe & Central Asia,,2013,495048
Europe & Central Asia,,2014,538289
Europe & Central Asia (all income levels),,1973,2185344
Europe & Central Asia (all income levels),,1974,2168430
Europe & Central Asia (all income levels),,1975,2119099
Europe & Central Asia (all income levels),,1976,1989957
Europe & Central Asia (all income levels),,1977,1956728
Europe & Central Asia (all income levels),,1978,1933838
Europe & Central Asia (all income levels),,1979,1871732
Europe & Central Asia (all income levels),,1980,1891539
Europe & Central Asia (all income levels),,1981,2046447
Europe & Central Asia (all income levels),,1982,2011003
Europe & Central Asia (all income levels),,1983,2048891
Europe & Central Asia (all income levels),,1984,1812197
Europe & Central Asia (all income levels),,1985,1813525
Europe & Central Asia (all income levels),,1986,1652828
Europe & Central Asia (all income levels),,1987,1586046
Europe & Central Asia (all income levels),,1988,1440250
Europe & Central Asia (all income levels),,1989,1505489
Europe & Central Asia (all income levels),,1990,1475151
Europe & Central Asia (all income levels),,1991,1366102
Europe & Central Asia (all income levels),,1992,1427778
Europe & Central Asia (all income levels),,1993,1543836
Europe & Central Asia (all income levels),,1994,1611313
Europe & Central Asia (all income levels),,1995,1659277
Europe & Central Asia (all income levels),,1996,1593866
Europe & Central Asia (all income levels),,1997,1540254
Europe & Central Asia (all income levels),,1998,1289075
Europe & Central Asia (all income levels),,1999,1163655
Europe & Central Asia (all income levels),,2000,973582
Europe & Central Asia (all income levels),,2001,741082
Europe & Central Asia (all income levels),,2002,599874
Europe & Central Asia (all income levels),,2003,667794
Europe & Central Asia (all income levels),,2004,672664
Europe & Central Asia (all income levels),,2005,859836
Europe & Central Asia (all income levels),,2006,814528
Europe & Central Asia (all income levels),,2007,772642
Europe & Central Asia (all income levels),,2008,706674
Europe & Central Asia (all income levels),,2009,716600
Europe & Central Asia (all income levels),,2010,639105
Europe & Central Asia (all income levels),,2011,623363
Europe & Central Asia (all income levels),,2012,638992
Europe & Central Asia (all income levels),,2013,622427
Europe & Central Asia (all income levels),,2014,691112
European Union,,1970,741287
European Union,,1971,740748
European Union,,1972,721763
European Union,,1973,757445
European Union,,1974,719546
European Union,,1975,715197
European Union,,1976,680278
European Union,,1977,687442
European Union,,1978,670308
European Union,,1979,661693
European Union,,1980,646442
European Union,,1981,673548
European Union,,1982,665071
European Union,,1983,715627
European Union,,1984,727279
European Union,,1985,749749
European Union,,1986,673183
European Union,,1987,626192
European Union,,1988,611520
European Union,,1989,648918
European Union,,1990,698651
European Union,,1991,729012
European Union,,1992,781541
European Union,,1993,724991
European Union,,1994,678059
European Union,,1995,615102
European Union,,1996,534852
European Union,,1997,401290
European Union,,1998,211884
European Union,,1999,205528
European Union,,2000,195239
European Union,,2001,188750
European Union,,2002,187329
European Union,,2003,195376
European Union,,2004,236922
European Union,,2005,245253
European Union,,2006,244150
European Union,,2007,238892
European Union,,2008,195933
European Union,,2009,189345
European Union,,2010,161032
European Union,,2011,169522
European Union,,2012,162674
European Union,,2013,177147
European Union,,2014,202346
Fiji,FJI,1992,1816
Fiji,FJI,1994,1568
Fiji,FJI,1995,2270
Fiji,FJI,1996,3797
Fiji,FJI,1997,3564
Fiji,FJI,1998,2918
Fiji,FJI,1999,2955
Fiji,FJI,2000,2800
Fiji,FJI,2001,1043
Fiji,FJI,2003,51
Fiji,FJI,2004,325
Fiji,FJI,2006,220
Fiji,FJI,2009,171
Fiji,FJI,2013,780
Finland,FIN,1993,2222
Finland,FIN,1994,2225
Finland,FIN,1995,2871
Finland,FIN,1996,2267
Finland,FIN,1997,2034
Finland,FIN,1998,1004
Finland,FIN,2001,334
Finland,FIN,2002,862
Finland,FIN,2003,2392
Finland,FIN,2004,4223
Finland,FIN,2005,4632
Finland,FIN,2006,5293
Finland,FIN,2007,4424
Finland,FIN,2008,4165
Finland,FIN,2009,3952
Finland,FIN,2010,3456
Finland,FIN,2011,2896
Finland,FIN,2012,1259
Finland,FIN,2013,333
Finland,FIN,2014,196
France,FRA,1971,40450
France,FRA,1972,37486
France,FRA,1982,28006
France,FRA,1983,67701
France,FRA,1985,76428
France,FRA,1986,25497
France,FRA,1992,7339
France,FRA,1993,38281
France,FRA,1994,44357
France,FRA,1995,25802
France,FRA,1996,5936
France,FRA,1997,6515
France,FRA,1999,3250
France,FRA,2000,3497
France,FRA,2001,3595
France,FRA,2002,3425
France,FRA,2003,7177
France,FRA,2004,12868
France,FRA,2005,9877
France,FRA,2006,12937
France,FRA,2007,13135
France,FRA,2008,13763
France,FRA,2009,11057
France,FRA,2010,10704
France,FRA,2011,10124
France,FRA,2012,10181
France,FRA,2013,7010
France,FRA,2014,6756
Gabon,GAB,1997,7884
Gambia,GMB,1971,24831
Gambia,GMB,1972,26316
Gambia,GMB,1973,27470
Gambia,GMB,1974,28836
Gambia,GMB,1975,30209
Gambia,GMB,1976,31690
Gambia,GMB,1977,30691
Gambia,GMB,1978,29744
Gambia,GMB,1979,30756
Gambia,GMB,1980,30675
Gambia,GMB,1981,28602
Gambia,GMB,1982,28657
Gambia,GMB,1983,28281
Gambia,GMB,1984,27827
Gambia,GMB,1985,27777
Gambia,GMB,1986,28867
Gambia,GMB,1992,47762
Gambia,GMB,1993,47034
Gambia,GMB,1996,41441
Gambia,GMB,1998,38451
Gambia,GMB,1999,28360
Gambia,GMB,2000,29921
Gambia,GMB,2001,28337
Gambia,GMB,2002,31249
Gambia,GMB,2003,26109
Gambia,GMB,2004,25306
Gambia,GMB,2005,28529
Gambia,GMB,2006,24254
Gambia,GMB,2007,25079
Gambia,GMB,2008,30975
Gambia,GMB,2010,37779
Gambia,GMB,2011,38583
Gambia,GMB,2012,35872
Gambia,GMB,2013,43426
Gambia,GMB,2014,44729
Georgia,GEO,1995,28880
Georgia,GEO,1996,26681
Georgia,GEO,1997,25716
Georgia,GEO,2004,21412
Georgia,GEO,2005,17719
Georgia,GEO,2006,6851
Georgia,GEO,2007,8644
Ghana,GHA,1999,559193
Ghana,GHA,2000,514939
Ghana,GHA,2001,598372
Ghana,GHA,2002,568915
Ghana,GHA,2003,589650
Ghana,GHA,2004,627559
Ghana,GHA,2005,536072
Ghana,GHA,2006,540734
Ghana,GHA,2007,449966
Ghana,GHA,2008,364546
Ghana,GHA,2009,399206
Ghana,GHA,2011,283703
Ghana,GHA,2012,345681
Ghana,GHA,2013,241632
Ghana,GHA,2014,199242
Ghana,GHA,2015,151839
Greece,GRC,1971,11190
Greece,GRC,1972,10144
Greece,GRC,1973,8564
Greece,GRC,1974,6693
Greece,GRC,1975,10269
Greece,GRC,1976,12962
Greece,GRC,1977,17241
Greece,GRC,1978,20178
Greece,GRC,1979,22545
Greece,GRC,1980,25994
Greece,GRC,1981,11756
Greece,GRC,1982,6757
Greece,GRC,1987,10181
Greece,GRC,1988,9202
Greece,GRC,1989,14411
Greece,GRC,1990,17953
Greece,GRC,1991,17801
Greece,GRC,1992,21947
Greece,GRC,1993,29242
Greece,GRC,1994,32562
Greece,GRC,1995,26146
Greece,GRC,1996,33685
Greece,GRC,1997,33707
Greece,GRC,1998,11429
Greece,GRC,1999,10056
Greece,GRC,2000,5415
Greece,GRC,2001,7787
Greece,GRC,2002,7700
Greece,GRC,2003,7453
Greece,GRC,2004,10224
Greece,GRC,2005,12724
Greece,GRC,2006,13799
Greece,GRC,2007,11357
Greece,GRC,2010,6934
Greece,GRC,2011,8330
Greece,GRC,2012,8394
Greece,GRC,2013,10292
Grenada,GRD,1972,1845
Grenada,GRD,1977,197
Grenada,GRD,1980,479
Grenada,GRD,1981,769
Grenada,GRD,1982,1013
Grenada,GRD,1983,997
Grenada,GRD,1984,766
Grenada,GRD,2002,359
Grenada,GRD,2004,105
Grenada,GRD,2005,629
Grenada,GRD,2007,423
Grenada,GRD,2008,240
Grenada,GRD,2009,49
Grenada,GRD,2013,97
Grenada,GRD,2014,170
Guatemala,GTM,1970,234564
Guatemala,GTM,1971,238968
Guatemala,GTM,1972,244506
Guatemala,GTM,1974,253289
Guatemala,GTM,1975,255733
Guatemala,GTM,1978,266492
Guatemala,GTM,1981,261774
Guatemala,GTM,1982,283406
Guatemala,GTM,1983,273073
Guatemala,GTM,1997,279310
Guatemala,GTM,1999,194429
Guatemala,GTM,2000,167206
Guatemala,GTM,2001,175653
Guatemala,GTM,2002,142285
Guatemala,GTM,2004,98731
Guatemala,GTM,2005,83829
Guatemala,GTM,2006,69791
Guatemala,GTM,2007,57743
Guatemala,GTM,2008,56642
Guatemala,GTM,2009,17472
Guatemala,GTM,2010,16658
Guatemala,GTM,2011,38395
Guatemala,GTM,2012,72099
Guatemala,GTM,2013,101212
Guatemala,GTM,2014,127722
Guinea,GIN,1984,293172
Guinea,GIN,1985,297943
Guinea,GIN,1986,312250
Guinea,GIN,1987,329653
Guinea,GIN,1988,338735
Guinea,GIN,1989,352252
Guinea,GIN,1990,370409
Guinea,GIN,1991,380733
Guinea,GIN,1998,456041
Guinea,GIN,1999,447066
Guinea,GIN,2000,428539
Guinea,GIN,2001,409802
Guinea,GIN,2002,368221
Guinea,GIN,2003,347189
Guinea,GIN,2004,328789
Guinea,GIN,2005,315672
Guinea,GIN,2006,299962
Guinea,GIN,2007,290887
Guinea,GIN,2008,307667
Guinea,GIN,2009,306622
Guinea,GIN,2010,305808
Guinea,GIN,2011,271472
Guinea,GIN,2012,284518
Guinea,GIN,2013,284935
Guinea,GIN,2014,260689
Guinea-Bissau,GNB,1981,45011
Guinea-Bissau,GNB,1982,43332
Guinea-Bissau,GNB,1984,45840
Guinea-Bissau,GNB,1985,46706
Guinea-Bissau,GNB,1987,52423
Guinea-Bissau,GNB,1988,54922
Guinea-Bissau,GNB,2000,64302
Guinea-Bissau,GNB,2010,39845
Guyana,GUY,1971,10379
Guyana,GUY,1972,10136
Guyana,GUY,1974,6795
Guyana,GUY,1976,6022
Guyana,GUY,1977,1991
Guyana,GUY,1979,4379
Guyana,GUY,1982,8521
Guyana,GUY,1995,3550
Guyana,GUY,1996,3934
Guyana,GUY,2003,6944
Guyana,GUY,2008,6531
Guyana,GUY,2009,10630
Guyana,GUY,2010,9754
Guyana,GUY,2011,9207
Guyana,GUY,2012,9098
Haiti,HTI,1981,270910
Haiti,HTI,1982,255628
Haiti,HTI,1983,239484
Haiti,HTI,1984,261049
Haiti,HTI,1985,248446
Haiti,HTI,1986,242770
Haiti,HTI,1987,289237
Haiti,HTI,1997,280430
Heavily indebted poor countries (HIPC),,1972,13192153
Heavily indebted poor countries (HIPC),,1973,13332703
Heavily indebted poor countries (HIPC),,1974,13525996
Heavily indebted poor countries (HIPC),,1975,13417406
Heavily indebted poor countries (HIPC),,1976,13305903
Heavily indebted poor countries (HIPC),,1977,13220270
Heavily indebted poor countries (HIPC),,1978,13242677
Heavily indebted poor countries (HIPC),,1979,13290744
Heavily indebted poor countries (HIPC),,1980,13149295
Heavily indebted poor countries (HIPC),,1981,13150628
Heavily indebted poor countries (HIPC),,1982,13674951
Heavily indebted poor countries (HIPC),,1983,13864682
Heavily indebted poor countries (HIPC),,1984,14308232
Heavily indebted poor countries (HIPC),,1985,14739629
Heavily indebted poor countries (HIPC),,1986,15065276
Heavily indebted poor countries (HIPC),,1987,15794736
Heavily indebted poor countries (HIPC),,1988,16235425
Heavily indebted poor countries (HIPC),,1989,17036988
Heavily indebted poor countries (HIPC),,1990,17838688
Heavily indebted poor countries (HIPC),,1991,17834988
Heavily indebted poor countries (HIPC),,1992,18577686
Heavily indebted poor countries (HIPC),,1993,19173028
Heavily indebted poor countries (HIPC),,1994,19390436
Heavily indebted poor countries (HIPC),,1995,19346824
Heavily indebted poor countries (HIPC),,1996,19925648
Heavily indebted poor countries (HIPC),,1997,19471004
Heavily indebted poor countries (HIPC),,1998,19876148
Heavily indebted poor countries (HIPC),,1999,20214608
Heavily indebted poor countries (HIPC),,2000,19995636
Heavily indebted poor countries (HIPC),,2001,19369948
Heavily indebted poor countries (HIPC),,2002,18355650
Heavily indebted poor countries (HIPC),,2003,17543776
Heavily indebted poor countries (HIPC),,2004,16765111
Heavily indebted poor countries (HIPC),,2005,16032079
Heavily indebted poor countries (HIPC),,2006,15234759
Heavily indebted poor countries (HIPC),,2007,14710203
Heavily indebted poor countries (HIPC),,2008,13463049
Heavily indebted poor countries (HIPC),,2009,13659335
Heavily indebted poor countries (HIPC),,2010,13955730
Heavily indebted poor countries (HIPC),,2011,13491663
Heavily indebted poor countries (HIPC),,2012,12991835
Heavily indebted poor countries (HIPC),,2013,12623940
Heavily indebted poor countries (HIPC),,2014,12418911
High income,,1971,3516730
High income,,1972,3522907
High income,,1973,3380356
High income,,1974,3493924
High income,,1975,3333068
High income,,1976,3052028
High income,,1977,2992319
High income,,1978,2882725
High income,,1979,2842227
High income,,1980,2109817
High income,,1981,2124362
High income,,1982,1943450
High income,,1983,2142194
High income,,1984,2270241
High income,,1985,2247404
High income,,1986,2022236
High income,,1987,1787486
High income,,1988,1673217
High income,,1989,1622152
High income,,1990,1572117
High income,,1991,1646474
High income,,1992,1865343
High income,,1993,1991646
High income,,1994,1999682
High income,,1995,1840996
High income,,1996,1781201
High income,,1997,1514287
High income,,1998,1221229
High income,,1999,1114388
High income,,2000,1080105
High income,,2001,1033336
High income,,2002,1187539
High income,,2003,1257717
High income,,2004,1371737
High income,,2005,1255388
High income,,2006,1066369
High income,,2007,951503
High income,,2008,867984
High income,,2009,933049
High income,,2010,1027964
High income,,2011,1087380
High income,,2012,1087404
High income,,2013,1300312
High income,,2014,1104028
Honduras,HND,1979,70352
Honduras,HND,1980,69874
Honduras,HND,1982,38584
Honduras,HND,1983,31797
Honduras,HND,1984,28074
Honduras,HND,1986,26665
Honduras,HND,1991,47550
Honduras,HND,1993,44832
Honduras,HND,2000,55703
Honduras,HND,2003,31942
Honduras,HND,2004,20888
Honduras,HND,2005,42452
Honduras,HND,2006,15701
Honduras,HND,2007,39136
Honduras,HND,2008,15958
Honduras,HND,2009,13648
Honduras,HND,2010,16229
Honduras,HND,2011,10431
Honduras,HND,2012,11111
Honduras,HND,2013,24762
Honduras,HND,2014,25029
Hong Kong,HKG,1971,42736
Hong Kong,HKG,1972,39312
Hong Kong,HKG,1973,39901
Hong Kong,HKG,1974,37273
Hong Kong,HKG,1975,34619
Hong Kong,HKG,1976,32959
Hong Kong,HKG,1977,29790
Hong Kong,HKG,1978,29102
Hong Kong,HKG,1979,25466
Hong Kong,HKG,1980,13960
Hong Kong,HKG,1981,13553
Hong Kong,HKG,1982,13633
Hong Kong,HKG,1983,11514
Hong Kong,HKG,1984,9307
Hong Kong,HKG,1985,7924
Hong Kong,HKG,1995,17232
Hong Kong,HKG,1996,17601
Hong Kong,HKG,2012,2097
Hong Kong,HKG,2013,1812
Hong Kong,HKG,2014,1329
Hungary,HUN,1996,55009
Hungary,HUN,1997,33516
Hungary,HUN,1998,9417
Hungary,HUN,1999,9317
Hungary,HUN,2000,7903
Hungary,HUN,2001,6725
Hungary,HUN,2002,6378
Hungary,HUN,2003,9186
Hungary,HUN,2004,9736
Hungary,HUN,2005,8200
Hungary,HUN,2006,6465
Hungary,HUN,2007,6617
Hungary,HUN,2008,3932
Hungary,HUN,2009,2160
Hungary,HUN,2010,2322
Hungary,HUN,2011,3832
Hungary,HUN,2012,5781
Hungary,HUN,2013,7386
Hungary,HUN,2014,7737
Iceland,ISL,1994,386
Iceland,ISL,1996,225
Iceland,ISL,1997,196
Iceland,ISL,1998,188
Iceland,ISL,2004,488
Iceland,ISL,2005,499
Iceland,ISL,2006,393
Iceland,ISL,2007,256
Iceland,ISL,2008,165
Iceland,ISL,2009,100
Iceland,ISL,2010,153
Iceland,ISL,2011,171
Iceland,ISL,2012,162
India,IND,1971,18054748
India,IND,1990,17687004
India,IND,2000,13416546
India,IND,2001,13016778
India,IND,2002,12829139
India,IND,2003,7354612
India,IND,2007,2248144
India,IND,2008,1406158
India,IND,2009,1865020
India,IND,2010,1688497
India,IND,2011,1695210
India,IND,2012,1384677
India,IND,2013,931474
Indonesia,IDN,1971,3158622
Indonesia,IDN,1972,3141955
Indonesia,IDN,1974,3562982
Indonesia,IDN,1975,3162470
Indonesia,IDN,1976,2910525
Indonesia,IDN,1978,2074248
Indonesia,IDN,1981,1663321
Indonesia,IDN,1987,422500
Indonesia,IDN,1989,475971
Indonesia,IDN,1990,674600
Indonesia,IDN,1991,790333
Indonesia,IDN,1992,933444
Indonesia,IDN,1993,1084350
Indonesia,IDN,1994,1045218
Indonesia,IDN,1995,1090244
Indonesia,IDN,1996,1147133
Indonesia,IDN,1997,1150519
Indonesia,IDN,2001,585379
Indonesia,IDN,2002,645553
Indonesia,IDN,2003,766658
Indonesia,IDN,2005,1094703
Indonesia,IDN,2006,934147
Indonesia,IDN,2007,670689
Indonesia,IDN,2008,677076
Indonesia,IDN,2009,611359
Indonesia,IDN,2010,380792
Indonesia,IDN,2011,227611
Indonesia,IDN,2012,556230
Indonesia,IDN,2013,855416
Indonesia,IDN,2014,1043640
Iran,IRN,1984,742041
Iran,IRN,1985,742991
Iran,IRN,1986,725071
Iran,IRN,1987,740819
Iran,IRN,1988,706419
Iran,IRN,1989,682306
Iran,IRN,1990,476684
Iran,IRN,1992,283297
Iran,IRN,1997,379640
Iran,IRN,1999,673018
Iran,IRN,2000,661766
Iran,IRN,2002,304839
Iran,IRN,2003,291839
Iran,IRN,2004,169325
Iran,IRN,2005,152479
Iran,IRN,2007,4670
Iraq,IRQ,1971,492099
Iraq,IRQ,1972,507401
Iraq,IRQ,1973,518651
Iraq,IRQ,1974,527656
Iraq,IRQ,1975,530236
Iraq,IRQ,1976,490798
Iraq,IRQ,1977,474668
Iraq,IRQ,1978,455233
Iraq,IRQ,1979,214638
Iraq,IRQ,1980,139820
Iraq,IRQ,1981,133483
Iraq,IRQ,1983,192602
Iraq,IRQ,1985,235600
Iraq,IRQ,1986,230871
Iraq,IRQ,1987,216709
Iraq,IRQ,1988,193676
Iraq,IRQ,1989,235883
Iraq,IRQ,1993,406961
Iraq,IRQ,1996,481422
Iraq,IRQ,1999,303671
Iraq,IRQ,2000,328460
Iraq,IRQ,2004,268619
Iraq,IRQ,2007,293087
Ireland,IRL,1971,7990
Ireland,IRL,1972,10805
Ireland,IRL,1973,10516
Ireland,IRL,1974,11775
Ireland,IRL,1975,10199
Ireland,IRL,1976,8282
Ireland,IRL,1977,6937
Ireland,IRL,1978,6224
Ireland,IRL,1979,8190
Ireland,IRL,1980,12068
Ireland,IRL,1981,17893
Ireland,IRL,1982,24207
Ireland,IRL,1983,28611
Ireland,IRL,1986,30638
Ireland,IRL,1987,28723
Ireland,IRL,1988,26117
Ireland,IRL,1989,24191
Ireland,IRL,1990,22688
Ireland,IRL,1991,23784
Ireland,IRL,1992,25296
Ireland,IRL,1993,25340
Ireland,IRL,1994,24383
Ireland,IRL,1995,22992
Ireland,IRL,1996,20723
Ireland,IRL,1997,17258
Ireland,IRL,1998,502
Ireland,IRL,2010,25
Ireland,IRL,2011,2049
Ireland,IRL,2012,446
Ireland,IRL,2013,975
Israel,ISR,1999,8128
Israel,ISR,2000,7397
Israel,ISR,2001,5077
Israel,ISR,2002,6148
Israel,ISR,2003,5915
Israel,ISR,2004,6870
Israel,ISR,2005,7223
Israel,ISR,2006,8616
Israel,ISR,2007,8016
Israel,ISR,2008,8454
Israel,ISR,2009,10036
Israel,ISR,2010,8404
Israel,ISR,2011,10016
Israel,ISR,2012,7823
Israel,ISR,2013,9801
Israel,ISR,2014,10626
Italy,ITA,1976,18498
Italy,ITA,1979,9222
Italy,ITA,1985,12870
Italy,ITA,1996,28920
Italy,ITA,1997,14562
Italy,ITA,2000,3740
Italy,ITA,2001,6083
Italy,ITA,2002,7357
Italy,ITA,2003,9399
Italy,ITA,2004,9231
Italy,ITA,2005,15018
