Entity,Code,Year,Labour productivity per hour (2013=100)
United Kingdom,GBR,1828,4.163803818
United Kingdom,GBR,1829,4.162023824
United Kingdom,GBR,1830,4.225797881
United Kingdom,GBR,1831,4.275784051
United Kingdom,GBR,1832,4.337164229
United Kingdom,GBR,1833,4.321390268
United Kingdom,GBR,1834,4.380544539
United Kingdom,GBR,1835,4.542182873
United Kingdom,GBR,1836,4.588622052
United Kingdom,GBR,1837,4.575719922
United Kingdom,GBR,1838,4.715314958
United Kingdom,GBR,1839,4.712774531
United Kingdom,GBR,1840,4.888968495
United Kingdom,GBR,1841,4.81705752
United Kingdom,GBR,1842,4.75652564
United Kingdom,GBR,1843,4.685877336
United Kingdom,GBR,1844,4.88013706
United Kingdom,GBR,1845,4.971714036
United Kingdom,GBR,1846,5.13290954
United Kingdom,GBR,1847,5.162101115
United Kingdom,GBR,1848,5.334179341
United Kingdom,GBR,1849,5.423463455
United Kingdom,GBR,1850,5.45679432
United Kingdom,GBR,1851,5.506434636
United Kingdom,GBR,1852,5.581206665
United Kingdom,GBR,1853,5.573229886
United Kingdom,GBR,1854,5.72944528
United Kingdom,GBR,1855,5.603277582
United Kingdom,GBR,1856,5.861903816
United Kingdom,GBR,1857,5.83267082
United Kingdom,GBR,1858,5.847627604
United Kingdom,GBR,1859,5.964550839
United Kingdom,GBR,1860,5.976925915
United Kingdom,GBR,1861,6.106063733
United Kingdom,GBR,1862,6.13361304
United Kingdom,GBR,1863,6.378599278
United Kingdom,GBR,1864,6.342890616
United Kingdom,GBR,1865,6.542104432
United Kingdom,GBR,1866,6.616740456
United Kingdom,GBR,1867,6.693161337
United Kingdom,GBR,1868,6.956918872
United Kingdom,GBR,1869,7.085017945
United Kingdom,GBR,1870,7.516809048
United Kingdom,GBR,1871,7.826112089
United Kingdom,GBR,1872,7.870938573
United Kingdom,GBR,1873,8.064914776
United Kingdom,GBR,1874,8.475277417
United Kingdom,GBR,1875,8.579536791
United Kingdom,GBR,1876,8.639346515
United Kingdom,GBR,1877,8.790813579
United Kingdom,GBR,1878,8.915072788
United Kingdom,GBR,1879,8.754249266
United Kingdom,GBR,1880,9.095916326
United Kingdom,GBR,1881,9.161926011
United Kingdom,GBR,1882,9.16845914
United Kingdom,GBR,1883,9.359591086
United Kingdom,GBR,1884,9.309744878
United Kingdom,GBR,1885,9.277054875
United Kingdom,GBR,1886,9.238859809
United Kingdom,GBR,1887,9.451350882
United Kingdom,GBR,1888,9.540676459
United Kingdom,GBR,1889,9.614414272
United Kingdom,GBR,1890,9.575324807
United Kingdom,GBR,1891,9.814879287
United Kingdom,GBR,1892,9.61903695
United Kingdom,GBR,1893,9.60191978
United Kingdom,GBR,1894,9.912564554
United Kingdom,GBR,1895,10.13639697
United Kingdom,GBR,1896,10.37117938
United Kingdom,GBR,1897,10.34966687
United Kingdom,GBR,1898,10.72918657
United Kingdom,GBR,1899,10.85614698
United Kingdom,GBR,1900,10.66800268
United Kingdom,GBR,1901,10.94634559
United Kingdom,GBR,1902,11.0625844
United Kingdom,GBR,1903,10.90857759
United Kingdom,GBR,1904,11.09964438
United Kingdom,GBR,1905,11.28663171
United Kingdom,GBR,1906,11.31217562
United Kingdom,GBR,1907,11.33174455
United Kingdom,GBR,1908,11.15432163
United Kingdom,GBR,1909,11.42810049
United Kingdom,GBR,1910,11.43222929
United Kingdom,GBR,1911,11.58323332
United Kingdom,GBR,1912,11.6164101
United Kingdom,GBR,1913,11.97512077
United Kingdom,GBR,1914,12.13021642
United Kingdom,GBR,1915,12.50196832
United Kingdom,GBR,1916,12.56484155
United Kingdom,GBR,1917,12.59099345
United Kingdom,GBR,1918,12.78777013
United Kingdom,GBR,1919,12.91727922
United Kingdom,GBR,1920,12.16929997
United Kingdom,GBR,1921,12.95197239
United Kingdom,GBR,1922,13.65188397
United Kingdom,GBR,1923,14.05061064
United Kingdom,GBR,1924,14.70821319
United Kingdom,GBR,1925,14.92709463
United Kingdom,GBR,1926,14.57398113
United Kingdom,GBR,1927,14.87822628
United Kingdom,GBR,1928,14.97373924
United Kingdom,GBR,1929,15.27945658
United Kingdom,GBR,1930,15.48194166
United Kingdom,GBR,1931,15.07912102
United Kingdom,GBR,1932,15.08511313
United Kingdom,GBR,1933,15.28338826
United Kingdom,GBR,1934,15.75510236
United Kingdom,GBR,1935,15.9529671
United Kingdom,GBR,1936,16.1383834
United Kingdom,GBR,1937,16.08643114
United Kingdom,GBR,1938,16.88935349
United Kingdom,GBR,1939,16.64207351
United Kingdom,GBR,1940,17.53703417
United Kingdom,GBR,1941,18.51020537
United Kingdom,GBR,1942,18.34853283
United Kingdom,GBR,1943,18.59942841
United Kingdom,GBR,1944,17.98583051
United Kingdom,GBR,1945,18.04476349
United Kingdom,GBR,1946,18.74145089
United Kingdom,GBR,1947,19.05020805
United Kingdom,GBR,1948,19.95443583
United Kingdom,GBR,1949,20.7294844
United Kingdom,GBR,1950,21.10902645
United Kingdom,GBR,1951,21.4782509
United Kingdom,GBR,1952,22.25681338
United Kingdom,GBR,1953,23.3792765
United Kingdom,GBR,1954,23.97895843
United Kingdom,GBR,1955,24.65022563
United Kingdom,GBR,1956,25.07707082
United Kingdom,GBR,1957,25.79112482
United Kingdom,GBR,1958,26.69143326
United Kingdom,GBR,1959,28.14423734
United Kingdom,GBR,1960,29.56841159
United Kingdom,GBR,1961,30.6018736
United Kingdom,GBR,1962,31.3330867
United Kingdom,GBR,1963,31.98715377
United Kingdom,GBR,1964,33.40666077
United Kingdom,GBR,1965,34.32724418
United Kingdom,GBR,1966,35.60806722
United Kingdom,GBR,1967,37.13936196
United Kingdom,GBR,1968,39.66272714
United Kingdom,GBR,1969,40.67195488
United Kingdom,GBR,1970,42.83241639
United Kingdom,GBR,1971,45.86527388
United Kingdom,GBR,1972,47.08360102
United Kingdom,GBR,1973,49.28755401
United Kingdom,GBR,1974,48.4320597
United Kingdom,GBR,1975,48.73518898
United Kingdom,GBR,1976,50.69777571
United Kingdom,GBR,1977,51.63254995
United Kingdom,GBR,1978,53.18352999
United Kingdom,GBR,1979,54.51759284
United Kingdom,GBR,1980,54.58065395
United Kingdom,GBR,1981,56.78958803
United Kingdom,GBR,1982,59.27725063
United Kingdom,GBR,1983,62.36994664
United Kingdom,GBR,1984,62.01691179
United Kingdom,GBR,1985,63.89171294
United Kingdom,GBR,1986,65.48566387
United Kingdom,GBR,1987,67.40287253
United Kingdom,GBR,1988,68.6904278
United Kingdom,GBR,1989,68.56724191
United Kingdom,GBR,1990,69.33579997
United Kingdom,GBR,1991,71.77234546
United Kingdom,GBR,1992,74.16225115
United Kingdom,GBR,1993,77.00808321
United Kingdom,GBR,1994,78.66586184
United Kingdom,GBR,1995,79.30031614
United Kingdom,GBR,1996,80.43771855
United Kingdom,GBR,1997,81.35173746
United Kingdom,GBR,1998,83.43042366
United Kingdom,GBR,1999,85.51759124
United Kingdom,GBR,2000,88.55823334
United Kingdom,GBR,2001,89.82648445
United Kingdom,GBR,2002,91.91112256
United Kingdom,GBR,2003,94.75310745
United Kingdom,GBR,2004,96.06381354
United Kingdom,GBR,2005,97.95218709
United Kingdom,GBR,2006,99.73838927
United Kingdom,GBR,2007,101.316276
United Kingdom,GBR,2008,100.3663783
United Kingdom,GBR,2009,98.6405218
United Kingdom,GBR,2010,100.0617676
United Kingdom,GBR,2011,101.1373786
United Kingdom,GBR,2012,100.3292944
United Kingdom,GBR,2013,100
United Kingdom,GBR,2014,100.6365997
United Kingdom,GBR,2015,101.508603
United Kingdom,GBR,2016,101.9784077
