Entity,Code,Year,Female share in agriculture (%),Female share in industry (%),Female share in services (%)
Czech Republic,CZE,2003,30.85,29.63,54.51
Czech Republic,CZE,2004,30.62,29.45,54.5
Czech Republic,CZE,2005,30.65,28.98,54.04
Czech Republic,CZE,2006,32.04,29.19,53.9
Czech Republic,CZE,2007,30.38,28.64,54.06
Czech Republic,CZE,2008,31.03,28.19,53.91
Czech Republic,CZE,2009,30.45,26.66,54.09
Czech Republic,CZE,2010,26.45,26.09,54.3
Czech Republic,CZE,2011,26.97,26.72,54.51
Czech Republic,CZE,2012,27.28,26.43,54.86
Czech Republic,CZE,2013,29.62,26.52,54.77
Czech Republic,CZE,2014,25.83,26.91,54.76
Czech Republic,CZE,2015,24.46,27.31,55.25
Czech Republic,CZE,2016,26.1,27.92,55.29
Czechoslovakia,OWID_CZS,1979,43.35,38.49,55.63
Czechoslovakia,OWID_CZS,1980,42.8,38.55,55.65
Czechoslovakia,OWID_CZS,1981,42.19,38.44,55.98
Czechoslovakia,OWID_CZS,1982,41.86,38.37,56.38
Czechoslovakia,OWID_CZS,1983,41.94,38.21,56.66
Czechoslovakia,OWID_CZS,1984,41.22,38.24,56.98
Czechoslovakia,OWID_CZS,1985,40.98,38.28,57.39
Czechoslovakia,OWID_CZS,1986,40.76,38.19,57.75
Czechoslovakia,OWID_CZS,1987,40.63,38.26,58.16
Czechoslovakia,OWID_CZS,1988,40.1,38.37,58.21
Czechoslovakia,OWID_CZS,1989,39.77,38.36,58.6
Czechoslovakia,OWID_CZS,1990,38.92,39.21,58.32
Denmark,DNK,1983,23.94,24.89,56.12
Denmark,DNK,1984,22.3,25.63,55.22
Denmark,DNK,1985,23.09,25.48,55.44
Denmark,DNK,1986,21.91,25.99,55.97
Denmark,DNK,1987,25,26.05,56.14
Denmark,DNK,1988,24.12,26.48,55.01
Denmark,DNK,1989,23.19,26.24,55.12
Denmark,DNK,1990,23.3,26.71,55.64
Denmark,DNK,1991,24.8,27.42,55.59
Denmark,DNK,1992,23.89,26.68,55.88
Denmark,DNK,1993,23.68,26.05,56.23
Denmark,DNK,1994,23.6,26.21,55.1
Denmark,DNK,1995,25.69,24.73,53.75
Denmark,DNK,1996,24.17,25.78,53.39
Denmark,DNK,1997,20.31,25.17,54.33
Denmark,DNK,1998,22.15,25.53,54.9
Denmark,DNK,1999,20.2,26.37,54.87
Denmark,DNK,2000,25.15,24.76,55.57
Denmark,DNK,2001,22.39,26.37,54.78
Denmark,DNK,2002,23.85,24.5,54.91
Denmark,DNK,2003,24.83,23.32,54.48
Denmark,DNK,2004,26.58,23.59,54.83
Denmark,DNK,2005,23.56,24.24,54.96
Denmark,DNK,2006,22.11,23.26,55.09
Denmark,DNK,2007,24.84,25.17,54.58
Denmark,DNK,2008,20.06,24.82,54.57
Denmark,DNK,2009,20.64,23.55,54.73
Denmark,DNK,2010,16.79,22.47,55.04
Denmark,DNK,2011,17.48,22.32,54.79
Denmark,DNK,2012,19.9,22.85,54.64
Denmark,DNK,2013,18.49,22.46,54.77
Denmark,DNK,2014,17.01,22.8,54.19
Denmark,DNK,2015,19.92,23.51,53.57
Denmark,DNK,2016,19.31,23.48,53.57
Dominica,DMA,1989,18.18,33.71,55.05
Dominica,DMA,1997,25.1,24.35,57.87
Dominica,DMA,1999,23.15,24.15,52.12
Dominican Republic,DOM,1996,5.06,23.48,40.69
Dominican Republic,DOM,1997,3.11,23.69,40.42
Dominican Republic,DOM,1998,4.46,26.88,41.87
Dominican Republic,DOM,1999,4.86,25.11,41.01
Dominican Republic,DOM,2000,5.27,27.64,43.15
Dominican Republic,DOM,2001,4.15,24.15,43.24
Dominican Republic,DOM,2002,4.04,24.62,44.46
Dominican Republic,DOM,2003,4.17,22.09,43.53
Dominican Republic,DOM,2004,4.33,22.09,44.96
Dominican Republic,DOM,2005,6.55,22.84,44.14
Dominican Republic,DOM,2006,5.09,22.38,45.63
Dominican Republic,DOM,2007,4.95,21.71,45.54
Dominican Republic,DOM,2008,7.68,24.46,45.4
Dominican Republic,DOM,2009,4.84,18.23,44.97
Dominican Republic,DOM,2010,6.46,19.35,46.67
Dominican Republic,DOM,2011,6.15,19.92,47.21
Dominican Republic,DOM,2012,5.46,21.44,47.27
Dominican Republic,DOM,2013,5.34,19.49,46.64
Dominican Republic,DOM,2014,7.79,20.56,46.68
Dominican Republic,DOM,2015,5.53,20.64,47.42
Dominican Republic,DOM,2016,5.21,20.15,47.49
Ecuador,ECU,1990,13.18,21.9,43.55
Ecuador,ECU,1991,11.41,24.38,44.97
Ecuador,ECU,1992,11.07,27.17,45.31
Ecuador,ECU,1993,12.67,25.5,45.74
Ecuador,ECU,1994,13.07,25.2,45.02
Ecuador,ECU,1995,12.69,25.89,44.73
Ecuador,ECU,1996,10.95,24.56,44.38
Ecuador,ECU,1997,10.59,25.89,43.94
Ecuador,ECU,1998,12.24,24.74,46.08
Ecuador,ECU,1999,13.72,24.42,46.21
Ecuador,ECU,2002,20.81,24.25,45.18
Ecuador,ECU,2010,29.68,23.71,49.72
Ecuador,ECU,2011,29.61,23.9,49.34
Ecuador,ECU,2012,29.98,24.13,49.52
Ecuador,ECU,2013,31,23.71,49.42
Ecuador,ECU,2014,31.43,22.52,48.88
Ecuador,ECU,2015,35.17,23.21,49.47
Ecuador,ECU,2016,37.21,23.97,50.27
Egypt,EGY,1970,3.1,6.15,11.99
Egypt,EGY,1971,3.3,5.67,12.19
Egypt,EGY,1972,3.74,4.97,12
Egypt,EGY,1973,2.5,4.51,10.64
Egypt,EGY,1974,2.41,4.58,10.79
Egypt,EGY,1975,2.3,4.64,11.41
Egypt,EGY,1977,3.04,4.57,12.84
Egypt,EGY,1978,2.3,4.85,12.7
Egypt,EGY,1979,1.1,4.75,13.27
Egypt,EGY,1980,1.58,4.46,13.65
Egypt,EGY,1981,1.96,4.57,14.78
Egypt,EGY,1982,1.85,4.82,15
Egypt,EGY,1983,17.01,11.36,19.21
Egypt,EGY,1984,20.24,9.5,18.25
Egypt,EGY,1989,41.05,12.11,20.81
Egypt,EGY,1990,31.68,11.76,22.25
Egypt,EGY,1991,25.66,13.99,20.83
Egypt,EGY,1992,29.97,10.68,20.42
Egypt,EGY,1993,26.35,7.46,21.12
Egypt,EGY,1994,27.15,6.97,21.4
Egypt,EGY,1995,24.02,8.08,21.03
Egypt,EGY,1997,24.68,6.9,21.21
Egypt,EGY,1998,21.95,7.57,21.46
Egypt,EGY,1999,20.84,9.25,21.9
Egypt,EGY,2000,25.07,6.11,20.64
Egypt,EGY,2001,20.32,8.61,21.06
Egypt,EGY,2002,18.59,9.38,22.09
Egypt,EGY,2003,25.01,6.04,20.78
Egypt,EGY,2004,29.54,6.02,19.91
Egypt,EGY,2005,29.2,4.5,19.77
Egypt,EGY,2006,26.38,5.18,20.64
Egypt,EGY,2007,31.27,5.94,21.9
Egypt,EGY,2008,28.59,4.8,21.36
Egypt,EGY,2009,30.64,4.3,21.02
Egypt,EGY,2011,29.43,4.29,21.67
Egypt,EGY,2012,27.47,4.38,23.42
Egypt,EGY,2013,31.28,4.28,22.17
Egypt,EGY,2014,32.51,4.26,22.33
Egypt,EGY,2015,31.94,4.63,22.64
Egypt,EGY,2016,31.67,5.17,23.88
El Salvador,SLV,1975,6.08,31.83,55.88
El Salvador,SLV,1978,10.23,33.31,54.14
El Salvador,SLV,1979,15.92,33.55,53.46
El Salvador,SLV,1980,9.02,33.53,54.82
El Salvador,SLV,1985,12.19,34.31,51.52
El Salvador,SLV,1986,17.07,36.76,42.25
El Salvador,SLV,1988,15.57,30.37,51.06
El Salvador,SLV,1989,16.71,33.88,53.72
El Salvador,SLV,1990,16.08,34.5,52.97
El Salvador,SLV,1991,22.05,37.73,53.23
El Salvador,SLV,1992,15.06,35.98,54.88
El Salvador,SLV,1994,11.41,38.93,54.65
El Salvador,SLV,1995,10.86,37.16,53.76
El Salvador,SLV,1996,10.48,36.48,54.26
El Salvador,SLV,1997,10,33.41,54.43
El Salvador,SLV,1998,10.01,40.25,53.97
El Salvador,SLV,1999,8.66,39.55,54.62
El Salvador,SLV,2000,7.1,41,54.23
El Salvador,SLV,2001,7.57,37.95,54.74
El Salvador,SLV,2002,5.68,40.6,55.32
El Salvador,SLV,2003,8.82,37.22,54.23
El Salvador,SLV,2004,7.19,37.37,53.59
El Salvador,SLV,2005,10.06,37.74,54.22
El Salvador,SLV,2006,10.77,35.24,55.79
El Salvador,SLV,2007,8.96,36.59,54.43
El Salvador,SLV,2008,10.85,37.08,54.48
El Salvador,SLV,2011,12.68,36.63,54.34
Equatorial Guinea,GNQ,1983,45.12,5.41,18.25
Estonia,EST,1997,35.53,37.04,58.43
Estonia,EST,1998,34.32,35.33,58.96
Estonia,EST,1999,37.65,35.68,58.41
Estonia,EST,2000,34.86,32.24,61.85
Estonia,EST,2001,22.74,36.54,58.22
Estonia,EST,2002,31.05,37.76,57.11
Estonia,EST,2003,29.93,36.15,57.23
Estonia,EST,2004,26.89,37.94,58.89
Estonia,EST,2005,31.55,36,60.43
Estonia,EST,2006,31.08,31.88,60.47
Estonia,EST,2007,31.45,30.47,61.31
Estonia,EST,2008,30.44,30.85,60.9
Estonia,EST,2009,32.95,31.52,61.65
Estonia,EST,2010,34.19,30.4,61.92
Estonia,EST,2011,27.83,29.31,61.87
Estonia,EST,2012,27.93,28.28,61.58
Estonia,EST,2013,26.28,28.01,60.77
Estonia,EST,2014,28.35,28.41,59.31
Estonia,EST,2015,31.39,27.85,59.71
Estonia,EST,2016,25.13,28.46,59.51
Ethiopia,ETH,2004,25.22,36.34,47.23
Ethiopia,ETH,2006,32.09,39.45,55.77
Ethiopia,ETH,2009,30.86,35.6,45.38
Ethiopia,ETH,2010,36,34.11,46.87
Ethiopia,ETH,2011,35.87,34.45,46.76
Ethiopia,ETH,2012,32.68,34.84,48.23
Ethiopia,ETH,2014,33.46,33.54,49.4
Faeroe Islands,FRO,2005,33.33,16.67,55.56
Falkland Islands,FLK,2012,35.22,7.66,51.88
Falkland Islands,FLK,2016,38.69,11.93,51.5
Fiji,FJI,1990,,9.11,55.57
Fiji,FJI,1993,,30.06,31.16
Fiji,FJI,1996,,31.87,31.48
Fiji,FJI,1997,,33.26,32.55
Fiji,FJI,1998,,36.87,32.33
Fiji,FJI,2000,,37.99,31.01
Fiji,FJI,2003,,31.74,35.72
Fiji,FJI,2004,,31.17,36.6
Fiji,FJI,2005,,27.72,34.03
Fiji,FJI,2006,,31.09,36.51
Fiji,FJI,2007,,28.83,35.79
Fiji,FJI,2014,33.16,,
Finland,FIN,1990,36.04,26.91,60.33
Finland,FIN,1991,36.19,26.87,60.44
Finland,FIN,1992,34.34,27.2,60.52
Finland,FIN,1993,33.33,26.78,60.32
Finland,FIN,1994,33.71,26.07,59.86
Finland,FIN,1995,33.24,26,59.78
Finland,FIN,1996,34.49,24.61,59.05
Finland,FIN,1997,32.45,24.04,59.02
Finland,FIN,1998,30.85,25.35,58.86
Finland,FIN,1999,32.74,24.41,58.75
Finland,FIN,2000,29.96,24.27,58.96
Finland,FIN,2001,31.03,24.35,58.65
Finland,FIN,2002,32.69,24.34,59.21
Finland,FIN,2003,31.5,23.38,59.44
Finland,FIN,2004,29.01,22.89,59.05
Finland,FIN,2005,29.22,23.01,58.9
Finland,FIN,2006,28.98,22.29,59.02
Finland,FIN,2007,27.59,21.57,59.45
Finland,FIN,2008,28.68,19.94,59.37
Finland,FIN,2009,30.15,20.4,59.73
Finland,FIN,2010,30.35,20.66,58.65
Finland,FIN,2011,27.51,19.56,58.61
Finland,FIN,2012,27.11,19.34,58.88
Finland,FIN,2013,26.65,19.35,59.05
Finland,FIN,2014,26.63,19.23,58.8
Finland,FIN,2015,25.43,19.67,58.58
Finland,FIN,2016,26.1,19.2,58.1
France,FRA,1992,35.81,24.88,52.35
France,FRA,1993,36.08,24.47,52.64
France,FRA,1994,33.89,25.15,52.66
France,FRA,1995,33.96,24.91,52.87
France,FRA,1996,32.72,24.23,53.22
France,FRA,1997,32.47,24.29,53.25
France,FRA,1998,31.48,24.45,53.36
France,FRA,1999,31.76,24.6,53.35
France,FRA,2000,31.07,24.13,53.66
France,FRA,2001,31.38,24.11,53.46
France,FRA,2002,30.69,23.84,53.9
France,FRA,2003,29.32,23.77,54.71
France,FRA,2004,31.63,23.82,54.32
France,FRA,2005,29.44,23.7,54.87
France,FRA,2006,28.18,23.08,55.44
France,FRA,2007,29.53,23.33,55.44
France,FRA,2008,31.92,22.32,55.59
France,FRA,2009,30.75,21.65,55.98
France,FRA,2010,29.11,21.72,55.79
France,FRA,2011,30.89,22.64,55.47
France,FRA,2012,30.29,22.56,55.6
France,FRA,2013,29,22.88,55.74
France,FRA,2014,28.29,22.84,55.79
France,FRA,2015,29.27,22.46,55.96
France,FRA,2016,27.7,22.19,55.96
French Polynesia,PYF,1996,20.58,24.08,44.76
French Polynesia,PYF,2002,22.04,18.06,46.65
French Polynesia,PYF,2007,25,15.94,48.25
Gabon,GAB,1993,63.7,12.42,35.22
Gambia,GMB,1993,57.27,10.42,35.08
Gambia,GMB,2012,54.29,12.44,47.47
Georgia,GEO,1998,50.56,26.72,50.65
Georgia,GEO,1999,50.71,25.63,52.26
Georgia,GEO,2000,53.55,20.14,48.75
Georgia,GEO,2001,48.54,30.94,52.72
Georgia,GEO,2002,49.49,20.5,52.16
Georgia,GEO,2003,48.9,23.76,50.05
Georgia,GEO,2004,50.26,21.97,50.99
Georgia,GEO,2005,50.04,22.39,50.2
Georgia,GEO,2006,49.1,20.56,51.4
Georgia,GEO,2007,50.75,17.31,52.45
Georgia,GEO,2014,50.19,20.54,50.1
Georgia,GEO,2016,49.31,22.96,51.37
Germany,DEU,1983,49.93,23.56,49.07
Germany,DEU,1984,48.89,23.82,48.82
Germany,DEU,1985,47.34,24.37,49.37
Germany,DEU,1986,46.65,24.26,49.17
Germany,DEU,1987,45.48,24.45,49.16
Germany,DEU,1988,45.62,24.51,49.24
Germany,DEU,1989,44.78,24.17,49.34
Germany,DEU,1990,43.98,25.42,50.82
Germany,DEU,1991,41.28,26.74,53.65
Germany,DEU,1992,40.64,25.27,53.01
Germany,DEU,1993,40.3,24.3,53.06
Germany,DEU,1994,39.88,23.95,53.21
Germany,DEU,1995,40.41,23.74,53.28
Germany,DEU,1996,37.88,23.6,53.93
Germany,DEU,1997,37.22,23.39,54
Germany,DEU,1998,36.22,23.7,54.02
Germany,DEU,1999,35.78,23.83,54.44
Germany,DEU,2000,35.07,23.91,54.57
Germany,DEU,2001,34.97,24.16,54.77
Germany,DEU,2002,35.22,24.28,55
Germany,DEU,2003,33.95,24.27,55.14
Germany,DEU,2004,32.55,24.5,55.08
Germany,DEU,2005,33,24.28,54.69
Germany,DEU,2006,32.1,24.52,54.78
Germany,DEU,2007,32.46,24.29,55.12
Germany,DEU,2008,33.68,23.3,55.16
Germany,DEU,2009,34.03,23.27,55.55
Germany,DEU,2010,33.72,23.43,55.76
Germany,DEU,2011,33.31,23.42,55.92
Germany,DEU,2012,32.63,23.33,55.79
Germany,DEU,2013,32.5,23.54,55.82
Germany,DEU,2014,32.94,23.58,56
Germany,DEU,2015,32.02,23.4,56.01
Germany,DEU,2016,31.73,23.44,55.67
Ghana,GHA,2013,48.27,40.8,60.06
Greece,GRC,1983,43.39,20.73,32.73
Greece,GRC,1984,44.19,21.23,32.78
Greece,GRC,1985,44.46,21.78,34.09
Greece,GRC,1986,44.49,22.31,33.99
Greece,GRC,1987,45.03,22.38,34.79
Greece,GRC,1988,44.78,22.97,35.84
Greece,GRC,1989,44.65,23.54,36.11
Greece,GRC,1990,44.57,23.57,36.77
Greece,GRC,1991,40.63,23.01,36.13
Greece,GRC,1992,41.93,23.72,37.08
Greece,GRC,1993,41.56,21.52,38.34
Greece,GRC,1994,42.13,21.16,38.76
Greece,GRC,1995,41.98,21.54,39.6
Greece,GRC,1996,42.69,21.65,39.77
Greece,GRC,1997,42.77,21.91,40.4
Greece,GRC,1998,41.61,19.23,41.58
Greece,GRC,1999,41.76,19.92,41.83
Greece,GRC,2000,41.9,20.01,42.14
Greece,GRC,2001,40.62,18.77,42.95
Greece,GRC,2002,41.66,18.38,43.37
Greece,GRC,2003,41.76,18.62,43.88
Greece,GRC,2004,42.92,17.88,44.38
Greece,GRC,2005,42.82,17.11,44.99
Greece,GRC,2006,42.8,17.49,45.46
Greece,GRC,2007,41.92,17.22,46.11
Greece,GRC,2008,41.25,16.73,46.88
Greece,GRC,2009,40.83,16.48,47.62
Greece,GRC,2010,41.42,16.3,47.68
Greece,GRC,2011,42.04,17.46,46.83
Greece,GRC,2012,41.18,18.58,46.68
Greece,GRC,2013,40.52,19.93,46.03
Greece,GRC,2014,40.11,21.04,46.55
Greece,GRC,2015,40.49,22.61,46.58
Greece,GRC,2016,39.96,22.53,46.5
Greenland,GRL,2011,3.3,11.68,52.42
Greenland,GRL,2013,16.67,8.86,52.06
Grenada,GRD,1988,32,30.37,53.61
Grenada,GRD,1994,26.06,15,52.47
Grenada,GRD,1996,32.17,17.99,53.83
Grenada,GRD,1998,28.43,20.67,52.88
Guatemala,GTM,1981,5.12,29.84,40.87
Guatemala,GTM,1982,5.11,29.86,40.86
Guatemala,GTM,1987,6.97,27.77,50.04
Guatemala,GTM,1989,8.08,32.49,47.95
Guatemala,GTM,1990,8.08,24.14,43.29
Guatemala,GTM,1991,6.46,28.11,44.75
Guatemala,GTM,2006,18.35,34.45,54.84
Guatemala,GTM,2011,12.54,34.58,50.16
Guatemala,GTM,2012,14.41,29.25,54.75
Guatemala,GTM,2013,11.28,27.64,52.79
Guatemala,GTM,2014,12.69,31.3,51.2
Guatemala,GTM,2015,10.35,31.19,48.87
Guatemala,GTM,2016,11.18,30.47,50.24
Guernsey,GGY,2011,38.71,10.16,51.49
Guernsey,GGY,2012,38.11,10.47,51.65
Guernsey,GGY,2013,31.69,10.93,52.02
Guernsey,GGY,2014,28.81,9.58,52.11
Guernsey,GGY,2015,28.81,9.32,52.03
Guernsey,GGY,2016,23.97,9.62,51.68
Guinea,GIN,2002,58.02,17.74,54.56
Guyana,GUY,1997,19.43,29.89,42.05
Haiti,HTI,1970,37.71,48.37,75.33
Haiti,HTI,1971,37.58,48.2,75.07
Haiti,HTI,1972,37.45,48.04,74.8
Haiti,HTI,1973,37.32,47.87,74.53
Haiti,HTI,1974,37.19,47.7,74.27
Haiti,HTI,1975,37.06,47.54,74
Haiti,HTI,1976,39.2,50.28,78.32
Haiti,HTI,1977,39.07,50.11,78.06
Haiti,HTI,1978,39.07,50.11,78
Haiti,HTI,1979,39.07,50.11,78
Haiti,HTI,1980,38.44,47.8,78.02
Haiti,HTI,1981,38.44,47.72,78.42
Haiti,HTI,1982,30.58,42.41,66.17
Haiti,HTI,1983,30.59,42.48,66.17
Haiti,HTI,1988,27.84,39.02,63.44
Haiti,HTI,1990,29.84,41.56,65.39
Honduras,HND,1985,11.05,32.72,46.31
Honduras,HND,1986,9.71,28.52,49.55
Honduras,HND,1987,6.74,29.05,49.47
Honduras,HND,1990,2.96,34.74,54.92
Honduras,HND,1992,5.05,38.33,51.79
Honduras,HND,1994,4.89,36.69,51.63
Honduras,HND,1995,5.11,35.33,50.39
Honduras,HND,1996,6.58,42.65,53.45
Honduras,HND,1997,6.56,42.18,54.83
Honduras,HND,1998,7.79,39.62,53.23
Honduras,HND,1999,9.13,40.13,55.77
Honduras,HND,2001,6.21,37.67,54.42
Honduras,HND,2002,7.39,38.96,53.05
Honduras,HND,2003,7.8,39.98,53.67
Honduras,HND,2004,6.75,34.99,53
Honduras,HND,2005,10.64,35.43,50.64
Honduras,HND,2006,10.01,35.43,54.84
Honduras,HND,2007,10.07,34.29,54.92
Honduras,HND,2008,10.3,34.76,55.63
Honduras,HND,2009,11.28,34.95,56.05
Honduras,HND,2010,11.8,36.49,55.88
Honduras,HND,2011,9.03,36.58,54.74
Honduras,HND,2012,10.47,36.93,54.74
Honduras,HND,2013,10.82,37.19,56.07
Honduras,HND,2014,12.57,39.57,52.97
Honduras,HND,2015,10.75,37.17,55.66
Honduras,HND,2016,11.9,36.31,54.62
Hong Kong,HKG,1978,31.77,40.37,29.71
Hong Kong,HKG,1979,23.92,39.79,29.74
Hong Kong,HKG,1980,29.69,39.03,30.66
Hong Kong,HKG,1981,43.04,39.5,32.31
Hong Kong,HKG,1982,34.57,40.1,32.67
Hong Kong,HKG,1983,31.06,39.95,33.64
Hong Kong,HKG,1984,32.89,40.71,34.02
Hong Kong,HKG,1985,34.7,38.79,34.83
Hong Kong,HKG,1986,32.2,38.29,35.44
Hong Kong,HKG,1987,33.82,37.39,36.19
Hong Kong,HKG,1988,35.92,35.72,37.08
Hong Kong,HKG,1989,35.08,34.16,37.89
Hong Kong,HKG,1990,29.91,32.73,38.63
Hong Kong,HKG,1991,29.28,31.68,40.69
Hong Kong,HKG,1992,23.4,29.65,40.46
Hong Kong,HKG,1993,21.79,28.35,41.11
Hong Kong,HKG,1994,23.03,26.87,42.48
Hong Kong,HKG,1995,26.06,26.91,43.32
Hong Kong,HKG,1996,26.61,25.2,44.22
Hong Kong,HKG,1997,26.67,23.63,44.83
Hong Kong,HKG,1998,30.11,22.65,45.79
Hong Kong,HKG,1999,29.35,23.16,46.66
Hong Kong,HKG,2000,32.26,21.67,47.47
Hong Kong,HKG,2001,29.58,22.07,48.4
Hong Kong,HKG,2002,32.97,22.22,49.24
Hong Kong,HKG,2003,34.29,21.31,49.57
Hong Kong,HKG,2004,31.76,20.99,49.48
Hong Kong,HKG,2005,31.03,19.68,50
Hong Kong,HKG,2006,36.59,19.69,50.45
Hong Kong,HKG,2007,37.5,19.34,50.83
Hong Kong,HKG,2008,31.33,18.36,51.35
Hong Kong,HKG,2009,,17.26,47.42
Hong Kong,HKG,2010,,16.32,47.11
Hong Kong,HKG,2011,,16.34,47.84
Hong Kong,HKG,2012,,16,48.19
Hong Kong,HKG,2013,,16.29,48.55
Hong Kong,HKG,2014,,16.74,48.81
Hong Kong,HKG,2015,,16.72,48.9
Hong Kong,HKG,2016,,16.31,53.67
Hungary,HUN,1996,23.32,33.79,53.71
Hungary,HUN,1997,24.17,32.84,53.25
Hungary,HUN,1998,24.1,33.53,56.06
Hungary,HUN,1999,23.68,32.69,54.74
Hungary,HUN,2000,23.29,33.06,54.19
Hungary,HUN,2001,25.17,33.62,54.16
Hungary,HUN,2002,27.49,32.69,54.53
Hungary,HUN,2003,22.68,32.06,55.17
Hungary,HUN,2004,23.24,31.41,55.11
Hungary,HUN,2005,24.92,29.9,55.6
Hungary,HUN,2006,25.15,29.45,55.38
Hungary,HUN,2007,22.64,29.5,55.33
Hungary,HUN,2008,24.51,29.64,55.13
Hungary,HUN,2009,25.86,28.6,55.83
Hungary,HUN,2010,23.74,30.06,56.07
Hungary,HUN,2011,25.06,29.78,55.74
Hungary,HUN,2012,25.72,29.75,55.73
Hungary,HUN,2013,25.1,29.3,55.1
Hungary,HUN,2014,25.86,28.8,55.3
Hungary,HUN,2015,24.72,28.6,55.39
Hungary,HUN,2016,25.77,28.77,55.24
Iceland,ISL,1991,23.03,31.09,55.09
Iceland,ISL,1992,19.74,28.04,56.71
Iceland,ISL,1993,16.59,28.22,57.39
Iceland,ISL,1994,21.72,27.27,57.83
Iceland,ISL,1995,21.53,27.23,57.64
Iceland,ISL,1996,23.03,26.21,57.1
Iceland,ISL,1997,22.89,26.97,56.64
Iceland,ISL,1998,25.64,27.79,56.39
Iceland,ISL,1999,23.5,23.74,57.14
Iceland,ISL,2000,24.52,22.23,57.39
Iceland,ISL,2001,20.73,21.82,57.51
Iceland,ISL,2002,21.97,22.79,57.44
Iceland,ISL,2003,21.38,22.71,57.65
Iceland,ISL,2004,22.72,22.51,57.14
Iceland,ISL,2005,21.98,22.89,56.33
Iceland,ISL,2006,20.37,19.89,55.61
Iceland,ISL,2007,18.86,18.43,55.25
Iceland,ISL,2008,21.97,17.46,55.44
Iceland,ISL,2009,20.61,21.37,55.64
Iceland,ISL,2010,19.25,20.26,56.6
Iceland,ISL,2011,16.83,20.83,56.81
Iceland,ISL,2012,18.59,19.47,56.89
Iceland,ISL,2013,26.41,20.09,55.83
Iceland,ISL,2014,21.1,20.81,55.88
Iceland,ISL,2015,19.71,18.59,55.89
Iceland,ISL,2016,26.09,18.52,54.08
India,IND,1994,31.57,19.72,15.04
India,IND,2000,32.95,18.97,15.43
India,IND,2012,28.12,17.06,16.4
Indonesia,IDN,1976,39.43,36.18,37
Indonesia,IDN,1977,32.57,38.65,34.6
Indonesia,IDN,1978,34.55,40.8,39
Indonesia,IDN,1979,31.64,44.96,35.5
Indonesia,IDN,1980,31.58,32.79,35.24
Indonesia,IDN,1982,35.29,34.8,37.45
Indonesia,IDN,1985,35.35,32.85,38.51
Indonesia,IDN,1986,39.83,44.79,37.38
Indonesia,IDN,1987,40.13,45.27,37.7
Indonesia,IDN,1988,40.43,43.6,37.84
Indonesia,IDN,1989,40.5,36.24,40.44
Indonesia,IDN,1990,39.06,34.94,39.96
Indonesia,IDN,1991,38.62,33.62,39.47
Indonesia,IDN,1992,40.19,35.39,38.42
Indonesia,IDN,1993,38.89,35.29,39.2
Indonesia,IDN,1994,39.65,33.64,40.03
Indonesia,IDN,1995,35.36,30.87,37.88
Indonesia,IDN,1996,39.02,33.49,39.42
Indonesia,IDN,1997,38.74,32.52,39.84
Indonesia,IDN,1998,39.44,32.95,39.8
Indonesia,IDN,1999,38.08,26.94,40.54
Indonesia,IDN,2000,39.52,32.86,39.33
Indonesia,IDN,2001,37.73,31.89,38.98
Indonesia,IDN,2002,36.94,30.33,38
Indonesia,IDN,2003,36.79,30.73,37.28
Indonesia,IDN,2004,36.42,27.9,37.67
Indonesia,IDN,2005,34.9,29.36,36.92
Indonesia,IDN,2006,34.3,28.97,38.78
Indonesia,IDN,2007,36.94,29.4,40.18
Indonesia,IDN,2008,38.06,29.88,41.17
Indonesia,IDN,2009,37.6,29.99,42.12
Indonesia,IDN,2010,37.42,30.53,42.12
Indonesia,IDN,2011,37.6,28.63,42.72
Indonesia,IDN,2012,37.45,28.56,43.43
Indonesia,IDN,2013,36.94,28.6,43.52
Indonesia,IDN,2014,37.14,27.5,44.06
Indonesia,IDN,2015,37.73,27.34,43.93
Indonesia,IDN,2016,36.53,28.46,44.87
Iran,IRN,2005,26.08,17.95,16.28
Iran,IRN,2006,25.39,19.08,15.76
Iran,IRN,2007,26.56,16.65,15.34
Iran,IRN,2008,23.85,13.96,14.88
Iran,IRN,2009,25.53,14,16.23
Iran,IRN,2010,24.35,12.69,16.41
Iran,IRN,2011,21.66,10.68,16.05
Iran,IRN,2012,22.23,12.58,17.33
Iran,IRN,2013,18.83,10.74,16.04
Iran,IRN,2014,17.75,10.49,16.2
Iran,IRN,2015,19.94,11.53,17.01
Iran,IRN,2016,21,13.56,18.11
Iraq,IRQ,2004,31.19,6.72,14.98
Iraq,IRQ,2006,40.98,4.59,13.96
Iraq,IRQ,2007,31.92,4.73,14.24
Iraq,IRQ,2008,40.7,3.82,14.67
Ireland,IRL,1983,13.47,18.71,43.5
Ireland,IRL,1984,11.97,19.21,43.51
Ireland,IRL,1985,13.27,19.69,42.39
Ireland,IRL,1986,10.8,21.04,42.97
Ireland,IRL,1987,9.99,22.15,43.98
Ireland,IRL,1988,8.89,21.33,44.29
Ireland,IRL,1989,9.71,22.38,44.76
Ireland,IRL,1990,10.12,21.83,45.28
Ireland,IRL,1991,9.18,21.41,46.11
Ireland,IRL,1992,8.95,23.23,47.33
Ireland,IRL,1993,10.97,22.32,48.48
Ireland,IRL,1994,10.94,23.01,49.29
Ireland,IRL,1995,11.23,23.34,49.39
Ireland,IRL,1996,12.78,22.71,49.96
Ireland,IRL,1997,12.47,23.43,51.06
