Entity,Code,Year,Coverage of social insurance programs (% of population) (% of population)
Poland,POL,2010,45.3684210331004
Poland,POL,2011,44.9534001871237
Poland,POL,2012,43.7884296230798
Romania,ROU,2008,48.7203061109257
Romania,ROU,2011,47.2210823598508
Romania,ROU,2012,46.8599339285945
Russia,RUS,2007,41.8650045316181
Russia,RUS,2014,54.6716977428188
Russia,RUS,2015,54.0497572504595
Russia,RUS,2016,56.3411995255727
Rwanda,RWA,2005,0.772505820789995
Rwanda,RWA,2010,0.917885886549909
Rwanda,RWA,2013,10.7844306434972
Samoa,WSM,2008,33.6380676663692
Senegal,SEN,2011,8.31744084521165
Serbia,SRB,2007,55.1548617417008
Serbia,SRB,2010,58.8729444031713
Serbia,SRB,2013,56.3974913703716
Slovakia,SVK,2009,49.7154774112668
Solomon Islands,SLB,2005,1.20980380057381
South Africa,ZAF,2005,2.80816295011588
South Africa,ZAF,2010,3.4132036363106
Sri Lanka,LKA,2006,6.29317330964762
Sri Lanka,LKA,2009,6.62762751796656
Sri Lanka,LKA,2012,7.40060570466367
Syrian Arab Republic,,2003,8.19379853906782
Tajikistan,TJK,2011,34.1492100528733
Tanzania,TZA,2010,0.969180651850392
Tanzania,TZA,2012,1.332354862893
Tanzania,TZA,2014,1.29319942331357
Thailand,THA,2006,34.7853354952941
Thailand,THA,2009,36.7042758081154
Thailand,THA,2011,36.5784623635344
Thailand,THA,2013,40.7234187776292
Timor,TLS,2011,1.24062635403727
Togo,TGO,2011,3.00957537816722
Tonga,TON,2009,1.28827389289594
Turkey,TUR,2004,29.4103890069505
Turkey,TUR,2005,31.0169466374741
Turkey,TUR,2006,30.7501041037207
Turkey,TUR,2007,32.3792771655451
Turkey,TUR,2008,34.6239339902201
Turkey,TUR,2009,33.1210817543388
Turkey,TUR,2010,33.4871904449015
Turkey,TUR,2011,34.1954473522408
Turkey,TUR,2012,34.6316005075197
Turkey,TUR,2013,35.7531493008768
Turkey,TUR,2014,36.1041707543275
Uganda,UGA,2005,0.963110468060397
Uganda,UGA,2009,0.861091584516169
Uganda,UGA,2012,0.881115931846307
Ukraine,UKR,2006,50.7400935062883
Ukraine,UKR,2011,51.8699151718461
Ukraine,UKR,2012,51.0860670824292
Ukraine,UKR,2013,51.0589200844259
Uruguay,URY,2008,37.4246391267927
Uruguay,URY,2009,35.8638978293605
Uruguay,URY,2010,36.4687484502143
Uruguay,URY,2011,36.1943084191802
Uruguay,URY,2012,36.5570422870946
Venezuela,VEN,2006,10.2412145944695
Vietnam,VNM,2006,17.1598824549761
Vietnam,VNM,2010,14.0923491492514
Vietnam,VNM,2012,14.4107161374148
Vietnam,VNM,2014,15.2492432666176
Yemen,YEM,2005,10.2741973297215
Zambia,ZMB,2010,1.05257306906133
Zimbabwe,ZWE,2007,1.20927811945352
Zimbabwe,ZWE,2011,2.65503997288927
