Entity,Code,Year,Urban,Rural
Scotland,,1890,2012000,1988000
Scotland,,1980,1622400,3577600.3
Southern Italy,,1550,499800,3700200
Southern Italy,,1600,715200,4084800
Southern Italy,,1650,580500,3719500
Southern Italy,,1700,585600,4214400
Southern Italy,,1750,786600,4913400
Southern Italy,,1800,1071000,5929000
Spain,ESP,1500,414800,6385200
Spain,ESP,1550,636400,6763600
Spain,ESP,1600,923400,7176600
Spain,ESP,1650,674500,6425500
Spain,ESP,1700,675000,6825000
Spain,ESP,1750,765400,8134600
Spain,ESP,1800,1165500,9334500
Spain,ESP,1850,2595000,12405000
Spain,ESP,1890,4716800,12883199
Spain,ESP,1980,13429200,23770800
Switzerland,CHE,1500,9750,640250
Switzerland,CHE,1550,12000,788000
Switzerland,CHE,1600,25000,975000
Switzerland,CHE,1650,22000,978000
Switzerland,CHE,1700,39600,1160400
Switzerland,CHE,1750,59800,1240200
Switzerland,CHE,1800,62900,1637100
Switzerland,CHE,1850,184800,2215200
Switzerland,CHE,1890,480000,2520000
Switzerland,CHE,1980,2167200,4132800
