Entity,Code,Year,Share of people who neither agree nor disagree vaccines are effective (%)
Sierra Leone,SLE,2018,0.823048454
Singapore,SGP,2018,19.06646885
Slovakia,SVK,2018,12.35926948
Slovenia,SVN,2018,11.93142312
South Africa,ZAF,2018,4.69588653
South America,,2018,9
South Asia,,2018,2
South Korea,KOR,2018,23.21396525
Southeast Asia,,2018,8
Southern Africa,,2018,5
Southern Europe,,2018,12
Spain,ESP,2018,13.30690501
Sri Lanka,LKA,2018,2.68695507
Sweden,SWE,2018,10.40820271
Switzerland,CHE,2018,14.39593697
Taiwan,TWN,2018,17.19494105
Tajikistan,TJK,2018,2.709521121
Tanzania,TZA,2018,3.032289192
Thailand,THA,2018,2.800394039
Togo,TGO,2018,9.812458782
Tunisia,TUN,2018,11.92696565
Turkey,TUR,2018,6.939791566
Turkmenistan,TKM,2018,3.828286876
Uganda,UGA,2018,4.694375539
Ukraine,UKR,2018,35.40090478
United Arab Emirates,ARE,2018,7.07038119
United Kingdom,GBR,2018,10.22120467
United States,USA,2018,8.927784007
Uruguay,URY,2018,15.82045382
Uzbekistan,UZB,2018,1.985865032
Venezuela,VEN,2018,3.362649671
Vietnam,VNM,2018,9.48031072
Western Africa,,2018,3
Western Europe,,2018,13
World,OWID_WRL,2018,9
Yemen,YEM,2018,5.944506833
Zambia,ZMB,2018,7.716494719
Zimbabwe,ZWE,2018,5.583039401
