Entity,Code,Year,17th percentile (%),2.5th percentile (%),83rd percentile (%),97.5th percentile (%),Median (%)
Paraguay,PRY,2,-1.971113654,-3.261109112,-0.253741737,0.539373386,-1.004093901
Peru,PER,2,-0.510617095,-0.995947716,0.021670211,0.319342044,-0.187109627
Philippines,PHL,2,-1.415018106,-1.898119747,-0.689496616,-0.391542844,-1.020550729
Poland,POL,2,0.07989526,-0.409819676,1.34439175,2.387212787,0.60197517
Portugal,PRT,2,-0.352875519,-0.687162074,0.06627117,0.324926872,-0.109182515
Romania,ROU,2,0.013325378,-0.362604449,0.980045122,1.895554763,0.38464484
Russia,RUS,2,0.554763839,-0.213093686,2.427805326,3.783182343,1.369090199
Rwanda,RWA,2,-1.101341441,-1.599473304,-0.410847353,-0.159949718,-0.711997091
Saint Vincent and the Grenadines,VCT,2,-1.495857331,-2.149349916,-0.670013835,-0.286345117,-1.041757512
Samoa,WSM,2,-1.256380388,-1.700794999,-0.601641699,-0.358064241,-0.896572293
Saudi Arabia,SAU,2,-2.670241323,-3.770970669,-1.118702305,-0.528628763,-1.80632015
Senegal,SEN,2,-2.110102579,-2.8170703,-1.040123402,-0.582828353,-1.531980619
Serbia,SRB,2,0.000411436,-0.346240682,0.90677677,1.739729459,0.343203082
Sierra Leone,SLE,2,-1.781834635,-2.38836632,-0.924417442,-0.561955071,-1.317401329
Slovakia,SVK,2,0.075018961,-0.3896183,1.30520725,2.408884089,0.563129872
Slovenia,SVN,2,0.075557167,-0.335421193,1.207084878,2.181217065,0.537362565
Solomon Islands,SLB,2,-1.301010111,-1.662065973,-0.730569901,-0.486368345,-0.993722282
South Africa,ZAF,2,-0.653759321,-1.115437502,-0.101879025,0.079220312,-0.326724703
South Korea,KOR,2,-0.015344828,-0.340058924,0.559932507,1.011507163,0.238072623
Spain,ESP,2,-0.454184259,-0.933098849,0.10147367,0.46416789,-0.121855501
Sri Lanka,LKA,2,-2.093530272,-3.095379966,-0.585296567,-0.046215773,-1.27437873
Sudan,SDN,2,-2.728390279,-3.946819555,-0.967235122,-0.298766146,-1.750229558
Suriname,SUR,2,-2.253038908,-3.314345685,-0.756296496,-0.186537518,-1.424850359
Swaziland,SWZ,2,-0.968700288,-1.577354396,-0.216846141,0.021056918,-0.530805597
Sweden,SWE,2,0.29660082,-0.213165083,1.755208771,2.879368306,0.913853521
Switzerland,CHE,2,0.15815992,-0.360896025,1.525254022,2.604851838,0.735651287
Tajikistan,TJK,2,-0.02075521,-0.387951703,0.648434557,1.299290203,0.231359828
Tanzania,TZA,2,-1.387811797,-1.947512821,-0.598421409,-0.30114129,-0.949912418
Thailand,THA,2,-2.519218005,-3.640777111,-0.958877598,-0.360196797,-1.642689286
Togo,TGO,2,-2.116400274,-2.886872772,-0.963211421,-0.526657374,-1.487376946
Trinidad and Tobago,TTO,2,-1.431197639,-2.001082613,-0.677214719,-0.341554756,-1.027680901
Tunisia,TUN,2,-1.174883388,-1.845124757,-0.335156805,-0.066647928,-0.687317669
Turkey,TUR,2,-0.175244974,-0.60185539,0.381649394,0.858491278,0.073584229
Turkmenistan,TKM,2,-0.681513695,-1.320472883,0.001466829,0.3245282,-0.251724131
Uganda,UGA,2,-1.549081847,-2.145723922,-0.677813937,-0.350593428,-1.064238818
Ukraine,UKR,2,0.057045337,-0.334319575,1.228166348,2.255908241,0.518217963
United Arab Emirates,ARE,2,-2.680622623,-3.771801297,-1.093307696,-0.455250097,-1.809659488
United Kingdom,GBR,2,0.081978754,-0.145951386,0.790502377,1.393384389,0.376076449
United States,USA,2,-0.254569315,-0.685257008,0.266209711,0.692236691,0.008423291
Uruguay,URY,2,-0.704906585,-1.215220284,-0.091109799,0.089041732,-0.341451396
Uzbekistan,UZB,2,-0.37870857,-0.916089664,0.173992919,0.631908289,-0.049263753
Vanuatu,VUT,2,-1.130640894,-1.603247741,-0.424850278,-0.190156686,-0.744162531
Venezuela,VEN,2,-2.338665483,-3.444051954,-0.91628318,-0.327377113,-1.545818624
Vietnam,VNM,2,-2.288130542,-3.282357726,-0.818958773,-0.212223275,-1.479784224
Zambia,ZMB,2,-1.386827534,-2.056406807,-0.475625931,-0.143465414,-0.870829555
Zimbabwe,ZWE,2,-1.27733943,-1.977146965,-0.352952506,-0.036367419,-0.753681916
