Entity,Code,Year,Per capita mismanaged plastic waste (kilograms per person per day)
India,IND,2010,0.009
Indonesia,IDN,2010,0.047
Iran,IRN,2010,0.074
Iraq,IRQ,2010,0.067
Ireland,IRL,2010,0.009
Israel,ISR,2010,0.008
Italy,ITA,2010,0.003
Jamaica,JAM,2010,0.01
Japan,JPN,2010,0.003
Jordan,JOR,2010,0.086
Kenya,KEN,2010,0.023
Kiribati,KIR,2010,0.088
Kuwait,KWT,2010,0.014
Latvia,LVA,2010,0.02
Lebanon,LBN,2010,0.034
Liberia,LBR,2010,0.072
Libya,LBY,2010,0.036
Lithuania,LTU,2010,0.021
Macao,MAC,2010,0.007
Madagascar,MDG,2010,0.013
Malaysia,MYS,2010,0.112
Maldives,MDV,2010,0.22
Malta,MLT,2010,0.018
Marshall Islands,MHL,2010,0.15
Martinique,MTQ,2010,0.005
Mauritania,MRT,2010,0.038
Mauritius,MUS,2010,0.122
Mexico,MEX,2010,0.012
Micronesia (country),FSM,2010,0.085
Monaco,MCO,2010,0.005
Montenegro,MNE,2010,0.046
Montserrat,MSR,2010,0.02
Morocco,MAR,2010,0.049
Mozambique,MOZ,2010,0.013
Myanmar,MMR,2010,0.066
Namibia,NAM,2010,0.097
Nauru,NRU,2010,0.099
Netherlands,NLD,2010,0.008
Netherlands Antilles,ANT,2010,0.005
New Caledonia,NCL,2010,0.005
New Zealand,NZL,2010,0.007
Nicaragua,NIC,2010,0.066
Nigeria,NGA,2010,0.085
Niue,NIU,2010,0.006
Norfolk Island,NFK,2010,0.086
North Korea,PRK,2010,0.048
Northern Mariana Islands,MNP,2010,0.006
Norway,NOR,2010,0.006
Oman,OMN,2010,0.005
Pakistan,PAK,2010,0.09
Palau,PLW,2010,0.084
Palestine,PSE,2010,0.005
Panama,PAN,2010,0.029
Papua New Guinea,PNG,2010,0.09
Peru,PER,2010,0.039
Philippines,PHL,2010,0.062
Poland,POL,2010,0.013
Portugal,PRT,2010,0.005
Puerto Rico,PRI,2010,0.011
Qatar,QAT,2010,0.003
Reunion,REU,2010,0.003
Romania,ROU,2010,0.011
Russia,RUS,2010,0.02
Saint Helena,SHN,2010,0.039
Saint Kitts and Nevis,KNA,2010,0.054
Saint Lucia,LCA,2010,0.113
Saint Pierre and Miquelon,SPM,2010,0.005
Saint Vincent and the Grenadines,VCT,2010,0.051
Samoa,WSM,2010,0.084
Sao Tome and Principe,STP,2010,0.085
Saudi Arabia,SAU,2010,0.016
Senegal,SEN,2010,0.086
Seychelles,SYC,2010,0.139
Sierra Leone,SLE,2010,0.035
Singapore,SGP,2010,0.004
Sint Maarten (Dutch part),SXM,2010,0.005
Slovenia,SVN,2010,0.005
Solomon Islands,SLB,2010,0.09
Somalia,SOM,2010,0.047
South Africa,ZAF,2010,0.134
South Korea,KOR,2010,0.001
Spain,ESP,2010,0.006
Sri Lanka,LKA,2010,0.299
Sudan,SDN,2010,0.083
Suriname,SUR,2010,0.027
Sweden,SWE,2010,0.001
Syria,SYR,2010,0.119
Taiwan,TWN,2010,0.006
Tanzania,TZA,2010,0.02
Thailand,THA,2010,0.108
Togo,TGO,2010,0.049
Tokelau,TKL,2010,0.086
Tonga,TON,2010,0.176
Trinidad and Tobago,TTO,2010,0.19
Tunisia,TUN,2010,0.088
Turkey,TUR,2010,0.039
Turks and Caicos Islands,TCA,2010,0.006
Tuvalu,TUV,2010,0.108
Ukraine,UKR,2010,0.052
United Arab Emirates,ARE,2010,0.004
United Kingdom,GBR,2010,0.004
United States,USA,2010,0.007
Uruguay,URY,2010,0.024
Vanuatu,VUT,2010,0.245
Venezuela,VEN,2010,0.017
Vietnam,VNM,2010,0.09
Yemen,YEM,2010,0.077
