Entity,Code,Year,Gold (New York Market Price) (Laurence & Williamson (2017)) (US$ per fine ounce)
World,OWID_WRL,1944,35
World,OWID_WRL,1945,35
World,OWID_WRL,1946,35
World,OWID_WRL,1947,35
World,OWID_WRL,1948,35
World,OWID_WRL,1949,35
World,OWID_WRL,1950,35
World,OWID_WRL,1951,35
World,OWID_WRL,1952,35
World,OWID_WRL,1953,35
World,OWID_WRL,1954,35
World,OWID_WRL,1955,35
World,OWID_WRL,1956,35
World,OWID_WRL,1957,35
World,OWID_WRL,1958,35
World,OWID_WRL,1959,35
World,OWID_WRL,1960,35
World,OWID_WRL,1961,35
World,OWID_WRL,1962,35
World,OWID_WRL,1963,35
World,OWID_WRL,1964,35
World,OWID_WRL,1965,35
World,OWID_WRL,1966,35
World,OWID_WRL,1967,35
World,OWID_WRL,1968,39.26
World,OWID_WRL,1969,41.51
World,OWID_WRL,1970,36.41
World,OWID_WRL,1971,41.25
World,OWID_WRL,1972,58.6
World,OWID_WRL,1973,97.81
World,OWID_WRL,1974,159.74
World,OWID_WRL,1975,161.49
World,OWID_WRL,1976,125.32
World,OWID_WRL,1977,148.31
World,OWID_WRL,1978,193.55
World,OWID_WRL,1979,307.5
World,OWID_WRL,1980,612.56
World,OWID_WRL,1981,459.64
World,OWID_WRL,1982,375.91
World,OWID_WRL,1983,424
World,OWID_WRL,1984,360.66
World,OWID_WRL,1985,317.66
World,OWID_WRL,1986,368.24
World,OWID_WRL,1987,447.95
World,OWID_WRL,1988,438.31
World,OWID_WRL,1989,382.58
World,OWID_WRL,1990,384.93
World,OWID_WRL,1991,363.29
World,OWID_WRL,1992,344.97
World,OWID_WRL,1993,360.91
World,OWID_WRL,1994,385.42
World,OWID_WRL,1995,385.5
World,OWID_WRL,1996,389.09
World,OWID_WRL,1997,332.39
World,OWID_WRL,1998,295.24
World,OWID_WRL,1999,279.91
World,OWID_WRL,2000,280.1
World,OWID_WRL,2001,272.22
World,OWID_WRL,2002,311.33
World,OWID_WRL,2003,364.8
World,OWID_WRL,2004,410.52
World,OWID_WRL,2005,446
World,OWID_WRL,2006,606
World,OWID_WRL,2007,699
World,OWID_WRL,2008,874
World,OWID_WRL,2009,975
World,OWID_WRL,2010,1227
World,OWID_WRL,2011,1572
World,OWID_WRL,2012,1700
World,OWID_WRL,2013,1415
World,OWID_WRL,2014,1270
World,OWID_WRL,2015,1170
