Entity,Code,Year,Increase in mean male height (%) (%),Increase in mean female height (%) (%)
Swaziland,SWZ,1996,3.009054,3.779495047
Sweden,SWE,1996,4.561289466,3.374493081
Switzerland,CHE,1996,6.501636615,3.756724256
Syria,SYR,1996,7.028102802,6.040428274
Taiwan,TWN,1996,8.187322288,8.081787545
Tajikistan,TJK,1996,6.116190783,4.268793587
Tanzania,TZA,1996,2.496304703,3.236495182
Thailand,THA,1996,6.756448167,6.533723925
Timor,TLS,1996,4.417030428,4.353686824
Togo,TGO,1996,3.405548632,3.456287498
Tokelau,TKL,1996,4.228481936,4.598023253
Tonga,TON,1996,3.723897275,5.044778543
Trinidad and Tobago,TTO,1996,6.000631169,4.166303736
Tunisia,TUN,1996,6.022237594,6.292258484
Turkey,TUR,1996,8.66224751,7.29754128
Turkmenistan,TKM,1996,6.351358131,5.804993291
Tuvalu,TUV,1996,2.590982493,0.969821293
Uganda,UGA,1996,2.125236507,2.033613557
Ukraine,UKR,1996,6.413829643,8.045582405
United Arab Emirates,ARE,1996,6.99985363,6.064934911
United Kingdom,GBR,1996,6.362891563,7.184357256
United States,USA,1996,3.537029078,3.168923779
Uruguay,URY,1996,5.874468619,8.3689401
Uzbekistan,UZB,1996,5.15193499,4.600157312
Vanuatu,VUT,1996,2.754328143,3.572208261
Venezuela,VEN,1996,7.27198928,8.774535275
Vietnam,VNM,1996,5.890434206,6.087037168
World,OWID_WRL,1996,5.41468396,5.520701848
Yemen,YEM,1996,3.483763908,6.112124518
Zambia,ZMB,1996,2.656600312,2.830094051
Zimbabwe,ZWE,1996,2.311613368,1.876128722
