Entity,Code,Year,Female minus male life expectancy at birth (HMD (2018) and others) (years)
United States,USA,1850,0.2999992370605469
United States,USA,1860,5.5
United States,USA,1870,-0.0999984741210938
United States,USA,1880,0.9000015258789062
United States,USA,1890,1.700000762939453
United States,USA,1900,2.549999237060547
United States,USA,1901,2.990001678466797
United States,USA,1902,3.060001373291016
United States,USA,1903,2.919998168945313
United States,USA,1904,3.019996643066406
United States,USA,1905,3.150001525878906
United States,USA,1906,3.689998626708984
United States,USA,1907,3.930000305175781
United States,USA,1908,3.369998931884766
United States,USA,1909,3.340000152587891
United States,USA,1910,3.5
United States,USA,1911,3.25
United States,USA,1912,3.529998779296875
United States,USA,1913,3.729999542236328
United States,USA,1914,3.460002899169922
United States,USA,1915,3.280002593994141
United States,USA,1916,3.560001373291016
United States,USA,1917,3.729999542236328
United States,USA,1918,3.740001678466797
United States,USA,1919,2.260002136230469
United States,USA,1920,1.760002136230469
United States,USA,1921,2.009998321533203
United States,USA,1922,2.310001373291016
United States,USA,1923,2.420001983642578
United States,USA,1924,2.759998321533203
United States,USA,1925,2.700000762939453
United States,USA,1926,2.760002136230469
United States,USA,1927,2.920001983642578
United States,USA,1928,3.040000915527344
United States,USA,1929,3.169998168945313
United States,USA,1930,3.350002288818359
United States,USA,1931,3.450000762939453
United States,USA,1932,3.150001525878906
United States,USA,1933,3.449996948242188
United States,USA,1934,3.830001831054688
United States,USA,1935,3.900001525878906
United States,USA,1936,4.099998474121094
United States,USA,1937,4.220001220703125
United States,USA,1938,3.929996490478516
United States,USA,1939,3.970005035400391
United States,USA,1940,4.30999755859375
United States,USA,1941,4.55999755859375
United States,USA,1942,4.779998779296875
United States,USA,1943,4.849998474121094
United States,USA,1944,5.139999389648438
United States,USA,1945,5.570003509521484
United States,USA,1946,4.959999084472656
United States,USA,1947,5.110000610351563
United States,USA,1948,5.32000732421875
United States,USA,1949,5.400001525878906
United States,USA,1950,5.5
United States,USA,1951,5.699996948242188
United States,USA,1952,5.840003967285156
United States,USA,1953,6
United States,USA,1954,6.010002136230469
United States,USA,1955,6.089996337890625
United States,USA,1956,6.209999084472656
United States,USA,1957,6.260002136230469
United States,USA,1958,6.279998779296875
United States,USA,1959,6.439994812011719
United States,USA,1960,6.579994201660156
United States,USA,1961,6.55999755859375
United States,USA,1962,6.610000610351563
United States,USA,1963,6.779998779296875
United States,USA,1964,6.900001525878906
United States,USA,1965,7.049995422363281
United States,USA,1966,7.209999084472656
United States,USA,1967,7.340003967285156
United States,USA,1968,7.599998474121094
United States,USA,1969,7.709999084472656
United States,USA,1970,7.709999084472656
United States,USA,1971,7.659996032714844
United States,USA,1972,7.800003051757813
United States,USA,1973,7.830001831054688
United States,USA,1974,7.75
United States,USA,1975,7.810005187988281
United States,USA,1976,7.689994812011719
United States,USA,1977,7.760002136230469
United States,USA,1978,7.680000305175781
United States,USA,1979,7.75
United States,USA,1980,7.579994201660156
United States,USA,1981,7.479995727539063
United States,USA,1982,7.3699951171875
United States,USA,1983,7.200004577636719
United States,USA,1984,7.1199951171875
United States,USA,1985,7.160003662109375
United States,USA,1986,7.180000305175781
United States,USA,1987,7.009994506835938
United States,USA,1988,7.069999694824219
United States,USA,1989,7.040000915527344
United States,USA,1990,7.080001831054688
United States,USA,1991,7.020004272460938
United States,USA,1992,6.94000244140625
United States,USA,1993,6.839996337890625
United States,USA,1994,6.760002136230469
United States,USA,1995,6.580001831054688
United States,USA,1996,6.229995727539063
United States,USA,1997,5.909996032714844
United States,USA,1998,5.700004577636719
United States,USA,1999,5.5
United States,USA,2000,5.360000610351563
United States,USA,2001,5.30999755859375
United States,USA,2002,5.290000915527344
United States,USA,2003,5.220001220703125
United States,USA,2004,5.139999389648438
United States,USA,2005,5.150001525878906
United States,USA,2006,5.120002746582031
United States,USA,2007,5.069999694824219
United States,USA,2008,4.960006713867188
United States,USA,2009,4.909996032714844
United States,USA,2010,4.840003967285156
United States,USA,2011,4.769996643066406
United States,USA,2012,4.75
United States,USA,2013,4.760002136230469
United States,USA,2014,4.779998779296875
