Entity,Code,Year,"Male suicide rate (age-adjusted male suicides per 100,000)","Female suicide rate (age-adjusted female suicides per 100,000)"
Chile,CHL,1979,11.62537,2.253324
Chile,CHL,1980,9.521648,1.48823
Chile,CHL,1981,11.19215,2.07544
Chile,CHL,1982,11.66377,1.493241
Chile,CHL,1983,11.23366,1.791543
Chile,CHL,1984,12.28858,1.742825
Chile,CHL,1985,11.34721,2.013265
Chile,CHL,1986,10.16231,2.029685
Chile,CHL,1987,10.46597,2.036328
Chile,CHL,1988,10.52443,1.897084
Chile,CHL,1989,10.99345,1.596402
Chile,CHL,1990,11.00416,1.726302
Chile,CHL,1991,11.09824,2.030589
Chile,CHL,1992,9.234569,1.422202
Chile,CHL,1993,10.30432,1.73219
Chile,CHL,1994,11.1224,1.426363
Chile,CHL,1995,12.47464,1.791788
Chile,CHL,1996,11.97944,1.71192
Chile,CHL,1997,11.48508,1.860289
Chile,CHL,1998,13.05255,1.777482
Chile,CHL,1999,12.82792,1.834275
Chile,CHL,2000,17.53683,2.69615
Chile,CHL,2001,18.80452,2.945508
Chile,CHL,2002,17.88378,3.088813
Chile,CHL,2003,18.17283,3.112759
Chile,CHL,2004,18.62864,3.206247
China,CHN,2004,15.98352337,18.02147102
Colombia,COL,1953,1.927473,0.3979131
Colombia,COL,1954,3.257846,0.703688
Colombia,COL,1955,2.832612,0.3914769
Colombia,COL,1956,2.222309,0.3340232
Colombia,COL,1957,1.509441,0.2548287
Colombia,COL,1958,4.607212,1.547101
Colombia,COL,1959,5.305804,1.930941
Colombia,COL,1960,5.658239,1.765069
Colombia,COL,1961,6.966426,2.893297
Colombia,COL,1962,8.855237,2.765813
Colombia,COL,1963,8.351048,3.251587
Colombia,COL,1964,8.53073,3.631145
Colombia,COL,1965,11.05097,4.938983
Colombia,COL,1966,10.16444,4.73882
Colombia,COL,1967,11.5099,5.493619
Colombia,COL,1968,8.16477,2.756773
Colombia,COL,1969,6.431482,1.631767
Colombia,COL,1972,7.24022,2.245594
Colombia,COL,1974,7.248097,2.267192
Colombia,COL,1975,6.700744,2.168202
Colombia,COL,1976,6.727814,1.939155
Colombia,COL,1977,5.989031,1.501226
Colombia,COL,1984,7.092669,1.580137
Colombia,COL,1985,6.762831,1.499763
Colombia,COL,1986,6.019554,1.425974
Colombia,COL,1987,5.360235,1.123727
Colombia,COL,1988,5.296733,0.9852467
Colombia,COL,1989,4.640345,1.013285
Colombia,COL,1990,4.58136,1.137153
Colombia,COL,1991,5.343418,1.249398
Colombia,COL,1992,5.882868,1.350895
Colombia,COL,1993,5.963886,1.260327
Colombia,COL,1994,6.272415,1.526278
Colombia,COL,1995,5.592937,1.387697
Colombia,COL,1996,5.911886,1.302763
Colombia,COL,1997,5.70885,1.404484
Colombia,COL,1998,9.129813,2.406739
Colombia,COL,1999,9.395199,2.301252
Colombia,COL,2000,9.830948,2.505282
Colombia,COL,2001,9.949824,2.501183
Colombia,COL,2002,9.256611,2.506116
Colombia,COL,2004,8.890985,2.180043
Comoros,COM,2004,6.18409729,3.550222635
Congo,COG,2004,13.14991283,6.957852364
Cook Islands,COK,2004,5.35080862,3.290148497
Costa Rica,CRI,1962,5.527928,0.8727162
Costa Rica,CRI,1963,8.564259,1.64262
Costa Rica,CRI,1964,7.331346,1.174007
Costa Rica,CRI,1965,6.126972,0.498162
Costa Rica,CRI,1966,8.63411,0.7799269
Costa Rica,CRI,1967,8.684781,0.4272753
Costa Rica,CRI,1968,7.344354,0.6360087
Costa Rica,CRI,1969,8.362664,0.5877427
Costa Rica,CRI,1970,6.112966,0.6645824
Costa Rica,CRI,1971,8.017241,1.125805
Costa Rica,CRI,1972,7.379571,1.363301
Costa Rica,CRI,1973,6.336791,1.356756
Costa Rica,CRI,1974,8.985533,1.576568
Costa Rica,CRI,1975,9.019467,2.115221
Costa Rica,CRI,1976,13.07302,2.641876
Costa Rica,CRI,1977,8.485324,2.350467
Costa Rica,CRI,1978,8.334862,1.839676
Costa Rica,CRI,1979,7.694184,1.295663
Costa Rica,CRI,1980,10.61525,2.385492
Costa Rica,CRI,1981,8.247713,1.513461
Costa Rica,CRI,1982,8.343644,1.949306
Costa Rica,CRI,1983,11.52164,1.563824
Costa Rica,CRI,1984,9.22881,1.794858
Costa Rica,CRI,1985,10.31565,1.326825
Costa Rica,CRI,1986,11.83093,0.9740071
Costa Rica,CRI,1987,8.937768,1.57761
Costa Rica,CRI,1988,11.4233,1.248714
Costa Rica,CRI,1989,11.01365,2.198613
Costa Rica,CRI,1990,11.13284,1.337344
Costa Rica,CRI,1991,8.739034,1.246473
Costa Rica,CRI,1992,9.651018,1.535387
Costa Rica,CRI,1993,10.33389,1.856192
Costa Rica,CRI,1994,9.501804,1.901241
Costa Rica,CRI,1995,10.86659,2.291895
Costa Rica,CRI,1996,11.41977,1.38356
Costa Rica,CRI,1997,9.966523,1.613845
Costa Rica,CRI,1998,11.70698,1.299603
Costa Rica,CRI,1999,12.00752,1.254674
Costa Rica,CRI,2000,11.74255,1.522919
Costa Rica,CRI,2001,9.661507,1.455986
Costa Rica,CRI,2002,12.34662,1.933612
Costa Rica,CRI,2003,13.56202,2.442115
Costa Rica,CRI,2004,14.01306,2.148408
Cote d'Ivoire,CIV,2004,28.09916687,11.85433578
Croatia,HRV,1985,30.38738,10.02628
Croatia,HRV,1986,30.17093,9.546262
Croatia,HRV,1987,32.17424,10.73183
Croatia,HRV,1988,30.85986,11.11103
Croatia,HRV,1989,28.04429,10.14025
Croatia,HRV,1990,31.37354,10.20551
Croatia,HRV,1991,30.06224,9.989329
Croatia,HRV,1992,33.47615,9.034454
Croatia,HRV,1993,30.59909,9.667844
Croatia,HRV,1994,31.04424,9.080338
Croatia,HRV,1995,26.88384,7.616956
Croatia,HRV,1996,31.70749,8.89677
Croatia,HRV,1997,28.80243,8.328824
Croatia,HRV,1998,31.55601,9.316629
Croatia,HRV,1999,30.4769,8.638062
Croatia,HRV,2000,30.41285,7.595149
Croatia,HRV,2001,25.77935,6.665844
Croatia,HRV,2002,24.98528,6.912228
Croatia,HRV,2003,25.6826,5.606805
Croatia,HRV,2004,23.86886,7.074668
Cuba,CUB,1964,15.97404,8.704844
Cuba,CUB,1968,17.15462,10.60389
Cuba,CUB,1969,13.42893,10.65689
Cuba,CUB,1970,16.96527,11.06531
Cuba,CUB,1971,19.81159,12.11019
Cuba,CUB,1972,20.59531,13.99399
Cuba,CUB,1973,25.1382,13.32282
Cuba,CUB,1974,25.86386,16.35233
Cuba,CUB,1975,25.26874,15.75323
Cuba,CUB,1976,24.99421,17.38483
Cuba,CUB,1977,23.97922,18.4484
Cuba,CUB,1992,24.30702,17.22876
Cuba,CUB,1993,25.27676,17.2061
Cuba,CUB,1994,25.43201,14.70204
Cuba,CUB,1995,24.45931,14.09523
Cuba,CUB,1996,23.17361,11.42207
Cuba,CUB,1997,23.30941,10.52007
Cuba,CUB,1998,22.9506,10.80781
Cuba,CUB,1999,23.68713,9.469912
Cuba,CUB,2000,21.13802,8.589081
Cuba,CUB,2001,19.1257,7.20769
Cuba,CUB,2002,17.93988,7.033532
Cuba,CUB,2003,17.50294,5.714284
Cuba,CUB,2004,17.69127,5.674331
Cyprus,CYP,1999,0.265023,
Cyprus,CYP,2000,2.262353,
Cyprus,CYP,2004,0.980029,0.2754736
Czech Republic,CZE,1986,28.8535,9.503201
Czech Republic,CZE,1987,25.93634,8.125144
Czech Republic,CZE,1988,25.40523,8.98777
Czech Republic,CZE,1989,25.30838,8.210373
Czech Republic,CZE,1990,26.55952,8.271993
Czech Republic,CZE,1991,25.75252,7.742053
Czech Republic,CZE,1992,27.11848,7.50093
Czech Republic,CZE,1993,25.81005,7.470964
Czech Republic,CZE,1994,24.32088,7.617469
Czech Republic,CZE,1995,23.28092,6.44746
Czech Republic,CZE,1996,21.61188,5.081792
Czech Republic,CZE,1997,22.94675,5.25615
Czech Republic,CZE,1998,22.166,4.965591
Czech Republic,CZE,1999,22.2891,4.659358
Czech Republic,CZE,2000,22.37462,5.038876
Czech Republic,CZE,2001,22.12178,4.686975
Czech Republic,CZE,2002,20.64323,4.675765
Czech Republic,CZE,2003,23.33724,5.044152
Czech Republic,CZE,2004,21.73415,4.079931
Czechoslovakia,OWID_CZS,1953,28.34556,10.82814
Czechoslovakia,OWID_CZS,1954,29.97081,10.28614
Czechoslovakia,OWID_CZS,1955,28.36906,10.25148
Czechoslovakia,OWID_CZS,1956,29.13223,10.87737
Czechoslovakia,OWID_CZS,1957,29.94037,10.81348
Czechoslovakia,OWID_CZS,1958,29.41469,10.9639
Czechoslovakia,OWID_CZS,1959,31.55763,11.55604
Czechoslovakia,OWID_CZS,1960,31.55822,12.72596
Czechoslovakia,OWID_CZS,1961,30.05474,11.09167
Czechoslovakia,OWID_CZS,1962,29.82165,11.16994
Czechoslovakia,OWID_CZS,1963,31.09758,11.31057
Czechoslovakia,OWID_CZS,1964,29.80415,10.94708
Czechoslovakia,OWID_CZS,1965,31.31145,11.00362
Czechoslovakia,OWID_CZS,1966,33.71492,11.71201
Czechoslovakia,OWID_CZS,1967,34.85952,11.84606
Czechoslovakia,OWID_CZS,1968,35.11474,12.51732
Czechoslovakia,OWID_CZS,1969,33.70097,11.04574
Czechoslovakia,OWID_CZS,1970,36.7509,12.01178
Czechoslovakia,OWID_CZS,1971,35.94737,10.85366
Czechoslovakia,OWID_CZS,1972,35.32833,11.36778
Czechoslovakia,OWID_CZS,1973,32.85426,9.913467
Czechoslovakia,OWID_CZS,1974,33.47021,10.03628
Czechoslovakia,OWID_CZS,1975,32.13456,9.9984
Czechoslovakia,OWID_CZS,1976,30.23492,9.454665
Czechoslovakia,OWID_CZS,1977,31.93786,8.85787
Czechoslovakia,OWID_CZS,1978,31.17116,9.647628
