Entity,Code,Year,"Health expenditure, public (% of total health expenditure) (% of total health expenditure)"
Belize,BLZ,1999,55.50930201
Belize,BLZ,2000,52.60605319
Belize,BLZ,2001,57.51150509
Belize,BLZ,2002,56.09477272
Belize,BLZ,2003,57.10023002
Belize,BLZ,2004,57.05998783
Belize,BLZ,2005,59.468261
Belize,BLZ,2006,60.65454979
Belize,BLZ,2007,63.48618569
Belize,BLZ,2008,64.61401789
Belize,BLZ,2009,66.50591262
Belize,BLZ,2010,66.00208946
Belize,BLZ,2011,66.46668433
Belize,BLZ,2012,65.60982628
Belize,BLZ,2013,65.22843797
Belize,BLZ,2014,67.01833352
Benin,BEN,1995,45.00048485
Benin,BEN,1996,44.2941754
Benin,BEN,1997,42.08042158
Benin,BEN,1998,44.22991901
Benin,BEN,1999,45.99920295
Benin,BEN,2000,44.19557036
Benin,BEN,2001,49.25107296
Benin,BEN,2002,44.18529694
Benin,BEN,2003,47.75271458
Benin,BEN,2004,47.68307929
Benin,BEN,2005,49.69487102
Benin,BEN,2006,50.22140758
Benin,BEN,2007,50.75158172
Benin,BEN,2008,50.95043199
Benin,BEN,2009,52.16089748
Benin,BEN,2010,54.33386719
Benin,BEN,2011,54.55661685
Benin,BEN,2012,44.35151867
Benin,BEN,2013,48.24543854
Benin,BEN,2014,48.99980402
Bhutan,BTN,1995,66.77017206
Bhutan,BTN,1996,77.99237336
Bhutan,BTN,1997,76.04232345
Bhutan,BTN,1998,74.91095197
Bhutan,BTN,1999,72.92324762
Bhutan,BTN,2000,77.03714788
Bhutan,BTN,2001,82.01462411
Bhutan,BTN,2002,85.23376862
Bhutan,BTN,2003,76.44655139
Bhutan,BTN,2004,72.45724473
Bhutan,BTN,2005,78.89484381
Bhutan,BTN,2006,81.43545021
Bhutan,BTN,2007,87.07585355
Bhutan,BTN,2008,84.53734292
Bhutan,BTN,2009,81.14504869
Bhutan,BTN,2010,87.87711649
Bhutan,BTN,2011,87.56061484
Bhutan,BTN,2012,72.92044884
Bhutan,BTN,2013,73.31351147
Bhutan,BTN,2014,73.18860382
Bolivia,BOL,1995,56.63708525
Bolivia,BOL,1996,64.34940554
Bolivia,BOL,1997,63.96960799
Bolivia,BOL,1998,61.22419196
Bolivia,BOL,1999,58.14343164
Bolivia,BOL,2000,57.23880176
Bolivia,BOL,2001,59.32253314
Bolivia,BOL,2002,62.82085923
Bolivia,BOL,2003,65.9164012
Bolivia,BOL,2004,66.95808785
Bolivia,BOL,2005,68.13556961
Bolivia,BOL,2006,67.78541676
Bolivia,BOL,2007,68.67590863
Bolivia,BOL,2008,68.10665046
Bolivia,BOL,2009,68.52493924
Bolivia,BOL,2010,67.29721486
Bolivia,BOL,2011,68.32307785
Bolivia,BOL,2012,67.88504973
Bolivia,BOL,2013,71.05379224
Bolivia,BOL,2014,72.06790853
Bosnia and Herzegovina,BIH,1995,37.10439774
Bosnia and Herzegovina,BIH,1996,46.98777867
Bosnia and Herzegovina,BIH,1997,43.05306937
Bosnia and Herzegovina,BIH,1998,40.85845872
Bosnia and Herzegovina,BIH,1999,53.09650817
Bosnia and Herzegovina,BIH,2000,56.88402793
Bosnia and Herzegovina,BIH,2001,60.22869599
Bosnia and Herzegovina,BIH,2002,63.08479765
Bosnia and Herzegovina,BIH,2003,68.99214188
Bosnia and Herzegovina,BIH,2004,57.2022061
Bosnia and Herzegovina,BIH,2005,57.27214817
Bosnia and Herzegovina,BIH,2006,60.12006275
Bosnia and Herzegovina,BIH,2007,63.72967094
Bosnia and Herzegovina,BIH,2008,67.73393227
Bosnia and Herzegovina,BIH,2009,70.57247627
Bosnia and Herzegovina,BIH,2010,70.87802547
Bosnia and Herzegovina,BIH,2011,71.2828813
Bosnia and Herzegovina,BIH,2012,71.23125615
Bosnia and Herzegovina,BIH,2013,70.05023238
Bosnia and Herzegovina,BIH,2014,71.17703421
Botswana,BWA,1995,52.17711383
Botswana,BWA,1996,52.57985025
Botswana,BWA,1997,56.56694328
Botswana,BWA,1998,56.51086753
Botswana,BWA,1999,57.78895687
Botswana,BWA,2000,62.44591349
Botswana,BWA,2001,72.37247014
Botswana,BWA,2002,75.61035711
Botswana,BWA,2003,63.89597943
Botswana,BWA,2004,69.94578517
Botswana,BWA,2005,72.73628682
Botswana,BWA,2006,70.5769114
Botswana,BWA,2007,70.35149522
Botswana,BWA,2008,70.77584364
Botswana,BWA,2009,70.35718708
Botswana,BWA,2010,62.81552856
Botswana,BWA,2011,61.64819206
Botswana,BWA,2012,63.06223365
Botswana,BWA,2013,60.0703071
Botswana,BWA,2014,59.01483571
Brazil,BRA,1995,43.0143059
Brazil,BRA,1996,40.26348721
Brazil,BRA,1997,42.95008132
Brazil,BRA,1998,42.63918544
Brazil,BRA,1999,42.72960671
Brazil,BRA,2000,40.30413495
Brazil,BRA,2001,42.29053629
Brazil,BRA,2002,44.64187361
Brazil,BRA,2003,44.36618439
Brazil,BRA,2004,47.02470384
Brazil,BRA,2005,41.51321726
Brazil,BRA,2006,41.79959872
Brazil,BRA,2007,41.72587073
Brazil,BRA,2008,43.84057688
Brazil,BRA,2009,44.41337192
Brazil,BRA,2010,45.79618409
Brazil,BRA,2011,45.16593864
Brazil,BRA,2012,44.32147407
Brazil,BRA,2013,45.11671386
Brazil,BRA,2014,46.0391265
Brunei,BRN,1995,77.37007101
Brunei,BRN,1996,81.00494079
Brunei,BRN,1997,80.76691973
Brunei,BRN,1998,83.45116948
Brunei,BRN,1999,83.43837923
Brunei,BRN,2000,85.09018103
Brunei,BRN,2001,84.23170814
Brunei,BRN,2002,84.55793451
Brunei,BRN,2003,83.91273839
Brunei,BRN,2004,83.91610441
Brunei,BRN,2005,84.42509355
Brunei,BRN,2006,85.9870411
Brunei,BRN,2007,87.95975243
Brunei,BRN,2008,90.41595189
Brunei,BRN,2009,90.98663618
Brunei,BRN,2010,92.19995394
Brunei,BRN,2011,92.02240125
Brunei,BRN,2012,91.82088655
Brunei,BRN,2013,92.15238879
Brunei,BRN,2014,93.86008263
Bulgaria,BGR,1995,73.96002864
Bulgaria,BGR,1996,69.60042803
Bulgaria,BGR,1997,71.66345594
Bulgaria,BGR,1998,69.87883677
Bulgaria,BGR,1999,66.32695221
Bulgaria,BGR,2000,60.93155232
Bulgaria,BGR,2001,58.39254758
Bulgaria,BGR,2002,61.25755974
Bulgaria,BGR,2003,62.11318805
Bulgaria,BGR,2004,60.75614922
Bulgaria,BGR,2005,60.91956098
Bulgaria,BGR,2006,56.95402585
Bulgaria,BGR,2007,58.19821446
Bulgaria,BGR,2008,58.53860817
Bulgaria,BGR,2009,55.35176347
Bulgaria,BGR,2010,55.68633298
Bulgaria,BGR,2011,54.6225225
Bulgaria,BGR,2012,56.29029865
Bulgaria,BGR,2013,51.9892531
Bulgaria,BGR,2014,54.57395236
Burkina Faso,BFA,1995,38.01871362
Burkina Faso,BFA,1996,37.65760865
Burkina Faso,BFA,1997,40.32210693
Burkina Faso,BFA,1998,39.18636222
Burkina Faso,BFA,1999,41.60023902
Burkina Faso,BFA,2000,39.86708565
Burkina Faso,BFA,2001,37.76658511
Burkina Faso,BFA,2002,42.89142344
Burkina Faso,BFA,2003,46.42337059
Burkina Faso,BFA,2004,53.68405879
Burkina Faso,BFA,2005,59.53938087
Burkina Faso,BFA,2006,56.86460313
Burkina Faso,BFA,2007,60.27284559
Burkina Faso,BFA,2008,59.05205816
Burkina Faso,BFA,2009,49.40130211
Burkina Faso,BFA,2010,55.38566228
Burkina Faso,BFA,2011,57.16554002
Burkina Faso,BFA,2012,55.94955401
Burkina Faso,BFA,2013,59.0182346
Burkina Faso,BFA,2014,52.29508232
Burundi,BDI,1995,30.77923782
Burundi,BDI,1996,33.22415899
Burundi,BDI,1997,27.4901841
Burundi,BDI,1998,27.72550639
Burundi,BDI,1999,28.20240648
Burundi,BDI,2000,28.20920603
Burundi,BDI,2001,32.94886718
Burundi,BDI,2002,30.17501636
Burundi,BDI,2003,25.6304098
Burundi,BDI,2004,35.83401125
Burundi,BDI,2005,29.86243031
Burundi,BDI,2006,30.71182451
Burundi,BDI,2007,37.70343958
Burundi,BDI,2008,42.69135774
Burundi,BDI,2009,44.41351246
Burundi,BDI,2010,62.34965816
Burundi,BDI,2011,62.97351396
Burundi,BDI,2012,60.07716167
Burundi,BDI,2013,54.74183861
Burundi,BDI,2014,52.7329716
Cambodia,KHM,1995,20.86294446
Cambodia,KHM,1996,35.58552756
Cambodia,KHM,1997,31.82165048
Cambodia,KHM,1998,22.52698174
Cambodia,KHM,1999,21.16040448
Cambodia,KHM,2000,22.84894528
Cambodia,KHM,2001,22.86393004
Cambodia,KHM,2002,25.57191111
Cambodia,KHM,2003,35.83300296
Cambodia,KHM,2004,37.19303597
Cambodia,KHM,2005,27.70343937
Cambodia,KHM,2006,27.57738598
Cambodia,KHM,2007,35.28644552
Cambodia,KHM,2008,20.00830583
Cambodia,KHM,2009,20.65198494
Cambodia,KHM,2010,24.20329663
Cambodia,KHM,2011,23.75028956
Cambodia,KHM,2012,24.09505516
Cambodia,KHM,2013,23.5568436
Cambodia,KHM,2014,22.04231295
Cameroon,CMR,1995,23.31552278
Cameroon,CMR,1996,17.28784442
Cameroon,CMR,1997,21.07698037
Cameroon,CMR,1998,17.73886802
Cameroon,CMR,1999,18.80304126
Cameroon,CMR,2000,20.82105208
Cameroon,CMR,2001,24.02194529
Cameroon,CMR,2002,26.53407268
Cameroon,CMR,2003,26.77701531
Cameroon,CMR,2004,23.87966909
Cameroon,CMR,2005,23.57494411
Cameroon,CMR,2006,22.96643626
Cameroon,CMR,2007,22.4057733
Cameroon,CMR,2008,20.27143581
Cameroon,CMR,2009,25.30839745
Cameroon,CMR,2010,28.52693808
Cameroon,CMR,2011,33.60818592
Cameroon,CMR,2012,24.58444181
Cameroon,CMR,2013,23.58366467
Cameroon,CMR,2014,22.87302171
Canada,CAN,1995,71.24762686
Canada,CAN,1996,70.77298315
Canada,CAN,1997,70.1191294
Canada,CAN,1998,70.56387737
Canada,CAN,1999,69.96290584
Canada,CAN,2000,70.35107963
Canada,CAN,2001,69.97577179
Canada,CAN,2002,69.52329664
Canada,CAN,2003,70.16795259
Canada,CAN,2004,70.32173432
Canada,CAN,2005,70.23755658
Canada,CAN,2006,69.61915372
Canada,CAN,2007,70.09235044
Canada,CAN,2008,70.41296862
Canada,CAN,2009,70.83229795
Canada,CAN,2010,70.3892757
Canada,CAN,2011,70.94152397
Canada,CAN,2012,70.98055397
Canada,CAN,2013,71.03184653
Canada,CAN,2014,70.93041505
Cape Verde,CPV,1995,80.42691498
Cape Verde,CPV,1996,81.68337606
Cape Verde,CPV,1997,81.62438072
Cape Verde,CPV,1998,74.9548814
Cape Verde,CPV,1999,73.67150627
Cape Verde,CPV,2000,73.25341011
Cape Verde,CPV,2001,75.42819303
Cape Verde,CPV,2002,75.25951819
Cape Verde,CPV,2003,74.97691239
Cape Verde,CPV,2004,74.86950246
Cape Verde,CPV,2005,75.12785684
Cape Verde,CPV,2006,77.4735679
Cape Verde,CPV,2007,78.71875979
Cape Verde,CPV,2008,76.65022845
Cape Verde,CPV,2009,76.35289839
Cape Verde,CPV,2010,71.02908085
Cape Verde,CPV,2011,72.54498235
Cape Verde,CPV,2012,72.45818987
Cape Verde,CPV,2013,72.67981788
Cape Verde,CPV,2014,74.73642802
Caribbean small states,,1995,53.4309839578012
Caribbean small states,,1996,53.7765699034604
Caribbean small states,,1997,53.9944773715913
Caribbean small states,,1998,56.4276918040323
Caribbean small states,,1999,53.9892109324418
Caribbean small states,,2000,54.4278335689958
Caribbean small states,,2001,52.3365647685208
Caribbean small states,,2002,55.8964848568183
Caribbean small states,,2003,52.8694668109363
Caribbean small states,,2004,53.5936236813887
Caribbean small states,,2005,51.1531466982612
Caribbean small states,,2006,52.8674671057256
Caribbean small states,,2007,52.1071826945369
Caribbean small states,,2008,52.6734309962954
Caribbean small states,,2009,54.5868302910211
Caribbean small states,,2010,56.0805843860904
Caribbean small states,,2011,53.75124215075
Caribbean small states,,2012,53.6259329397094
Caribbean small states,,2013,53.8641019331835
Caribbean small states,,2014,53.4120356115937
Central African Republic,CAF,1995,37.84955437
Central African Republic,CAF,1996,45.04079342
Central African Republic,CAF,1997,33.88205
Central African Republic,CAF,1998,37.8074885
Central African Republic,CAF,1999,45.95897968
Central African Republic,CAF,2000,49.63113284
Central African Republic,CAF,2001,47.19044891
Central African Republic,CAF,2002,49.51396826
Central African Republic,CAF,2003,48.19476154
Central African Republic,CAF,2004,44.98692072
Central African Republic,CAF,2005,49.29233287
Central African Republic,CAF,2006,48.23567121
Central African Republic,CAF,2007,50.36149457
Central African Republic,CAF,2008,53.20685669
Central African Republic,CAF,2009,41.857135
Central African Republic,CAF,2010,50.72943651
Central African Republic,CAF,2011,49.29975886
Central African Republic,CAF,2012,48.80222665
Central African Republic,CAF,2013,50.06056294
Central African Republic,CAF,2014,48.97224289
Central Europe and the Baltics,,1995,80.1378981632793
Central Europe and the Baltics,,1996,79.3494787599069
Central Europe and the Baltics,,1997,78.6621151901213
Central Europe and the Baltics,,1998,75.0471112530538
Central Europe and the Baltics,,1999,76.8457610605345
Central Europe and the Baltics,,2000,75.5902674629587
Central Europe and the Baltics,,2001,75.4219708587105
Central Europe and the Baltics,,2002,75.6155158391735
Central Europe and the Baltics,,2003,75.8846033578201
Central Europe and the Baltics,,2004,73.3793595367238
Central Europe and the Baltics,,2005,74.2267536777043
Central Europe and the Baltics,,2006,73.8267862245878
Central Europe and the Baltics,,2007,73.682314433479
Central Europe and the Baltics,,2008,73.9117925973782
Central Europe and the Baltics,,2009,73.3623912730587
Central Europe and the Baltics,,2010,73.4470637616533
Central Europe and the Baltics,,2011,72.8160271805623
Central Europe and the Baltics,,2012,72.2117401867429
Central Europe and the Baltics,,2013,73.0385280272857
Central Europe and the Baltics,,2014,73.251714540145
Chad,TCD,1995,34.76658012
Chad,TCD,1996,36.24385453
Chad,TCD,1997,35.33552033
Chad,TCD,1998,30.66426777
Chad,TCD,1999,33.91892953
Chad,TCD,2000,42.49852284
Chad,TCD,2001,39.37601005
Chad,TCD,2002,32.30560308
Chad,TCD,2003,41.31323569
Chad,TCD,2004,40.2000989
Chad,TCD,2005,39.84328457
Chad,TCD,2006,33.98754246
Chad,TCD,2007,37.36370494
Chad,TCD,2008,34.17160008
Chad,TCD,2009,37.24238406
Chad,TCD,2010,40.19085281
Chad,TCD,2011,48.43812451
Chad,TCD,2012,47.39277019
Chad,TCD,2013,51.93024855
Chad,TCD,2014,54.64955311
Chile,CHL,1995,48.18077074
Chile,CHL,1996,47.16853614
Chile,CHL,1997,47.13742584
