Entity,Code,Year,Females (years),Males (years)
United Kingdom,GBR,1881,47.65000152587891,44.54000091552734
United Kingdom,GBR,1891,46.0099983215332,42.52000045776367
United Kingdom,GBR,1901,49.81999969482422,45.97999954223633
United Kingdom,GBR,1911,53.47999954223633,49.56000137329102
United Kingdom,GBR,1921,60.20999908447266,56.2599983215332
United Kingdom,GBR,1931,62.40999984741211,58.25
United Kingdom,GBR,1941,64.7699966430664,58.61999893188477
United Kingdom,GBR,1951,71.02999877929688,65.91000366210938
United Kingdom,GBR,1961,73.87999725341797,68.0199966430664
United Kingdom,GBR,1971,75.51000213623047,69.2300033569336
United Kingdom,GBR,1981,77.06999969482422,71.08000183105469
United Kingdom,GBR,1991,78.77999877929688,73.27999877929688
United Kingdom,GBR,2001,80.5999984741211,75.94999694824219
United Kingdom,GBR,2011,82.93000030517578,79.04000091552734
United States,USA,1790,44.20000076293945,44.09999847412109
United States,USA,1800,41.70000076293945,41.40000152587891
United States,USA,1810,40.20000076293945,39.79999923706055
United States,USA,1820,40.40000152587891,40
United States,USA,1830,40.79999923706055,40.5
United States,USA,1840,39.29999923706055,38.79999923706055
United States,USA,1850,37.09999847412109,36.79999923706055
United States,USA,1860,40.59999847412109,35.09999847412109
United States,USA,1870,43.90000152587891,44
United States,USA,1880,48,47.09999847412109
United States,USA,1890,51.20000076293945,49.5
United States,USA,1900,48.95999908447266,46.40999984741211
United States,USA,1901,50.86000061035156,47.86999893188477
United States,USA,1902,52.08000183105469,49.02000045776367
United States,USA,1903,52.11999893188477,49.20000076293945
United States,USA,1904,51.09999847412109,48.08000183105469
United States,USA,1905,51.88000106811523,48.72999954223633
United States,USA,1906,51.95999908447266,48.27000045776367
United States,USA,1907,52.22000122070313,48.29000091552734
United States,USA,1908,53.59000015258789,50.22000122070313
United States,USA,1909,54.45999908447266,51.11999893188477
United States,USA,1910,53.58000183105469,50.08000183105469
United States,USA,1911,55.04999923706055,51.79999923706055
United States,USA,1912,55.86999893188477,52.34000015258789
United States,USA,1913,55.45000076293945,51.72000122070313
United States,USA,1914,56.33000183105469,52.86999893188477
United States,USA,1915,56.79000091552734,53.5099983215332
United States,USA,1916,55.97999954223633,52.41999816894531
United States,USA,1917,55.90999984741211,52.18000030517578
United States,USA,1918,49.08000183105469,45.34000015258789
United States,USA,1919,56.45000076293945,54.18999862670898
United States,USA,1920,56.27000045776367,54.5099983215332
United States,USA,1921,59.2599983215332,57.25
United States,USA,1922,59.33000183105469,57.02000045776367
United States,USA,1923,58.7400016784668,56.31999969482422
United States,USA,1924,59.90999984741211,57.15000152587891
United States,USA,1925,59.93000030517578,57.22999954223633
United States,USA,1926,59.33000183105469,56.56999969482422
United States,USA,1927,60.86000061035156,57.93999862670898
United States,USA,1928,59.81999969482422,56.77999877929688
United States,USA,1929,60.15999984741211,56.9900016784668
United States,USA,1930,61.31000137329102,57.95999908447266
United States,USA,1931,62.02000045776367,58.56999969482422
United States,USA,1932,62.59000015258789,59.43999862670898
United States,USA,1933,63.02999877929688,59.58000183105469
United States,USA,1934,62.68000030517578,58.84999847412109
United States,USA,1935,63.31999969482422,59.41999816894531
United States,USA,1936,62.84999847412109,58.75
United States,USA,1937,63.58000183105469,59.36000061035156
United States,USA,1938,64.73999786376953,60.81000137329102
United States,USA,1939,65.41000366210938,61.43999862670898
United States,USA,1940,65.73999786376953,61.43000030517578
United States,USA,1941,66.45999908447266,61.90000152587891
United States,USA,1942,67.36000061035156,62.58000183105469
United States,USA,1943,67.0999984741211,62.25
United States,USA,1944,67.81999969482422,62.68000030517578
United States,USA,1945,68.44000244140625,62.86999893188477
United States,USA,1946,69.20999908447266,64.25
United States,USA,1947,69.68000030517578,64.56999969482422
United States,USA,1948,70.16000366210938,64.83999633789062
United States,USA,1949,70.66000366210938,65.26000213623047
United States,USA,1950,71.12999725341797,65.62999725341797
United States,USA,1951,71.36000061035156,65.66000366210938
United States,USA,1952,71.62000274658203,65.77999877929688
United States,USA,1953,71.9800033569336,65.9800033569336
United States,USA,1954,72.75,66.73999786376953
United States,USA,1955,72.80999755859375,66.72000122070312
United States,USA,1956,72.94000244140625,66.7300033569336
United States,USA,1957,72.7300033569336,66.47000122070312
United States,USA,1958,72.91999816894531,66.63999938964844
United States,USA,1959,73.23999786376953,66.80000305175781
United States,USA,1960,73.23999786376953,66.66000366210938
United States,USA,1961,73.62999725341797,67.06999969482422
United States,USA,1962,73.5,66.88999938964844
United States,USA,1963,73.41999816894531,66.63999938964844
United States,USA,1964,73.73999786376953,66.83999633789062
United States,USA,1965,73.83999633789062,66.79000091552734
United States,USA,1966,73.9000015258789,66.69000244140625
United States,USA,1967,74.29000091552734,66.94999694824219
United States,USA,1968,74.20999908447266,66.61000061035156
United States,USA,1969,74.58999633789062,66.87999725341797
United States,USA,1970,74.86000061035156,67.1500015258789
United States,USA,1971,75.05999755859375,67.4000015258789
United States,USA,1972,75.22000122070312,67.41999816894531
United States,USA,1973,75.47000122070312,67.63999938964844
United States,USA,1974,76.0199966430664,68.2699966430664
United States,USA,1975,76.55000305175781,68.73999786376953
United States,USA,1976,76.7699966430664,69.08000183105469
United States,USA,1977,77.16000366210938,69.4000015258789
United States,USA,1978,77.25,69.56999969482422
United States,USA,1979,77.70999908447266,69.95999908447266
United States,USA,1980,77.5199966430664,69.94000244140625
United States,USA,1981,77.8499984741211,70.37000274658203
United States,USA,1982,78.19999694824219,70.83000183105469
United States,USA,1983,78.12000274658203,70.91999816894531
United States,USA,1984,78.19999694824219,71.08000183105469
United States,USA,1985,78.22000122070312,71.05999755859375
United States,USA,1986,78.30000305175781,71.12000274658203
United States,USA,1987,78.23999786376953,71.2300033569336
United States,USA,1988,78.37000274658203,71.30000305175781
United States,USA,1989,78.62999725341797,71.58999633789062
United States,USA,1990,78.91000366210938,71.83000183105469
United States,USA,1991,79.04000091552734,72.0199966430664
United States,USA,1992,79.22000122070312,72.27999877929688
United States,USA,1993,78.94999694824219,72.11000061035156
United States,USA,1994,79.06999969482422,72.30999755859375
United States,USA,1995,79.08000183105469,72.5
United States,USA,1996,79.19999694824219,72.97000122070312
United States,USA,1997,79.3499984741211,73.44000244140625
United States,USA,1998,79.41000366210938,73.70999908447266
United States,USA,1999,79.31999969482422,73.81999969482422
United States,USA,2000,79.37999725341797,74.0199966430664
United States,USA,2001,79.44999694824219,74.13999938964844
United States,USA,2002,79.5,74.20999908447266
United States,USA,2003,79.61000061035156,74.38999938964844
United States,USA,2004,79.97000122070312,74.83000183105469
United States,USA,2005,79.97000122070312,74.81999969482422
United States,USA,2006,80.2300033569336,75.11000061035156
United States,USA,2007,80.45999908447266,75.38999938964844
United States,USA,2008,80.4800033569336,75.5199966430664
United States,USA,2009,80.80999755859375,75.9000015258789
United States,USA,2010,80.94000244140625,76.0999984741211
United States,USA,2011,80.94999694824219,76.18000030517578
United States,USA,2012,81.04000091552734,76.29000091552734
United States,USA,2013,81.05000305175781,76.29000091552734
United States,USA,2014,81.11000061035156,76.33000183105469
