Entity,Code,Year,"Land (crop, pasture) ($)",Protected areas ($),"Fossil energy resources (oil, natural gas, coal) ($)",Metals and minerals ($),Net foreign assets ($),Produced capital ($),"Forest, timber ($)","Forest, non-timber ($)",Human capital ($)
Bahrain,BHR,2014,562.49,12.44,13451.23,0,21816.22,76788.06,0.38,0.46,157679.38
Bangladesh,BGD,1995,1346.97,15.5,11.18,0,-204.14,1426.03,3,7.65,3061.19
Bangladesh,BGD,2000,1050.23,26.36,17.71,0,-173.28,1362.61,1.97,6.84,3496.02
Bangladesh,BGD,2005,1131.31,24.67,65.01,0,-206,1568.56,1.87,6.23,4437.77
Bangladesh,BGD,2010,1886.04,28.97,123.47,0,-175.31,2533.65,3.48,5.82,6130.55
Bangladesh,BGD,2014,2110.3,28.93,85.04,0,-124.37,3434.48,4.28,5.51,7169.6
Belarus,BLR,1995,11509.23,1171.76,202.44,0,-183.68,20529.93,1103.44,1944.52,13071.33
Belarus,BLR,2000,10405.55,1083.39,301.19,0,-637.08,19254.93,1035.08,2047.29,23938.61
Belarus,BLR,2005,10159.99,1107.05,645.03,0,-673.88,22393.32,667.07,2155.82,33165.05
Belarus,BLR,2010,13121.35,1467.26,830.94,0,-3610.2,28915.33,701.59,2220.7,50493.16
Belarus,BLR,2014,15946.93,1410.48,1167.05,0,-4588.11,33388.2,1112.07,2245.21,49003.62
Belgium,BEL,1995,4889.89,162.22,2.91,0,5167.19,138586.98,227.3,751.72,313740.79
Belgium,BEL,2000,4229.76,230.51,0.05,0,25049.63,159216.9,240.25,737.74,343429.59
Belgium,BEL,2005,3986.63,288.99,0,0,13645.23,175584.6,222.13,729.2,347800.14
Belgium,BEL,2010,3484.44,414.02,0,0,29991.44,201723.34,219.64,708.57,375720.31
Belgium,BEL,2014,3617.14,473.64,0,0,24086.1,211872.66,232.89,689.18,404997.32
Belize,BLZ,1995,7288.46,10444.99,0,0,-1606.37,10699.74,576.66,14711.38,20343.08
Belize,BLZ,2000,6378.86,8170.73,0,0.06,-2472.78,11965.72,392.06,11683.75,23034.52
Belize,BLZ,2005,5269.68,10681.52,281.85,0,-5817.94,13404.16,297.31,9901.34,25739.37
Belize,BLZ,2010,5470.9,11092.66,646.94,0,-6964.45,14723.19,381.09,8566.5,24260.35
Belize,BLZ,2014,6072.7,13650.8,1864.55,0,-7254.47,12302.62,526.71,7720.42,23988.59
Bolivia,BOL,1995,6226.19,1596.1,424.74,28.67,-1412.73,5053.29,24.18,4828.83,22715.02
Bolivia,BOL,2000,5926.46,1922.55,509.13,25.86,-2184.13,5807.3,19.93,4284.95,25355.6
Bolivia,BOL,2005,7293.39,2987.43,2354.98,52.39,-1915.72,5517.26,13.8,3827.49,21587.99
Bolivia,BOL,2010,8126.08,3794.01,3579.24,888.6,208.65,5446.25,19.24,3370.14,22276.86
Bolivia,BOL,2014,7603,3483.39,1939.01,1382.8,276.61,6626.45,19.44,3099.67,24805.08
Bosnia and Herzegovina,BIH,1995,2923.39,1.95,130.96,25.79,-289.13,3312.91,15.51,1090.66,3615.73
Bosnia and Herzegovina,BIH,2000,3968.32,3.42,39.45,11.62,-550.67,7459.09,797.38,1109.16,13480.94
Bosnia and Herzegovina,BIH,2005,4003.81,40.69,492.52,207.38,-1278.16,10339.32,640.27,1097.45,17304.96
Bosnia and Herzegovina,BIH,2010,4563.14,97.39,1357.48,892.94,-2682.18,12694.14,598.3,1096.91,19978.58
Bosnia and Herzegovina,BIH,2014,4793.67,122.44,1066.82,1235.52,-2591.72,13842.2,671.94,1101.99,20242.92
Botswana,BWA,1995,7980.76,3985.23,179.81,235.56,3213.74,10844.46,445.41,9376.78,37256.32
Botswana,BWA,2000,5577.61,3419.75,110.87,221.6,3647.18,11184.65,472.37,8127.77,28361.87
Botswana,BWA,2005,4436.26,2605.39,190.31,846.32,3955.31,13330.86,413.99,7214.53,31397.65
Botswana,BWA,2010,7304.3,4280.76,351.38,6886.94,3493.61,19473.26,558.44,6241.39,40741.27
Botswana,BWA,2014,10002.82,6003.89,345.82,3651.88,2661.91,19908.05,585.48,5550.16,47087.41
Brazil,BRA,1995,8745.4,2142.01,486.5,979.24,-1245.25,30169.11,1276.14,9826.14,100346.84
Brazil,BRA,2000,7917.12,2467.85,660.59,895.06,-3596.83,30516.62,990.98,8881.08,102643.01
Brazil,BRA,2005,10754.34,4362.9,2160.41,2774.54,-3219.29,33408.52,1315.26,8051.96,117260.46
Brazil,BRA,2010,11314.88,6131.43,2612.97,6408.86,-4597.82,35284.2,1199.51,7516.28,128520.6
Brazil,BRA,2014,12292.46,7251.22,2881.58,5929.57,-3858.82,32067.09,1436.64,7186.86,132712.63
Bulgaria,BGR,1995,6657.13,243.37,188.16,600.92,-1516.35,11886.99,574.1,1095.02,14826.67
Bulgaria,BGR,2000,7314.9,442.94,79.5,706.44,-1536.73,6944.03,517.37,1134.7,25641.22
Bulgaria,BGR,2005,6186.04,1701.5,469.19,706.7,-2587.3,12361.07,460.9,1309.42,36297.33
Bulgaria,BGR,2010,5212.21,2896.16,1077.85,2274.19,-7551.53,19822.87,489.8,1388,43293.68
Bulgaria,BGR,2014,6352.66,4922.66,888.58,2570.84,-5583.88,23185.53,501.57,1447.14,47592.76
Burkina Faso,BFA,1995,3055.65,1092.88,0,8.49,-103.87,1413.46,754.46,52.05,2193.2
Burkina Faso,BFA,2000,3000.72,1164.76,0,1.5,-249.8,1469.86,966.83,43.18,3522.38
Burkina Faso,BFA,2005,3023.03,1079.7,0,6.86,-199.85,1375.28,552.8,35.56,4623.25
Burkina Faso,BFA,2010,3460.32,1167.46,0,189.9,-129.42,1516.06,637.56,28.99,4800.15
Burkina Faso,BFA,2014,3361.78,1036.27,0,734.14,-155.48,1753.96,598.07,24.67,4969.97
Burundi,BDI,1995,4836.06,74.58,0,4.42,-186.87,2433.35,131.19,17.18,5099.92
Burundi,BDI,2000,4741.63,67,0,0,-322.31,982.79,93.58,12.88,4833.33
Burundi,BDI,2005,4316.31,81.92,0,8.47,-268.32,976.69,70.02,10.04,5468.12
Burundi,BDI,2010,3451.98,87.73,0,18.57,-66.39,595.43,96.51,11.77,4188.17
Burundi,BDI,2014,2503.84,71.42,0,14.9,-106.88,486.04,102.61,11.05,4496.12
Cambodia,KHM,1995,1540.62,616.02,0,0,-110.58,861.28,505.07,207.81,2801.76
Cambodia,KHM,2000,1660.45,1398.61,0,0,-104.16,1149.32,541.5,171.8,3053.63
Cambodia,KHM,2005,1774.25,655.37,0,0,-131.55,1391.36,361.02,146.22,4076.36
Cambodia,KHM,2010,3549.72,1275.67,0,0,-106.22,1661.79,467.66,127.55,5796.23
Cambodia,KHM,2014,4856.41,2138.65,0,0,-316.83,2211.66,591.75,113.49,7337.5
Cameroon,CMR,1995,4869.98,881.9,464.89,0.67,-1076.98,3981.32,1113.22,509.99,12770.19
Cameroon,CMR,2000,4316.86,1064.16,463.17,0.41,-787.72,3845.66,1105.01,424.88,13518.22
Cameroon,CMR,2005,4335.18,1497.36,603.6,5.03,-469.99,3784.86,779.81,354.76,13329.32
Cameroon,CMR,2010,6332.99,2573.26,588.2,18.72,-25.63,3599.86,979.11,295.97,11761.37
Cameroon,CMR,2014,8096.78,3586.54,504.42,27.77,-341.58,3768.27,1086.03,255.78,14413.89
Canada,CAN,1995,6090.27,3318.9,7175.15,1237.19,-15734.71,137145.05,2267.26,8498.77,628814.3
Canada,CAN,2000,7103.35,4634.76,8553.32,920.97,-2552.47,150484.58,2263.93,8102.26,669031.44
Canada,CAN,2005,6046.79,4219.94,23859.4,1420.88,-5625.69,172935.2,1711.18,7710.51,679648.38
Canada,CAN,2010,7003.04,6338.68,29685.08,5349.87,-8274.8,209506.37,1028.73,7320.8,691134.42
Canada,CAN,2014,8030.11,8573.7,22421.46,5493.77,3323.71,229998.97,919.44,7000,730831.93
Central African Republic,CAF,1995,6039.51,4955.54,0,1.16,-330.13,1542.59,1138.82,506.15,1603.79
Central African Republic,CAF,2000,6785.31,6534.18,0,0.17,-437.1,1807.92,1521.88,451.58,1524.7
Central African Republic,CAF,2005,6917.62,6928.1,0,0.27,-388.39,1865.42,1306.57,413.44,1542.2
Central African Republic,CAF,2010,8257.79,8123.6,0,2.67,-228.55,2319.65,1347.34,375.9,1223.34
Central African Republic,CAF,2014,9264.86,7100.64,0,5.34,-201.63,2432.6,1260.8,346.81,845.83
Chad,TCD,1995,5653.26,1143.56,0,0,-313.86,2736.48,1277.14,98.37,3960.87
Chad,TCD,2000,5879.13,1153.75,0,0,-509.08,2466.94,1260.53,80.15,4313.52
Chad,TCD,2005,4267.5,932.68,3105.94,2.36,-622.2,1775.64,834.38,64.48,7553.36
Chad,TCD,2010,3881.98,842.94,4015.11,2.28,-602.72,1704.56,506.53,48.94,8332.39
Chad,TCD,2014,4590.2,954.3,3953.02,2.93,-614.13,1618.68,433.86,38.91,9099.1
Chile,CHL,1995,4406.89,1528.7,211.36,9754.4,-2655.54,22260.86,1644,4048.62,68747.4
Chile,CHL,2000,4022.13,1399.95,126.16,7523.02,-4113.25,27159.81,1229.19,3857.6,83961.03
Chile,CHL,2005,3426.99,1095.83,201.27,15991.97,-3026.7,30015.66,1421.98,3683.39,97885.92
Chile,CHL,2010,3470.41,1079.91,214.34,43902.82,-1754.69,37399.66,1742.12,3525.62,124216.63
Chile,CHL,2014,4189.16,991.83,316.23,43963.12,-2007.61,45095.99,2024.71,3627.58,139511.87
China,CHN,1995,3925.77,204.06,433.13,27.6,-130.98,4632.77,252.99,264.75,20975.36
China,CHN,2000,5007.74,308.93,317.04,26.64,79.61,7048.13,192.46,267.65,26798.89
China,CHN,2005,6210.75,511.73,1123.75,175.8,561.55,11341.94,143.96,282.71,27112.96
China,CHN,2010,7599.49,657.99,3069.1,1395.32,1338.45,19131.29,230.28,286.33,48083.33
China,CHN,2014,9180.08,849.61,3029.1,1526.59,1104.06,28565.76,258.4,289.39,63368.82
Colombia,COL,1995,9208.99,2731.18,1389.68,88.62,-1020.84,24491.96,342.35,3633.23,76370.21
Colombia,COL,2000,7821.05,2352.72,1025.78,76.64,-1101,17964.45,205.32,3297.03,73535.19
Colombia,COL,2005,6710.11,2220.38,1770.11,215.99,-1530.2,19169.59,175.53,2998,73854.26
Colombia,COL,2010,6937.69,2372.11,3246.04,584.1,-1783.55,23170.89,197.71,2752.61,98081.77
Colombia,COL,2014,6314.81,2060.27,3931.61,708.16,-2174.59,27857,277.73,2639.89,114088.46
Comoros,COM,1995,2379.1,10.44,0,0,-563.49,5060.65,324.67,56.72,3470.03
Comoros,COM,2000,2970.25,25.06,0,0,-690.79,3502.53,408.73,47.55,3702.63
Comoros,COM,2005,2356.76,122.67,0,0,-373.85,3291,298.05,39.29,3704.61
Comoros,COM,2010,2129.93,200.3,0,0,-191.83,2049.26,275.33,32.31,3348.82
Comoros,COM,2014,2300.3,300.91,0,0,-50.12,2585.44,268.75,28.11,3402.28
Congo,COG,1995,4183.08,159.14,8079.67,38.28,-7766.79,15347.29,3744.38,559.85,19608.22
Congo,COG,2000,3854.48,230.41,11715.28,2.36,-4581.34,10389.09,3212.41,488.15,19628.8
Congo,COG,2005,3921.17,1094.35,13180.51,2.27,-3714,11070.99,2942.35,431.64,21900.88
Congo,COG,2010,5591.36,2780.36,13363.42,6.4,-3079.15,9199.9,2171.23,370.88,24462.22
Congo,COG,2014,6894.63,5875.03,17539.36,12.1,-5370.56,15400.83,2187.96,333.83,25906.01
Costa Rica,CRI,1995,15750.71,3000.98,0,0,-1401.7,16057.98,1968.53,3690.56,62502.29
Costa Rica,CRI,2000,15326.5,3083.2,0,0,-1614.43,17317.45,1658.08,3175.22,66319.13
Costa Rica,CRI,2005,15217.87,3117.26,0,2,-1703.78,19302.24,1082.72,3076.25,88859.77
Costa Rica,CRI,2010,15802.59,3378.27,0,31.98,-2548.24,22327.9,1844.94,3006.52,116470.17
Costa Rica,CRI,2014,15563.92,3849.74,0,32.22,-4495.8,24681.26,1708.68,3005.54,122639.85
Cote d'Ivoire,CIV,1995,10545.47,2727.95,41.84,6.14,-3096.54,4932.52,1403.98,236.33,9570.98
Cote d'Ivoire,CIV,2000,6314.39,1192.84,137.78,2.61,-1798.3,5350.14,1330.94,207.15,9932.29
Cote d'Ivoire,CIV,2005,5000.41,741.54,130.53,8.98,-816.89,4485.76,833.64,190.11,7261.14
Cote d'Ivoire,CIV,2010,5884.91,1173.97,357.49,56.39,-425.97,3508.74,842.71,171.2,7748.91
Cote d'Ivoire,CIV,2014,7556.31,1661.25,421.56,214.41,92.44,4390.52,1006.47,155.53,8986.18
Croatia,HRV,1995,2870.02,347.82,609.09,0.5,315.22,37052.16,499.63,1614.39,54634.14
Croatia,HRV,2000,3151.06,1417.2,537.91,0,-2729.21,44769.11,638.26,1718.98,73624
Croatia,HRV,2005,2734.01,2460.2,726.21,0,-7327.15,51423.33,584.87,1729.15,93619.11
Croatia,HRV,2010,2608.25,3168.89,954.32,0.09,-12709.67,56943.89,744.85,1754.16,95231.89
Croatia,HRV,2014,2679.7,2758.77,1156.01,0.37,-11168.82,58766,974.04,1829.93,90548.63
Democratic Republic of Congo,COD,1995,5704.86,2872.25,94.42,151.67,-949.69,3963.48,2233.41,551.25,3676.5
Democratic Republic of Congo,COD,2000,3452.34,1427.95,84.96,35.87,-206.43,1500.84,2301.7,479.21,2586.35
Democratic Republic of Congo,COD,2005,1836.95,598.07,85.71,56.78,-314.89,1640.79,1554.76,406.45,2629.76
Democratic Republic of Congo,COD,2010,1991.8,857.88,111.35,563.38,-100.98,780.67,1646.43,342.28,2816.26
Democratic Republic of Congo,COD,2014,2103.02,1291.75,111.73,1374.04,-118.96,2369.29,1525.38,298.99,3300.76
Denmark,DNK,1995,9570.67,608.25,1874.95,0,-13688.3,204637.48,255.67,1186.14,458833.24
Denmark,DNK,2000,7730.05,824.54,2700.07,0,-8289.39,230629.73,216.97,1206.11,479567.19
Denmark,DNK,2005,6339.45,832.8,6421.5,63.96,1915.67,253682.82,139.81,1131.92,528761.98
Denmark,DNK,2010,6132.77,968.12,7889.23,0,7256.73,265400.35,224.32,1164.05,530270.95
Denmark,DNK,2014,6858.98,1054.88,6917.58,0,26103.2,273019.31,246.47,1183.42,538947.02
Djibouti,DJI,1995,4092.35,0,0,0,517.61,4264.42,5.41,9.52,6128.47
Djibouti,DJI,2000,3442.36,0,0,0,269.1,9475.36,4.63,8.71,8118.02
Djibouti,DJI,2005,3243.92,4.91,0,0,238.31,4440.46,3.65,8.09,8740.33
Djibouti,DJI,2010,5651.57,20.16,0,0,24.39,10182.7,5.22,7.58,11465.49
Djibouti,DJI,2014,5388.54,34.45,0,0,-656.17,6035.88,6.87,7.18,12096.85
Dominican Republic,DOM,1995,3691.78,1439.43,0,156.54,-874.11,9420.17,10.26,573.01,36323.18
Dominican Republic,DOM,2000,2851.23,903.88,0,210.89,-1081.9,13037.03,12.01,605.83,47868.71
Dominican Republic,DOM,2005,2701.1,850.57,0,468.16,-1459.44,17836.98,13.47,624.3,49763.8
Dominican Republic,DOM,2010,3038.51,1062.95,0,111.69,-2660.72,20501.86,24.33,640.83,58977.84
Dominican Republic,DOM,2014,3287.36,1055.33,0,1179.55,-3824.1,21807.83,42.32,654.1,73054.9
Ecuador,ECU,1995,2129.38,999.99,3497.2,0.44,-2677.88,12380.69,801.74,2311.23,34918.46
Ecuador,ECU,2000,3804.16,2855.94,5463.41,0.12,-3805.65,16158.24,815.08,2027.21,38819.24
Ecuador,ECU,2005,6445.44,4018.02,7709.76,10.91,-1986.78,15259.71,284.83,1810.44,42746.94
Ecuador,ECU,2010,6463.08,4195.59,13483.48,67.43,-833.58,18409.49,413.46,1615.88,51678.91
Ecuador,ECU,2014,6587.21,6822.69,14410.88,148.64,-721.03,20469.26,556.55,1480.57,52696.45
Egypt,EGY,1995,5382.71,206.07,1668.14,16.02,-159.41,5593.52,1.38,0.93,14681.72
Egypt,EGY,2000,5208.72,389.12,1407.39,17.56,-400.77,4362.84,1.18,0.97,17635.72
Egypt,EGY,2005,5785.81,553.83,2847.67,36.17,-116.3,5420.45,1.32,1.01,17716.58
Egypt,EGY,2010,7138.41,839.2,4977.13,210.06,-693.18,6436.83,1.58,0.96,19873.54
Egypt,EGY,2014,5888.84,959.02,4073.68,304.77,-954.82,5604.55,1.66,0.91,22591.21
El Salvador,SLV,1995,3953.79,3.29,0,0,-488.13,6497.42,172.32,363.93,18911.44
El Salvador,SLV,2000,3529.13,5.41,0,0,-1141.2,7594.32,136.64,327.74,26557.02
El Salvador,SLV,2005,2616.11,96.15,0,0,-1678.96,8699.14,105.46,298.1,27063.38
El Salvador,SLV,2010,3684.86,291.04,0,0,-2024.84,9806.28,157.3,272.7,30527.87
El Salvador,SLV,2014,3681.37,397.14,0,0,-2590.6,10216.17,222.79,253.06,31950.93
Estonia,EST,1995,5324.48,347.62,30.38,0,-260.2,66023.83,2214.83,7497.4,75629.93
Estonia,EST,2000,3952.12,394.87,74.61,0,-5675.09,57634.35,5013,7774.31,89926.72
Estonia,EST,2005,3676.47,1047.98,183.2,0,-13394.44,69193.34,5208.73,8048.7,129188.56
Estonia,EST,2010,3855.62,1678.07,420.04,0,-12078.47,78843.52,2846.38,8124.09,128055.49
Estonia,EST,2014,4606.21,2712.89,590.53,0,-7876.19,91645.79,3960.4,8222.83,155040.69
Ethiopia,ETH,1995,2130.05,1143.6,0,1.16,-234.02,1410.23,176.78,12.21,2040.27
Ethiopia,ETH,2000,2107.77,910.86,0,0.27,-167.3,1364.82,207.63,10,2316.25
Ethiopia,ETH,2005,2538.66,1227.66,0,5.21,-164.75,1275.88,203.88,8.23,2931.45
Ethiopia,ETH,2010,3206.88,1392.33,0.18,14.81,-122.86,1115,171.89,6.81,3899.94
Ethiopia,ETH,2014,3543,1513.97,0.24,49.93,-228.88,1347.32,170.23,6.23,6722.73
Finland,FIN,1995,7156.04,2643.87,0,85,-14379.14,161611.95,3866.12,3389.24,298614.84
Finland,FIN,2000,5290.39,2989.36,0,89.75,-64853.01,188420.27,4554.36,3387.45,349364.28
Finland,FIN,2005,4912.88,2633.84,0,217.92,-7199.94,217587.44,4108.34,3297.36,408412.05
Finland,FIN,2010,4779.64,2700.34,0,1673.63,9673.97,239312.28,3869.06,3236.19,427820.44
Finland,FIN,2014,4926.28,2963.55,0,2882.73,-682.95,248985.83,4086.4,3178.03,460081.82
France,FRA,1995,6588.94,1518.04,66.96,3.11,-1508.32,142813.37,453.77,2283.02,358554.2
France,FRA,2000,5791.86,1643.75,33.58,1.2,93.23,159094.47,439.97,2295.69,390421.82
France,FRA,2005,5071.82,1617,66.6,2.23,-1529.58,180745.08,373.31,2296.13,393551.26
France,FRA,2010,5184.91,2041.58,64.39,7.05,-5369.56,209510.12,400.04,2310.06,403976.26
France,FRA,2014,5778.52,2515.07,78.77,1.91,-9082.01,223830.05,405.11,2329.16,415850.89
Gabon,GAB,1995,20130,5185.23,24753.83,3,-8608.01,36748.14,9439.57,27964.83,86982.15
Gabon,GAB,2000,12784.53,3035.33,48584.32,0.53,-3877.25,32076.39,11575.54,24670.06,70659.31
Gabon,GAB,2005,7777.68,2572.42,44644.33,12.74,-689.42,31142.16,8913.46,22051.73,57717.84
Gabon,GAB,2010,7996.67,4468.21,45719.61,0,4965.35,31097.85,7331.65,19704.03,53460.28
Gabon,GAB,2014,11298.41,8842.32,51373.84,224.48,7511.19,34696.84,5064.67,18657.15,62232.56
Gambia,GMB,1995,633.62,25.29,0,0,-150.79,1055.09,15.89,129.57,3017.67
Gambia,GMB,2000,547,33.09,0,0,-294.6,1128.69,13.35,114.74,3182.43
Gambia,GMB,2005,1061.09,75.34,0,0,-598.44,1525.14,22.65,100,2862.93
